Itemcode,Itemcode Description,HCPCS Code,Average Price
31104,PTT WITH MIXING STUDIES,85732,162.00
31105,PLATELET COUNT (AUTOMATED),85049,41.00
31109,"THROMBOPLASTIN TIME,PLASMA",85732,70.00
31115,PREGNANCY TEST,81025,75.00
31120,PROTHROMBIN TIME (PT),85610,45.00
31121,MIXING STUDIES,85611,131.00
31123,"REDUCING SUBSTANCES,STOOL",84376,43.00
31125,RETICULOCYTE COUNT,85045,45.00
31126,THROMBIN TIME (#015230),85670,89.00
31145,SEDIMENTATION RATE,85651,38.00
31150,"SEMEN ANALYSIS, COMPLETE",89320,177.00
31155,SICKLEDEX,85660,67.00
31157,"SPECIFIC GRAVITY, BODY FLUID",84315,25.00
31158,SPECIFIC GRAVITY,81002,23.00
31160,"SPERM CHECK, QUALITATIVE",89300,116.00
31171,CELL COUNT,89050,53.00
31172,DIFFERENTIAL,89051,98.00
31177,"CONCENTRATION,INFECTIOUS AGENT",87015,63.00
31178,"SMEAR,SPEC STAIN,BOD/PARASITE",87207,58.00
31185,URINALYSIS,81001,37.00
31186,URINE DIPSTICK,81003,42.00
31187,URINE PROTEIN (DIPSTICK),81003,42.00
31195,VENIPUNCTURE ONLY,36415,18.00
31200,WBC OR RBC,85048,32.00
31201,WBC WITH DIFF,85048,33.00
32000,ANTIBODY ID,86870,128.00
32001,TRICHINELLA ANTIBODY,86784,293.00
32005,ANTIGEN TYPE,86905,59.00
32011,DIFFERENTIAL ABSORPTION SERUM,86978,86.00
32012,"IN SITU HYBRIDIZATION, EA ADDL",88364,150.00
32013,IN SITU HYBRIDIZATION INITIAL,88365,200.00
32040,DIRECT COOMBS TEST,86880,56.00
32051,"IA INFECTIOUS AGENT AB, QUAN",86317,77.00
32055,INDIRECT COOMBS TEST,86850,83.00
32056,COMPATIBILITY TEST (IS),86920,90.00
32057,"FETAL SCREEN, INCUBATED",85461,66.00
32061,PLT AGGREGATION INVITRO EA AGT,85576,100.00
32067,PRETREATMENT OF RBCS,86970,73.00
32068,DIPTHERIA TETANUS AB,86317,378.00
32069,RETICULOCYTE SEPARATION,86972,125.00
32070,HEPARIN INDUCED PLATELET ANTIB,86022,432.00
32071,"PLATELET FUNC ANAL COL,EPINEPH",85576,172.00
32072,"PLATELET FUNC ANAL COL,ADP AGO",85576,172.00
32074,"BLOOD TYPING, ABO",86900,36.00
32075,RH FACTOR,86901,37.00
32076,SOLUBLE LIVER ANTIGEN,83516,180.00
32088,"THAWING, FFP (PER UNIT)",86927,42.00
33000,ACID FAST CULTURE,87116,118.00
33002,FATTY ACID PROFILE,82542,602.00
33003,FECAL LACTOFERRIN,83630,54.00
33014,"SMEAR,FLUORESCENT",87206,32.00
33016,BLOOD CULTURE (AER & ANA),87040,132.00
33018,CRYPTOSPORIDIUM STAIN,87206,74.00
33019,"CULTURE,SCREENING ONLY",87081,75.00
33020,FUNGUS CULTURE & SMEAR,87102,173.00
33021,"FUNGUS CULTURE, DEF I.D, YEAST",87106,87.00
33022,BODY FLUID CULTURE,87070,102.00
33023,CRYPTOSPORIDIUM ANTIGEN,87328,194.00
33030,GRAM STAIN,87205,38.00
33033,"AB;HIV-1&HIV-2,SINGLE ASSAY",86703,146.00
33040,IDENTIFICATION ONLY,87077,63.00
33042,IDENTIFICATION - ANAEROBE,87076,63.00
33043,IA BY EIA - MULTI STEP,87449,63.00
33046,SHIGA-LIKE TOXIN AG EIA,87427,63.00
33050,"CULTURE, PATHOGENIC SCREENING",87081,56.00
33055,KOH PREP,87220,43.00
33060,MINIMUM INHIBITORY CONCENTRATE,87186,64.00
33061,AEROBIC SUSCEPTIBILITY,87186,165.00
33065,"CULTURE,BACTERIAL;AOS,AEROBIC",87070,99.00
33066,"CULTURE,BACTERIAL;ANAEROBIC",87075,114.00
33070,NASO-PHARYNX CULTURE,87070,98.00
33080,RAPID STREP SCREEN,87880,63.00
33085,SALINE WET MOUNT,87210,36.00
33090,SENSITIVITY (DRUG),87186,52.00
33091,"SENSITIVITY,DISK PLATE",87184,64.00
33092,"SENSITIVITY,DISK PER ANTIBIOT",87181,38.00
33093,"ANTIFUNGAL SENS, 3 DRUGS",87186,585.00
33096,SPINAL FLUID C&S,87075,99.00
33097,INFLUENZA A,87804,106.00
33098,INFLUENZA B,87804,106.00
33101,SPUTUM CULTURE,87075,102.00
33105,STOOL CULTURE,87045,113.00
33111,O&P CONCENTRATIO & IDENTIFICAT,87177,32.00
33112,COMPLEX SPECIAL STAIN FOR O&P,87209,66.00
33115,STOOL FOR WBC'S,89055,37.00
33120,THROAT CULTURE,87070,98.00
33126,URINE CULTURE,87086,83.00
33132,"STOOL CULTURE,BACTERIA, EACH",87046,62.00
37002,PARVOVIRUS B19 IgM,86747,196.00
37003,PARVOVIRUS B19 IgG,86747,196.00
37012,PEDIATRIC ALLERGY PROFILE,86003,37.00
37019,ACTIVATED PROTEIN C RESISTANCE,85307,214.00
37026,HGB ELECTROPHORESIS,83020,80.00
37027,TOTAL HEMOGLOBIN,83030,53.00
37028,SICKLING RBC,85660,67.00
37031,ACUTE HEPATITIS PANEL,80074,297.00
37033,MTHFR GENE ANALYSIS,81291,390.00
37037,AFB ID BY DNA PROBE,87149,135.00
37038,PROSTATE NEEDLE BIOPSY PATH,G0416,550.00
37039,GENOTYPING RNA/DNA HEP C,87902,215.00
37042,"MONONUCLEAR CELL ANTIGEN, QUAN",86356,80.00
37048,"KETOSTEROIDS, URINE",83586,119.00
37049,ANDROSTENEDIONE,82157,80.00
37051,DEHYDROEPIANDROSTERONE,82626,70.00
37058,PROMETHEUS ANSER IFX 3150,84999,"2,500.00"
37059,ESTRIOL,82677,60.00
37094,FMR1 GENE ANALYSIS,81243,350.00
37125,SLE PROFILE A (056499),86225,459.00
37145,IGF BINDING PROTEIN,83519,229.00
37151,"DRUG SCREEN, BLOOD",80307,282.00
37170,DRUG ANALYSIS,80307,350.00
37190,ACETYLCHOLINE RECEPTOR,83519,158.00
37195,B-HYDROXY BUTYRATE LEVEL,82010,130.00
37199,ANTI-GAD,83519,338.00
37200,ACTH HORMONE (004440),82024,176.00
37201,IMMUNOASSAY QUANT BY RIA,83519,401.00
37205,AFB BY NAA,87798,474.00
37210,ALDOLASE (002030),82085,73.00
37212,ALDOSTERONE (004374),82088,146.00
37230,ALKALINE P'TASE ISO (001412),84080,63.00
37232,"ALKALINE P'TASE,LEUK #001966",85540,82.00
37241,ALPHA1 ANTITRYPSIN PHEN 095653,82104,205.00
37242,ALPHA 2 ANTIPLASMIN,85410,241.00
37250,AFP TUMOR MARKER (#002253),82105,183.00
37259,AFP MATERNAL SERUM,82105,176.00
37262,AMIKACIN,80150,157.00
37267,"AMINO ACID SCREEN,URINE 003483",82139,444.00
37269,AMIODARONE (CORDARONE) #706705,80299,159.00
37270,AMITRIPTYLINE (ELAVIL)(007476),80307,122.00
37272,ACYLCARNITINE LEVEL,82017,337.00
37279,REFERENCE LAB CULTURE,87070,99.00
37291,ANAFRANIL(CLOMIPRAMINE) 803635,80335,182.00
37292,"CITRATE, 24 HOUR URINE",82507,383.00
37295,ANGIOTENSION CONV ENZ #010116,82164,139.00
37296,ANTI-NEUTROPHIL CYTOPLASMIC AB,86256,289.00
37299,ANTICARDIOLIPIN AB,86147,97.00
37300,ANTIDIURETIC HORMONE,84588,239.00
37301,ACTINOMYCES ANTIBODY,86602,30.00
37302,GEL DIFFUSION IMMUNODIFFUSION,86331,35.00
37303,FUNGUS ANTIBODY,86671,35.00
37305,"HOMOGENIZATION, TISSUE FOR CX",87176,100.00
37309,ANTI-CENTROMERE B,86235,186.00
37310,ANTI-DNA ANTIBODIES (006916),86226,215.00
37314,ANTI-DNASE B (096289),86215,215.00
37315,ANTIGANGLIOSIDE  (#1441),86318,313.00
37316,ANTI-ENA (006338),86235,100.00
37317,ANTI-GLOMERULAR BMA (#082719),83516,259.00
37318,ANTI-HISTONE ANTIBODIES 012518,86235,231.00
37320,"ANTI-MITO. ANTI, QUANT.006650",86256,170.00
37323,ANTI-CCP ANTIBODIES,86200,252.00
37324,ANTI-SCL-70,86235,209.00
37330,ANTI-NUCLEAR ANTI.(ANA)006254,86038,145.00
37331,ANA SCREEN w/REFLEX (164863),86038,144.00
37333,ANTI-PARIETAL CELL ANTIBODIES,86256,193.00
37336,"AMPLIF NA PROBE, NOS AGENT",87798,431.00
37338,BORDETELLA ANTIBODIES,86615,401.00
37340,ANTI-SMOOTH MUSCLE ANTI 006643,86255,328.00
37343,"ANTI-PLATELET AB, DIRECT",86023,481.00
37346,"ANTI-PLATELET AB, INDIRECT",86022,179.00
37350,ANTI-STREPTOLYSIN O  (006031),86063,99.00
37360,ANTI-THROMBIN III (015040),85300,248.00
37370,ANTI-THYROID ANTI (006684),86800,144.00
37372,ANTI-TYSABRI,83516,700.00
37375,"ARSENIC LEVEL,BLOOD (#007245)",82175,154.00
37378,ASPERGILLUS ANTIBODIES,86606,215.00
37381,H INFLUENZA ANTIGEN,86403,110.00
37382,S PNEUMONIAE ANTIGEN,86403,110.00
37383,N MENINGITIDIS ANTIGEN,86403,110.00
37384,B STREPTOCOCCUS ANTIGEN,86403,110.00
37386,BENCE JONES PROTEIN (003335),86334,238.00
37391,CLOZAPINE (CLOZARIL),80159,124.00
37401,FLUORESCENT NONINF AGENT ANTIB,86255,248.00
37402,BETA 2 MICROGLOBULIN,82232,108.00
37403,"IMMUNOASSAY FOR ANALYTE,QUAL",83516,262.00
37407,CARBOHYDRATE ANTIGEN 27-29,86300,271.00
37410,"CALCIUM, URINE (003269)",82340,42.00
37411,"TISSUE TRANSGLUTAMINASE AB,IGA",83516,140.00
37425,KIDNEY STONE ANALYSIS,82365,116.00
37426,CANCER ANTIGEN 15-3 SER 480046,86300,163.00
37427,CANCER ANTIGEN 125 (002303),86304,174.00
37437,CHROMOGRANIN,86316,315.00
37438,CARBOHYDRATE ANTI 19-9(002261),86301,189.00
37441,"CARNITINE,TOTAL AND FREE",82379,180.00
37450,CEA (002139),82378,139.00
37453,PLASMINOGEN ACTIVATOR,85415,172.00
37455,PLASMA CATECHOLAMINES,82383,108.00
37456,FRACTIONED CATECHOLAMINES,82384,147.00
37458,"FLOW CYOMETRY, FIRST MARKER",88184,330.00
37460,"CATECHOLAMINES, URINE (004176)",82384,231.00
37462,"FLOW CYTOMETRY, ADDL MARKER",88185,36.00
37465,"B CELLS, TOTAL COUNT, FLOW CYT",86355,103.00
37472,CD4,86361,406.00
37474,CD4 AND CD8 (#505271),86360,103.00
37475,"CHOLINESTERASE, RBC",82482,33.00
37476,DIBUCAINE NUMBER,82638,75.00
37477,"FLOW CYTOMETRY, BONE MARROW",88185,137.00
37480,CERULOPLASMIN (001560),82390,71.00
37481,"FLOW CYTOMETRY, LYMPH NODE",88182,"1,258.70"
37483,"CHLAMYDIA TRACH,IGG (096180)",86256,361.00
37484,"CHLAMYDIA TRACH, IGM (096149)",86256,361.00
37488,CHOLINESTERASE-SERUM,82480,143.00
37490,"CHOR GONAD, B-HCG, QUANT",84702,43.00
37498,BENZOPDIAZEPINE ASSAY,80307,151.00
37503,CMV BY PCR,87497,423.00
37506,HIV-1 GENOTYPE PLUS,87901,"1,064.00"
37509,PROTHROMBIN GENE MUTATION,81240,396.00
37522,TRYPTASE,83520,231.00
37523,BNP,83880,193.00
37525,"MOLECUL CYTOGENTICS,ADDL STUDY",88289,90.90
37528,INHIBIN A,86336,177.00
37532,COCCIDIOIDES ANTIBODY,86635,174.00
37535,"COMPLEMENT; ANTIGEN, EACH",86160,153.00
37536,FUNCTIONAL C1 ESTERASE,86161,228.00
37540,"COMPLEMENT, C3 (006452)",86160,158.00
37550,"COMPLEMENT, C4 (001834)",86160,158.00
37562,"COMPLEMENT,TOTAL (CH50)001941",86162,183.00
37565,"COPPER,SERUM 001586",82525,85.00
37567,C-TELOPEPTIDE COLLAGEN CRSLINK,82523,205.00
37570,CORTISOL (004051),82533,128.00
37571,"CORTISOL, URINE (#004432)",82530,112.00
37581,COXSACKIE VIRUS GRP A #160440,86658,168.00
37589,C-PEPTIDE,84681,62.00
37591,CRP (QUANT) #006627,86140,91.00
37592,CRP/HS-CRP,86141,175.00
37599,CRYOGLOBULINS (#001594),82595,84.00
37600,"CRYPTOCOCCUS, ANTI QUAN 082891",86641,378.00
37610,CRYPTOCOCCUS ANTIGEN (006551),87899,126.00
37620,"CULTURE, CHLAMYDIA (008565)",87110,184.00
37622,CMV CULTURE,87252,213.00
37630,"CULTURE, GENERAL VIRUS 008573",87252,175.00
37631,"VIRAL CULTURE,RAPID #186015",87254,250.00
37640,"CULTURE, HERPES SIMPLEX 008193",87252,153.00
37642,INF AGENT PHENOTYPE 1-10,87903,"1,758.00"
37644,"MR-STAPH,DNA,AMP PROBE",87641,151.00
37651,LEGIONELLA CULTURE,87070,103.00
37652,NOROVIRUS STOOL,87798,337.00
37653,ORGANISM ID MOLD,87107,115.00
37664,CYCLOSPORINE (#706556),80158,228.00
37670,CYTOMEGALOVIRUS (CMV) 096784,86644,123.00
37680,"CYTOMEGALOVIRUS, IGG (006494)",86644,243.00
37682,"CHROMOSOME ANALYS, BONE MARROW",88264,345.00
37683,"TISSUE CULTURE, BONE MARROW",88237,417.00
37684,CHROMOSOME ANALY ADD KAROTYPE,88280,80.00
37685,"CHROMOSOME ANALY, ADD'L CELLS",88285,70.00
37688,INTERPHASE HYBRIDIZATION,88275,505.00
37689,TISSUE CULTURE LYMPHOCYTE,88230,416.80
37690,"CYTOMEGALOVIRUS, IGM (096727)",86645,256.00
37694,CHROMOSOME ANALYSIS BLD 052019,88262,"1,046.00"
37700,"DHEA, SERUM (004101)",82626,268.00
37704,"D-DIMER,QUANT,IMMUNOASSAY",85379,266.00
37706,DHEA-SULFATE 004697,82627,134.00
37781,LAMOTRIGINE (LAMICTAL),80175,139.00
37785,EHRLICHIOSIS AB PANEL,86666,511.00
37790,EPSTEIN-BARR VIRUS IGG 096248,86665,243.00
37804,EBV ACUTE INF PROFILE #216655,86663,445.00
37808,ERYTHROPOIETIN LEVEL(080424),82668,170.00
37810,ESTRADIOL (E2) (004515),82670,128.00
37820,ESTRIOL (004614),82677,137.00
37821,ESTRONE,82679,107.00
37840,"ESTROGENS, TOTAL SERUM 004549",82672,187.00
37848,ETHOSUXIMIDE(ZARONTIN) 007443,80168,71.00
37849,ETHYLENE GLYCOL (071654),82693,166.00
37851,ANTI-SMITH,86235,161.00
37852,ANTI-RNP,86235,161.00
37859,FACTOR VII,85230,169.00
37860,FACTOR VIII,85240,294.00
37869,FACTOR IX (9),80299,335.00
37875,FACTOR V LEIDEN BY PCR,81241,432.00
37880,"FATS, FECES, QUANT (001354)",82710,212.00
37887,FELBAMATE LEVEL,80299,151.00
37890,FERRITIN (004598),82728,111.00
37891,ALLERGEN SPECIFIC IgE,86003,52.00
37894,"ALLERGEN, ZONE 3 (27)",86003,923.00
37896,"ALLERGEN,RED DYE (CARMINE IgE)",86003,60.00
37897,GLUTEN SENSITIVITY SCREEN W/RE,83516,450.00
37900,"FIBRINOGEN, QUANT. (001610)",85384,84.00
37910,FLECAINIDE ACET TAMB 085662,80307,125.00
37919,FLUPHENAZINE (PROLIXIN)#706887,80307,121.00
37920,FOLATES (FOLIC ACID) 002014,82746,83.00
37922,"FOLATES, RBC #002279",82747,85.00
37940,"FSH, SERUM (004309)",83001,161.00
37950,"FSH & LH, SERUM (028480)",83002,128.00
37951,TREPONEMA PALLIDUM (TP-PA) AB,86780,125.00
37959,FRUCTOSAMINE (#100800),82985,53.00
37961,FTA/ABS (006379),86780,101.00
37962,"FUNGAL ANTIBODY, QUAN (091454)",86606,289.00
37970,GASTRIN (004390),82941,88.00
37971,GIARDIA RAPID ANTIGEN (RA),87329,147.00
37990,G-6-PD (014001),82955,135.00
38012,TISSUE IMPRINT,88161,65.00
38014,NMO NEUROMYELITIS OPTICAL,83520,765.00
38020,GROWTH HORMONE (004275),83003,124.00
38029,HALDOL #070482,80173,156.00
38030,"HEAVY METALS, QUANT, S 042580",83018,250.00
38031,"VALPROIC ACID, FREE",80165,145.00
38040,"HEAVY METALS, QUANT, U 007492",83018,337.00
38041,HELICOBACTER PYLORI ANTI #1622,87338,112.00
38060,"HEMOGLOBIN,GLYCOSYLATED (A1C)",83036,71.00
38063,"SUGARS, SINGLE QUANT, EACH",84378,60.00
38067,HEMOGLOBIN A2-TOTAL (#5678),83036,39.00
38086,"HEPATITIS A ANTIBOD,IGM 006734",86709,136.00
38090,"HEPATITIS B, SUR ANTI 006510",87340,88.00
38091,H. PYLORI ANTIGEN STOOL,87338,141.00
38096,"HEPATITIS C, RNA, PCR",87521,187.00
38097,"HERPES SIMPLEX II, IgG",86696,130.00
38099,HEPATITIS B CORE ANTI #016881,86705,135.00
38100,HEPATITIS B SURFACE AB (006395,86706,170.00
38101,"HEPATITIS B, ANTI-HBC 006718",86704,170.00
38102,HEPATITIS Be ANTIBODY,86707,80.00
38103,HEPATITIS Be ANTIGEN,87350,67.00
38104,HEPATITIS C ANTIBODY (#140608),86803,179.00
38105,ANTI-HAV (IgG & IgM),86708,144.00
38111,HERPES SIMPLEX I/II,86694,155.00
38114,HEPATITIS C FIBROSURE (5501230,83883,363.00
38115,"ADENOVIRUS, NASAL BY PCR",87798,428.00
38117,"NEPHELOMETRY,F KAPPA LT.CHAIN",83883,104.00
38118,"NEPHELMOETRY,F LAMBDA LT.CHAIN",83883,104.00
38119,HERPES SIMPLEX BY PCR,87529,463.00
38120,HERPES SIMPLEX IGM(054163),86694,184.00
38123,ENTEROVIRUS PCR (CSF),87498,593.00
38126,HEPARIN ANTI-Xa ASSAY,85520,192.00
38127,HEP C RNA ULTRA NO GENO/7576,87522,457.00
38128,HEP C RNA ULTRA W/GENO 7578,87522,751.00
38129,HEP B DNA ULTRAQUANT 8137,87517,464.00
38130,HDL CHOLESTEROL,83718,52.00
38133,HIV VIRAL LOAD,87536,643.00
38134,HISTOPLASMA ANTIBODIES #96271,86698,219.00
38136,IAD NA HCV QNT,87522,834.00
38140,HLA B27 (006924),86812,353.00
38143,HEPATITIS C SUPERQUANT,87522,530.00
38149,"HOMCYSTENINE, BLOOD",83090,246.00
38160,HIV ANTIBODIES 4TH GENERATION,87389,174.00
38167,TOXACARA CANIS IGM & IGG,86682,207.30
38171,"STRONGYLOIDES,IqG AB, ELISA",86682,268.00
38180,HYDROXYINDOLEACETIC HIAA004069,83497,110.00
38181,QUANTITATION OF IgG1,82784,104.00
38182,QUANTITATION OF IgG2,82787,106.00
38183,QUANTITATION OF IgG3,82787,106.00
38184,QUANTITATION OF IgG4,82787,106.00
38187,HYDROXY PROGRESTERONE-17,83498,161.00
38188,"IMMUNOGLOBULIN,THYROID STIMULA",84445,294.00
38189,IBUPROFEN/QUANT (073635),80329,110.00
38191,PREGNENOLONE,80188,208.00
38194,VARICELLA ZOSTER BY PCR,87798,428.00
38195,MANGANESE,83785,176.00
38200,"IMMUNOGLOBULIN,IGA,SERU 001784",82784,104.00
38202,ELECTROPHORETIC TECHNIQUE,82664,99.00
38203,IMMUNOGLOBIN E (IGE) (002170),82785,81.00
38204,IMMUNOELECTROPHORESIS SERUM,86334,279.00
38210,"IMMUNOGLOBULIN,IGMSERUM 001792",82784,84.00
38211,IMMUNOELECTROPHORESIS URINE RA,86325,275.00
38213,"IMMUNOGLOBULIN G, SERUM (IgG)",82784,84.00
38214,SERUM IgD LEVEL,82784,98.00
38219,"IMMUNOGLOBULINS, QUANT #001768",82784,99.00
38221,ANTIBODIES TO INFLUENZA A,86710,133.00
38222,ANTIBODIES TO INFLUENZA B,86710,133.00
38230,INSULIN (004333),83525,71.00
38241,INTRINSIC FAC BLOCK ANT 010413,86340,229.00
38242,ISLET CELL ANTIBODIES,86341,305.00
38251,ANTIBODIES TO BEEF INSULIN,86337,152.00
38252,ANTIBODIES TO PORK INSULIN,86337,152.00
38262,INSULIN-LIKE GROWTH FACTOR I,84305,116.00
38269,IRON BINDING,83550,35.00
38270,"IRON,TOTAL (001339)",83540,40.00
38316,KLEIHAUER-BETKE,85460,286.00
38320,LDH ISOENZYMES (001842),83625,39.00
38330,LACTIC ACID(LACTATE) 004770,83605,61.00
38382,LEGIONELLA PNEUM SMEAR(085506),87278,155.00
38383,"LEGIONELLA ANTIGEN, URINE",87449,100.00
38391,TITERS TO L PNEUMOPHILIA,86713,162.00
38392,TITERS TO L LONGBEACHAE,86713,162.00
38393,TITERS TO ATYPICAL LEGIONELLA,86713,162.00
38418,LIBRIUM  (#007682),80307,90.00
38450,LUTEINIZING HORMONE(LH)004283,83002,110.00
38458,TETANUS ANTITOXOID IgG,86317,59.00
38459,"LYME DISEASE, CSF",87476,436.00
38461,CSF FOR LYME'S DISEASE,86618,279.00
38462,LYME DISEASE ANTI. (015271),86618,199.00
38464,"LYME DISEASE, WEST BLOT 163600",86617,363.00
38471,BARTONELLA HENSALAE,86611,521.00
38477,"MERCURY,BLOOD (#085324)",83825,145.00
38480,"METANEPHRINES,QUANT (004234)",83835,118.00
38487,"METHYLMALONIC ACID,SERUM",83921,240.00
38491,"MICROALBUMIN, RANDOM URINE",82043,83.00
38493,"METANEPHRINES, PLASMA (121806)",83835,318.00
38498,"METANEPHRINES, RANDOM URINE",83835,124.00
38501,MUMPS ANTIBODY SCREEN IgG,86735,116.00
38502,"MUMPS Ab,IgM (160499)",86735,116.00
38520,MYCOPLASMA PNEUM ANTI,87581,76.00
38522,MYELIN BASIC PROTEIN #019208,83873,213.00
38540,"MYOGLOBIN,URINE (003079)",83874,180.00
38546,NICOTINE SCREEN (#071255),80307,34.00
38550,NORTRIPTYLINE(AVENTYL)(007393),80335,135.00
38562,OLIGOCLONAL BANDING (019216),82664,124.00
38568,OXALATES (#003970),83945,80.00
38572,PARAINFLUENZA VIRUS AN(096214),86710,444.00
38575,PERTUSSIS CULTURE & SMEAR,87070,132.00
38580,"PARATHYROID HORMONE,PTH(058016",83970,112.00
38583,"PTH, INTACT (#562)",83970,293.00
38591,TROPONIN LEVEL,84484,122.00
38597,"PHENYTOIN, FREE (#070763)",80186,133.00
38599,HEELSTICK & PROCESS NB SCREEN,36416,250.00
38600,"PHOSPHORUS,URINE (003251)",84105,37.00
38608,PNEUMOCYSTIS STAIN (180232),87206,178.00
38630,"PORPHYRINS,QUANT (003194)",84120,189.00
38640,"PREGNANCY TEST,QUAL SERUM",84703,75.00
38650,PRIMIDONE(MYSOLINE)(007856),80188,108.00
38666,"PROGESTERONE, SERUM #004317",84144,154.00
38670,PROLACTIN (004465),84146,144.00
38672,"PSA, FREE",84154,72.00
38673,"PSA, TOTAL",84153,64.00
38676,PROTEIN C ANTIGEN,85302,156.00
38677,"PROTEIN C, ACTIVITY",85303,156.00
38678,PROSTATE-SPEC ANTIGEN 010322,84153,97.00
38679,PROTEIN C (FACTOR XIV) #080465,85302,165.00
38680,PROTEIN ELECTRO SERUM(001487),84165,91.00
38682,"PROTEIN ELECTRO, CSF (002246)",84166,120.00
38684,"PROTEIN ELECTRO, URINE 003368",84166,122.00
38687,PROTEIN C FUNCTIONAL,85303,143.00
38693,"PROTEIN ELECTRO, URINE 24HR",84166,126.00
38695,PROTEIN S FUNCTIONAL,85306,151.00
38697,PROTEIN S TOTAL,85305,150.00
38698,PROTEIN S FREE,85306,156.00
38700,"PROTEIN,TOTAL,URINE,(003277)",84156,50.00
38720,RENIN ACTIVITY (002006),84244,93.00
38736,RAPID RSV,87807,94.00
38738,"RA LATEX TITER, QUANT(#006502)",86431,71.00
38740,"ROCKY MSF QUAN,IGG (016592)",86757,219.00
38751,"RMSF, CSF (#841023)",86757,220.00
38752,ROTA VIRUS ANTIGEN (006866),87425,138.00
38760,RUBELLA ANTIBODIES QUANT006197,86762,112.00
38770,"RUBELLA SCREEN,QUAL (016915)",86762,87.00
38771,RUBEOLA ANTIBODIES #096107,86765,124.00
38773,RUBEOLA TITER (IGM) #160218,86765,127.00
38774,SJOGREN'S ANTIBODIES,86235,199.00
38778,"SELENIUM, BLOOD (#081034)",84255,141.00
38780,"SEROTONIN, SERUM #120204",84260,204.00
38820,STS.QUAL,86592,64.00
38828,T-LYMPHOCYTE HELPER (096925),86355,578.00
38829,T-CELL ACTIVATION PROFILE,86359,103.00
38830,T3 BY RIA (002188),84480,90.00
38831,THYROGLOBULIN,84432,107.00
38834,FREE T3,84481,112.00
38835,"T3, REVERSE",84482,224.00
38838,"T4, FREE",84439,62.00
38841,ANTI-GLIADIN ANTIBODY,83516,143.50
38845,SOLUBLE LIVER AG AUTOABS,83520,214.00
38849,"TESTOSTERONE,FREE",84402,104.00
38850,"TESTOSTERONE,TOTAL",84403,131.00
38851,"TESTOSTERONE, FREE & TOTAL",84410,235.00
38856,THIAMINE (VIT B1) 085548,84425,176.00
38858,THYROID ANTIMICRO ANTIB 006676,86376,144.00
38860,TSH,84443,115.00
38862,LIVER KIDNEY MICROSOME ANTIBOD,86376,265.00
38866,"IMMUNOASSAY,QUANT,NOS",83520,116.00
38866*3,"IMMUNOASSAY, QT, NOS",83520,348.00
38866*5,IMMUNOASSAY QUANT NOS *5,83520,116.00
38867,IMMUNOFLUORESCENT STUDY AB IND,88346,200.00
38871,"IMMUNOFLUORESCENSE, EA ADDL ST",88350,100.00
38876,TBG (001735),84442,130.00
38902,"TOXOPLASMA GONDII, IGG",86777,191.00
38903,TOXOPLASMA GONDII (IGM) 096651,86778,164.00
38904,TRANSFERRIN (004937),84466,105.00
38908,GABAPENTIN LEVEL,80299,182.00
38915,TULAREMIA AGGLUTININS#006742,86000,99.00
38920,URIC ACID OTHER SOURCE,84560,44.00
38922,"CT BY NA, AMPLIFIED PROBE",87491,109.00
38923,"NG BY NA, AMPLIFIED PROBE",87591,109.00
38925,"TPMT ENZYME,PROMETHEUS",82657,355.00
38927,JAK 2 MUTATION,81270,548.00
38930,VALPROIC ACID (DEPAKENE)007260,80164,120.00
38931,KEPPRA(LEVETIRACETAM),80177,140.00
38933,THIOPURINE METABOLITES 6-TGN,80375,235.00
38934,THIOPURINE METABOLITES 6-MMPN,80375,235.00
38938,VANCOMYCIN #070326,80202,137.00
38940,VMA (004143),84585,133.00
38941,"VARICELLA ZOSTER,IgG #096206",86787,146.00
38942,"VARICELLA ANTIBODIES,IgM",86787,208.00
38944,"ANTIBODY, WEST NILE VIRUS IgM",86788,48.00
38945,"ANTIBODY, WEST NILE VIRUS",86789,40.00
38960,"VDRL,CSF (006445)",86593,91.00
38971,DIRECT LDL,83721,111.00
38980,VISCOSITY (004861),85810,52.00
38985,RUSSELL VIPER VENOM TIME;DILUT,85613,103.00
38990,VITAMIN A (017509),84590,182.00
38999,VIT B2 (RIBOFLAVIN) #086751,84207,249.00
39000,VITAMIN B6 (004655),84207,136.00
39002,BETA2 GLYCOPROTEIN IGG IGA IGM,86146,415.00
39010,VITAMIN B12 (001503),82607,95.00
39011,"VIT D,1,25 DIHYDROXY (#081091)",82652,158.00
39012,VITAMIN C (#001479),82180,107.00
39013,"VITAMIN D, 25 HYDROXY",82306,202.00
39014,VITAMIN E (#081000),84446,153.00
39016,"VOLATILES,BLOOD (#007062)",84600,115.00
39018,VONWILLEBRAND FACTOR,85245,401.00
39019,VON WILLEBRAND PR #084715,85247,339.00
39021,VONWILLEBRAND PANEL MULTIMERIC,85247,339.00
39022,PML/RaRalpha,81315,570.00
39031,VASOACTIVE INTEST POLYPEPTIDE,84586,191.00
39036,WEST NILE VIRUS IgM ANTIBODY,86790,274.00
39037,WEST NILE VIRUS IgG ANTIBODY,86790,274.00
39039,METHANOL LEVEL,84600,379.00
39046,JO-1 ANTIBODY,86235,308.00
39047,MECONIUM DRUG SCREEN,80307,218.00
39048,"ZINC, SERUM",84630,69.00
39054,SURGICAL PATH I,88300,132.00
