"Service Description","CPT Code","Charge Type","Christiana Facility Price"
"IV, D5/RL W/20 MEQ KCL 1000ML",,Hospital,$36.85
"IV, D5/WATER 100ML",,Hospital,$4.59
"IV, D5/WATER 250 ML",,Hospital,$0.97
"IV, D5/WATER 500 ML",,Hospital,$4.71
"IV, D5/WATER-1000 ML",,Hospital,$4.93
"IV, EMPTY EXACTAMIX CALIBRATION BAG 1000ML",,Hospital,$42.05
"IV, GLYCINE 1.5% 3000ML",,Hospital,$46.13
"IV, LACT RINGERS 1000 ML",,Hospital,$4.98
"IV, LACT RINGERS INJ 500 ML",,Hospital,$4.43
"IV, NORMOSOL-R PH 7.4 1000ML",,Hospital,$8.39
"IV, NORMOSOL-R PH 7.4 500ML",,Hospital,$21.25
"IV, OSMITROL/WATER 1000ML",,Hospital,$78.63
"IV, RINGERS INJ 1000 ML",,Hospital,$10.37
"IV, SLUSH (NACL 1000ML)",,Hospital,$366.66
"IV, STERILE - 82800",,Hospital,$4.42
"IV, STERILE WATER USP - 2000CC",,Hospital,$28.22
"IV, VIAFLEX EMPTY BAG 250 ML",,Hospital,$11.18
"IV, VIAFLEX EMPTY BAG 500 ML",,Hospital,$10.84
"IV, WATER F/ 1000 CC",,Hospital,$7.19
"IVP,EA ADDTL SEQ,SAME SUBS",96376,Hospital,$51.00
"IVUS,NON-CORONARY,ADTL VESS,RS&I",75946,Hospital,$233.00
"IVUS,NON-CORONARY,ADTL VESS,RS&I GLP",75946,Hospital,$233.00
"IVUS,NON-CORONARY,INITIAL VESS,RS&I",75945,Hospital,$233.00
"IVUS,NON-CORONARY,INITIAL VESS,RS&I GLB",75945,Hospital,$233.00
"J-PLATE, LOW PROFILE RECON 10 HOLES LT 3.5MM",C1713,Hospital,"$1,920.58"
"J-PLATE, LOW PROFILE RECON 12 HOLES LT 3.5MM",C1713,Hospital,"$2,344.60"
"J-PLATE, LOW PROFILE RECON 12 HOLES RT 3.5MM",C1713,Hospital,"$2,076.13"
"J-PLATE, LOW PROFILE RECON 14 HOLES RT 3.5MM",C1713,Hospital,"$2,231.68"
"J-PLATE, LOW PROFILE RECON 16 HOLE LT 3.5X208MM",C1713,Hospital,"$2,507.97"
"J-PLATE, RECONSTRUCTION LP 12-HOLE 3.5X156MM",C1713,Hospital,"$2,181.19"
"JACK, AGEE-WRIST",,Hospital,"$6,098.75"
"JAK 2 GENE ANALYSIS",81270,Hospital,$370.00
"JET VENTILATION (ADD'L), STATISTICAL",94003,Stat,$0.00
"JODI VAC CONSUMER",,Hospital,$233.50
"JOINT CENTER PRE-OP EVALUATION",,Hospital,$0.00
"JOINT MOBILIZATION-EACH 15MIN",97140,Hospital,$99.50
"JOINT, UNIVERSAL",,Hospital,$0.00
K-WIRE,C1713,Hospital,$63.75
"K-WIRE 1.25X150MM",,Hospital,$365.93
"K-WIRE 2.0X150MM",,Hospital,$34.26
"K-WIRE MAXLOCK 1.6MM",,Hospital,$54.19
"K-WIRE NITINOL BLUNT TIP",,Hospital,$414.38
"K-WIRE,  ACUTRAK .094X9.25MM",,Hospital,$93.50
"K-WIRE,  BAYONET TIP 1.6MM",,Hospital,$108.80
"K-WIRE, .035MM",,Hospital,$85.00
"K-WIRE, .045 X 4""",,Hospital,$110.50
"K-WIRE, .045INX5IN",,Hospital,$80.75
"K-WIRE, .062MM",,Hospital,$74.80
"K-WIRE, .062X3IN",,Hospital,$85.00
"K-WIRE, .062X9MM",,Hospital,$114.75
"K-WIRE, .3X285MM STERILE",,Hospital,$471.67
"K-WIRE, 0.035X3""",,Hospital,$106.25
"K-WIRE, 0.035X4""",,Hospital,$110.50
"K-WIRE, 0.045",,Hospital,$92.23
"K-WIRE, 0.045X6""",,Hospital,$110.50
"K-WIRE, 0.062X7.25MM",,Hospital,$110.50
"K-WIRE, 0.6X70MM",C1713,Hospital,$31.26
"K-WIRE, 0.7-80",,Hospital,$106.25
"K-WIRE, 0.8 X 70MM",C1713,Hospital,$31.26
"K-WIRE, 0.8-120",,Hospital,$106.25
"K-WIRE, 0.9MM MARKED",,Hospital,$106.25
"K-WIRE, 1.0X150MM",C1713,Hospital,$35.88
"K-WIRE, 1.1MM MARKED",,Hospital,$106.25
"K-WIRE, 1.1X120MM",C1713,Hospital,$106.25
"K-WIRE, 1.1X229MM ST6",,Hospital,$30.39
"K-WIRE, 1.25MM",C1713,Hospital,$34.26
"K-WIRE, 1.2X100MM SU",C1769,Hospital,$92.23
"K-WIRE, 1.2X150MM",C1713,Hospital,$35.88
"K-WIRE, 1.4MMX100MM",,Hospital,$68.51
"K-WIRE, 1.6MM",,Hospital,$68.00
"K-WIRE, 1.6MM 100MM LONG",,Hospital,$106.25
"K-WIRE, 1.6MM W/TROCAR POINT",,Hospital,"$1,308.15"
"K-WIRE, 1.6MM X 15CM",,Hospital,$55.25
"K-WIRE, 1.6X150MM",C1713,Hospital,$35.88
"K-WIRE, 1.6X150MM 73203",,Hospital,$132.60
"K-WIRE, 1.6X229MM - 203814",,Hospital,$21.25
"K-WIRE, 1.6X229MM - 203820",,Hospital,$21.25
"K-WIRE, 1.8X310MM",,Hospital,$461.13
"K-WIRE, 17MM STOP",,Hospital,$118.58
"K-WIRE, 2.0MM - 31664",,Hospital,$23.73
"K-WIRE, 2.0MM - 32629",,Hospital,$84.41
"K-WIRE, 2.0MM - 33988",,Hospital,$149.60
"K-WIRE, 2.0X2.0X150MM",C1713,Hospital,$35.88
"K-WIRE, 2.5 X 230MM",,Hospital,$153.00
"K-WIRE, 2.5X200",,Hospital,$344.25
"K-WIRE, 3.2 X 450MM",,Hospital,$536.61
"K-WIRE, 3.2MM THREADED PARTIAL",,Hospital,$357.00
"K-WIRE, 3.5MM",,Hospital,$106.25
"K-WIRE, 4X150MM",C1713,Hospital,$72.43
"K-WIRE, 9X229MM",,Hospital,$30.39
"K-WIRE, ANATOEMIC 2.8MM",,Hospital,$29.75
"K-WIRE, ASNIS MICRO 2MM 0.8X100MM",,Hospital,$84.32
"K-WIRE, BAYONET TIP 1.6X6IN",,Hospital,$108.80
"K-WIRE, BLUNT",,Hospital,$294.14
"K-WIRE, BLUNT TIP NUVASIVE",,Hospital,$170.00
"K-WIRE, BLUNT TROCAR 0.9X150MM",,Hospital,$97.75
"K-WIRE, BLUNT TROCAR 1.4X150MM",,Hospital,$97.75
"K-WIRE, CHARLOTTE 1.6X150MM",C1713,Hospital,$97.75
"K-WIRE, DARCO",,Hospital,$102.00
"K-WIRE, DARCO HEADED SMOOTH TIP 1.2MM",,Hospital,$103.11
"K-WIRE, DARCO HEADED SMOOTH TIP 1.6MM",,Hospital,$103.53
"K-WIRE, DOUBLE TROCAR POINT SINGLE 0.28X6""",,Hospital,$74.80
"K-WIRE, DOUBLE TROCAR POINT SINGLE 0.35X6""",,Hospital,$74.80
"K-WIRE, DRILL TIP 1.1X150MM",C1713,Hospital,$325.34
"K-WIRE, DRILL TIP 2.0MM X 315MM",,Hospital,$266.14
"K-WIRE, DRILL TIP AXSOS 2.0X285MM",C1713,Hospital,$424.24
"K-WIRE, ES2 BLUNT",,Hospital,$294.14
"K-WIRE, ES2 SHARP",,Hospital,$294.14
"K-WIRE, FULLY THREADED 1.6X200MM",,Hospital,$168.64
"K-WIRE, HALF BAY PT 1.6MMX60IN",,Hospital,$108.80
"K-WIRE, HALF BAY PT 1.6MMX6IN",,Hospital,$108.80
"K-WIRE, HALF BAY PT 1.6MMX9IN",,Hospital,$108.80
"K-WIRE, HAND FUSION 0.035 x 4",,Hospital,$110.50
"K-WIRE, JONES 2.0X228MM",C1713,Hospital,$68.00
"K-WIRE, MAXLOCK 1.1MM",,Hospital,$38.25
"K-WIRE, OLIVE 1.2 X 65MM",,Hospital,$484.84
"K-WIRE, OLIVE 1.60MM",,Hospital,$637.50
"K-WIRE, PERI LOC 1.6MM",,Hospital,$142.38
"K-WIRE, PRECEPT BLUNT THREADED",,Hospital,$265.63
"K-WIRE, PRECEPT THREAD SS",,Hospital,$265.63
"K-WIRE, RECON T2 3.2X400MM",,Hospital,$558.62
"K-WIRE, ROUND END .054X 18.0",,Hospital,$329.38
"K-WIRE, SCREW FACET",,Hospital,$556.75
"K-WIRE, SINGLE 1.6X150MM",C1713,Hospital,$148.75
"K-WIRE, SINGLE TROCAR POINT 1.0MM",C1713,Hospital,$91.16
"K-WIRE, SMARTPIN 1.5MMX170MM",,Hospital,$37.95
"K-WIRE, SMOOTH 1.6X22.9MM",,Hospital,$30.39
"K-WIRE, SMOOTH 2.5X100MM",C1713,Hospital,$131.75
"K-WIRE, SPI WCH COATED FIXATION 03X285MM",,Hospital,$563.55
"K-WIRE, STYLE 6 2.0X152MM",,Hospital,$21.25
"K-WIRE, STYLE 7 1.6X229MM",,Hospital,$32.73
"K-WIRE, T2 RECON 3.2X400MM",,Hospital,"$1,086.60"
"K-WIRE, THREADED 1.6 X 229MM",,Hospital,$48.88
"K-WIRE, THREADED 2.5MM",,Hospital,$270.17
"K-WIRE, THREADED 3.2X 22.9MM",,Hospital,$52.42
"K-WIRE, THREADED 9X229MM",,Hospital,$70.90
"K-WIRE, TITANIUM .062X6MM",,Hospital,$276.25
"K-WIRE, TROCAR .062INX5IN",,Hospital,$114.75
"K-WIRE, TROCAR DOUBLE .035X6""",,Hospital,$132.60
"K-WIRE, TROCAR POINT",C1769,Hospital,$34.26
"K-WIRE, TROCAR POINT 1.0MM",C1713,Hospital,$34.26
"K-WIRE, TROCAR POINT 1.8MM",,Hospital,$332.18
"K-WIRE, TROCAR POINT ALPS 6"" 0.045 OD",,Hospital,$74.80
"K-WIRE, TROCAR SINGLE",,Hospital,$161.50
"K-WIRE, TROCAR TIP .045 - 21534",,Hospital,$26.86
"K-WIRE, TROCAR TIP .045 - 5522",,Hospital,$0.90
"K-WIRE, TRUFUSE",,Hospital,$425.00
K-WIRE-1.6X150MM,,Hospital,$365.93
"KANGURUWEB, DW3600",,Hospital,$106.25
"KCL 2MEQ/ML  (10ML VIAL)",J3480,Hospital,$8.00
"KERATOPROSTHESIS, ECKARDT TEMPORARY 7X1.6MM",,Hospital,"$3,268.25"
"KERATOPROSTHESIS, ECKARDT TEMPORARY 7X2.8MM",,Hospital,"$3,268.25"
"KERATOPROSTHESIS, ECKARDT TEMPORARY 8X2.5MM",,Hospital,"$3,268.25"
"KETAMINE INFUSION PROCEDURE",96365,Hospital,$740.00
"KEY HOLDER",,Hospital,$39.00
"KEY, CORRECTION EXPEDIUM VERSE TI",,Hospital,$956.25
"KIDNEY FUNCTION STUDY,NN-IMAGING RADIOISOTOPIC STUDY GLB",78725,Hospital,$475.50
"KIDNEY FUNCTION STUDY,NN-IMAGING RADIOISOTOPIC STUDY PF",78725,Physician,$92.00
"KIDNEY IMAGING MORPHOLOGY GLB",78700,Hospital,$501.50
"KIDNEY IMAGING MORPHOLOGY PF",78700,Physician,$66.00
"KIDNEY IMAGING MORPHOLOGY,TOMOGRAPHIC(SPECT) GLR",78710,Hospital,$716.50
"KIDNEY IMAGING MORPHOLOGY,TOMOGRAPHIC(SPECT) PF",78710,Physician,$126.00
"KIDNEY IMAGING,W VASCULAR FLOW/FUNCTION,SINGLE,W PHARM INTERV GLB",78708,Hospital,$943.50
"KIDNEY IMAGING,W VASCULAR FLOW/FUNCTION,SINGLE,W PHARM INTERV PF",78708,Physician,$370.50
"KIDNEY IMAGING,W VASCULAR FLOW/FUNCTION,SINGLE,WO PHARM INTERV GLB",78707,Hospital,$826.50
"KIDNEY IMAGING,W VASCULAR FLOW/FUNCTION,SINGLE,WO PHARM INTERV PF",78707,Physician,$295.50
"KINEVAC 5MCG IV",J2805,Hospital,$243.00
"KIRBY BAUER",87184,Hospital,$87.50
"KIT CODE, IMPLANT SPINAL COROENT PEEK XL WIDE - IOS",,Hospital,"$18,576.75"
"KIT CODE, IMPLANT SPINAL COROENT PEEK XL-IOS",,Hospital,"$17,131.75"
"KIT CODE, IMPLANT SPINAL COROENT PEEK XLW15 DEG & IOS",,Hospital,"$19,528.75"
"KIT IMPLANT SPEED STAPLE 13X10X10MM",,Hospital,"$3,203.48"
"KIT SHEATH, PRELUDE PRO 4FR 11CM",C1769,Hospital,$175.10
"KIT,  ACCESSORY TUNNELING TOOL",,Hospital,$595.00
"KIT,  BRAT II PLASMA SEQUESTRATION",,Hospital,$363.38
"KIT,  CATH INTRATHECAL PUMP SEG REVISION",,Hospital,"$1,700.00"
"KIT,  MCP DISPOSABLE PACK LINVATEC/HALL",,Hospital,"$1,853.00"
"KIT,  PERIPATCH REPAIR CATH 15CM",,Hospital,$314.20
"KIT,  PUMP CONNECTOR REV SUTURELESS",,Hospital,$637.50
"KIT, 10FR SUCTION - NO LATEX",,Hospital,$0.56
"KIT, 11 GAUGE BONE BIOPSY",,Hospital,"$1,734.00"
"KIT, 13.5F/19CM NEOSTAR OVAL",,Hospital,$871.25
"KIT, 13.5F/23CM NEOSTAR ROUND - 204383",C1750,Hospital,$897.60
"KIT, 18G NEEDLE GUIDE",,Hospital,$49.66
"KIT, 20G NEEDLE GUIDE",,Hospital,$48.45
"KIT, 2MM GOOSE NECK MICROSNARE",,Hospital,"$2,762.50"
"KIT, 400 DANNINGER PADS",,Hospital,$71.32
"KIT, 4FR POLY RAD SINGLE PICC",,Hospital,$229.50
"KIT, 4MM GOOSE NECK MICROSNARE",,Hospital,"$2,762.50"
"KIT, 5FR HYBRID SHEATH",C1750,Hospital,$175.10
"KIT, 65/115 MRI INJECTOR",,Hospital,$66.00
"KIT, 65ML MRI INJECTOR",,Hospital,$57.25
"KIT, 6FR MICRO EZ UNIVERSAL PTFE MICRO SAFETY",C1894,Hospital,$133.45
"KIT, 6FR POLY RAD DUAL PICC",C1894,Hospital,$374.00
"KIT, 7MM GOOSE NECK MICROSNARE",,Hospital,"$2,762.50"
"KIT, ABG LINE DRAW W/NEEDLE",,Hospital,$0.99
"KIT, ACCESS BEVEL TIP END OPEN 10GA STRL",,Hospital,$637.50
"KIT, ACCESS DISP",,Hospital,"$2,550.00"
"KIT, ACCESS PAK BEVELED NEEDLE PEDICLE",,Hospital,$388.88
"KIT, ACCESS PROMETRA PUMP",,Hospital,$229.50
"KIT, ACCESSORIES",,Hospital,$425.00
"KIT, ACCESSORY",,Hospital,"$1,275.00"
"KIT, ACCESSORY - 45124",,Hospital,$637.50
"KIT, ACCESSORY 2.0",,Hospital,$417.69
"KIT, ACCESSORY EEG",,Hospital,"$1,581.00"
"KIT, ACCESSORY EPG HEADER INVISIBLE TRIAL SYSTEM",,Hospital,"$2,103.75"
"KIT, ACCESSORY FIBEROPTIC TEST CABLE",,Hospital,"$1,275.00"
"KIT, ACCESSORY INTERSTIM TORQUE WRENCH 5IN",,Hospital,$233.75
"KIT, ACCESSORY PASSING ELEVATOR",,Hospital,"$1,065.05"
"KIT, ACCESSORY PUMP",,Hospital,$850.00
"KIT, ACCESSORY RETORE",,Hospital,$637.50
"KIT, ACCESSORY SYNCHRO MED PUMP",,Hospital,$361.25
"KIT, ACCESSORY TORQUE WRENCH 4IN",,Hospital,$233.75
"KIT, ACCESSORY TUNNELING TOOL 1X8 EXT",,Hospital,$382.50
"KIT, ACCUFILL ACCUPORT DEL CANNULA",,Hospital,"$12,966.75"
"KIT, ACCUFILL ACCUPORT DEL CANNULA END-DELIVERY",,Hospital,"$12,966.75"
"KIT, ACL ALL INSIDE DISP",,Hospital,"$2,010.25"
"KIT, ACL TRANSTIBIAL W/SAW BLADE",,Hospital,$956.25
"KIT, ACP SERIES 1",,Hospital,$743.75
"KIT, ACROMIOPLASTY ELECTRODE",,Hospital,"$1,298.42"
"KIT, ACTIFUSE MIS 1-2MMX7.5ML",,Hospital,"$9,668.75"
"KIT, ACUTE AC REPAIR",,Hospital,"$4,781.25"
"KIT, ADAPTOR MODEL 6726",,Hospital,$425.00
"KIT, ADULT ANESTHESIA CIRCUIT",,Hospital,$23.96
"KIT, ADULT CADAVER W/LABELS",,Hospital,$19.86
"KIT, ADULT SINGLE USE ELECTRODE",,Hospital,$74.02
"KIT, ALATUS VAGINAL BALLOON PACKING SYSTEM",,Hospital,"$1,950.75"
"KIT, ALLIANCE CATH DELIVERY SYSTEM",C1892,Hospital,"$2,125.00"
"KIT, ALPHA IMPLANT",,Hospital,"$9,775.00"
"KIT, AMS 700 ACCESSARY",,Hospital,"$3,077.17"
"KIT, AMS 800 ACCESSORY",,Hospital,"$4,831.57"
"KIT, ANCHOR LEAD (N300)",L8699,Hospital,$977.50
"KIT, ANGEL BONE MARROW PROCESSING",,Hospital,"$4,165.00"
"KIT, ANGEL BONE MARROW PROCESSING CPRP",,Hospital,"$1,253.75"
"KIT, ANGIO CUSTOM",,Hospital,$178.50
"KIT, ANTIMICROBIAL EXPANSION 12.5CM",,Hospital,$250.75
"KIT, ANTIMICROBIAL EXPANSION 6.5CM",,Hospital,$195.50
"KIT, APEX UNIVERSAL SUTURE",,Hospital,"$1,700.00"
"KIT, APRIMA ACCESS 21G 15CM",C1769,Hospital,$420.92
"KIT, ARTHROSCOPY BASIN",,Hospital,$172.34
"KIT, ARTHROSCOPY BASIN PBDS",,Hospital,$272.89
"KIT, ARTICULATION VIVACIT-E HIGHLY CROSSLINKED POLYETHYLENE SIZE 4",,Hospital,$0.00
"KIT, ASAP CATH ASPIRATION",,Hospital,"$1,253.75"
"KIT, ASPIRA REPAIR",,Hospital,$141.10
"KIT, ASPIRATION IV WITH VARIOUS SIZED CURETTES",,Hospital,$40.38
"KIT, ASPIRATION WITH CANNULA 4MM",,Hospital,$63.75
"KIT, ASPIRATION WITH CANNULA 5MM",,Hospital,$63.75
"KIT, ASPIRATION WITH CANNULA 6MM",,Hospital,$63.75
"KIT, ASPIRATION WITH CANNULA 7MM",,Hospital,$63.75
"KIT, AT1 AUTOTRANSFUSION",,Hospital,$531.25
"KIT, AUTOLOGOUS BLOOD COLLECTION",,Hospital,$178.50
"KIT, AVAMAX BALLOON SYSTEM 13G X 10MM",,Hospital,"$4,675.00"
"KIT, AVAMAX BALLOON SYSTEM 13G X 15MM",,Hospital,"$4,675.00"
"KIT, AVAMAX BALLOON SYSTEM 13G X 20MM",,Hospital,"$4,675.00"
"KIT, AXIOM CRANIAL SHUNT PLACEMENT(DUPE SEE ITEM 49096)",,Hospital,"$2,547.71"
"KIT, BALLOON INOUE 28MM",,Hospital,"$10,625.00"
"KIT, BILATERAL DCP PROCEDURE 2MM",,Hospital,"$2,358.75"
"KIT, BILATERAL DCP PROCEDURE 3MM",,Hospital,"$2,358.75"
"KIT, BILATERAL DCR PROCEDURE 5MM",,Hospital,"$2,987.75"
"KIT, BIO-TENODESIS DISP",,Hospital,$828.75
"KIT, BIOCARTILAGE MIXING/DELIVERY",,Hospital,"$1,041.25"
"KIT, BIOSPY NEEDLE GUIDE",,Hospital,$67.58
"KIT, BIOSUTURE TAK",,Hospital,$616.25
"KIT, BIOSUTURE TAK SMALL JOINT W/NEEDLES 3.0",C1713,Hospital,"$1,253.75"
"KIT, BIOTENODESIS 3X8",,Hospital,$850.00
"KIT, BLADE UNI KNEE OXFORD",,Hospital,"$1,190.00"
"KIT, BLOOD PROCESSING 125ML",,Hospital,$233.75
"KIT, BLOOD PROCESSING 225ML",,Hospital,$233.75
"KIT, BONE ACCESS OSTEOCOOL 8G 090",,Hospital,"$1,381.25"
"KIT, BONE MARROW COLLECTION",,Hospital,"$1,283.16"
"KIT, BONE MARROW MAGELLAN",,Hospital,"$5,100.00"
"KIT, BONE PREP - BIO PREP",,Hospital,$543.47
"KIT, BREAST PUMP - EGNELL BPA FREE",,Hospital,$98.23
"KIT, BRIDGE ACCESSORY WIRE SHEATH SYR STOPCOCK",,Hospital,"$1,126.25"
"KIT, C7 DRAGONFLY CATH INTRAVASCULAR IMAGING",,Hospital,"$3,506.25"
"KIT, CABLE CONNECTOR",,Hospital,"$3,251.25"
"KIT, CANNULA BABI PLUS LARGE",,Hospital,$168.94
"KIT, CANNULA BABI PLUS SMALL",,Hospital,$168.94
"KIT, CANNULA DISP 8MM",,Hospital,$107.41
"KIT, CANNULA PRO-FLOW ADULT 16IN",,Hospital,$12.75
"KIT, CARDIO CUSTOM",,Hospital,$292.83
"KIT, CARPAL TUNNEL",,Hospital,$914.94
"KIT, CASSI 12G PROBE",,Hospital,$765.00
"KIT, CATH ANTIMICROBIAL EXTENSION ON-Q 10"" 25CM",,Hospital,$637.50
"KIT, CATH ELECT 6FR 125CM",,Hospital,$837.76
"KIT, CATH EXTENSION ON-Q 10""",,Hospital,$566.10
"KIT, CATH FEMALE 8FR",,Hospital,$12.54
"KIT, CATH PEDIATRIC 5FR",,Hospital,$12.96
"KIT, CATH RED RUBBER 15 FR",,Hospital,$7.06
"KIT, CATH TUNNELER PROMETRA",,Hospital,$382.50
"KIT, CATH W/OUT FOLEY",,Hospital,$6.97
"KIT, CATHETER INTRASPINAL",,Hospital,"$3,204.50"
"KIT, CATHETER PERITONEAL ASPRIA HOME DRAINAGE",,Hospital,"$2,125.00"
"KIT, CATHETER PLEURAL ASPRIA HOME DRAINAGE",,Hospital,"$2,125.00"
"KIT, CATHETER PLEURAL PLEURX",,Hospital,"$2,252.50"
"KIT, CATHETER PLEURX ACCESS",,Hospital,$106.25
"KIT, CAVITY CREATION DISP.",,Hospital,"$3,916.80"
"KIT, CEMENT DELIVERY",,Hospital,"$2,210.00"
"KIT, CEMENT OPTIVAC DBL MIX 80 GRAM",,Hospital,$442.00
"KIT, CEMENT PREP SMALL DIAMETER",,Hospital,"$1,360.00"
"KIT, CENTRAL VEIN 4F DBL LUMEN",C1751,Hospital,$131.24
"KIT, CENTROSFLO CATH 15FR 31CM",,Hospital,"$1,168.75"
"KIT, CHARGER",,Hospital,"$8,155.75"
"KIT, CHARGING IPG 2.0",,Hospital,"$12,390.45"
"KIT, CHEST TUBE INSERTION ADULT DISP",,Hospital,$335.75
"KIT, CLOSED SUCTION 6FR",,Hospital,$55.54
"KIT, CO2 FLUSH",,Hospital,$221.00
"KIT, COCHLEAR RONDO TWO PROCESSOR PATIENT",L8619,Hospital,"$44,225.50"
"KIT, COCHLEAR SONNET EAS TWO PROCESSOR PATIENT",L8619,Hospital,"$44,225.50"
"KIT, COCHLEAR SONNET TWO PROCESSOR PATIENT",L8619,Hospital,"$44,225.50"
"KIT, COCHLEAR SONNET/OPUS TWO PROCESSOR PATIENT",L8619,Hospital,"$44,225.50"
"KIT, COCHLEAR SONNET/RONDO TWO PROCESSOR PATIENT",L8619,Hospital,"$45,768.25"
"KIT, CONCISE CEMENT SCULPS",,Hospital,$0.00
"KIT, CONFIDENCE SPINAL CEMENT",C1713,Hospital,"$6,375.00"
"KIT, CONTINUOUS COMPRESSION DRILL",,Hospital,"$1,109.08"
"KIT, CONVIENCE",,Hospital,$27.33
"KIT, CPS SYSTEM LEAD DELIVERY",,Hospital,"$2,953.75"
"KIT, CRANIO-LOC OVERSIZED CRANIAL BONE FLAP PACKAGING",,Hospital,$176.46
"KIT, CRANIO-LOC STANDARD CRANIAL BONE FLAP PACKAGING",,Hospital,$168.02
"KIT, CRANIOPLASTIC",,Hospital,"$6,502.50"
"KIT, CRICOTHYROIDOTOMY 4MM",C1769,Hospital,"$1,950.67"
"KIT, CRICOTHYROIDOTOMY MELKER EMERG 6MM",C1769,Hospital,$671.71
"KIT, CSF FLOW SHUNT  SM 4CM",,Hospital,"$6,103.68"
"KIT, CURCU COOL TUBING",,Hospital,$344.25
"KIT, CUSTOM A-LINE CVP/PA",,Hospital,$212.28
"KIT, CUSTOM ANGIO./CATH. LAB.",,Hospital,$114.75
"KIT, CUSTOM CHEMO",,Hospital,$284.96
"KIT, CUSTOM NEURO",,Hospital,$152.36
"KIT, CUSTOM TRANSDUCER - BONDED",,Hospital,$49.60
"KIT, CUSTOM TRANSDUCER NON-BONDED",,Hospital,$49.60
"KIT, CUSTOM TUBING",,Hospital,$37.19
"KIT, CYSTOSCOPY PBDS",,Hospital,$61.75
"KIT, DANNINGER 480 CPM SOFTWARE",,Hospital,$6.35
"KIT, DELIVERY COBRA MARKER",,Hospital,$412.24
"KIT, DELUXE PADDED FINGER SPLINT48 ASSORTED",,Hospital,$284.90
"KIT, DENVER ASCITES PERC ACCESS SHUNT PAK DBL VALVE15.5FR",,Hospital,"$8,364.00"
"KIT, DERMACLOSE RC",,Hospital,"$4,033.25"
"KIT, DISCHARGE PATIENT WITH PLEURX CATHETER 1000ML",C1729,Hospital,"$3,187.50"
"KIT, DISCOVERY ELBOW HUMERAL CONDYLE",,Hospital,"$4,951.25"
"KIT, DISP BIOSUTURE TAK METAL SPEAR",,Hospital,$680.00
"KIT, DISP. TRANSBITAL ACL WITHOUT SAW BLADE",,Hospital,$616.25
"KIT, DISPOSABLE BONE MULCH",C1713,Hospital,"$1,840.25"
"KIT, DISPOSABLE TRANSTIBIAL ACL",,Hospital,$956.25
"KIT, DRAINAGE 1000ML",,Hospital,$242.25
"KIT, DRAINAGE 100ML BULB 16IN",,Hospital,$51.00
"KIT, DRAINAGE PLEURX",,Hospital,$242.25
"KIT, DRESSING REMOVAL STERILE",,Hospital,$7.44
"KIT, DRILL COMPRESSION TEMPLATE",,Hospital,$271.32
"KIT, DUAL PROCESSOR NAIDA CI",L8614,Hospital,$0.00
"KIT, DUAL PROCESSOR- 1 NAIDA CI Q70 & 1 NEPTUNE",L8619,Hospital,"$56,716.25"
"KIT, EDGE 90 PROCEDURE",,Hospital,"$5,338.26"
"KIT, EKOSONIC TREATMENT ZONE 12CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 12CM X 135CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 18CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 24CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 30CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 40CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 40CM X 135CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 50CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 50CM X 135CM",,Hospital,"$11,900.00"
"KIT, EKOSONIC TREATMENT ZONE 6CM",C1751,Hospital,"$11,900.00"
"KIT, ELBOW DISCOVERY CONDYLE W/HEXALOBULAR",,Hospital,"$6,727.75"
"KIT, ELITE COMPRESSION IMPL DRILL 3.0MM DRILL BIT",,Hospital,"$1,218.56"
"KIT, ENDOPATH HERNIA",,Hospital,"$1,188.62"
"KIT, ENDOVENOUS LASER",,Hospital,"$1,508.75"
"KIT, ENROUTE MICRO INTRODUCER 24GX7CM, 5FR",,Hospital,$233.75
"KIT, ENSITE NAVX SURFACE ELECTRODE",,Hospital,"$4,250.00"
"KIT, ENSPIRE SURGICAL DISCECTOMY CURVED",,Hospital,$467.08
"KIT, ENTRY TITANIUM FILTER",,Hospital,$493.00
"KIT, EPIDURAL NEEDLE ACCESSORY",,Hospital,$233.75
"KIT, EPIDUROSCOPY ACCESS",,Hospital,$255.00
"KIT, EVENMORE BASIC 14.5F/24CM",C1750,Hospital,$990.25
"KIT, EVENMORE BASIC 14.5F/28CM",C1750,Hospital,$990.25
"KIT, EVENMORE BASIC STRAIGHT 32CM",C1750,Hospital,$990.25
"KIT, EVLT LASER NEVER TOUCH 65CM",C1888,Hospital,"$1,402.50"
"KIT, EXPANSION 12.5CM",,Hospital,$238.00
"KIT, EXPANSION 6.5CM",,Hospital,$182.75
"KIT, EXTENSION",,Hospital,"$2,805.00"
"KIT, EXTENSION 1X8X40CM",C1883,Hospital,"$2,805.00"
"KIT, EXTENSION 20CM",C1883,Hospital,"$2,805.00"
