BRONSON HEALTHCARE GROUP,,,
PHARMACY CHARGEMASTER,,,
"AS OF JANUARY 1, 2019",,,
,,,
Medication,11 Digit NDC Code,Charge Per 1 Unit,
BENZONATATE 100 MG CAPSULE,00904656461, 2.88 ,BBC
BENZONATATE 100 MG CAPSULE,60687034601, 3.92 ,BBC
BENZONATATE 100 MG CAPSULE,60687034611, 3.93 ,BBC
BENZTROPINE 1 MG TABLET,76385010401, 1.90 ,BBC
BENZTROPINE 1 MG TABLET,68084038811, 2.41 ,BBC
BENZTROPINE 1 MG TABLET,00904654061, 2.91 ,BBC
BENZTROPINE 1 MG TABLET,68084038801, 2.41 ,BBC
BENZTROPINE 1 MG TABLET,76385010410, 1.65 ,BBC
BENZTROPINE 1 MG TABLET,60687036801, 3.24 ,BBC
BENZTROPINE 1 MG TABLET,60687036811, 3.24 ,BBC
BENZTROPINE 1 MG TABLET,00603243821, 3.53 ,BBC
BENZTROPINE 2 MG/2 ML INJECTION SOLUTION,00143972901, 95.45 ,BBC
BENZTROPINE 2 MG/2 ML INJECTION SOLUTION,00143972905, 95.45 ,BBC
BENZTROPINE 2 MG/2 ML INJECTION SOLUTION,17478001202, 73.43 ,BBC
BENZTROPINE 2 MG/2 ML INJECTION SOLUTION,63323097002, 62.42 ,BBC
BETAMETHASONE ACETATE AND SODIUM PHOS 6 MG/ML SUSPENSION FOR INJECTION,00085432001, 31.09 ,BBC
BETAMETHASONE ACETATE AND SODIUM PHOS 6 MG/ML SUSPENSION FOR INJECTION,00517072001, 28.26 ,BBC
BETAMETHASONE VALERATE 0.1 % TOPICAL CREAM,00168004015, 2.91 ,BBC
"BETAXOLOL 0.25 % EYE DROPS,SUSPENSION",00065024610, 101.15 ,BBC
BETAXOLOL 0.5 % EYE DROPS,61314024501, 33.38 ,BBC
BETHANECHOL CHLORIDE 10 MG TABLET,00832051189, 3.19 ,BBC
BETHANECHOL CHLORIDE 10 MG TABLET,00832051101, 3.18 ,BBC
BETHANECHOL CHLORIDE 25 MG TABLET,50111032501, 4.09 ,BBC
BETHANECHOL CHLORIDE 25 MG TABLET,00832051201, 2.94 ,BBC
BETHANECHOL CHLORIDE 25 MG TABLET,00904617861, 3.86 ,BBC
BICALUTAMIDE 50 MG TABLET,16729002310, 3.35 ,BBC
BICALUTAMIDE 50 MG TABLET,47335048583, 4.42 ,BBC
BISACODYL 10 MG RECTAL SUPPOSITORY,00713010912, 4.02 ,BBC
BISACODYL 10 MG RECTAL SUPPOSITORY,00713010906, 1.37 ,BBC
BISACODYL 10 MG RECTAL SUPPOSITORY,00713010901, 1.36 ,BBC
BISACODYL 10 MG RECTAL SUPPOSITORY,00713010908, 4.02 ,BBC
BISACODYL 10 MG RECTAL SUPPOSITORY,00536135501, 1.95 ,BBC
BISACODYL 10 MG RECTAL SUPPOSITORY,81421002105, 4.14 ,BBC
"BISACODYL 5 MG TABLET,DELAYED RELEASE",00904640761, 0.54 ,BBC
"BISACODYL 5 MG TABLET,DELAYED RELEASE",00536338101, 0.26 ,BBC
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION,09900000728, 0.10 ,BBC
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION,37000003201, 0.11 ,BBC
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION,00536181059, 0.04 ,BBC
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION,00904131309, 0.12 ,BBC
BISOPROLOL FUMARATE 10 MG TABLET,29300012701, 2.42 ,BBC
BISOPROLOL FUMARATE 5 MG TABLET,29300012601, 3.95 ,BBC
BISOPROLOL FUMARATE 5 MG TABLET,68084048721, 4.39 ,BBC
BISOPROLOL FUMARATE 5 MG TABLET,68084048711, 4.39 ,BBC
BREXPIPRAZOLE 1 MG TABLET,59148003713, 127.98 ,BBC
BREXPIPRAZOLE 3 MG TABLET,59148003913, 127.98 ,BBC
BREXPIPRAZOLE 4 MG TABLET,59148004013, 127.98 ,BBC
BRIMONIDINE 0.15 % EYE DROPS,00023917705, 111.66 ,BBC
BRIMONIDINE 0.15 % EYE DROPS,61314014405, 71.27 ,BBC
BROMOCRIPTINE 2.5 MG TABLET,60687028611, 14.28 ,BBC
BROMOCRIPTINE 2.5 MG TABLET,00574010603, 9.82 ,BBC
BROMOCRIPTINE 2.5 MG TABLET,00378204201, 15.27 ,BBC
BROMOCRIPTINE 2.5 MG TABLET,60687028621, 14.27 ,BBC
BROMPHENIRAMINE-PSEUDOEPHEDRINE 1 MG-15 MG/5 ML ORAL LIQUID,54838012540, 0.40 ,BBC
BROMPHENIRAMINE-PSEUDOEPHEDRINE 1 MG-15 MG/5 ML ORAL LIQUID,00485020616, 1.08 ,BBC
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION,00186198804, 15.07 ,BBC
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION,00093681545, 3.78 ,BBC
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION,00186198904, 17.74 ,BBC
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION,00781751687, 5.09 ,BBC
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION,00781751614, 5.09 ,BBC
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION,00093681645, 3.78 ,BBC
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION,00093681673, 3.78 ,BBC
"BUDESONIDE DR - ER 3 MG CAPSULE,DELAYED,EXTENDED RELEASE",00186070210, 79.71 ,BBC
"BUDESONIDE DR - ER 3 MG CAPSULE,DELAYED,EXTENDED RELEASE",49884050101, 48.35 ,BBC
"BUDESONIDE DR - ER 3 MG CAPSULE,DELAYED,EXTENDED RELEASE",65162077810, 9.35 ,BBC
BUDESONIDE-FORMOTEROL HFA 160 MCG-4.5 MCG/ACTUATION AEROSOL COMMON CANISTER INHALER,00186037028, 16.10 ,BBC
BUDESONIDE-FORMOTEROL HFA 160 MCG-4.5 MCG/ACTUATION AEROSOL INHALER,00186037028, 16.10 ,BBC
BUDESONIDE-FORMOTEROL HFA 80 MCG-4.5 MCG/ACTUATION AEROSOL COMMON CANISTER INHALER,00186037228, 28.03 ,BBC
BUDESONIDE-FORMOTEROL HFA 80 MCG-4.5 MCG/ACTUATION AEROSOL INHALER,00186037228, 28.03 ,BBC
BUFFERED LIDOCAINE 1% 11.5ML VIAL CUSTOM,99000000032, 1.37 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00409141210, 2.15 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00409141249, 3.48 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00409141250, 2.44 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00409141204, 6.85 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00641600710, 2.52 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00641600701, 2.52 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00641616110, 5.83 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00641616101, 5.83 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00641600810, 5.83 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00641600801, 5.83 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00641616210, 2.52 ,BBC
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,00641616201, 2.52 ,BBC
BUMETANIDE 1 MG TABLET,00185012905, 3.92 ,BBC
BUMETANIDE 1 MG TABLET,00185012901, 3.92 ,BBC
BUMETANIDE 1 MG TABLET,00093423310, 3.06 ,BBC
BUMETANIDE 1 MG TABLET,69238149001, 3.47 ,BBC
BUMETANIDE 2 MG TABLET,00093423410, 4.82 ,BBC
BUMETANIDE 2 MG TABLET,00185013001, 7.27 ,BBC
"BUPIVACAINE (PF) 0.1 % (1,000 MCG/ML) IN 0.9% SODIUM CHLORIDE EPIDURAL",61553019548, 11.52 ,BBC
"BUPIVACAINE (PF) 0.1 % (1,000 MCG/ML) IN 0.9% SODIUM CHLORIDE EPIDURAL",71019001510, 8.78 ,BBC
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION,00409115902, 0.59 ,BBC
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION,00409115910, 0.59 ,BBC
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION,00409115909, 0.59 ,BBC
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION,63323046417, 2.18 ,BBC
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION,00409116202, 0.57 ,BBC
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION,00409116210, 0.57 ,BBC
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION,00409116209, 0.57 ,BBC
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION,63323046637, 0.87 ,BBC
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION,55150017030, 0.88 ,BBC
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION,55150016910, 2.70 ,BBC
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION,00409361301, 11.16 ,BBC
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION,00409176119, 9.39 ,BBC
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION,00409176102, 9.39 ,BBC
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJECTION SOLUTION,00409116501, 2.41 ,BBC
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJECTION SOLUTION,00409116518, 2.41 ,BBC
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJECTION SOLUTION,63323047217, 2.44 ,BBC
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJECTION SOLUTION,00409116502, 0.70 ,BBC
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJECTION SOLUTION,00409116519, 0.70 ,BBC
BUPIVACAINE 0.25 % AND METHYLPREDNISOLONE ACETATE 40 MG (INTRA-OP),09900000381, 1.69 ,BBC
BUPIVACAINE 0.25 % AND METHYLPREDNISOLONE ACETATE 80MG (INTRA-OP),09900000380, 4.75 ,BBC
BUPIVACAINE 0.5 % (5 MG/ML) INJECTION SOLUTION,00409116301, 0.31 ,BBC
BUPIVACAINE 0.5 % (5 MG/ML) INJECTION SOLUTION,00409116318, 0.31 ,BBC
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJECTION SOLUTION",00409904217, 0.53 ,BBC
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJECTION SOLUTION",63323046837, 1.07 ,BBC
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJECTION SOLUTION",63323046817, 2.50 ,BBC
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION SOLUTION",00409174929, 0.63 ,BBC
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION SOLUTION",00409904517, 0.88 ,BBC
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION SOLUTION",63323046237, 1.15 ,BBC
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION SOLUTION",63323046217, 2.56 ,BBC
BUPRENORPHINE 2 MG-NALOXONE 0.5 MG SUBLINGUAL FILM,12496120203, 17.42 ,BBC
BUPRENORPHINE 2 MG-NALOXONE 0.5 MG SUBLINGUAL FILM,12496120201, 17.43 ,BBC
BUPRENORPHINE 20 MCG/HOUR WEEKLY TRANSDERMAL PATCH,59011075204, 555.08 ,BBC
BUPRENORPHINE 8 MG-NALOXONE 2 MG SUBLINGUAL FILM,12496120803, 26.41 ,BBC
BUPRENORPHINE 8 MG-NALOXONE 2 MG SUBLINGUAL FILM,12496120801, 26.41 ,BBC
BUPRENORPHINE HCL 0.3 MG/ML INJECTION SOLUTION,12496075705, 63.14 ,BBC
BUPRENORPHINE HCL 0.3 MG/ML INJECTION SOLUTION,12496075701, 63.14 ,BBC
BUPRENORPHINE HCL 0.3 MG/ML INJECTION SOLUTION,42023017905, 46.00 ,BBC
BUPRENORPHINE HCL 0.3 MG/ML INJECTION SOLUTION,42023017901, 46.00 ,BBC
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET,50383092493, 8.97 ,BBC
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET,00054017613, 9.70 ,BBC
BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET,00054017713, 6.18 ,BBC
BUPROPION HCL 100 MG TABLET,51079094401, 6.13 ,BBC
BUPROPION HCL 100 MG TABLET,60505015701, 2.00 ,BBC
BUPROPION HCL 75 MG TABLET,51079094301, 4.11 ,BBC
BUPROPION HCL 75 MG TABLET,51079094320, 4.10 ,BBC
"BUPROPION HCL SR 150 MG TABLET,12 HR SUSTAINED-RELEASE",00904658561, 4.48 ,BBC
"BUPROPION HCL SR 150 MG TABLET,12 HR SUSTAINED-RELEASE",51079039220, 3.18 ,BBC
"BUPROPION HCL SR 150 MG TABLET,12 HR SUSTAINED-RELEASE",51079039201, 3.19 ,BBC
"BUPROPION HCL SR 150 MG TABLET,12 HR SUSTAINED-RELEASE",00185041501, 2.04 ,BBC
"BUPROPION HCL SR 150 MG TABLET,12 HR SUSTAINED-RELEASE",00185041560, 2.91 ,BBC
"BUPROPION HCL XL 150 MG 24 HR TABLET, EXTENDED RELEASE",00115681110, 3.15 ,BBC
"BUPROPION HCL XL 150 MG 24 HR TABLET, EXTENDED RELEASE",60429093330, 2.18 ,BBC
"BUPROPION HCL XL 300 MG 24 HR TABLET, EXTENDED RELEASE",00904657304, 4.04 ,BBC
"BUPROPION HCL XL 300 MG 24 HR TABLET, EXTENDED RELEASE",68180032009, 2.90 ,BBC
"BUPROPION HCL XL 300 MG 24 HR TABLET, EXTENDED RELEASE",68180032006, 2.91 ,BBC
BUSPIRONE 10 MG TABLET,51079098620, 1.20 ,BBC
BUSPIRONE 10 MG TABLET,51079098601, 1.20 ,BBC
BUSPIRONE 30 MG TABLET,68382018314, 2.44 ,BBC
BUSPIRONE 5 MG TABLET,51079098501, 1.51 ,BBC
BUSPIRONE 5 MG TABLET,51079098520, 1.50 ,BBC
BUSPIRONE 5 MG TABLET,68382018001, 1.06 ,BBC
BUSPIRONE 5 MG TABLET,16729020016, 0.73 ,BBC
BUSPIRONE 5 MG TABLET,64380074106, 1.06 ,BBC
BUSPIRONE 5 MG TABLET,16729020001, 0.78 ,BBC
BUSPIRONE 5 MG TABLET,00093005305, 1.13 ,BBC
BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET,00603254421, 7.36 ,BBC
BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET,68084039611, 7.56 ,BBC
BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET,68084039665, 7.55 ,BBC
BUTORPHANOL TARTRATE 10 MG/ML NASAL SPRAY,00054309036, 32.13 ,BBC
BUTORPHANOL TARTRATE 2 MG/ML INJECTION SOLUTION,00409162610, 30.06 ,BBC
BUTORPHANOL TARTRATE 2 MG/ML INJECTION SOLUTION,00409162601, 30.06 ,BBC
BUTORPHANOL TARTRATE 2 MG/ML INJECTION SOLUTION,00409162609, 30.06 ,BBC
CAFFEINE CITRATE 60 MG/3 ML (20 MG/ML) INTRAVENOUS SOLUTION,00641616410, 25.15 ,BBC
CAFFEINE CITRATE 60 MG/3 ML (20 MG/ML) ORAL SOLUTION,09900001009, 12.59 ,BBC
CAFFEINE-SODIUM BENZOATE 250 MG/ML(125 MG/ML CAFFEINE) INJECTION SOLN,00517250210, 31.09 ,BBC
CAFFEINE-SODIUM BENZOATE 250 MG/ML(125 MG/ML CAFFEINE) INJECTION SOLN,00517250201, 31.09 ,BBC
CALAMINE 8 %-ZINC OXIDE 8 % LOTION,00904253321, 0.07 ,BBC
CALAMINE LOTION,00395041396, 0.06 ,BBC
CALCITONIN (SALMON) 200 UNIT/ACTUATION NASAL SPRAY,49884016111, 13.85 ,BBC
CALCITONIN (SALMON) 200 UNIT/ML INJECTION SOLUTION,67457067502," 3,286.64 ",BBC
CALCITRIOL 0.25 MCG CAPSULE,00054000725, 4.25 ,BBC
CALCITRIOL 0.25 MCG CAPSULE,23155011801, 2.62 ,BBC
CALCITRIOL 0.25 MCG CAPSULE,23155011803, 2.77 ,BBC
CALCITRIOL 0.25 MCG CAPSULE,00054000713, 3.58 ,BBC
CALCITRIOL 0.5 MCG CAPSULE,00093065801, 3.00 ,BBC
CALCITRIOL 0.5 MCG CAPSULE,00093735301, 4.04 ,BBC
CALCITRIOL 0.5 MCG CAPSULE,69452020820, 3.77 ,BBC
CALCIUM ACETATE 667 MG CAPSULE,23155053102, 1.64 ,BBC
CALCIUM ACETATE 667 MG CAPSULE,00054008826, 1.49 ,BBC
CALCIUM ACETATE 667 MG CAPSULE,50268014815, 2.36 ,BBC
CALCIUM ACETATE 667 MG CAPSULE,50268014811, 2.36 ,BBC
"CALCIUM ACETATE-ALUMINUM 952 MG-1,347 MG TOPICAL POWDER IN PACKET",16500002324, 3.06 ,BBC
"CALCIUM ACETATE-ALUMINUM 952 MG-1,347 MG TOPICAL POWDER IN PACKET",57074000178, 3.10 ,BBC
"CALCIUM ACETATE-ALUMINUM 952 MG-1,347 MG TOPICAL POWDER IN PACKET",57074000177, 3.90 ,BBC
CALCIUM CARBONATE 200 MG CALCIUM (500 MG) CHEWABLE TABLET,66553000401, 3.12 ,BBC
CALCIUM CARBONATE 200 MG CALCIUM (500 MG) CHEWABLE TABLET,00536100715, 0.88 ,BBC
"CALCIUM CARBONATE 500 MG (1,250 MG)-VITAMIN D3 200 UNIT TABLET",00904546072, 0.69 ,BBC
"CALCIUM CARBONATE 500 MG (1,250 MG)-VITAMIN D3 200 UNIT TABLET",63739029101, 1.60 ,BBC
"CALCIUM CARBONATE 500 MG (1,250 MG)-VITAMIN D3 200 UNIT TABLET",00536781708, 1.45 ,BBC
"CALCIUM CARBONATE 500 MG (1,250 MG)-VITAMIN D3 200 UNIT TABLET",00904546061, 1.44 ,BBC
"CALCIUM CARBONATE 500 MG (1,250 MG)-VITAMIN D3 200 UNIT TABLET",00904546092, 0.88 ,BBC
CALCIUM CHLORIDE 100 MG/ML (10 %) INTRAVENOUS SYRINGE,00409492834, 3.32 ,BBC
CALCIUM CHLORIDE 100 MG/ML (10 %) INTRAVENOUS SYRINGE,76329330401, 3.54 ,BBC
CALCIUM CHLORIDE 100 MG/ML (10 %) IV SYRINGE (CODE),00409492834, 3.32 ,BBC
CALCIUM CHLORIDE 100 MG/ML (10 %) IV SYRINGE (CODE),76329330401, 3.54 ,BBC
CALCIUM GLUCONATE (BULK) POWDER,38779182608, 0.62 ,BBC
CALCIUM GLUCONATE 100 MG/ML (10 %) INTRAVENOUS (TPN COMPONENT),63323031110, 2.32 ,BBC
CALCIUM GLUCONATE 100 MG/ML (10 %) INTRAVENOUS SOLUTION,63323036019, 3.43 ,BBC
CALCIUM GLUCONATE 100 MG/ML (10 %) INTRAVENOUS SOLUTION,63323036001, 3.43 ,BBC
CALCIUM GLUCONATE 100 MG/ML (10 %) INTRAVENOUS SOLUTION,63323031110, 2.32 ,BBC
CALCIUM POLYCARBOPHIL 625 MG TABLET,00536430611, 1.06 ,BBC
CANAGLIFLOZIN 300 MG TABLET,50458014130, 53.57 ,BBC
CAPSAICIN 0.025 % TOPICAL CREAM,00536252525, 0.25 ,BBC
CAPSAICIN 0.075 % TOPICAL CREAM,00603064988, 0.28 ,BBC
CAPSAICIN 0.075 % TOPICAL CREAM,00536111825, 0.45 ,BBC
CAPTOPRIL 12.5 MG TABLET,51079086301, 6.11 ,BBC
CAPTOPRIL 12.5 MG TABLET,51079086320, 6.11 ,BBC
CAPTOPRIL 25 MG TABLET,51079086401, 6.53 ,BBC
CAPTOPRIL 25 MG TABLET,00143117201, 4.66 ,BBC
CAPTOPRIL 25 MG TABLET,51079086420, 6.52 ,BBC
CAPTOPRIL 25 MG-HYDROCHLOROTHIAZIDE 15 MG TABLET,00378008101, 3.94 ,BBC
CARBAMAZEPINE 100 MG CHEWABLE TABLET,00904385461, 2.88 ,BBC
CARBAMAZEPINE 100 MG CHEWABLE TABLET,51079087001, 4.56 ,BBC
CARBAMAZEPINE 100 MG CHEWABLE TABLET,51079087020, 4.55 ,BBC
CARBAMAZEPINE 100 MG/5 ML (5 ML) ORAL SUSPENSION,68094030159, 2.42 ,BBC
CARBAMAZEPINE 100 MG/5 ML (5 ML) ORAL SUSPENSION,68094030162, 2.67 ,BBC
CARBAMAZEPINE 100 MG/5 ML ORAL SUSPENSION,51672404709, 2.75 ,BBC
CARBAMAZEPINE 100 MG/5 ML ORAL SUSPENSION,60432012916, 2.91 ,BBC
CARBAMAZEPINE 100 MG/5 ML ORAL SUSPENSION,00078050883, 3.04 ,BBC
CARBAMAZEPINE 200 MG TABLET,51672400501, 4.07 ,BBC
CARBAMAZEPINE 200 MG TABLET,51079038520, 2.52 ,BBC
CARBAMAZEPINE 200 MG TABLET,51079038501, 2.53 ,BBC
CARBAMAZEPINE 200 MG TABLET,00078050905, 8.27 ,BBC
CARBAMAZEPINE 200 MG TABLET,00904617261, 4.42 ,BBC
"CARBAMAZEPINE ER 100 MG CAPSULE,EXTENDED RELEASE MPHASE12HR",66993040732, 3.55 ,BBC
"CARBAMAZEPINE ER 300 MG CAPSULE,EXTENDED RELEASE MPHASE12HR",66993040932, 3.05 ,BBC
CARBAMIDE PEROXIDE 10 % ORAL RINSE,42037010475, 1.27 ,BBC
CARBAMIDE PEROXIDE 6.5 % EAR DROPS,78112073621, 1.66 ,BBC
CARBIDOPA 10 MG-LEVODOPA 100 MG TABLET,63739004610, 4.25 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG DISINTEGRATING TABLET,00378505201, 2.97 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,63739004710, 4.18 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,51079088401, 2.21 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,51079088420, 2.20 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,00228253910, 2.19 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,00904623761, 3.31 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,51862007901, 2.64 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,68084009301, 3.50 ,BBC
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,68084009311, 3.50 ,BBC
CARBIDOPA 25 MG-LEVODOPA 250 MG TABLET,00904623861, 1.92 ,BBC
"CARBIDOPA ER 50 MG-LEVODOPA 200 MG TABLET,EXTENDED RELEASE",00378009401, 2.41 ,BBC
"CARBIDOPA ER 50 MG-LEVODOPA 200 MG TABLET,EXTENDED RELEASE",68084028211, 2.54 ,BBC
"CARBIDOPA ER 50 MG-LEVODOPA 200 MG TABLET,EXTENDED RELEASE",68084028201, 2.54 ,BBC
CARBOPLATIN 10 MG/ML INTRAVENOUS SOLUTION,71288010045, 6.33 ,BBC
CARBOPROST TROMETHAMINE 250 MCG/ML INTRAMUSCULAR SOLUTION,00009085608," 1,060.73 ",BBC
CARIPRAZINE 3 MG CAPSULE,61874013020, 138.45 ,BBC
CARIPRAZINE 3 MG CAPSULE,61874013011, 138.46 ,BBC
CARIPRAZINE 3 MG CAPSULE,61874013030, 138.45 ,BBC
CARIPRAZINE 4.5 MG CAPSULE,61874014530, 138.45 ,BBC
CARVEDILOL 12.5 MG TABLET,00904630261, 1.62 ,BBC
CARVEDILOL 12.5 MG TABLET,51079093120, 1.97 ,BBC
CARVEDILOL 3.125 MG TABLET,43547025410, 2.21 ,BBC
CARVEDILOL 3.125 MG TABLET,68462016201, 1.29 ,BBC
CARVEDILOL 3.125 MG TABLET,00904630061, 1.76 ,BBC
CARVEDILOL 6.25 MG TABLET,43547025510, 2.21 ,BBC
CARVEDILOL 6.25 MG TABLET,43547025550, 1.97 ,BBC
CARVEDILOL 6.25 MG TABLET,00904630161, 1.55 ,BBC
CASPOFUNGIN 50 MG INTRAVENOUS SOLUTION,00006382210," 1,010.76 ",BBC
CASPOFUNGIN 70 MG INTRAVENOUS SOLUTION,00006382310," 1,050.18 ",BBC
CEFAZOLIN 1 GRAM INTRAVENOUS SOLUTION,00409258501, 15.92 ,BBC
CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,60505074905, 19.41 ,BBC
CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,60505614205, 15.24 ,BBC
CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,60505614200, 15.24 ,BBC
CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,60505609305, 11.81 ,BBC
CEFAZOLIN 10 GRAM SOLUTION FOR INJECTION,60505609400, 31.11 ,BBC
CEFAZOLIN 10 GRAM SOLUTION FOR INJECTION,00143998391, 20.69 ,BBC
CEFAZOLIN 10 GRAM SOLUTION FOR INJECTION,00143998303, 20.69 ,BBC
CEFAZOLIN 100 GRAM SOLUTION FOR INJECTION,66288110001, 11.60 ,BBC
CEFAZOLIN 100 MG/ML GRADED CHALLENGE SYRINGE,09900001007, 6.15 ,BBC
CEFAZOLIN 100 MG/ML GRADED CHALLENGE SYRINGE,09900001006, 0.65 ,BBC
CEFAZOLIN 3 GM IVPB (IV PREMIX),09900000562, 1.28 ,BBC
CEFAZOLIN 50 MG/0.5 ML IN NS FOR DISCOGRAM,09900000388, 7.81 ,BBC
CEFAZOLIN IV SYRINGE 1 G PMX,9900000192, 3.00 ,BBC
CEFAZOLIN IV SYRINGE 1 G PMX,71019002502, 2.38 ,BBC
CEFAZOLIN IV SYRINGE 1 G PMX,09900001059, 2.14 ,BBC
CEFDINIR 125 MG/5 ML ORAL SUSPENSION,68180072220, 3.24 ,BBC
CEFDINIR 300 MG CAPSULE,00781217660, 3.74 ,BBC
CEFDINIR 300 MG CAPSULE,68180071160, 6.36 ,BBC
CEFDINIR 300 MG CAPSULE,65862017760, 3.65 ,BBC
CEFEPIME 1 GRAM CUSTOM SOLUTION FOR DESENSITIZATION,09900000952, 2.96 ,BBC
CEFEPIME 1 GRAM SOLUTION FOR INJECTION,60505083401, 24.12 ,BBC
CEFEPIME 1 GRAM SOLUTION FOR INJECTION,25021012120, 18.18 ,BBC
CEFEPIME 1 GRAM SOLUTION FOR INJECTION,60505614600, 17.10 ,BBC
CEFEPIME 1 GRAM SOLUTION FOR INJECTION,60505614604, 17.10 ,BBC
CEFEPIME 2 GRAM INTRAVENOUS SOLUTION,00409021801, 34.55 ,BBC
CEFEPIME 2 GRAM INTRAVENOUS SOLUTION,00409021811, 34.55 ,BBC
CEFEPIME 2 GRAM SOLUTION FOR INJECTION,63323034021, 41.17 ,BBC
CEFEPIME 2 GRAM SOLUTION FOR INJECTION,63323034020, 41.17 ,BBC
CEFEPIME 2 GRAM SOLUTION FOR INJECTION,44567024110, 40.79 ,BBC
CEFEPIME 2 GRAM SOLUTION FOR INJECTION,25021012250, 32.61 ,BBC
