Technical Description,Charge
MEMORY-G9170-CJ-20-39%IMPAIR,1.00
MEMORY-G9170-CK-40-59%IMPAIR,1.00
MEMORY-G9170-CL-60-79%IMPAIR,1.00
MEMORY-G9170-CM-80-99%IMPAIR,1.00
MEMORY-G9170-CN-100%IMPAIR,1.00
MENINGOCOCCAL CONJ VACCINE,391.22
MENINGOCOCCAL GRP B (BEXSERO),486.37
MENINGOCOCCAL GRP B (TRUMENBA),269.07
MENISCUS LAT LT,4839.00
MENISCUS LAT W/O BONE BLOCK,4839.00
MENT 350-1480,1320.00
MENTHOL-ZINC OXIDE TOPICAL,0.98
MENTHOL-ZINC OXIDE TOPICAL 113,11.86
MEPERIDINE 25MG/ML HCI INJ,3.25
MEPROBAMATE,35.00
MEP-UPPER & LOWER,2171.00
MERCAPTOPURINE 20MG ORAL SUSP,10.58
MERCAPTOPURINE 25MG TAB,6.02
MERCAPTOPURINE 50MG TABLET,17.10
MERCI  14X,900.00
MERCI 18L,900.00
MERCI CATHETER,1300.00
MERCI DISTAL ACCESS DEVICE,1190.00
MERCI L5,5700.00
MERCI RETRIEVER V 2.0 FIRM,5950.00
MERCI RETRIEVER V 2.5 FIRM,5950.00
MERCI RETRIEVER V 2.5 SOFT,5950.00
MERCI RETRIEVER V 3.0 FIRM,5950.00
MERCI X6,5700.00
"MERCURY,BLOOD",12.00
"MERCURY,URINE",12.00
MERIDONAL SCLER 2.5 HD 11X15,7462.00
MEROPENEM 1G/50ML FOIL PACK,70.02
MEROPENEM 500MG INJ,36.00
MEROPENEM 500MG/0.9% NACL 50ML,54.35
MEROPENEM INJ 100MG,63.18
MEROPENEM INJ 100MG,0.60
MESA 2 POLY 6.5 X 35MM,1700.00
MESA 2 POLY 6.5 X 40MM,785.00
MESA 2 POLY 6.5 X 45MM,785.00
MESA 2 POLY 7.5 X 45MM,785.00
MESA 2 POLY 8.5 X 35MM,785.00
MESA 2 POLY 8.5 X 40MM,785.00
MESA 2 POLY 8.5X45MM,785.00
MESALAMINE 0.375G CAP,11.28
MESALAMINE 1000MG SUSP,107.62
MESALAMINE 400MG CAP,7.68
MESALAMINE 800MG TAB,22.54
MESALAMINE CR 250MG,8.07
MESALAMINE RECTAL ENEMA,37.09
MESENTERIC VEIN DUPLEX,2031.00
MESH 12X30MM,3394.00
MESH 14MM ROUND 8MM,2765.00
MESH 24X4CM,1800.00
MESH 50MM,11233.00
MESH 90MM,12273.00
MESH ACELLULAR COLLAGEN MATRIX,1700.00
MESH ANGLD SURG 8X12CM CSTM,6146.00
MESH BARD 10X14,206.00
MESH CRAN .8MM TI MDFC 6X2 H,1208.00
MESH CUSTOM 16 X 20,6146.00
MESH DYNAMIC 120 X 120 X .6MM,2577.00
MESH DYNAMIC 120X120X3,3223.00
MESH DYNAMIC 120X120X6,4150.00
MESH DYNAMIC 40 X 40SCR HOLE 1,1603.00
MESH DYNAMIC GOLD 200X200X0.6,11849.00
MESH DYNAMIC MLBL 40 X 40 X .3,1603.00
MESH DYNMC 50X20X.1MM,934.00
MESH GOLD SURGISIS 20 X 20,3160.00
MESH HERNIA  20 X 15CM,1870.00
MESH HERNIA 12CM,1133.00
MESH HERNIA 15 X 10CM,1540.00
MESH HERNIA 15 X 10CM,1540.00
MESH HERNIA 20 X 15CM,1870.00
MESH HERNIA 25 X 20CM,2528.00
MESH HERNIA 30 X 20CM,3890.00
MESH HERNIA 37 X 28CM,4506.00
MESH HRN 13X10IN VNTRL ELIP,3040.00
MESH HRN 15X10CM SURGIMEND,7200.00
MESH HRN 9X7IN VNTRL ELIP LTWT,1990.00
MESH HRN PP 20X16IN PERM GRID,15360.00
MESH HRN PP 20X20IN PERM GRID,19200.00
MESH HRN PP 20X20IN PERM GRID,14400.00
MESH INTE PROY,1400.00
MESH ORBIT 1.3MM 0.2MM THCK,1340.00
"MESH PARI ANAT 6""X4""",341.00
MESH PARIETEX 16X12CM LEFT,328.00
MESH PARIETEX 16X12CM RIGHT,336.00
MESH PELVISOFT COLLAGEN 6X8CM,1750.00
MESH PERFIX PLUG MED,288.00
MESH PERFIX PLUG MED,288.00
MESH PRO GRIP LEFT,1179.00
MESH PRO GRIP RIGHT,1179.00
MESH PROCEED OVAL 10X15CM,1274.00
MESH PROCEED OVAL 10X15CM,1274.00
MESH PROCEED OVAL 15X20CM,2284.00
MESH PROCEED OVAL 15X20CM,2284.00
MESH PROCEED OVAL 20X25CM,4066.00
MESH PROCEED OVAL 20X25CM,4066.00
"MESH RIGID 6""X6""",254.00
MESH SOFRADIM 4X7 ROUND,1037.00
MESH SOFRADIM TYCO 6X4,210.00
MESH SOFRADIM TYCO 6X4,210.00
MESH SURG 100X100MM HRN 20X20,3538.00
MESH SURG 12X16CM CSTM,6146.00
MESH SURG 4.7X3.1IN HRN OVL,991.00
MESH SURG 5.5X4.3IN HRN EPTFE,1463.00
MESH SURG 8X6.8IN VNTRL HRN,1400.00
MESH SURG BARD 6X3IN SFT LG,80.00
MESH SURG BARD 6X3IN SFT LG,80.00
MESH SURG BARD MRLX 4X1.8IN,92.00
MESH SURG BARD MRLX 4X1.8IN,92.00
MESH SURG BARD MRLX 5.4X2.4IN,159.00
MESH SURG BARD MRLX 5.4X2.4IN,106.00
MESH SURG BIO-A 30X20CM TISS,7906.00
MESH SURG PARIETEX 6X4IN LT,378.00
MESH SURG PARIETEX 6X4IN LT,393.00
MESH SURG PARIETEX 6X4IN RT,341.00
MESH SURG PARIETX 12CM HRN,1133.00
MESH SURG PHASIX 10X8IN,13000.00
MESH SURG PHASIX 12X10IN,19520.00
MESH SURG PHASIX 3IN,1970.00
MESH SURG PHASIX 6X4IN,3900.00
MESH SURG PHASIX 8X6IN,7780.00
MESH SURG PHASIX SEPRA 6X4IN,5000.00
MESH SURG PHYSIOMESH 15X10CM,2470.00
MESH SURG PRFX 1.9X1.6IN HRN,316.00
MESH SURG PRFX 1.9X1.6IN HRN,316.00
MESH SURG PRLN 3 15/16INX1.75,295.00
MESH SURG PRLN 3 15/16INX1.75,295.00
MESH SURG PRLN 3 15/16INX1.75,295.00
MESH SURG PRLN 3 15/16INX1.75,295.00
MESH SURG SONICWELD RX RESORB,4927.00
MESH SURG STRATTICE 30X20CM,30712.00
MESH SURG STRATTICE 40X25CM,51188.00
MESH SURG SYMBOTEX 15X10CM 3.3,906.00
MESH SURG SYMBOTEX 15X20CM 3.3,2319.00
MESH SURG SYMBOTEX 20X15CM 3.3,1454.00
MESH SURG SYMBOTEX 3.3X2.3MM,1304.00
MESH SURG SYMBOTEX 3.3X2.3MM,1305.00
MESH SURG SYMBOTEX 3.3X2.3MM 9,727.00
MESH SURG SYMBOTEX 30X20CM 3.3,3171.00
MESH SURG SYMBOTEX 37X28CM 3.3,3765.00
MESH SURG SYMBOTEX COMP 12CM,997.00
MESH SURG SYMBOTEX COMP 12CM,997.00
MESH SURG ULTRAPRO 12X12IN HRN,334.00
MESH SURG ULTRAPRO 6X3IN HRN,384.00
MESH SURG VENTRALIGHT ST 10X8,2480.00
MESH SURG VENTRALIGHT ST 4.5IN,1290.00
MESH SURG VENTRALIGHT ST 6X4IN,710.00
MESH SURG VENTRIO 7X5.4IN HRN,1910.00
MESH SURG VENTRIO ST 4.7X3.1IN,1043.00
MESH SURG VENTRIO ST 4.7X3.1IN,1043.00
MESH SURG VENTRIO ST 5.5X4.3IN,1541.00
MESH SURG VENTRIO ST 7X5.4IN,1950.00
MESH SURG VERSATEX 45X30CM 3D,690.00
MESH SURG VERSATEX 45X30CM 3D,690.00
MESH SURG VNTRLX ST 1.7IN,750.00
MESH SURG VNTRLX ST 1.7IN,750.00
MESH SURG VNTRLX ST 2.5IN,898.00
MESH SURG VNTRLX ST 2.5IN,898.00
MESH SURG VNTRLX ST 3.2IN,1152.00
MESH SURG VNTRLX ST 3.2IN,1152.00
MESH SURG Y,2160.00
MESH SURGICAL PHYSIOMESH L20,2470.00
MESH SURGICAL STOMA 6X6CM,1972.00
MESH SURH PHYSIOMESH 7.5X15CM,2470.00
MESH TI CNTR MALLEA 100X100MM,4620.00
MESH TRELEX  3 X 6,74.00
MESH TRELEX  3 X 6,74.00
MESH TRNVG UPHOLD LT CP SLIM,4640.00
MESH VICRYL VKML,2685.00
MESH VICRYL VKML,2685.00
"MESH, RESTORELLE 11X10CM MESH",1600.00
MESHER DERMCARRIERS,48.00
MESNA 100MG/ML INJ,4.90
MESNA 100MG/ML INJ,5.71
METABOL.BONE SURV.,509.00
METABOLIC BONE SURVEY LIMITED,509.00
METABOLIC PANEL IONIZED CA,293.00
METAL ON POLY,9225.00
METAL ON POLY,9225.00
METAL SHELL 50MM SZ HH,5713.00
METAL SHELL 62MM,3000.00
"METANEPHRINES, PLASMA FREE",63.00
"METANEPHRINES,FRACT,URINE",24.00
METASTATIC BONE SURVEY,743.00
METFORMIN 500MG TABLET,1.40
METFORMIN 850MG TABLET,3.28
METFORMIN XR TAB 500MG,1.41
METHACHO CHAL,988.00
METHACHOLINE 100MG INHAL,190.80
METHADONE,49.00
METHADONE 10MG TABLET,0.74
METHADONE 10MG/ML,69.99
METHADONE 5MG/5ML SOLN,0.16
METHADONE CONFIRM,42.00
METHANOL,27.00
METHEMOGLOBIN,118.00
METHIMAZOLE 5MG TABLET,0.99
METHOCARBAMOL 500MG TABLET,1.05
METHOCARBAMOL 750MG TAB,7.29
METHOCARBAMOL INJ 100MG/ML,184.99
METHOHEXITAL INJ 500MG,182.32
METHOTREXATE,186.00
METHOTREXATE 2.5MG TAB,12.06
METHOTREXATE SOD 25MG/ML INJ,1.46
METHSUXIMIDE/NORMETHSUXIMIDE,97.00
METHYL SALICYLATE/MENTHOL OINT,4.29
METHYLDOPA 250MG TABLET,0.74
METHYLENE BLUE 50MG/10ML INJ,609.61
METHYLERGONOVIN INJ 0.2MG,32.26
METHYLERGONOVINE 0.2MG TABLET,130.36
"METHYLMALONIC ACID,SERUM QUANT",39.00
METHYLNALTREXONE 12MG/0.6MLINJ,297.39
METHYLNALTREXONE 8MG/0.4ML INJ,298.06
METHYLPHENIDATE 20MG SA TABLET,13.20
METHYLPHENIDATE 5MG TABLET,1.31
METHYLPHENIDATE ER 18MG,15.45
METHYLPHENIDATE ER 27MG,11.28
METHYLPHENIDATE ER 36MG,11.04
METHYLPHENIDATE ER 54MG,15.43
METHYLPREDISOLONE 0.8MG/ML SYR,1.18
METHYLPREDNISOLONE 4MG TAB,3.88
METHYLPREDNISOLONE INJ 125MG,25.55
METHYLPREDNISOLONE INJ 1G,102.30
METHYLPREDNISOLONE INJ 40MG,16.24
METHYLPREDNISOLONE INJ 500MG,55.51
METHYLPRESNISONE 80MG/ML,43.25
"METHYMALONIC ACID QUANT, URINE",39.00
METOCLOPRAMIDE 10MG TABLET,2.36
METOCLOPRAMIDE 1MG/ML SYRUP,0.09
METOCLOPRAMIDE 5MG/5ML SYRUP,1.80
METOCLOPRAMIDE HCI INJ 10MG,3.31
METOLAZONE 10MG TABLET,8.74
METOLAZONE 1MG/ML SUSP,0.97
METOLAZONE 2.5MG TABLET,9.70
METOLAZONE 5MG TAB,10.35
METOPROLOL 25MG,0.89
METOPROLOL 50MG TABLET,1.79
METOPROLOL INJ 5MG/5ML INJ,3.62
METOPROLOL XL 100 MG TAB,4.94
METOPROLOL XL 50 MG TAB,2.88
METOPROLOL XL TAB 25 MG,2.87
METRONIDAZOLE 250MG TABLET,1.58
METRONIDAZOLE 500MG TAB,1.84
METRONIDAZOLE 500MG/100ML IVPB,6.61
METRONIDAZOLE 50MG/ML SUSP,1.37
METRONIDAZOLE 5MG/ML SYRINGE,0.05
METRONIDAZOLE TOP 0.75% GEL,440.13
MEXILETINE,31.00
MEXILETINE 150MG CAPSULE,7.36
MEXILETINE 200MG CAPSULE,6.00
MEXILETINE 250MG CAPSULE,10.49
MG AG NEG BLD,300.00
MG(GILFEATHER),220.00
MIBG CARDIAC IMAGING,3320.00
MICAFUNGIN 100MG INJ,517.43
MICAFUNGIN 100MG.0.9% NACL 100,579.42
MICAFUNGIN 50MG INJ,336.96
MICAFUNGIN 50MG/100ML IVPB INJ,190.85
MIC-AUTOMATED,82.00
MIC-ETEST SUSCEPT,63.00
MIC-MICROTITER SU,82.00
MICONAZOLE 100MG SUPP,4.39
MICONAZOLE 2% CREAM,14.13
MICONAZOLE VAG CREAM,19.22
MICRA PACEMAKER,21500.00
MICRA TRANS CATH INTRODUCER,1200.00
MICRA TRANSCATH PACING SY,21500.00
MICROALBUMIN-24 HR,120.00
MICROALBUMIN-RAND,120.00
MICROALBUMIN-RANDOM URINE,218.00
MICROARRAY ANALYSIS BAC,3558.00
MICROCATH COAXIAL 130CM 2.8F,1160.00
MICROCATH HEADWAY 021 STR,1420.00
MICROCATH NAVIEN 058 105CM,2390.00
MICROCATH SUPCX .014 190 90DEG,878.00
MICROCATH SUPCX.014 190 120DEG,878.00
MICROCATHETER 1.2F X 12 165CM,1316.00
MICROCATHETER 1.2F X 12 OLIVE,1316.00
MICROCATHETER 1.2F X 12 OLIVE,1316.00
MICROCATHETER 1.2F X 3 165CM,1316.00
MICROCATHETER 1.2F X 3 165CM,1316.00
MICROCATHETER 1.2F X17 OLIVE,1316.00
MICROCATHETER 1.2F X17 OLIVE,1316.00
MICROCATHETER 1.5F X 15 155CM,1194.00
MICROCATHETER 1.5F X 20 165CM,1194.00
MICROCATHETER 1.5F X 20 165CM,1194.00
MICROCATHETER 1.5F X 20 OLIVE,1194.00
MICROCATHETER 1.5F X 20 OLIVE,1194.00
MICROCATHETER 1.8F X 10 155CM,1194.00
MICROCATHETER 1.8F X 20 155CM,1194.00
MICROCATHETER 1.8F X 20 155CM,1194.00
MICROCATHETER 1.8F X 20 OLIVE,1194.00
MICROCATHETER 1.8F X 20 OLIVE,1194.00
MICROCATHETER 1.8FX10 OLIVE,1194.00
MICROCATHETER 1.8FX10 OLIVE,1194.00
MICROCATHETER 2.4F 150 PROGREA,640.00
MICROCATHETER CRBRVASC 135CM,1900.00
MICROCATHETER CRBRVASC 150CM,1512.00
MICROCATHETER CRBRVASC 150CM,1805.00
MICROCATHETER CRBRVASC 150CM,1900.00
MICROCATHETER CRBRVASC 156CM,1300.00
MICROCATHETER CRBRVASC 45D,1236.00
MICROCATHETER CRBRVASC 90D,1236.00
MICROCATHETER FIBER BRAIDED,772.00
MICROCATHETER FIBER BRAIDED,772.00
MICROCATHETER NAVIEN 072 115CM,1790.00
MICROCATHETER NAVIEN 072 115CM,1790.00
MICROCATHETER VELOCITY 160 STR,1860.00
"MICROCLIP ""PHYNOX"" STR 2MM",1342.00
MICRODISSECTION MANUAL ARUP,130.00
MICROGRID GREEN,18.00
MICROMATS #3103-5GY,142.00
MICROP 10 HEL HSOFT 2X1,1824.00
MICROP 10 HEL HSOFT 2X2,1824.00
MICROP 10 HEL HSOFT 2X3,1824.00
MICROP 10 HEL HSOFT 2X4,1824.00
MICROP 10 HEL HSOFT 2X6,1824.00
MICROP 10 HEL HSOFT 3X4,1824.00
MICROP 10 HEL HSOFT 3X6,1824.00
MICROP 10 HEL HSOFT 3X8,1824.00
MICROP 10 HEL HSOFT 4X4,1901.00
MICROP 10 HEL HSOFT 4X6,1901.00
MICROP 10 HEL HSOFT 4X8,1901.00
MICROP 10 HEL HSOFT 5X6,1901.00
MICROP 10 HEL HSOFT 5X8,1901.00
MICROP 10 HEL HSOFT 6X6,1901.00
MICROP 10 HEL HSOFT 6X8,1901.00
MICROP 10 HEL SR-SOFT 2X8,1594.00
MICROP 10 HEL SR-SOFT 3X10,1603.00
MICROP 10 HEL SR-SOFT 4X10,1603.00
MICROP 10 HEL SR-SOFT 5X15,1728.00
MICROP 10 HEL SR-SOFT 6X15,1728.00
MICROP 10 HEL SR-SOFT 7X20,1747.00
MICROP 18 HEL SR-SOFT 2X4,1133.00
MICROP 18 HEL SR-SOFT 2X8,1133.00
MICROPLASTY FEMORAL,10306.00
MICROPLASTY FEMORAL 12.5X110MM,6654.00
MICROPLEX 10  COM 10X26,2180.00
MICROPLEX 10  COM 5X12,2080.00
MICROPLEX 10  COM 9X24,2180.00
MICROPLEX 10 COM  4X10,1980.00
MICROPLEX 10 COM 3X7,1980.00
MICROPLEX 10 COM 7X18,2080.00
MICROPLEX 18 COM 10X26,1980.00
MICROPLEX 18 COM 11X 28,1980.00
MICROPLEX 18 COM 12 X 31,1980.00
MICROPLEX 18 COM 13X32,1980.00
MICROPLEX 18 COM 14X34,1980.00
MICROPLEX 18 COM 16X39,1980.00
MICROPLEX 18 COM 18X44,1980.00
MICROPLEX 18 COM 20X50,1980.00
MICROPLEX 18 COM 4X10,1980.00
MICROPLEX 18 COM 5X12,1980.00
MICROPLEX 18 COM 6X15,1980.00
MICROPLEX 18 COM 7X17,1980.00
MICROPLEX 18 COM 8X 20,1980.00
MICROPLEX 18 COM 9X23,1980.00
MICROPUNCTURE SET,110.00
MICROSPHERE EMBOLIC 100-300,3190.00
MICROSPHERES 500UM,330.00
MICROSPHERES 900UM,330.00
MICROSPORIDIA CONC,7.00
MICROSPORIDIA SMEAR/STAIN,7.00
MICROWIRE APPROACH 18G,288.00
MICROWIRE APPROACH 25G,288.00
MICROWIRE AVIGO,694.00
MICROWIRE AVIGO,694.00
MICROWIRE AVIGO,750.00
MIC-TUBE DILUTION,183.00
MIDAZOLAM 100MG/100ML INJ,69.38
MIDAZOLAM 10MG/5ML SYRUP,16.50
MIDAZOLAM 1MG/ML 10ML,1.49
MIDAZOLAM 1MG/ML 2ML,2.07
MIDAZOLAM 2MG/ML ORAL SYRUP,3.88
MIDAZOLAM 5MG/ML INJ,7.71
MIDAZOLAM 5MG/ML INJ,2.51
MIDAZOLAM HCI INJ 1MG,7.36
MIDAZOLAM INFUSION,8.33
MIDDLE EAR SURGERY PROCEDURE,321.00
MIDOSTAURIN 25MG CAP,242.46
MIFEPRISTONE 200MG TAB,174.25
MIK-KEY LOPRFL GASTOSTOMY 1.2,197.00
MILNACIPRAN 100MG TAB,19.11
MILNACIPRAN 25MG TAB,19.11
MILNACIPRAN 50MG TAB,19.11
MILRINONE INFUSION,14.40
MILRINONE LACTATE INJ 5MG,107.67
MINERAL OIL (LIGHT),15.81
MINERAL OIL (LIGHT),2.49
MINI EN-SNARE SYS 2-4MM 3.23FR,1250.00
MINI EN-SNARE SYS 2-4MM 3.23FR,1300.00
MINI EN-SNARE SYS 4-8MM 175CM,1250.00
MINI EN-SNARE SYS 4-8MM 175CM,1300.00
MINI STICK MAX,44.00
MINISTICK MAX W/SS,160.00
MINOKA MINI,330.00
MINOKA MINI,330.00
MINOXIDIL 10MG TABLET,2.89
MINOXIDIL 2.5MG TABLET,2.08
MIRAGE .008 200CM,750.00
MIRTAZAPINE 15MG TAB,2.69
MIRTAZAPINE 30MG TAB,7.63
MISC BRACHY TX,4428.00
MISC. MOLECULAR PROCESS,488.00
MISOPROSTOL 100MCG TABLET,3.06
MISOPROSTOL 200MCG TAB,2.15
MISOPROSTOL 25MCG TAB,0.59
MISOPROSTOL 50MCG TAB,1.46
MISSED ABORTION 1ST TRI SURG,5443.00
MISSED ABORTION 2ND TRI SURG,5443.00
MITOCHONDRIAL AB,12.00
MITOMYCIN 0.4MG/ML INJ,485.33
MITOMYCIN 20MG INJ,2123.75
MITOXANTRONE 2MG/ML INJ,56.61
"MITRACLIP 1 GUIDE,1-NTR & 1-XT",60000.00
"MITRACLIP 1 GUIDE,1-NTR & 2-XT",60000.00
"MITRACLIP 1 GUIDE,2-NTR & 1X",60000.00
MITRACLIP NT SYS KIT 1SGC&0CDS,60000.00
MITRACLIP NT SYS KIT 1SGC&1CDS,60000.00
MITRACLIP NT SYS KIT 1SGC&2CDS,60000.00
MITRACLIP NT SYS KIT 1SGC&3CDS,60000.00
MITRACLIP SGC0301 & 1 CDS0601,60000.00
MITRACLIP SGC0301 & 1 CDS0601,60000.00
MITRACLIP SGC0301 & 2 CDS0601,60000.00
MITRACLIP SGC0301 & 2 CDS0601,60000.00
MITRACLIP SGC0301 & 3 CDS0601,60000.00
MITRACLIP SGC0301 & 3 CDS0601,60000.00
"MITRACLIP SYSTEM KIT, 2 CLIP",60000.00
"MITRACLIP SYSTEM KIT, 3 CLIP",60000.00
"MITRACLIP SYSTEM KIT, 4 CLIP",60000.00
"MITRACLIP SYSTEM KIT,1 CLIP",60000.00
MIXED VENOUS BLOOD GAS,219.00
MIXTER 5 1/2,53.00
MIXTER W/QUIK REL RATCH RT ANG,651.00
MIXTER W/RATCHET 5MM,651.00
MKX2-3 SNP RS10883365,14.00
ML TAPER 15 STANDARD OFFSET,5400.00
MLH1 MANUAL (ARUP),147.00
MLH1 PROM METHYLATION (ARUP),148.00
MMR VACCINE,169.65
MOBILE DIGITAL BREAST TOMOSYN,77.00
MOBILE MAMMO SCREEN CAD BILATE,832.00
MOBILE POWER UNIT(MPU) 107754,16000.00
MOD CS BY SAME PHYS 5 YRS+,242.00
MOD CS BY SAME PHYS ADD-ON,263.00
MOD CS DIF PHYS EA ADDL 15MINS,263.00
MOD CS DIFF PHYS <5 YRS,263.00
MOD SEDATION 5/>YR INITL 15MIN,351.00
MODAFENIL 100MG TAB,72.08
MODAFENIL 200MG TAB,112.23
MODEL TRN BNDL OTHGN LF VSP,2430.00
MODEL TRN BNDL OTHGN VSP,5800.00
MODULAR HEAD TYPE 1 TAPER,3466.00
MODULAR NECK B 12/14 NECK,3360.00
MODULE CORRECTION X SM,4551.00
MODULE HUMERAL HEAD 40MM,6730.00
MODULE MAC CORRECTION,4740.00
MODULE W/XLIF DISPOSABLES,4836.00
MOHS 1ST STAGE 1-5 TISS BLOCKS,1284.00
MOHS EA ADD ST TAL 1-5T-BLOCKS,1284.00
MOHS EA ADDL STAGE 1-5T-BLOCKS,1284.00
MOHS ST1 TR-ARM-LG 1-5TISS BLK,1284.00
MOL CYTO 10-30,286.00
MOL CYTO 3-5 CELL,277.00
MOL CYTO DNA PROB,286.00
MOLD CMNT 56MM STG1 HIP SIL,2548.00
MOLD FEM HD 52MM STG1 SLCT HIP,2024.00
MOLD FEM KNEE CEMENT 65MM,3934.00
MOLD FEM STM 155MM 15MM STG1,4580.00
MOLD FEM STM 200MM 11MM STG1,3586.00
MOLD STAGE ONE HIP 9X12,5000.00
MOMETASONE INJ 220MCG,215.05
MONARCH ROD TI 6.35X85MM,590.00
MONITOR HET TEMP,2998.00
MONITOR KIT CAMINO MICRO VENT,1131.00
MONITOR-EXTERNAL,824.00
MONITORING KIT CAMINO ICP,988.00
MONITORING TRANSESOPH ECHO,2507.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
MONO,875.00
"MONO,HETEROPHILE AB",134.00
MONOCLONAL AB THERAPY,1908.00
MONONUCLEAR CELL CONCENTRATION,2748.00
MONORAIL ULTRA 2MM/.014/15MM,1600.00
MONORAIL ULTRA 2MM/.014/15MM,1600.00
MONTELUKAST CHEW TAB 4 MG,8.92
MONTELUKAST TAB,9.69
MONTELVKAST 10MG TAB,15.34
MOP PROCEDURE ROOM TO 15MIN,1776.00
MOP PX ROOM EA ADDITION 15 MIN,265.00
MOR RECOVERY MIN,24.00
MORCELLATOR  LAPAROSCOPIC DIVA,167.00
MORCELLATOR ESURG HYSCP ROT,900.00
MORCELLATOR ESURG RECIP HYSCP,1200.00
MORCELLATOR SURG TRUCLEAR ULT,1198.00
MORCELLEX,983.00
MORPH ANAL INSITU EA PROBE C-A,431.00
MORPH ANAL INSITU EA PROBE MAN,430.00
MORPH PICC LINE 5 FR DUAL LUMN,180.00
MORPHEUS PICC 4FR SINGLE LUMEN,180.00
MORPHINE 0.1MG/ML PF INJ,0.38
MORPHINE 0.5MG/ML INJ NICU,1.84
MORPHINE 15MG TAB,0.82
MORPHINE 20MG/ML CONC SOLN,2.46
MORPHINE 30MG TAB,1.52
MORPHINE 30MG TABLET SA,6.61
MORPHINE 60MG TABLET SA,7.38
MORPHINE INJ 10MG,2.92
MORPHINE INJ 2MG,5.44
MORPHINE INJ 5MG,3.28
MORPHINE SA 100MG TAB,22.91
MORPHINE SOLN 0.4MG/ML,0.84
MORPHINE SOLN 10MG/5ML,3.46
MORPHINE SR 15MG,4.23
MORPHINE SULFATE 10MG/10ML INJ,21.81
MORPHINE SULFATE 150MG INJ,34.68
MORPHINE SULFATE 200MG/20ML IN,78.28
MORPHINE SULFATE 30MG/30ML INJ,36.52
MORPHINE SULFATE 500MG/20ML IN,1104.33
MOTOR EVOKED POTENTIALS-LOWER,2171.00
MOTOR EVOKED POTENTIALS-UPPER,2171.00
MOTOR SP-G8999-CH-0% IMPAIR,1.00
MOTOR SP-G8999-CI-1-19%IMPAIR,1.00
MOTOR SP-G8999-CJ-20-39%IMPAI,1.00
MOTOR SP-G8999-CK-40-59%IMPAI,1.00
MOTOR SP-G8999-CL-60-79%IMPAI,1.00
MOTOR SP-G8999-CM-80-99%IMPAI,1.00
MOTOR SP-G8999-CN-100%IMPAIR,1.00
MOTOR SP-G9158-CH-0% IMPAIR,1.00
MOTOR SP-G9158-CI-1-19%IMPAIR,1.00
MOTOR SP-G9158-CJ-20-39%IMPAI,1.00
MOTOR SP-G9158-CK-40-59%IMPAI,1.00
MOTOR SP-G9158-CL-60-79%IMPAI,1.00
MOTOR SP-G9158-CM-80-99%IMPAI,1.00
MOTOR SP-G9158-CN-100%IMPAIR,1.00
MOTOR SP-G9186-CH-0% IMPAIR,1.00
MOTOR SP-G9186-CI-1-19%IMPAIR,1.00
MOTOR SP-G9186-CJ-20-39%IMPAI,1.00
MOTOR SP-G9186-CK-40-59%IMPAI,1.00
MOTOR SP-G9186-CL-60-79%IMPAI,1.00
MOTOR SP-G9186-CM-80-99%IMPAI,1.00
MOTOR SP-G9186-CN-100%IMPAIR,1.00
MOUNT SINAI ALS MILEAGE,2.00
MOUNT SINAI BLS MILEAGE,2.00
MOUTH PRESSURES,1095.00
MPL CONDON 515 MUTATION,395.00
MR ANKLE LT POST ARTHROGRAM,3896.00
MR ANKLE LT POST ARTHROGRAM,3896.00
MR ANKLE LT W&WO CONTRAST,5408.00
MR ANKLE LT W&WO CONTRAST,5408.00
MR ANKLE LT W/CONTRAST,3896.00
MR ANKLE LT W/CONTRAST,3896.00
MR ANKLE LT WO CONTRAST,3986.00
MR ANKLE LT WO CONTRAST,3986.00
MR ANKLE RT POST ARTHROGRAM,3896.00
MR ANKLE RT POST ARTHROGRAM,3896.00
MR ANKLE RT W&WO CONTRAST,5408.00
MR ANKLE RT W&WO CONTRAST,5408.00
MR ANKLE RT W/CONTRAST,3896.00
MR ANKLE RT W/CONTRAST,3896.00
MR ANKLE RT WO CONTRAST,3986.00
MR ANKLE RT WO CONTRAST,3986.00
MR BRAIN LAB PROTCL WOW IV CON,7213.00
MR BRAIN LAB PROTCL WOW IV CON,7213.00
MR BRAIN LAB PROTOCL WO IV CON,5022.00
MR BRAIN LAB PROTOCL WO IV CON,5022.00
MR BRAIN LAB PROTOCOL W IV CON,5829.00
MR BRAIN LAB PROTOCOL W IV CON,5829.00
MR CALF LT W&WO CONTRAST,5092.00
MR CALF LT W&WO CONTRAST,5092.00
MR CALF LT W/CONTRAST,4644.00
MR CALF LT W/CONTRAST,4644.00
MR CALF LT WO CONTRAST,3657.00
MR CALF LT WO CONTRAST,3657.00
MR CALF RT W&WO CONTRAST,5092.00
MR CALF RT W&WO CONTRAST,5092.00
MR CALF RT W/CONTRAST,4644.00
MR CALF RT W/CONTRAST,4644.00
MR CALF RT WO CONTRAST,3657.00
MR CALF RT WO CONTRAST,3657.00
