NDC,Description,Number Units Charged,Charge Amount Units,Charge
63323-010-02 ,GENTAMICIN SULFATE 40 MG/ML IJ SOLN ,2,mL,$41.00
63323-010-20 ,GENTAMICIN SULFATE 40 MG/ML IJ SOLN ,20,mL,$123.50
0395-1003-92 ,gentian violet 1 % Soln 59 mL Bottle,59,mL,$8.50
0904-6637-61 ,GLIPIZIDE 5 MG PO TABS ,1,Each,$11.50
83960-52163 ,glucose 4 GM Chew 10 Each Bottle,10,Each,$1.50
23155-056-01 ,glyBURIDE 1.25 MG Tabs 100 Each Bottle,1,Each,$11.50
65862-028-01 ,glyBURIDE 1.25 MG Tabs 100 Each Bottle,1,Each,$11.50
51079-872-01 ,glyBURIDE 2.5 MG Tabs 1 Each Blister,1,Each,$11.50
0093-8343-01 ,glyBURIDE 2.5 MG Tabs 100 Each Bottle,1,Each,$11.50
0093-5710-01 ,glyBURIDE-metformin 1.25-250 MG Tabs 100 Each Bottle,1,Each,$11.50
0132-0081-12 ,GLYCERIN (LAXATIVE) 1 G RE SUPP ,1,Each,$0.50
0132-0079-12 ,GLYCERIN (LAXATIVE) 2 G RE SUPP ,1,Each,$0.50
0713-0101-25 ,glycerin (Laxative) 2 g Supp 25 Each Box,1,Each,$0.50
0713-0102-25 ,glycerin (Pediatric) 1.2 g Supp 25 Each Box,1,Each,$0.50
0395-1031-16 ,glycerin Liqd 473 mL Bottle,473,mL,$24.50
70069-013-01 ,GLYCOPYRROLATE 1 MG/5ML IJ SOLN ,5,mL,$143.00
0259-0501-16 ,glycopyrrolate 1 MG/5ML Soln 473 mL Bottle,473,mL,"$1,090.00"
0143-9585-01 ,glycopyrrolate 1 MG/5ML Soln 5 mL Vial,5,mL,$115.50
0143-9680-25 ,glycopyrrolate 1 MG/5ML Soln 5 mL Vial,5,mL,$143.00
0517-4605-25 ,glycopyrrolate 1 MG/5ML Soln 5 mL Vial,5,mL,$166.00
0121-1488-10 ,GUAIFENESIN 100 MG/5ML PO SOLN ,10,mL,$1.00
0121-1744-10 ,guaiFENesin 100 MG/5ML Soln 10 mL Cup,10,mL,$1.00
57896-794-01 ,guaiFENesin 400 MG Tabs 100 Each Bottle,1,Each,$0.50
68084-572-11 ,guaiFENesin 600 MG Tb12 1 Each Blister,1,Each,$1.50
63824-008-50 ,guaiFENesin 600 MG Tb12 500 Each Bottle,1,Each,$0.50
63824-008-15 ,GUAIFENESIN ER 600 MG PO TB12 ,1,Each,$0.50
99900-003-67 ,guaifenesin-codeine 100-10 MG/5ML Syrp 5 mL Syringe,5,mL,$21.00
0121-0638-10 ,guaifenesin-dextromethorphan 100-10 MG/5ML Syrp 10 mL Cup,10,mL,$1.00
0121-1276-10 ,GUAIFENESIN-DM 100-10 MG/5ML PO SYRP ,10,mL,$2.50
0409-7650-52 ,heparin (porcine) 100-0.45 UNIT/ML-% Soln 250 mL Flex Cont,250,mL,$72.50
63323-262-55 ,heparin (porcine) 5000 UNIT/ML Soln 1 mL Vial,1,mL,$38.50
99999-0012-18 ,HEPARIN (PORCINE) IN NACL 100-0.45 UNIT/ML-% IJ SOLN ,60,mL,$37.00
63323-545-01 ,heparin flush 100 UNIT/ML Soln 1 mL Vial,1,mL,$39.00
8290-306424 ,heparin flush 100 UNIT/ML Soln 5 mL Syringe,5,mL,$37.50
8290-306513 ,heparin flush 100 UNIT/ML Soln 5 mL Syringe,5,mL,$37.50
63323-262-01 ,HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN ,1,mL,$55.50
63807-600-55 ,HEPARIN SODIUM LOCK FLUSH 100 UNIT/ML IV SOLN ,5,mL,$37.50
8290-306515 ,HEPARIN SODIUM LOCK FLUSH 100 UNIT/ML IV SOLN ,5,mL,$37.50
13533-636-30 ,HEPATITIS B IMMUNE GLOBULIN IM SOLN ,0.5,mL,$228.00
13533-636-03 ,hepatitis B immune globulin Soln 0.5 mL Syringe,0.5,mL,$228.00
58160-859-05 ,HEPATITIS B VAC RECOMBINANT 10 MCG/0.5ML IM INJ ,0.5,mL,$123.00
58160-820-43 ,hepatitis b vaccine recombinant 10 MCG/0.5ML Susp 0.5 mL Syringe,0.5,mL,$118.00
58160-820-52 ,hepatitis b vaccine recombinant 10 MCG/0.5ML Susp 0.5 mL Syringe,0.5,mL,$118.00
58160-820-52 ,hepatitis b vaccine recombinant 10 MCG/0.5ML Susp 0.5 mL Syringe,0.5,mL,$118.00
99999-012-24 ,human milk caloric fortifier (PROLACT CR) 10 mL Bottle,10,mL,$400.00
99999-012-01 ,human milk supplement (PROLACTA + 10) 50 mL Bottle,50,mL,$726.00
99999-011-53 ,human milk supplement 30 mL Bottle,30,mL,$363.00
99999-011-94 ,human milk supplement 40 mL Bottle,40,mL,$484.00
18657-117-01 ,hyaluronidase human 150 UNIT/ML Soln 1 mL Vial,1,mL,$194.50
0904-6440-61 ,hydrALAZINE 10 MG Tabs 100 Each Box,1,Each,$11.50
17478-934-01 ,hydrALAZINE 20 MG/ML Soln 1 mL Vial,1,mL,$161.50
63323-614-01 ,hydrALAZINE 20 MG/ML Soln 1 mL Vial,1,mL,$88.00
63323-614-55 ,hydrALAZINE 20 MG/ML Soln 1 mL Vial,1,mL,$55.50
0904-6441-61 ,hydrALAZINE 25 MG Tabs 100 Each Box,1,Each,$11.50
63323-614-00 ,HYDRALAZINE HCL 20 MG/ML IJ SOLN ,1,mL,$88.00
51079-776-01 ,hydroCHLOROthiazide 12.5 MG Caps 1 Each Blister,1,Each,$11.50
0591-0347-01 ,hydroCHLOROthiazide 12.5 MG Caps 100 Each Bottle,1,Each,$11.50
29300-130-01 ,hydroCHLOROthiazide 12.5 MG Caps 100 Each Bottle,1,Each,$11.50
63739-128-10 ,hydroCHLOROthiazide 25 MG Tabs 100 Each Box,1,Each,$11.50
0904-6421-61 ,HYDROcodone-acetaminophen 10-325 MG Tabs 100 Each Box,1,Each,$32.00
53746-109-01 ,HYDROcodone-acetaminophen 5-325 MG Tabs 100 Each Bottle,1,Each,$31.50
0904-6567-61 ,HYDROcodone-acetaminophen 5-325 MG Tabs 100 Each Box,1,Each,$31.50
66689-023-01 ,hydrocodone-acetaminophen 7.5-325 mg / 15ml Soln 15 mL Cup,15,mL,$36.00
0904-6420-61 ,HYDROcodone-acetaminophen 7.5-325 MG Tabs 100 Each Box,1,Each,$31.50
0472-0343-56 ,hydrocortisone 1 % Crea 28 g Tube,28,g,$3.50
0904-7623-31 ,hydrocortisone 1 % Crea 28 g Tube,28,g,$3.00
0168-0020-31 ,hydrocortisone 1 % Oint 28.35 g Tube,28.35,g,$7.50
68084-469-11 ,hydrocortisone 10 MG Tabs 1 Each Blister,1,Each,$13.00
45802-004-02 ,hydrocortisone 2.5 % Crea 20 g Tube,20,g,$16.00
10631-407-01 ,hydrocortisone 2.5 % Crea 28.35 g Tube,28.35,g,$216.50
45802-937-16 ,hydrocortisone 2.5 % Lotn 59 mL Bottle,59,mL,$137.00
64980-324-30 ,HYDROCORTISONE 2.5 % RE CREA ,30,g,$216.50
59762-0075-1 ,HYDROCORTISONE 20 MG PO TABS ,1,Each,$12.50
0713-0503-12 ,hydrocortisone 25 MG Supp 12 Each Box,1,Each,$91.50
0009-0011-03 ,hydrocortisone sodium succinate 100 MG Solr 1 Each Vial,1,Each,$94.00
0037-6822-10 ,hydrocortisone-pramoxine 1-1 % Foam 10 g Can,10,g,$319.00
42192-107-01 ,hydrocortisone-pramoxine 2.5-1 % Crea 30 g Tube,30,g,$181.00
0409-1283-31 ,HYDROmorphone 1 MG/ML Soln 1 mL Crtrdg-NDL,1,mL,$45.00
42858-301-25 ,HYDROmorphone 2 MG Tabs 100 Each Box,1,Each,$31.50
59011-452-01 ,HYDROmorphone 2 MG Tabs 100 Each Box,1,Each,$33.00
63739-275-10 ,HYDROmorphone 2 MG Tabs 100 Each Box,1,Each,$31.00
0409-1312-30 ,HYDROmorphone 2 MG/ML Soln 1 mL Crtrdg-NDL,1,mL,$45.50
0409-3365-01 ,HYDROmorphone 2 MG/ML Soln 1 mL Vial,1,mL,$44.00
0641-0121-21 ,HYDROmorphone 2 MG/ML Soln 1 mL Vial,1,mL,$43.50
0409-2634-01 ,HYDROMORPHONE HCL PF 10 MG/ML IJ SOLN ,1,mL,$46.00
17478-540-05 ,HYDROMORPHONE HCL PF 10 MG/ML IJ SOLN ,5,mL,$72.50
61553-162-67 ,HYDROMORPHONE HCL-NACL 5-0.9 MG/25ML-% IV SOSY ,25,mL,$82.50
61553-680-67 ,HYDROMORPHONE HCL-NACL 5-0.9 MG/25ML-% IV SOSY ,25,mL,$85.50
99900-012-10 ,HYDROmorphone HCl-NaCl 6-0.9 MG/30ML-% Sosy 30 mL Syringe,30,mL,$84.00
17478-540-01 ,HYDROmorphone PF 10 MG/ML Soln 1 mL Ampule,1,mL,$45.00
0703-0110-01 ,HYDROmorphone PF 10 MG/ML Soln 1 mL Vial,1,mL,$46.00
0517-1767-01 ,HYDROXYprogesterone caproate 250 MG/ML Oil 1 mL Vial,1,mL,"$1,596.50"
64011-247-02 ,HYDROXYprogesterone caproate 250 MG/ML Oil 1 mL Vial,1,mL,"$1,771.50"
51079-806-01 ,hydrOXYzine 25 MG Tabs 1 Each Blister,1,Each,$12.00
68084-254-11 ,hydrOXYzine 25 MG Tabs 1 Each Blister,1,Each,$11.50
0185-0615-01 ,hydrOXYzine 50 MG Caps 100 Each Bottle,1,Each,$11.50
0517-5601-25 ,hydrOXYzine 50 MG/ML Soln 1 mL Vial,1,mL,$116.00
63739-483-10 ,HYDROXYZINE HCL 10 MG PO TABS ,1,Each,$11.50
51079-078-01 ,HYDROXYZINE PAMOATE 50 MG PO CAPS ,1,Each,$11.50
68047-255-01 ,hyoscyamine 0.375 MG Tb12 100 Each Bottle,1,Each,$12.00
0472-1255-94 ,ibuprofen 100 MG/5ML Susp 118 mL Bottle,118,mL,$4.00
0472-1261-94 ,ibuprofen 100 MG/5ML Susp 120 mL Bottle,120,mL,$4.00
0904-5309-20 ,ibuprofen 100 MG/5ML Susp 120 mL Bottle,120,mL,$6.00
50580-184-50 ,ibuprofen 100 MG/5ML Susp 120 mL Bottle,120,mL,$6.00
0904-7914-61 ,ibuprofen 200 MG Tabs 100 Each Box,1,Each,$0.50
68084-703-11 ,ibuprofen 600 MG Tabs 1 Each Blister,1,Each,$11.50
55111-683-01 ,ibuprofen 600 MG Tabs 100 Each Bottle,1,Each,$11.50
0904-5854-61 ,ibuprofen 600 MG Tabs 100 Each Box,1,Each,$11.50
63739-684-10 ,ibuprofen 600 MG Tabs 100 Each Box,1,Each,$11.50
67877-320-05 ,ibuprofen 600 MG Tabs 500 Each Bottle,1,Each,$12.00
68084-772-11 ,ibuprofen 800 MG Tabs 1 Each Blister,1,Each,$11.50
0904-5855-61 ,ibuprofen 800 MG Tabs 100 Each Box,1,Each,$11.50
63739-691-10 ,ibuprofen 800 MG Tabs 100 Each Box,1,Each,$11.50
13533-800-12 ,immune globulin 10% Soln 10 mL Vial,10,mL,$279.50
13533-800-13 ,IMMUNE GLOBULIN HUMAN (GAMUNEX-C) 10% IJ SOLN ,10,mL,$279.50
17238-424-25 ,indocyanine green 25 MG Solr 1 Each Vial,1,Each,$269.50
63323-659-03 ,indomethacin 1 MG Solr 1 Each Vial,1,Each,"$1,179.50"
51079-190-01 ,indomethacin 25 MG Caps 1 Each Blister,1,Each,$11.50
68462-406-01 ,indomethacin 25 MG Caps 100 Each Bottle,1,Each,$11.50
42211-102-43 ,indomethacin 50 MG Supp 30 Each Box,1,Each,$195.00
33332-018-02 ,influenza virus split PF 0.5 ML Susy 0.5 mL Syringe,0.5,mL,$28.00
54643-5649-1 ,INFUVITE ADULT IV INJ ,10,mL,$80.00
54643-9007-1 ,INFUVITE ADULT IV INJ ,10,mL,$123.00
0169-7501-11 ,insulin aspart 100 UNIT/ML Soln 10 mL Vial,10,mL,$662.00
0169-3687-12 ,insulin detemir 100 UNIT/ML Soln 10 mL Vial,10,mL,$671.50
0088-5021-01 ,INSULIN GLARGINE 100 UNIT/ML SC SOLN ,10,mL,$619.00
0088-2220-33 ,insulin glargine 100 UNIT/ML Soln 10 mL Vial,10,mL,$619.00
0002-7510-17 ,insulin lispro 100 UNIT/ML Soln 3 mL Vial,3,mL,$269.50
0002-8315-17 ,insulin NPH (human) 100 UNIT/ML Susp 3 mL Vial,3,mL,$163.00
0002-8215-01 ,insulin regular 100 UNIT/ML Soln 10 mL Vial,10,mL,$358.00
0002-8215-17 ,insulin regular 100 UNIT/ML Soln 3 mL Vial,3,mL,$163.00
99900-011-12 ,INSULIN REGULAR NEONATAL DILUTION 1 UNIT/ML (FOR TPN USE) ,1,mL,$100.50
0395-2775-16 ,IODINE STRONG 5 % PO SOLN ,473,mL,$204.00
48433-230-15 ,IODINE STRONG 5 % PO SOLN ,14,mL,$100.00
0407-2222-16 ,iodixanol 270 MG/ML Soln 50 mL Bottle,50,mL,$185.50
0407-1401-52 ,iohexol 140 MG/ML Soln 50 mL Bottle,50,mL,$155.50
0407-1413-59 ,iohexol 300 MG/ML Soln 30 mL Bottle,30,mL,$184.00
0407-1413-50 ,iohexol 300 MG/ML Soln 50 mL Vial,50,mL,$163.50
0019-0953-13 ,IOTHALAMATE MEGLUMINE 60 % IJ SOLN ,30,mL,$77.50
0487-9801-01 ,ipratropium 0.02 % Soln 2.5 mL Plas Cont,2.5,mL,$12.50
0487-9801-60 ,ipratropium 0.02 % Soln 2.5 mL Plas Cont,2.5,mL,$12.50
0487-0201-01 ,ipratropium-albuterol 0.5-2.5 (3) MG/3ML Soln 3 mL Plas Cont,3,mL,$13.50
52544-931-07 ,iron dextran complex 50 MG/ML Soln 2 mL Vial,2,mL,$131.00
60258-185-01 ,iron polysaccharides 150 mg Caps 100 Each Bottle,1,Each,$0.50
51991-20311 ,iron polysaccharides 150 mg Caps 100 Each Box,1,Each,$0.50
0517-2340-10 ,iron sucrose 20 MG/ML Soln 5 mL Vial,5,mL,$178.00
0574-0067-16 ,isopropyl alcohol 70 % Soln 473 mL Bottle,473,mL,$3.00
0904-6449-61 ,ISOSORBIDE MONONITRATE ER 30 MG PO TB24 ,1,Each,$13.00
67457-220-05 ,isosulfan blue 1 % Soln 5 mL Vial,5,mL,"$1,576.00"
67457-259-05 ,isosulfan blue 1 % Soln 5 mL Vial,5,mL,"$1,576.00"
0536-4178-41 ,I-VITE PROTECT (PRESERVISION/OCUVITE) Tabs 120 Each Bottle,1,Each,$0.50
0338-0669-04 ,KCL IN DEXTROSE-NACL 10-5-0.45 MEQ/L-%-% IV SOLN ,1000,mL,$72.50
0338-0671-04 ,KCL IN DEXTROSE-NACL 20-5-0.45 MEQ/L-%-% IV SOLN ,1000,mL,$58.50
0338-0803-04 ,KCL IN DEXTROSE-NACL 20-5-0.9 MEQ/L-%-% IV SOLN ,1000,mL,$72.50
0338-0675-04 ,KCL IN DEXTROSE-NACL 40-5-0.45 MEQ/L-%-% IV SOLN ,1000,mL,$72.50
0338-0807-04 ,KCL IN DEXTROSE-NACL 40-5-0.9 MEQ/L-%-% IV SOLN ,1000,mL,$69.00
0409-7109-09 ,KCL IN DEXTROSE-NACL 40-5-0.9 MEQ/L-%-% IV SOLN ,1000,mL,$41.00
42023-113-10 ,ketamine 10 MG/ML Soln 20 mL Vial,20,mL,$118.50
67457-001-10 ,ketamine 50 MG/ML Soln 10 mL Vial,10,mL,$67.50
0143-9508-01 ,KETAMINE HCL 50 MG/ML IJ SOLN ,10,mL,$46.00
0093-0314-01 ,ketorolac 10 MG Tabs 100 Each Bottle,1,Each,$13.50
0409-3795-01 ,ketorolac 30 MG/ML Soln 1 mL Vial,1,mL,$61.50
47781-584-93 ,ketorolac 30 MG/ML Soln 1 mL Vial,1,mL,$38.50
63323-162-01 ,ketorolac 30 MG/ML Soln 1 mL Vial,1,mL,$58.50
63323-162-12 ,ketorolac 30 MG/ML Soln 1 mL Vial,1,mL,$38.00
63323-161-01 ,KETOROLAC TROMETHAMINE 15 MG/ML IJ SOLN ,1,mL,$41.50
63323-161-12 ,KETOROLAC TROMETHAMINE 15 MG/ML IJ SOLN ,1,mL,$38.00
0172-4364-60 ,labetalol 100 MG Tabs 100 Each Bottle,1,Each,$12.00
0591-0605-01 ,labetalol 100 MG Tabs 100 Each Bottle,1,Each,$12.00
0904-5928-61 ,labetalol 100 MG Tabs 100 Each Box,1,Each,$13.50
51079-929-01 ,labetalol 200 MG Tabs 1 Each Blister,1,Each,$12.00
60687-125-11 ,labetalol 200 MG Tabs 1 Each Blister,1,Each,$12.00
0591-0606-01 ,labetalol 200 MG Tabs 100 Each Bottle,1,Each,$12.00
0904-5929-61 ,labetalol 200 MG Tabs 100 Each Box,1,Each,$14.50
0143-9622-01 ,labetalol 5 MG/ML Soln 20 mL Vial,20,mL,$62.50
0409-2267-20 ,labetalol 5 MG/ML Soln 20 mL Vial,20,mL,$41.00
0409-2267-25 ,labetalol 5 MG/ML Soln 20 mL Vial,20,mL,$41.00
47781-586-29 ,labetalol 5 MG/ML Soln 20 mL Vial,20,mL,$86.00
0409-2339-34 ,labetalol 5 MG/ML Soln 4 mL Syringe,4,mL,$66.00
68382-798-01 ,LABETALOL HCL 100 MG PO TABS ,1,Each,$12.00
17478-420-20 ,LABETALOL HCL 5 MG/ML IV SOLN ,20,mL,$129.00
0131-2477-60 ,LACOSAMIDE 50 MG PO TABS ,1,Each,$71.50
0338-0117-02 ,LACTATED RINGERS IV SOLN ,250,mL,$32.00
0338-0117-03 ,LACTATED RINGERS IV SOLN ,500,mL,$31.50
0338-0117-04 ,LACTATED RINGERS IV SOLN ,1000,mL,$32.00
0409-7953-03 ,LACTATED RINGERS IV SOLN ,500,mL,$50.50
0409-7953-09 ,"lactated ringers Soln 1,000 mL Flex Cont",1000,mL,$48.50
0409-7953-09 ,"lactated ringers Soln 1,000 mL Flex Cont",1000,mL,$48.50
63739-516-10 ,LAMOTRIGINE 100 MG PO TABS ,1,Each,$13.50
68084-319-11 ,lamoTRIgine 100 MG Tabs 1 Each Blister,1,Each,$11.50
0173-0642-55 ,lamoTRIgine 100 MG Tabs 100 Each Bottle,1,Each,$71.50
2451-8712-19 ,LANOLIN EX OINT ,8.5,g,$2.50
44677-10202 ,lanolin Oint 7 g Tube,7,g,$2.00
0023-0312-04 ,lanolin-mineral oil-petrolatum Oint 3.5 g Tube,3.5,g,$12.00
0378-8030-93 ,lansoprazole 30 MG Cpdr 30 Each Bottle,1,Each,$32.00
63402-511-24 ,levalbuterol 0.31 MG/3ML Nebu 3 mL Plas Cont,3,mL,$49.50
43598-410-25 ,levalbuterol 0.63 MG/3ML Nebu 3 mL Plas Cont,3,mL,$34.00
76204-700-11 ,LEVALBUTEROL HCL 0.31 MG/3ML IN NEBU ,3,mL,$13.50
0093-4146-04 ,LEVALBUTEROL HCL 0.63 MG/3ML IN NEBU ,3,mL,$35.00
76204-800-11 ,LEVALBUTEROL HCL 0.63 MG/3ML IN NEBU ,3,mL,$13.50
50474-001-48 ,LEVETIRACETAM 100 MG/ML PO SOLN ,473,mL,"$1,561.50"
50268-472-11 ,LEVETIRACETAM 250 MG PO TABS ,1,Each,$14.00
31722-536-12 ,levETIRAcetam 250 MG Tabs 120 Each Bottle,1,Each,$14.00
63739-411-10 ,LEVETIRACETAM 500 MG PO TABS ,1,Each,$11.50
68084-870-11 ,levETIRAcetam 500 MG Tabs 1 Each Blister,1,Each,$12.00
0904-6052-61 ,levETIRAcetam 500 MG Tabs 100 Each Box,1,Each,$14.50
0378-5615-78 ,levETIRAcetam 500 MG Tabs 120 Each Bottle,1,Each,$15.00
39822-4000-1 ,levETIRAcetam 500 MG/5ML Soln 5 mL Vial,5,mL,$63.50
67457-790-00 ,levETIRAcetam 500 MG/5ML Soln 5 mL Vial,5,mL,$81.50
68180-117-07 ,LEVETIRACETAM ER 500 MG PO TB24 ,1,Each,$15.50
25021-132-82 ,levoFLOXacin 500 MG/100ML Soln 100 mL Flex Cont,100,mL,$62.50
50458-168-01 ,levoFLOXacin 500 MG/100ML Soln 100 mL Flex Cont,100,mL,$111.50
0904-6353-61 ,levoFLOXacin 750 MG Tabs 100 Each Box,1,Each,$98.50
25021-132-83 ,levoFLOXacin 750 MG/150ML Soln 150 mL Flex Cont,150,mL,$62.50
0527-1345-01 ,levothyroxine 100 MCG Tabs 100 Each Bottle,1,Each,$12.00
0527-1346-01 ,levothyroxine 112 MCG Tabs 100 Each Bottle,1,Each,$12.00
51079-443-01 ,levothyroxine 125 MCG Tabs 1 Each Blister,1,Each,$12.00
0527-1347-01 ,levothyroxine 125 MCG Tabs 100 Each Bottle,1,Each,$12.00
0074-7068-11 ,levothyroxine 125 MCG Tabs 100 Each Box,1,Each,$12.50
0527-1351-01 ,levothyroxine 200 MCG Tabs 100 Each Bottle,1,Each,$12.00
51079-444-01 ,levothyroxine 25 MCG Tabs 1 Each Blister,1,Each,$11.50
0527-1341-01 ,levothyroxine 25 MCG Tabs 100 Each Bottle,1,Each,$11.50
51079-440-01 ,levothyroxine 50 MCG Tabs 1 Each Blister,1,Each,$11.50
0527-1342-01 ,levothyroxine 50 MCG Tabs 100 Each Bottle,1,Each,$11.50
0074-4552-11 ,levothyroxine 50 MCG Tabs 100 Each Box,1,Each,$12.50
0074-4552-90 ,levothyroxine 50 MCG Tabs 90 Each Bottle,1,Each,$12.50
0074-6594-90 ,levothyroxine 88 MCG Tabs 90 Each Bottle,1,Each,$12.50
0378-1811-77 ,LEVOTHYROXINE SODIUM 112 MCG PO TABS ,1,Each,$12.00
0378-1813-77 ,LEVOTHYROXINE SODIUM 125 MCG PO TABS ,1,Each,$12.00
0378-1819-77 ,LEVOTHYROXINE SODIUM 200 MCG PO TABS ,1,Each,$12.00
0378-1800-77 ,LEVOTHYROXINE SODIUM 25 MCG PO TABS ,1,Each,$11.50
0378-1805-77 ,LEVOTHYROXINE SODIUM 75 MCG PO TABS ,1,Each,$12.00
51079-441-01 ,LEVOTHYROXINE SODIUM 75 MCG PO TABS ,1,Each,$12.00
63323-492-27 ,lidocaine (PF) 1 % Soln 2 mL Vial,2,mL,$39.50
0409-4713-02 ,lidocaine (PF) 1 % Soln 5 mL Ampule,5,mL,$39.00
0409-4776-01 ,lidocaine (PF) 1.5 % Soln 20 mL Ampule,20,mL,$75.50
63323-201-10 ,lidocaine 1 % Soln 10 mL Vial,10,mL,$39.50
0409-4276-01 ,lidocaine 1 % Soln 20 mL Vial,20,mL,$38.50
17478-711-10 ,lidocaine 2 % Gel 5 mL Tube,5,mL,$39.00
63323-202-02 ,lidocaine 2 % Soln 2 mL Vial,2,mL,$40.00
0409-4277-01 ,lidocaine 2 % Soln 20 mL Vial,20,mL,$39.50
0054-3505-47 ,lidocaine 4 % Soln 50 mL Bottle,50,mL,$153.00
0603-1880-10 ,LIDOCAINE 5 % EX PTCH ,1,Each,$47.50
63481-687-01 ,lidocaine 5 % Ptch 1 Each Package,1,Each,$78.50
0591-2679-30 ,lidocaine 5 % Ptch 30 Each Box,1,Each,$44.50
0409-4279-02 ,LIDOCAINE HCL (PF) 1 % IJ SOLN ,30,mL,$40.50
0409-4713-75 ,LIDOCAINE HCL (PF) 1 % IJ SOLN ,5,mL,$39.50
0409-4282-12 ,LIDOCAINE HCL (PF) 2 % IJ SOLN ,10,mL,$41.50
63323-485-27 ,LIDOCAINE HCL 1 % IJ SOLN ,20,mL,$40.50
0409-4277-02 ,LIDOCAINE HCL 2 % IJ SOLN ,50,mL,$41.50
0409-4282-02 ,lidocaine HCl 2 % Soln 10 mL Ampule,10,mL,$41.50
76329-6300-5 ,lidocaine HCl 4 % Soln 4 mL Bottle,4,mL,$99.50
76329-3015-5 ,lidocaine jelly 2 % Gel 20 mL Box,20,mL,$44.00
0054-3500-49 ,LIDOCAINE VISCOUS 2 % MT SOLN ,100,mL,$58.00
49999-140-00 ,LIDOCAINE VISCOUS 2 % MT SOLN ,100,mL,$99.50
50383-775-15 ,LIDOCAINE VISCOUS 2 % MT SOLN ,15,mL,$12.50
63739-694-57 ,LIDOCAINE VISCOUS 2 % MT SOLN ,15,mL,$12.50
63323-482-27 ,lidocaine-EPINEPHrine 1 %-1:100000 Soln 20 mL Vial,20,mL,$41.50
63323-487-37 ,lidocaine-epinephrine 1 %-1:200000 Soln 30 mL Vial,30,mL,$81.00
0409-1209-01 ,lidocaine-epinephrine 1.5 %-1:200000 Soln 5 mL Ampule,5,mL,$55.00
58472-032-50 ,LIDOCAINE-EPINEPHRINE 2 %-1:100000 IJ SOLN ,1.8,mL,$37.50
63323-483-27 ,LIDOCAINE-EPINEPHRINE 2 %-1:100000 IJ SOLN ,20,mL,$41.50
0409-3182-01 ,lidocaine-EPINEPHrine 2 %-1:100000 Soln 20 mL Vial,20,mL,$40.50
0409-3183-01 ,LIDOCAINE-EPINEPHRINE 2 %-1:200000 IJ SOLN ,20,mL,$56.00
63323-489-17 ,lidocaine-epinephrine 2 %-1:200000 Soln 10 mL Vial,10,mL,$75.00
63323-489-21 ,lidocaine-epinephrine 2 %-1:200000 Soln 20 mL Vial,20,mL,$91.50
63323-489-27 ,lidocaine-epinephrine 2 %-1:200000 Soln 20 mL Vial,20,mL,$104.00
0168-0357-55 ,lidocaine-prilocaine 2.5-2.5 % Crea 5 g Tube,5,g,$46.50
76478-289-55 ,lidocaine-prilocaine 2.5-2.5 % Crea 5 g Tube,5,g,$52.00
0115-1468-60 ,LIDOCAINE-PRILOCAINE 2.5-2.5 % EX CREA ,5,g,$40.00
0456-1201-30 ,linaclotide 145 MCG Caps 30 Each Bottle,1,Each,$66.00
0597-0140-61 ,LINAGLIPTIN 5 MG PO TABS ,1,Each,$69.50
60793-115-01 ,liothyronine 5 MCG Tabs 100 Each Bottle,1,Each,$13.50
0169-4060-12 ,liraglutide 18 MG/3ML Sopn 3 mL Pen,3,mL,$663.50
51079-982-20 ,lisinopril 10 MG Tabs 100 Each Box,1,Each,$12.00
63739-349-10 ,lisinopril 10 MG Tabs 100 Each Box,1,Each,$12.50
0591-0409-01 ,lisinopril 40 MG Tabs 100 Each Bottle,1,Each,$13.00
51079-981-01 ,LISINOPRIL 5 MG PO TABS ,1,Each,$12.00
0904-5811-61 ,lisinopril 5 MG Tabs 100 Each Box,1,Each,$11.50
68180-518-01 ,LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG PO TABS ,1,Each,$12.50
68180-519-01 ,lisinopril-hydrochlorothiazide 20-12.5 MG Tabs 100 Each Bottle,1,Each,$12.50
51079-142-20 ,lithium 450 MG Tbcr 100 Each Box,1,Each,$12.00
51079-180-01 ,LITHIUM CARBONATE ER 300 MG PO TBCR ,1,Each,$11.50
51079-690-20 ,loperamide 2 MG Caps 100 Each Box,1,Each,$12.00
60687-229-11 ,LOPERAMIDE HCL 2 MG PO CAPS ,1,Each,$12.00
68084-248-11 ,loratadine 10 MG Tabs 1 Each Blister,1,Each,$1.00
51660-526-01 ,loratadine 10 MG Tabs 100 Each Bottle,1,Each,$0.50
0904-5793-61 ,loratadine 10 MG Tabs 100 Each Box,1,Each,$1.00
51079-417-01 ,LORazepam 0.5 MG Tabs 1 Each Blister,1,Each,$31.50
69315-904-01 ,LORazepam 0.5 MG Tabs 100 Each Bottle,1,Each,$31.50
0904-6007-61 ,LORazepam 0.5 MG Tabs 100 Each Box,1,Each,$31.00
63739-499-10 ,LORazepam 0.5 MG Tabs 100 Each Box,1,Each,$31.00
99999-011-52 ,LORazepam 1 mL Syringe,1,mL,$21.00
0409-6778-02 ,LORazepam 2 MG/ML Soln 1 mL Vial,1,mL,$44.00
0641-6044-01 ,LORazepam 2 MG/ML Soln 1 mL Vial,1,mL,$43.00
0641-6048-01 ,LORazepam 2 MG/ML Soln 1 mL Vial,1,mL,$43.00
