Charge Code,Description,CPT/HCPCS,Fee
2150458,IMPLANTS INBONE TALAR DOME SZ 5 SULCUS,C1776,"$19,257.00 "
2150459,IMPLANTS INBONE TALAR DOME SZ 6 SULCUS,C1776,"$19,257.00 "
2150460,SCREWS DARCO HEADED 4.5MMX44MM SHORT,C1713,"$1,188.00 "
2150461,IMPLANTS INBONE TALAR STEM 14MM,C1776,"$5,663.00 "
2150462,IMPLANTS INBONE TIB TRAY RT SZ 2 LNG,C1776,"$7,787.00 "
2150463,IMPLANTS INBONE TIB TRAY RT SZ 3 LNG,C1776,"$7,787.00 "
2150464,IMPLANTS INBONE TIB TRAY RT SZ 4 LNG,C1776,"$7,787.00 "
2150465,IMPLANTS INBONE TIB TRAY RT SZ 5 LNG,C1776,"$7,787.00 "
2150466,SCREWS DARCO HEADED 4.5MMX44MM FULL,C1713,"$1,188.00 "
2150467,"PLATE, LATERAL FIBULA LLG",C1713,"$7,150.00 "
2150468,"PLATE, LATERAL FIBULA LMD",C1713,"$7,150.00 "
2150469,"PLATE, LATERAL FIBULA LSM",C1713,"$7,150.00 "
2150470,"PLATE, LATERAL FIBULA R LG",C1713,"$6,398.00 "
2150471,"PLATE, LATERAL FIBULA R MD",C1713,"$7,150.00 "
2150472,"PLATE, LATERAL FIBULA R SM",C1713,"$7,150.00 "
2150473,SCREWS DARCO HEADED 4.5MMX42MM LONG,C1713,"$1,188.00 "
2150474,SCREWS DARCO HEADED 4.5MMX40MM SHORT,C1713,"$1,188.00 "
2150476,SCREWS DARCO HEADED 4.5MMX40MM LONG,C1713,"$1,188.00 "
2150477,SCREWS DARCO HEADED 4.5MMX40MM FULL,C1713,"$1,188.00 "
2150478,SCREWS DARCO HEADED 4.5MMX38MM SHORT,C1713,"$1,188.00 "
2150479,SCREWS DARCO HEADED 4.5MMX36MM SHORT,C1713,"$1,188.00 "
2150480,"PLATE, MEDIAL MALLEOLAR LG",C1713,"$3,359.00 "
2150481,"PLATE, MEDIAL MALLEOLAR SM",C1713,"$3,755.00 "
2150482,PLATE MEDIAL TIBIA LMD,C1713,"$9,378.00 "
2150483,PLATE MEDIAL TIBIA LSM,C1713,"$9,378.00 "
2150484,PLATE MEDIAL TIBIA R MD,C1713,"$9,378.00 "
2150485,PLATE MEDIAL TIBIA R SM,C1713,"$9,378.00 "
2150486,IMPLANTS METAL HEMI LARGE,C1889,"$6,138.00 "
2150487,SCREWS DARCO HEADED 4.5MMX36MM LONG,C1713,"$1,188.00 "
2150488,SCREWS DARCO HEADED 4.5MMX34MM SHORT,C1713,"$1,188.00 "
2150489,SCREWS DARCO HEADED 4.5MMX34MM LONG,C1713,"$1,188.00 "
2150490,SCREWS DARCO HEADED 4.5MMX32MM SHORT,C1713,"$1,188.00 "
2150491,SCREWS DARCO HEADED 4.5MMX32MM LONG,C1713,"$1,188.00 "
2150492,SCREWS DARCO HEADED 4.5MMX30MM SHORT,C1713,"$1,188.00 "
2150493,SCREWS DARCO HEADED 4.5MMX30MM LONG,C1713,"$1,188.00 "
2150494,IMPLANTS METATARSAL DECOMPRESSION SIZE 1,C1776,"$15,943.00 "
2150495,SCREWS DARCO HEADED 4.5MMX26MM SHORT,C1713,"$1,188.00 "
2150496,IMPLANTS METATARSAL DECOMPRESSION SIZE 3,C1776,"$15,943.00 "
2150498,IMPLANTS OLYMPIA SHOULDER 40MM HEAD +3MM,C1776,"$8,079.00 "
2150499,IMPLANTS OLYMPIA SHOULDER 40MM HEAD -3MM,C1776,"$8,079.00 "
2150500,SCREWS DARCO HEADED 4.0X55SHORT,C1713,"$1,167.00 "
2150501,GLENOID OLYMPIA SHOULDER 40MM KEELED,C1776,"$8,792.00 "
2150502,SCREWS DARCO HEADED 4.0X50LONG,C1713,"$1,167.00 "
2150503,IMPLANTS OLYMPIA SHOULDER 44MM HEAD STANDARD,C1776,"$8,079.00 "
2150504,SCREWS DARCO HEADED 4.0X46SHORT,C1713,"$1,167.00 "
2150505,SCREWS DARCO HEADED 4.0X44LONG,C1713,"$1,167.00 "
2150506,SCREWS DARCO HEADED 4.0X44FULL,C1713,"$1,167.00 "
2150507,SCREWS DARCO HEADED 4.0X40LONG,C1713,"$1,167.00 "
2150508,SCREWS DARCO HEADED 4.0X36LONG,C1713,"$1,167.00 "
2150509,SCREWS DARCO HEADED 4.0X30SHORT,C1713,"$1,167.00 "
2150510,SCREWS DARCO HEADED 4.0X28SHORT,C1713,"$1,167.00 "
2150511,GLENOID OLYMPIA SHOULDER 52MM KEELED,C1776,"$8,792.00 "
2150512,SCREWS DARCO HEADED 4.0X26LONG,C1713,"$1,167.00 "
2150513,SCREWS DARCO HEADED 4.0X24SHORT,C1713,"$1,167.00 "
2150514,SCREWS DARCO HEADED 4.0MMX60MM SHORT,C1713,"$1,167.00 "
2150515,SCREWS DARCO HEADED 4.0MMX50MM SHORT,C1713,"$1,167.00 "
2150516,SCREWS DARCO HEADED 4.0MMX50MM LONG,C1713,"$1,167.00 "
2150517,IMPLANTS OLYMPIA SHOULDER STEM REV 10X175MM NON-SLOTTED,C1776,"$17,556.00 "
2150518,IMPLANTS OLYMPIA SHOULDER STEM REV 10X225MM NON-SLOTTED,C1776,"$17,556.00 "
2150519,IMPLANTS OLYMPIA SHOULDER STEM REV 12X175MM NON-SLOTTED,C1776,"$17,556.00 "
2150520,IMPLANTS OLYMPIA SHOULDER STEM REV 12X225MM NON-SLOTTED,C1776,"$17,556.00 "
2150521,IMPLANTS OLYMPIA SHOULDER STEM REV 8X175MM NON-SLOTTED,C1776,"$17,556.00 "
2150522,IMPLANTS OLYMPIA SHOULDER STEM REV 8X225MM NON-SLOTTED,C1776,"$17,556.00 "
2150523,SCREWS DARCO HEADED 4.0MMX48MM FULL,C1713,"$1,167.00 "
2150524,SCREWS DARCO HEADED 4.0MMX46MM LONG,C1713,"$1,167.00 "
2150525,SCREWS DARCO HEADED 4.0MMX46MM FULL,C1713,"$1,167.00 "
2150526,SCREWS DARCO HEADED 4.0MMX44MM SHORT,C1713,"$1,167.00 "
2150527,SCREWS DARCO HEADED 4.0MMX44MM LONG,C1713,"$1,167.00 "
2150528,SCREWS DARCO HEADED 4.0MMX44MM FULL,C1713,"$1,167.00 "
2150529,IMPLANTS OLYMPIA SHOULDER STEM STD 14X125MM NON-SLOTTED,C1776,"$15,040.00 "
2150530,SCREWS DARCO HEADED 4.0MMX42MM SHORT,C1713,"$1,167.00 "
2150531,IMPLANTS OLYMPIA SHOULDER STEM STD 6X125MM NON-SLOTTED,C1776,"$15,040.00 "
2150532,SCREWS DARCO HEADED 4.0MMX42MM LONG,C1713,"$1,167.00 "
2150533,COMP ORTHOSPHERE CERAMIC SPHERICAL 10MM,C1776,"$8,889.00 "
2150534,SCREWS DARCO HEADED 4.0MMX42MM FULL,C1713,"$1,167.00 "
2150535,SCREWS DARCO HEADED 4.0MMX40MM SHORT,C1713,"$1,167.00 "
2150536,SCREWS DARCO HEADED 4.0MMX40MM LONG,C1713,"$1,167.00 "
2150537,SCREWS DARCO HEADED 4.0MMX40MM FULL,C1713,"$1,167.00 "
2150538,COMP ORTHOSPHERE CERAMIC SPHERICAL 9MM,C1776,"$8,889.00 "
2150539,SCREWS DARCO HEADED 4.0MMX38MM SHORT,C1713,"$1,167.00 "
2150540,SCREWS DARCO HEADED 4.0MMX38MM LONG,C1713,"$1,167.00 "
2150541,SCREWS DARCO HEADED 4.0MMX38MM FULL,C1713,"$1,167.00 "
2150542,SCREWS DARCO HEADED 4.0MMX36MM SHORT,C1713,"$1,167.00 "
2150543,SCREWS DARCO HEADED 4.0MMX36MM LONG,C1713,"$1,167.00 "
2150544,SCREWS DARCO HEADED 4.0MMX36MM FULL,C1713,"$1,167.00 "
2150545,SCREWS DARCO HEADED 4.0MMX34MM SHORT,C1713,"$1,167.00 "
2150546,SCREWS DARCO HEADED 4.0MMX34MM LONG,C1713,"$1,167.00 "
2150547,SCREWS DARCO HEADED 4.0MMX34MM FULL,C1713,"$1,167.00 "
2150548,SCREWS DARCO HEADED 4.0MMX32MM SHORT,C1713,"$1,167.00 "
2150549,SCREWS DARCO HEADED 4.0MMX32MM LONG,C1713,"$1,167.00 "
2150550,SCREWS DARCO HEADED 4.0MMX32MM FULL,C1713,"$1,167.00 "
2150551,SCREWS DARCO HEADED 4.0MMX30MM SHORT,C1713,"$1,167.00 "
2150552,SCREWS DARCO HEADED 4.0MMX30MM LONG,C1713,"$1,167.00 "
2150553,SCREWS DARCO HEADED 4.0MMX30MM FULL,C1713,"$1,167.00 "
2150554,SCREWS DARCO HEADED 4.0MMX28MM SHORT,C1713,"$1,167.00 "
2150555,SCREWS DARCO HEADED 4.0MMX28MM LONG,C1713,"$1,167.00 "
2150556,SCREWS DARCO HEADED 4.0MMX28MM FULL,C1713,"$1,167.00 "
2150557,SCREWS DARCO HEADED 4.0MMX26MM SHORT,C1713,"$1,167.00 "
2150558,SCREWS DARCO HEADED 4.0MMX26MM FULL,C1713,"$1,167.00 "
2150559,SCREWS DARCO HEADED 4.0MMX24MM SHORT,C1713,"$1,167.00 "
2150560,SCREWS DARCO HEADED 4.0MMX24MM FULL,C1713,"$1,167.00 "
2150561,SCREWS DARCO HEADED 4.0MMX22MM LONG,C1713,"$1,167.00 "
2150562,SCREWS DARCO HEADED 3.5X50FULL,C1713,$962.00 
2150563,SCREWS DARCO HEADED 3.5X48SHORT,C1713,$962.00 
2150565,SCREWS DARCO HEADED 3.5X44LONG,C1713,$962.00 
2150566,IMPLANTS SWANSON FINGER JOINT 00 W/O GROMMETS,C1776,"$4,583.00 "
2150567,IMPLANTS SWANSON FINGER JOINT 1 W/O GROMMETS,C1776,"$4,583.00 "
2150568,SCREWS DARCO HEADED 3.5X44FULL,C1713,$962.00 
2150569,SCREWS DARCO HEADED 3.5X42LONG,C1713,$962.00 
2150570,SCREWS DARCO HEADED 3.5X38LONG,C1713,$962.00 
2150571,SCREWS DARCO HEADED 3.5X36SHORT,C1713,$962.00 
2150572,SCREWS DARCO HEADED 3.5X34LONG,C1713,$962.00 
2150573,SCREWS DARCO HEADED 3.5X34FULL,C1713,$962.00 
2150574,SCREWS DARCO HEADED 3.5MMX60MM SHORT,C1713,$962.00 
2150575,SCREWS DARCO HEADED 3.5MMX55MM SHORT,C1713,$962.00 
2150576,SCREWS DARCO HEADED 3.5MMX46MM FULL,C1713,$962.00 
2150577,IMPLANTS SWANSON FLEX TOE REGULAR 6 W/O GROMMETS,C1776,"$4,306.00 "
2150578,IMPLANTS SWANSON FLEX TOE REGULAR 7 W/O GROMMETS,C1776,"$4,306.00 "
2150579,SCREWS DARCO HEADED 3.5MMX44MM SHORT,C1713,$962.00 
2150580,SCREWS DARCO HEADED 3.5MMX44MM LONG,C1713,$962.00 
2150581,SCREWS DARCO HEADED 3.5MMX42MM SHORT,C1713,$962.00 
2150582,SCREWS DARCO HEADED 3.5MMX42MM FULL,C1713,$962.00 
2150583,SCREWS DARCO HEADED 3.5MMX40MM LONG,C1713,$962.00 
2150584,SCREWS DARCO HEADED 3.5MMX40MM FULL,C1713,$962.00 
2150585,SCREWS DARCO HEADED 3.5MMX38MM SHORT,C1713,$962.00 
2150586,SCREWS DARCO HEADED 3.5MMX38MM LONG,C1713,$962.00 
2150587,SCREWS DARCO HEADED 3.5MMX38MM FULL,C1713,$962.00 
2150588,SCREWS DARCO HEADED 3.5MMX36MM SHORT,C1713,$962.00 
2150589,SCREWS DARCO HEADED 3.5MMX36MM LONG,C1713,$962.00 
2150590,SCREWS DARCO HEADED 3.5MMX36MM FULL,C1713,$962.00 
2150591,SCREWS DARCO HEADED 3.5MMX34MM SHORT,C1713,$962.00 
2150596,SCREWS DARCO HEADED 3.5MMX34MM LONG,C1713,$962.00 
2150597,SCREWS DARCO HEADED 3.5MMX34MM FULL,C1713,$962.00 
2150601,SCREWS DARCO HEADED 3.5MMX32MM SHORT,C1713,$962.00 
2150602,SCREWS DARCO HEADED 3.5MMX32MM LONG,C1713,$962.00 
2150603,INBONE SAW BLADE MICROAIRE HALL / LINVATEC NARROW STERILE,,$720.00 
2150604,SCREWS DARCO HEADED 3.5MMX32MM FULL,C1713,$962.00 
2150605,INBONE SAW BLADE MICROAIRE STRYKER NARROW STERILE,,$720.00 
2150606,INBONE STEM TIB MID SMOOTH SIZE 12MM DIA,C1776,"$2,762.00 "
2150607,INBONE STEM TIB MID SMOOTH SIZE 14MM DIA,C1776,"$2,762.00 "
2150608,INBONE STEM TIB MID SMOOTH SIZE 16MM DIA,C1776,"$2,762.00 "
2150609,INBONE STEM TIB MID SMOOTH SIZE 18MM DIA,C1776,"$2,762.00 "
2150610,INBONE STEM TIBIAL TOP SIZE 12MM,C1776,"$2,762.00 "
2150611,INBONE STEM TIBIAL TOP SIZE 14MM,C1776,"$2,762.00 "
2150612,INBONE STEM TIBIAL TOP SIZE 16MM,C1776,"$2,762.00 "
2150613,SCREWS DARCO HEADED 3.5MMX30MM SHORT,C1713,$962.00 
2150614,INBONE TALAR DOME SZ 1 SULCUS,C1776,"$19,257.00 "
2150617,SCREWS DARCO HEADED 3.5MMX30MM LONG,C1713,$962.00 
2150618,SCREWS DARCO HEADED 3.5MMX30MM FULL,C1713,$962.00 
2150619,"GRAFTJACKET MAXSTRIP LONG TENDON 1X12CM, PER SQ CM",Q4107,$652.00 
2150620,"GRAFTJACKET STD THICKNESS 4X7CM, PER SQ CM",Q4107,$363.00 
2150622,"GRAFTJACKET SML LIGAMENT REPAIR MATRIX 5X30MM, PER SQ CM",Q4107,$33.00 
2150623,SCREWS DARCO HEADED 3.5MMX28MM LONG,C1713,$962.00 
2150624,KITS BONE MARROW ASPIRATION BMA,,$109.00 
2150625,SCREWS DARCO HEADED 3.5MMX28MM FULL,C1713,$962.00 
2150626,KITS NEEDLE STERILE 10CM 8GA J-TYPE PRO-DENSE BLUE,,$137.00 
2150627,SCREWS DARCO HEADED 3.5MMX26MM SHORT,C1713,$962.00 
2150628,SCREWS DARCO HEADED 3.5MMX26MM LONG,C1713,$962.00 
2150631,K-WIRE 1.0MM X 100MM DOUBLE TROCAR SMOOTH,,$69.00 
2150632,K-WIRE 1.1X150MM SS NONSTERILE DBL TROCAR IMPLANTABLE,,$188.00 
2150633,K-WIRE 1.4MM 4IN,,$148.00 
2150635,K-WIRE 1.6X150MM SS NONSTERILE DBL TROCAR IMPLANTABLE,,$188.00 
2150636,K-WIRE GUIDE 1.4MM,,"$1,538.00 "
2150637,SHEATH ACCESS FLEXOR L35 CM ID10.7 FR URETER,C1894,$425.00 
2150638,SHEATH ACCESS FLEXOR L45 CM ID10.7 FR URETER,C1894,$425.00 
2150640,K-WIRES .045INX5IN SINGLE TROCAR POINT STAINLESS STEEL,,$119.00 
2150641,K-WIRES .045INX5IN SS SINGLE TROCAR POINT,,$119.00 
2150642,K-WIRES .062INX5IN MICRONAILDISTAL RADIUS SYSTEM,,$119.00 
2150643,K-WIRES 0.9MM 4IN,,$47.00 
2150644,K-WIRES 0.9X150MM,,$119.00 
2150645,K-WIRES 1.1MM 4IN,,$148.00 
2150646,K-WIRES 1.1MM X 4IN,,$69.00 
2150647,SCREWS DARCO HEADED 3.5MMX26MM FULL,C1713,$962.00 
2150648,SCREWS DARCO HEADED 3.5MMX24MM SHORT,C1713,$962.00 
2150649,K-WIRES 2.5MMX150MM,,$108.00 
2150650,K-WIRES 2.5MMX230MM NO THREAD CHARLOTTE F&A SYSTEM,,$119.00 
2150651,SCREWS DARCO HEADED 3.5MMX24MM FULL,C1713,$962.00 
2150652,SCREWS DARCO HEADED 3.5MMX22MM LONG,C1713,$962.00 
2150653,SCREWS DARCO HEADED 3.5MMX22MM FULL,C1713,$962.00 
2150654,K-WIRES DARCO HEADED 2.5MM,,$119.00 
2150655,SCREWS DARCO HEADED 3.5MMX20MM SHORT,C1713,$962.00 
2150656,SCREWS DARCO HEADED 3.5MMX20MM FULL,C1713,$962.00 
2150657,SCREWS DARCO HEADED 3.5MMX18MM FULL,C1713,$962.00 
2150658,SCREWS DARCO HEADED 2.7X18FULL,C1713,$882.00 
2150659,K-WIRES DARCO HEADED 3MM 270MM LONG THREAD TIP,,$119.00 
2150660,K-WIRES DARCOHEADED 1.2MM QTY6 150MM LONG SMOOTH TIP,,$411.00 
2150661,K-WIRES DARCOHEADED 1.6MM QTY6 150MM LONG SMOOTH TIP,,$411.00 
2150662,SCREWS DARCO HEADED 2.7MMX34MM SHORT,C1713,$882.00 
2150663,SCREWS DARCO HEADED 2.7MMX32MM SHORT,C1713,$882.00 
2150664,SCREWS DARCO HEADED 2.7MMX28MM SHORT,C1713,$882.00 
2150665,SCREWS DARCO HEADED 2.7MMX26MM SHORT,C1713,$882.00 
2150666,"LAPIDUS NX  PLATE- NEUTRAL, L CROSSCHECK PLATING SYSTEM",C1713,"$8,295.00 "
2150667,SCREWS DARCO HEADED 2.7MMX24MM SHORT,C1713,$882.00 
2150668,SCREWS DARCO HEADED 2.7MMX22MM SHORT,C1713,$882.00 
2150669,LAPIDUS PLATE 2MM,C1713,"$7,697.00 "
2150670,LAPIDUS PLATE 3MM,C1713,"$7,697.00 "
2150671,LAPIDUS PLATE 4MM,C1713,"$7,697.00 "
2150672,SCREWS DARCO HEADED 2.7MMX20MM SHORT,C1713,$882.00 
2150673,SCREWS DARCO HEADED 2.7MMX18MM SHORT,C1713,$882.00 
2150676,LARGE TRICORTICAL BLOCK,,"$8,262.00 "
2150677,LINERS EZ FRAME LRG STERILE,,"$1,246.00 "
2150678,LINERS EZ FRAME STANDARD STERILE,,"$1,246.00 "
2150680,"K-WIRE, LMH .045IN X 4IN",,$324.00 
2150681,SCREWS DARCO HEADED 2.7MMX18MM FULL,C1713,$882.00 
2150682,LMH IMPLANT SYSTEM IMPLANT SIZE 1,C1776,"$15,278.00 "
2150683,LMH IMPLANT SYSTEM IMPLANT SIZE 2,C1776,"$15,278.00 "
2150684,LMH IMPLANT SYSTEM IMPLANT SIZE 3,C1776,"$15,278.00 "
2150686,LOCKING  CORT SCREW 3.5 X 10MM ORTHOLOC 3DSI,C1713,$983.00 
2150687,LOCKING CANC SCREW 3.5 X 45MM ORTHOLOC 3DSI,C1713,$983.00 
2150688,LOCKING CANC SCREW 3.5 X 50MM ORTHOLOC 3DSI,C1713,$983.00 
2150689,LOCKING CANC SCREW 3.5 X 60MM ORTHOLOC 3DSI,C1713,$983.00 
2150690,LOCKING CORT SCREW 2.7 X 10MM ORTHOLOC 3DSI,C1713,$983.00 
2150691,LOCKING CORT SCREW 2.7 X 38MM ORTHOLOC 3DSI,C1713,$983.00 
2150692,LOCKING CORT SCREW 2.7 X 40MM ORTHOLOC 3DSI,C1713,$983.00 
2150693,LOCKING CORT SCREW 2.7 X 45MM ORTHOLOC 3DSI,C1713,$983.00 
2150694,LOCKING CORT SCREW 2.7 X 50MM ORTHOLOC 3DSI,C1713,$983.00 
2150695,LOCKING CORT SCREW 3.5 X 45MM ORTHOLOC 3DSI,C1713,$983.00 
2150696,LOCKING CORT SCREW 3.5 X 50MM ORTHOLOC 3DSI,C1713,$983.00 
2150697,LOCKING CORT SCREW 3.5 X 55MM ORTHOLOC 3DSI,C1713,$983.00 
2150698,LOCKING CORT SCREW 3.5 X 60MM ORTHOLOC 3DSI,C1713,$983.00 
2150699,SCREWS DARCO HEADED 2.7MMX16MM SHORT,C1713,$882.00 
2150700,LOCKING SCREW 3.5 X 12 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150701,LOCKING SCREW 3.5 X 14 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150702,LOCKING SCREW 3.5 X 16 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150703,LOCKING SCREW 3.5 X 18 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150704,SCREWS DARCO HEADED 2.7MMX16MM FULL,C1713,$882.00 
2150705,SCREWS DARCO HEADED 2.7MMX14MM SHORT,C1713,$882.00 
2150706,SCREWS DARCO HEADED 2.7MMX14MM FULL,C1713,$882.00 
2150707,LOCKING SCREW 3.5 X 26 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150708,LOCKING SCREW 3.5 X 28 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150709,LOCKING SCREW 3.5 X 30 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150710,LOCKING SCREW 3.5 X 32 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150711,LOCKING SCREW 3.5 X 34 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150712,LOCKING SCREW 3.5 X 36 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150713,LOCKING SCREW 3.5 X 38 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150714,LOCKING SCREW 3.5 X 40 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,282.00 "
2150715,SCREWS DARCO HEADED 2.7MMX12MM SHORT,C1713,$882.00 
2150720,SCREW COUNTERSINK 6.0MM CANNULATED DART-FIRE COMPRESSION,,$764.00 
2150721,SCREWS CORTICAL 2.7MMX20MM MICRONAILDISTAL RADIUS SYSTEM,C1713,$389.00 
2150722,SCREWS CORTICAL 2.7MMX18MM MICRONAILDISTAL RADIUS SYSTEM,C1713,$389.00 
2150723,SCREWS CORT EVOLVE EPS 2.7X30MM POLYAXIAL LOCKING,C1713,$976.00 
2150724,SCREWS CORT EVOLVE EPS 2.7X26MM POLYAXIAL LOCKING,C1713,$976.00 
2150725,SCREWS CORT EVOLVE EPS 2.7X26MM NON LOCKING,C1713,$414.00 
2150726,MIDFOOT FUSION STRAIGHT PLATE,C1713,"$4,968.00 "
2150727,MIDFOOT FUSION T-PLATE LEFT,C1713,"$5,364.00 "
2150728,MIDFOOT FUSION T-PLATE RIGHT,C1713,"$5,364.00 "
2150729,MIDFOOT FUSION U-PLATE LG L,C1713,"$8,846.00 "
2150730,MIDFOOT FUSION U-PLATE LG R,C1713,"$8,846.00 "
2150731,MIDFOOT FUSION U-PLATE MD L,C1713,"$8,846.00 "
2150732,MIDFOOT FUSION U-PLATE MD R,C1713,"$8,846.00 "
2150733,MIDFOOT FUSION U-PLATE SM L,C1713,"$7,524.00 "
2150734,MIDFOOT FUSION U-PLATE SM R,C1713,"$8,846.00 "
2150735,MIIG X3 15CC,,"$12,330.00 "
2150736,MIIG X3 5CC,,"$8,453.00 "
2150737,MIIG X3 HI VISC 15CC,,"$12,330.00 "
2150738,MINI IGNITE POWER MIX 4CC,C1713,"$7,028.00 "
2150739,MINI MIIG 115,,"$4,004.00 "
2150740,MINI MIIG X3 HI VISC 7CC,,"$8,806.00 "
2150741,SCREWS CORT EVOLVE EPS 2.7X18MM NON LOCKING,C1713,$414.00 
2150743,SCREWS CORT EVOLVE EPS 2.7X14MM NON LOCKING,C1713,$414.00 
2150765,SCREWS CLAWII -3.5 CANC - 18MM,C1713,$983.00 
2150766,MTP FUSION MED. 0DG LT,C1713,"$7,697.00 "
2150767,MTP FUSION MED. 0DG RT,C1713,"$6,887.00 "
2150768,MTP FUSION MED. 10DG LT,C1713,"$7,697.00 "
2150769,MTP FUSION MED. 10DG RT,C1713,"$7,697.00 "
2150770,MTP FUSION MED. 5DG RT,C1713,"$7,697.00 "
2150771,MTP FUSION REV. LARGE LT,C1713,"$8,410.00 "
2150772,MTP FUSION REV. LARGE RT,C1713,"$8,410.00 "
2150773,MTP FUSION REV. LT,C1713,"$7,524.00 "
2150774,MTP FUSION REV. RT,C1713,"$7,524.00 "
2150775,MTP FUSION SMALL 0DG LT,C1713,"$7,697.00 "
2150776,MTP FUSION SMALL 0DG RT,C1713,"$7,697.00 "
2150777,MTP FUSION SMALL 10DG LT,C1713,"$7,697.00 "
2150778,MTP FUSION SMALL 10DG RT,C1713,"$7,697.00 "
2150779,MTP FUSION SMALL 5DG LT,C1713,"$6,887.00 "
2150780,MTP FUSION SMALL 5DG RT,C1713,"$7,697.00 "
2150781,SCREWS CAN EVOLVE EPS 3.5X60MM NON LOCKING,C1713,$414.00 
2150782,SCREWS CAN EVOLVE EPS 3.5X40MM POLYAXIAL LOCKING,C1713,$976.00 
2150783,MTP SMALL PLATE - LEFT TCP SYSTEM,C1713,"$5,987.00 "
2150784,MTP SMALL PLATE - RIGHT TCP SYSTEM,C1713,"$5,987.00 "
2150786,NAIL ALLOGRAFT 2.7 X 16 MM,C1762,"$6,480.00 "
2150787,NAIL ALLOGRAFT 2.7 X 18 MM,C1762,"$6,480.00 "
2150788,NAIL ALLOGRAFT 2.7 X 22 MM,C1762,"$6,480.00 "
2150790,"WIRE, KIRSCHNER, NAILS VALOR 3.0MM BEADED",,$990.00 
2150791,"WIRE, KIRSCHNER, NAILS VALOR 3.0MM",,$990.00 
2150792,NAILS VALOR 4.3MM DRILL LONG STERILE,,"$1,127.00 "
2150793,NAILS VALOR 4.3MM DRILL SHORT STERILE,,"$1,127.00 "
2150794,SCREWS BUTTRESS 2.5MMX28MM MICRONAILDISTAL RADIUS SYSTEM,C1713,$767.00 
2150795,NAILS VALOR FREE HAND DRILL STERILE,,"$1,127.00 "
2150796,NAILS VALOR LRG LT 10MMX250MM,C1713,"$13,187.00 "
2150797,NAILS VALOR LRG LT 11.5MMX250MM,C1713,"$13,187.00 "
2150798,NAILS VALOR LRG RT 10MMX250MM,C1713,"$13,187.00 "
2150799,NAILS VALOR LRG RT 11.5MMX250MM,C1713,"$13,187.00 "
2150800,NAILS VALOR MED LT 10MMX200MM,C1713,"$13,187.00 "
2150801,NAILS VALOR MED LT 11.5MMX200MM,C1713,"$13,187.00 "
2150802,NAILS VALOR MED RT 10MMX200MM,C1713,"$13,187.00 "
2150803,NAILS VALOR MED RT 11.5MMX200MM,C1713,"$13,187.00 "
2150804,NAILS VALOR SML LT 10MMX150MM,C1713,"$13,187.00 "
2150805,NAILS VALOR SML LT 11.5MMX150MM,C1713,"$13,187.00 "
2150806,NAILS VALOR SML RT 10MMX150MM,C1713,"$13,187.00 "
2150807,NAILS VALOR SML RT 11.5MMX150MM,C1713,"$13,187.00 "
2150808,NAILS VALOR XL LT 10X300MM,C1713,"$13,187.00 "
2150809,NAILS VALOR XL LT 11. 5X300MM,C1713,"$13,187.00 "
2150810,NAILS VALOR XL RT 10X300MM,C1713,"$13,187.00 "
2150811,NAILS VALOR XL RT 11. 5X300MM,C1713,"$13,187.00 "
2150812,SCREWS BUTTRESS 2.5MMX26MM MICRONAILDISTAL RADIUS SYSTEM,C1713,$767.00 
2150813,SCREWS 7.0 MUC 85MMX32MM CHARLOTTE F&A SYSTEM,C1713,"$3,989.00 "
2150815,SCREWS 7.0 MUC 60MMX16MM CHARLOTTE F&A SYSTEM,C1713,"$3,989.00 "
2150816,SCREWS 7.0 MUC 50MMX16MM CHARLOTTE F&A SYSTEM,C1713,"$3,989.00 "
2150817,SCREWS 7.0 MUC 45MMX16MM CHARLOTTE F&A SYSTEM,C1713,"$3,989.00 "
2150818,NON-LOCKING SCREW 3.5 X 10 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,008.00 "
2150819,NON-LOCKING SCREW 3.5 X 12 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,008.00 "
2150820,NON-LOCKING SCREW 3.5 X 14 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,008.00 "
2150821,NON-LOCKING SCREW 3.5 X 16 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,008.00 "
2150822,NON-LOCKING SCREW 3.5 X 18 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,008.00 "
2150823,NON-LOCKING SCREW 3.5 X 20 MM CROSSCHECK PLATING SYSTEM,C1713,"$1,008.00 "
