Roper St. Francis Healthcare Hospital Facilities,,
2019 Standard Charges,,
,,
ITEM,DESCRIPTION,CHARGE
60238,IMPELLA INSERTION (ABIOMED),"$6,491.00 "
72764,IMPLANT ANKLE,"$4,973.33 "
79270,IMPLANT BAERVELDT,"$1,797.00 "
71584,IMPLANT CARDIAC EVENT RECORDER,"$14,715.00 "
79712,IMPLANT GASTRIC LAP BAND,"$11,740.00 "
71884,IMPLANT LOOP RECORDER BIOTRONIK,"$12,000.00 "
13628,IMPLANT PUMP REFILL SYSTEMIC,$412.00 
77166,IMPLANT SHOULDER,"$17,608.67 "
55032,IMPLANT SPINAL CORD STIM,"$2,901.00 "
79786,IMPLANT VOICE PROLARYN PLUS,"$1,989.00 "
13822,IMPLANTABLE PORT FLUSH ONLY,$173.00 
60152,IMPLANTATION CARDIAC EVENT RECORD,"$14,235.00 "
37060,IMRT RAD THERAPY DOSE PLANNING,"$12,067.00 "
14620,INCISION/DRAINAGE OF ABSCESS,$219.00 
823,indapamide 2.5 mg Tab,$2.65 
25052,INDIA INK PREP SMEAR,$187.00 
1294,indigo carmine 8 mg/mL Inj Soln 5 mL,$663.95 
265,indinavir 200 mg Cap,$6.55 
155,indinavir 400 mg Cap,$13.05 
14118,INDIV TRNG/ASSESSMENT PER 30 MINS,$70.00 
3967,indocyanine green 25 mg Inj,$376.85 
1519,indomethacin 1 mg IV Inj,"$1,378.90 "
156,indomethacin 25 mg Cap,$2.65 
157,indomethacin 50 mg Cap,$2.65 
442,indomethacin 50 mg Rectal Supp,$435.35 
268,indomethacin 75 mg ER Cap,$6.65 
6100,infant formula hydrolyzed protein Soln 5 ml,$0.15 
3482,infant formula regular pack Soln 5 mL,$6.10 
22048,INFECTIOUS AGENT BACT AMP PROBE,$84.00 
25242,INFECTIOUS AGENT CONCENTRATION,$50.00 
3247,inFLIXimab 100 mg IV Inj,"$4,732.70 "
20210,INFLIXIMAB(IFX)/REMICADE,$170.00 
6250,inFLIXimab-DYYB 100 mg Pow,"$3,876.40 "
25220,INFLUENZA TYPE A BK - P,$177.00 
25222,INFLUENZA TYPE B BK - P,$177.00 
40406,INFLUENZA VACCINE ADMINISTRATION,$61.00 
6386,influenza virus vaccine inactivated preservative-free quadrivalent susp 2018-19,$31.80 
29548,INHIBIN A - P,$126.00 
29761,INHIBIN A ULTRASENSITIVE,$161.00 
21712,INHIBIN B,$218.00 
23060,INHIBITOR STUDY,$328.00 
42314,INITIAL ON ROAD EVAL LEVEL 1,$214.00 
42320,INITIAL ON ROAD EVAL LEVEL 2,$267.00 
60302,INJECT VENOGRAM EXTREMITY,$161.00 
6397,inotuzumab ozogamicin 0.9 mg Pow,"$92,041.40 "
37110,INS UTERINE TANDEM/VAGINAL OVOID,"$1,885.00 "
37112,INS VAGINAL CYLDR-BRACHYTHERAPY,"$2,011.00 "
60200,INSERT DUAL CHAMBER ICD,"$19,000.00 "
60198,INSERT SINGLE CHAMBER ICD,"$17,050.00 "
14054,INSERT TISSUE EXPANDER-DERMACLOSE,"$2,439.00 "
60230,INSERT/REPL BIVENT ICD GEN,"$11,584.00 "
60122,INSERT/REPL PACEMAKER,"$5,988.00 "
60114,INSERT/REPLACE ICD PULSE,"$11,584.00 "
13722,INSERTION APHERESIS CATH,"$2,001.00 "
60204,INSRT/REPOS LEAD DUAL ICD AND GEN,"$6,555.00 "
60202,INSRT/REPOS LEAD SGLE ICD AND GEN,"$6,555.00 "
1882,insulin (regular) 100 units/100 mL NS (ANES),$0.55 
28070,INSULIN AB,$803.00 
4412,insulin aspart 100 units/mL Subcut Soln 10 mL,$4.85 
4670,insulin aspart protamine-insulin aspart 70-30,$0.05 
5622,insulin detemir 100 units/mL Subcut Soln 10 mL,$10.50 
4833,insulin detemir 100 units/mL Subcut Soln 3 mL,$31.40 
4338,insulin glargine 100 units/mL Subcut Soln 10 mL,$25.90 
5332,insulin glargine 100 units/mL Subcut Soln 3 mL,$0.30 
6209,insulin glulisine 100 units/mL Sol,$10.75 
4837,insulin isophane 100 units/mL human recombinant Subcut Susp 3 mL,$1.55 
4839,insulin isophane-insulin regular 70 units-30 units/mL human recombinant Subcut Susp 3 mL,$1.40 
5619,insulin lispro 100 units/mL Subcut Soln 10 mL,$5.20 
5819,insulin lispro 100 units/mL Subcut Soln 3 mL,$5.20 
4295,insulin lispro-insulin lispro protamine 25 units-75 units/mL Subcut Susp 10 mL,$5.20 
1882,insulin regular 100 units/mL human recombinant Inj Soln 10 mL,$0.55 
1882,insulin regular 100 units/mL human recombinant Inj Soln 10 mL,$0.55 
4840,insulin regular 100 units/mL human recombinant Inj Soln 3 mL,$1.40 
5603,insulin regular 100 units/mL human recombinant Inj Soln 3 mL.,$1.40 
28382,INSULIN TOTAL,$355.00 
5954,insulin U-500 (concentrated) 500 units/mL human recombinant Subcut Soln 20 mL,$67.50 
79770,INTEGRA MATRIX 2X2IN-SQ/CM USED,$378.00 
79772,INTEGRA MATRIX 2X2IN-SQ/CM WASTE,$378.00 
79774,INTEGRA MATRIX 4X5IN-SQ/CM USED,$107.00 
79776,INTEGRA MATRIX 4X5IN-SQ/CM WASTE,$107.00 
16000,INTENSIVE CARE,"$4,177.00 "
2296,interferon alfa-2b 10000000 intl units Inj,"$1,039.75 "
4757,interferon alfa-2b 10000000 intl units/mL Inj Soln 3.2 mL,"$3,585.20 "
4872,interferon alfa-2b 50000000 intl units Inj,"$5,511.20 "
4143,interferon alfa-2b 6000000 intl units/mL Inj Soln 3.8 mL,"$2,581.10 "
1899,interferon alfa-n3 5000000 intl units/mL Inj Soln 1 mL,"$1,391.45 "
4550,interferon beta-1a 22 mcg/0.5 mL Subcut Soln 0.5 mL,"$1,145.10 "
2978,interferon beta-1a 30 mcg/0.5 mL IM Kit,"$5,405.35 "
4559,interferon beta-1a 44 mcg/0.5 mL Subcut Soln 0.5 mL,"$1,145.10 "
1521,interferon beta-1b 0.3 mg Subcut Inj,$546.75 
4607,interferon gamma-1b 100 mcg/0.5 mL Subcut Soln 0.5 mL,$548.05 
22052,"INTERLEUKIN-6, SERUM",$60.00 
37108,INTERSTITIAL RAD CPLX-SVSION ETC,"$9,214.00 "
37092,INTERSTITIAL RADIATION COMPLEX,"$8,774.00 "
14122,INTIL MN ASSMNT INDIV PER 15 MIN,$32.00 
49008,"INTL POLYSOMN STDY LT 6HRS, 6YRS&","$4,516.00 "
49000,"INTL SLEEP STDY GT 6HRS, 6YRS&UP","$4,516.00 "
46114,"INTL STABLIZATION-NEWBORN,NO CPR",$196.00 
60088,INTRA CARDIAC ABLATION,"$18,968.00 "
60164,INTRACARDIAC 3-D MAPPING ADD-ON,"$8,931.00 "
37548,INTRACAV RADIOELEMENT APP COMPLEX,"$8,774.00 "
37010,INTRACAV RADIOELEMENT APP INTERM,"$7,676.00 "
20484,INTRAOP FROZEN SECT EA ADD BLOCK,$122.00 
20464,INTRAOP FROZEN SECT FIRST BLOCK,$206.00 
13880,INTRAUTERINE FETAL TRANSFUSION,"$1,030.00 "
13698,INTRAVESICAL BLADDER CHEMO ADMIN,"$2,283.00 "
29672,INTRINSIC FACTOR AB,$137.00 
70550,INTRODUCER SHEATH GROUP 1,$27.00 
70552,INTRODUCER SHEATH GROUP 2,$95.00 
70554,INTRODUCER SHEATH GROUP 3,$201.00 
70556,INTRODUCER SHEATH GROUP 4,$426.00 
70558,INTRODUCER SHEATH GROUP 5,$756.00 
70560,INTRODUCER SHEATH GROUP 6,"$1,543.00 "
78166,INTRODUCER SHEATH NON-LASER,$310.00 
46016,INTUBATION,$332.00 
2586,iodine 2% Topical Tincture 30 mL,$2.40 
2934,iodine 2% Topical Tincture 473 mL,$20.15 
20168,IODINE 24 HOUR URINE,$125.00 
21736,IODINE SERUM/PLASMA,$116.00 
5964,iodine-potassium iodide 5%-10% Oral and Topical Soln 15 mL,$103.10 
2580,iodine-potassium iodide 5%-10% Oral and Topical Soln 473 mL,$265.65 
824,iodoquinol 650 mg Tab,$6.90 
6081,iohexol 240 mg/mL Inj Soln 50 mL,$33.90 
6331,iopamidol 61% Sol 30mL,$2.65 
28384,IP OUTSIDE,$309.00 
2466,ipecac 7% Oral Syrup 30 mL,$17.35 
5728,ipilimumab 5 mg/mL IV Soln 10 mL,"$34,273.15 "
5727,ipilimumab 5 mg/mL IV Soln 40 mL,"$137,092.40 "
1900,ipratropium 0.5 mg/2.5 mL Inh Soln 2.5 mL,$6.40 
1901,ipratropium 21 mcg/inh (0.03%) Nasal Spray 30 mL,$110.60 
1902,ipratropium 42 mcg/inh (0.06%) Nasal Spray 15 mL,$95.75 
1495,ipratropium CFC free 17 mcg/inh Aerosol 12.9 gm,$8.55 
78808,IR-192 BRACHYTX NONSTRND PER SRC,"$1,668.00 "
3245,irbesartan 150 mg Tab,$2.65 
5194,irinotecan 20 mg/mL IV Soln 2 mL,$86.85 
1903,irinotecan 20 mg/mL IV Soln 5 mL,$156.45 
6174,irinotecan liposomal,$797.40 
21248,IRON,$122.00 
1904,iron dextran 50 mg/mL Inj Soln 2 mL,$64.65 
269,iron polysaccharide (as elemental iron) 150 mg Cap,$0.15 
23232,IRON STAIN (BONE MARROW),$170.00 
4591,iron sucrose 20 mg/mL IV Soln 5 mL,$166.90 
27616,IRRADIATION BLOOD PROD EA UNIT,$314.00 
6183,isavuconazonium 186 mg Cap,$359.35 
6197,isavuconazonium 372 mg Pow,"$1,147.75 "
21780,"ISH PER SPEC, EA ADDL PROBE",$167.00 
21778,"ISH PER SPEC, INITIAL PROBE",$167.00 
3844,isoflurane Inh Liquid 250 mL,$6.00 
825,isoniazid 100 mg Tab,$2.65 
826,isoniazid 300 mg Tab,$2.65 
5588,isopropyl alcohol 70% Topical Liquid 473 mL,$10.45 
1910,isoproterenol 0.2 mg/mL IV Soln 5 mL,"$5,053.10 "
832,isosorbide dinitrate 10 mg Tab,$3.15 
828,isosorbide dinitrate 2.5 mg SL Tab,$2.65 
834,isosorbide dinitrate 20 mg Tab,$3.65 
2981,isosorbide dinitrate 40 mg ER Cap,$17.15 
830,isosorbide dinitrate 5 mg Tab,$2.65 
827,isosorbide mononitrate 20 mg Tab,$2.65 
837,isosorbide mononitrate 30 mg ER Tab,$2.65 
838,isosorbide mononitrate 60 mg ER Tab,$2.65 
1295,isosulfan blue 10 mg/mL Inj Soln 5 mL,"$2,913.85 "
271,ISOtretinoin 20 mg Cap,$40.75 
839,isoxsuprine 10 mg Tab,$4.15 
272,isradipine 2.5 mg Cap,$5.35 
46080,I-STAT HEMATOCRIT - P,$56.00 
46072,I-STAT PH PCO2 PO2 - P,$269.00 
46076,I-STAT POTASSIUM,$100.00 
46074,I-STAT SODIUM - P,$100.00 
21120,I-STAT TROPONIN ED RH,$250.00 
1912,itraconazole 10 mg/mL Oral Soln 150 mL,$16.35 
274,itraconazole 100 mg Cap,$36.10 
60170,IV DOPPLER VELOCITY (RADI WIRE),"$6,970.00 "
60172,IV DOPPLER VELOCITY EA ADD VESSEL,$558.00 
13835,IV HYDRATN ADD HR ER BK W/PROC,$65.00 
13833,IV HYDRATN INTL HR ER BK W/PROC,$275.00 
13843,IV INF CONCURRENT EA BK W/PROC,$65.00 
13793,IV INF MEDS ADD HR ER BK W/PROC,$65.00 
13791,IV INF MEDS INTL HR ER BK W/PROC,$275.00 
13827,IV INF SEQ UP TO 1HR BK W/PROC,$75.00 
13834,IV INFUSION HYDRATION EA ADD HR,$65.00 
13832,IV INFUSION HYDRATION INTL HR,$275.00 
13842,IV INFUSION MEDS CONCURRENT EA,$65.00 
13792,IV INFUSION MEDS EACH ADDL HOUR,$65.00 
13790,IV INFUSION MEDS INITIAL HOUR,$275.00 
13826,IV INFUSION MEDS SEQ UP TO 1 HR,$75.00 
6139,ivabradine 5 mg Tab,$30.85 
6133,ivermectin 3 mg Tab,$20.05 
60174,IVUS PROCEDURE EA ADD VESSEL,$670.00 
60020,IVUS PROCEDURE INITIAL VESSEL,"$3,041.00 "
5421,ixabepilone 15 mg IV Inj,"$5,318.85 "
5420,ixabepilone 45 mg IV Inj,"$15,956.45 "
20236,JAK2 (V617F) MUTATION DETECTION,$187.00 
21724,JC VIRUS DNA PCR BLOOD,$534.00 
21722,JC VIRUS DNA PCR CSF,$534.00 
79370,JOINT FINGER IMPLANT SILASTIC,"$2,700.00 "
72780,JOINT NON POROUS COATED GREAT TOE,"$2,400.00 "
72782,JOINT POROUS COATED GREAT TOE,"$3,225.00 "
79458,JOINT RADIAL HEAD,"$4,824.00 "
79460,JOINT RADIAL STEM,"$4,824.00 "
74025,JOINT TROCANTER,"$5,937.00 "
3948,ketamine 10 mg/mL Inj Soln 20 mL,$51.30 
3047,ketamine 100 mg/mL Inj Soln 5 mL,$48.80 
6378,ketamine 30 mg/3mL syringe,$38.20 
1919,ketamine 50 mg/mL Inj Soln 10 mL,$48.80 
55060,KETAMINE INFUSION,$1.00 
6393,Ketamine Oral Syringe 100mg/1mL,$8.15 
2876,ketoconazole 2% Cream 15 gm,$56.45 
2470,ketoconazole 2% Shampoo 120 mL,$6.40 
841,ketoconazole 200 mg Tab,$7.35 
23062,KETONES SERUM QUAL BK,$250.00 
23196,KETONES URINE BK,$59.00 
279,ketoprofen 200 mg ER Cap,$14.55 
277,ketoprofen 50 mg Cap,$2.65 
276,ketoprofen 75 mg Cap,$2.65 
1920,ketorolac 0.5% Ophth Soln 5 mL,$32.50 
3496,ketorolac 10 mg Tab,$2.95 
1921,ketorolac 15 mg/mL Inj Soln 1 mL,$38.20 
1922,ketorolac 30 mg/mL Inj Soln 1 mL,$38.20 
1923,ketorolac 30 mg/mL Inj Soln 2 mL,$38.20 
4665,ketorolac ophthalmic 0.5% Sol UD,$31.85 
5631,ketotifen 0.025% Ophth Soln 5 mL,$36.20 
21765,"KI67 IHC QUANT/SEMIQUANT, EA AB",$338.00 
21936,KLEBSIELLA OXYTOCA - BCID,$84.00 
21938,KLEBSIELLA PNEUMONIAE - BCID,$84.00 
23064,KLEIHAUER BETKE FETAL HGB,$472.00 
74028,KNEE IMPLANT,"$5,639.67 "
25292,KOH PREP SMEAR BK.,$206.00 
25256,KOH PREP WITH FUNGAL CULTURE,$96.00 
21948,KPC RESISTANCE - BCID,$84.00 
23282,KRAS GENE ANALY ADDL VAR,$257.00 
23280,KRAS GENE ANALY VAR EXON 2,$242.00 
70362,KYPHOPLASTY KIT 1ST FRACT,"$9,474.00 "
70360,KYPHOPLASTY KIT EA ADDL FRACT,"$6,375.00 "
70368,KYPHX HV-R BONE CEMENT W/MIXER,$473.00 
6309,L/acidophilus/casei/rhamnosus BIO-K+,$7.85 
60166,LA PACING AND RECORD ADD-ON,"$3,398.00 "
60342,LAA CLOSURE W/IMPLANT,"$37,282.00 "
1451,labetalol 100 mg Tab,$2.65 
844,labetalol 200 mg Tab,$3.80 
1928,labetalol 5 mg/mL IV Soln 20 mL,$38.20 
3511,labetalol 5 mg/mL IV Soln 4 mL,$38.20 
5783,lacosamide 10 mg/mL Oral Soln 465 mL,$31.40 
5785,lacosamide 100 mg Tab,$58.85 
5784,lacosamide 200 mg Tab,$68.55 
5696,lacosamide 200 mg/20 mL IV Soln 20 mL,$184.45 
5660,lacosamide 50 mg Tab,$37.65 
281,lactase 250 mg Cap,$0.80 
845,lactase 3000 units Tab,$0.15 
1396,Lactated Ringers Injection IV Sol 1000 mL,$50.90 
1396,Lactated Ringers Injection IV Sol 1000 mL,$50.90 
1396,Lactated Ringers Injection IV Sol 1000 mL,$50.90 
1396,Lactated Ringers Injection IV Sol 1000 mL,$50.90 
1396,Lactated Ringers Injection IV Sol 1000 mL,$50.90 
1396,Lactated Ringers Injection IV Sol 1000 mL,$50.90 
1396,Lactated Ringers Injection IV Sol 1000 mL,$50.90 
1395,Lactated Ringers Injection IV Sol 500 mL,$50.90 
14212,LACTATION LEVEL 1-15 MINUTES,$54.00 
14214,LACTATION LEVEL 2-30 MINUTES,$107.00 
14216,LACTATION LEVEL 3-45 MINUTES,$160.00 
14218,LACTATION LEVEL 4-60 MINUTES,$214.00 
21160,LACTIC ACID BLOOD BK,$265.00 
21550,LACTIC ACID BODY FLUID,$328.00 
21162,LACTIC ACID CSF,$265.00 
846,lactobacillus acidophilus and bulgaricus Oral Granule,$0.95 
282,lactobacillus acidophilus Tab,$0.25 
29766,LACTOFERRIN STOOL QUANITATIVE,$153.00 
2475,lactulose 10 g/15 mL Oral Syrup 30 mL,$0.80 
4414,lactulose 200 g/300 mL Liq,$3.50 
6266,Lactulose 200g with 700 mL NS Enema,$68.85 
1929,lamiVUDine 10 mg/mL Oral Soln 240 mL,$35.60 
848,lamiVUDine 150 mg Tab,$35.60 
849,lamiVUDine-zidovudine 150 mg-300 mg Tab,$17.80 
28706,LAMOTRIGINE (LAMICTAL),$83.00 
847,lamoTRIgine 100 mg Tab,$2.65 
850,lamoTRIgine 25 mg Tab,$2.65 
3210,lanolin Topical Oint 30 gm,$1.40 
2414,lanolin-mineral oil Lotion 240 mL,$2.05 
6180,lanreotide 120 mg/0.5 mL Sol,"$23,445.65 "
4663,lansoprazole 15 mg Dis Tab,$62.80 
283,lansoprazole 15 mg DR Cap,$2.65 
4662,lansoprazole 30 mg Dis Tab,$62.80 
284,lansoprazole 30 mg DR Cap,$2.65 
5241,lanthanum carbonate 500 mg Chew Tab,$61.50 
72760,LAPAROSCOPIC STERILE IMPLANT,$100.00 
60292,LARIAT LAA PROCEDURE,"$41,900.00 "
1930,latanoprost 0.005% Ophth Soln 2.5 mL,$26.85 
21164,LDH BLOOD,$121.00 
21166,LDH BODY FLUID,$167.00 
20770,LDH CSF,$155.00 
28396,LDH ISOENZYMES SEPERATE AND QNT-P,$323.00 
28554,LDH TOTAL - P,$119.00 
25338,LDL DIRECT MEASURMENT - PPL,$74.00 
71162,LEAD AICD NON SC/DC,"$15,000.00 "
28398,LEAD BLOOD - P,$84.00 
29408,LEAD BLOOD PEDIATRIC,$84.00 
79189,LEAD CARD/DEFIB ENDO SINGLE COIL,"$10,140.00 "
79188,LEAD CARDIO/DEFIB ENDO DUAL COIL,"$10,538.00 "
77786,LEAD EXTENSION PACING CS/SVC,"$2,117.00 "
72202,LEAD KIT PRECISION PLUS,"$3,246.00 "
77790,LEAD LEFT VENTRICULAR VEN SYSTEM,"$5,806.00 "
74460,LEAD NEUROSTIM ELECTRODE LEVEL 1,"$2,835.00 "
74462,LEAD NEUROSTIM ELECTRODE LEVEL 2,"$10,020.00 "
74464,LEAD NEUROSTIM ELECTRODE LEVEL 3,"$16,540.00 "
72212,LEAD NEUROSTIM TEST KIT,"$2,400.00 "
74446,LEAD NEUROSTIM TEST KIT,$240.00 
74410,LEAD NEUROSTIMULATOR ELECTRODE,"$9,372.00 "
77796,LEAD PACING,"$1,251.00 "
28400,LEAD URINE,$123.00 
6137,leflunomide 10 mg Tab,$26.40 
4734,leflunomide 20 mg Tab,$18.90 
28072,LEGIONELLA AB,$560.00 
28844,LEGIONELLA STAIN SMEAR,$599.00 
29296,LEGIONELLA URINE AG,$104.00 
77362,LENS CONVENTIONAL ANTERIOR CHMBR,$446.00 
73613,LENS CONVENTIONAL POSTERIOR CHMBR,$488.00 
73616,LENS SPECIALTY ASTIGMATISM,"$1,455.00 "
73609,LENS SPECIALTY PRESBYOPIA,"$2,685.00 "
77350,LENS TECNIS 1-PC ZCB00,$409.00 
29795,LEPTIN,$118.00 
28406,LEPTOSPIRA IGM AB,$314.00 
6329,letermovir 480 mg Tab UD,$908.15 
4234,letrozole 2.5 mg Tab,$2.65 
5729,leucovorin 100 mg Inj,$115.40 
5896,leucovorin 200 mg Inj,$113.35 
5563,leucovorin 25 mg Tab,$26.30 
3020,leucovorin 350 mg Pow,$109.35 
851,leucovorin 5 mg Tab,$7.45 
2844,leucovorin 50 mg Inj,$38.20 
5897,leucovorin 500 mg Inj,$38.20 
23066,LEUKOCYTE ALK PHOS,$400.00 
5290,leuprolide 11.25 mg/3 months Pow,"$11,459.20 "
5881,leuprolide 11.25 mg/3 mths IM Kit,"$26,754.00 "
1931,leuprolide 22.5 mg/3 months Pow,"$13,655.25 "
1932,leuprolide 3.75 mg/mth IM Inj ER,"$3,819.70 "
6062,leuprolide 30 mg/3 mths IM Kit,"$27,564.85 "
4261,leuprolide 30 mg/4 months IM Pow,"$18,207.05 "
5427,leuprolide 30 mg/4 months Pow UD,"$2,078.65 "
4707,leuprolide 5 mg/mL Subcut Soln 2.8 mL,"$1,993.80 "
6315,leuprolide 7.5 mg/month Pow,$659.30 
1946,leuprolide 7.5 mg/mth IM Inj ER,"$4,925.05 "
3907,levalbuterol 0.63 mg/3 mL Inh Soln 3 mL,$40.35 
4198,levalbuterol 1.25 mg/3 mL Inh Soln 3 mL,$7.80 
5655,levalbuterol CFC free 45 mcg/inh Aerosol 15 gm,$169.15 
40396,LEVEL 1 (LOW LEVEL) ESTABLISHED,$112.00 
40394,LEVEL 1 (LOW LEVEL) NEW,$90.00 
34230,LEVEL 1 1ST HOUR,"$1,131.00 "
34370,LEVEL 1 1ST HOUR,"$1,131.00 "
20808,LEVEL 1 AP GROSS ONLY PBE,$136.00 
34232,LEVEL 1 EACH ADD HOUR,$523.00 
34372,LEVEL 1 EACH ADD HOUR,$565.00 
34330,LEVEL 1-1ST HOUR,"$1,131.00 "
34332,LEVEL 1-EACH ADD HOUR,$565.00 
34342,LEVEL 2 - 1ST HOUR,"$2,824.00 "
34344,LEVEL 2 - EACH ADD HOUR,"$1,412.00 "
34234,LEVEL 2 1ST HOUR,"$2,824.00 "
20732,LEVEL 2 AP GROSS AND MICRO EXAM,$231.00 
20810,LEVEL 2 AP GROSS&MICRO EXAM PBE,$231.00 
34236,LEVEL 2 EACH ADD HOUR,"$1,412.00 "
34352,LEVEL 2 EACH ADD HR,"$1,412.00 "
34334,LEVEL 2-1ST HOUR,"$2,824.00 "
34350,LEVEL 2-1ST HOUR,"$2,824.00 "
34358,LEVEL 2-1ST HR,"$2,824.00 "
34366,LEVEL 2--1ST HR,"$2,824.00 "
34336,LEVEL 2-EACH ADD HOUR,"$1,412.00 "
34360,LEVEL 2-EACH ADD HR,"$1,412.00 "
34368,LEVEL 2--EACH ADD HR,"$1,412.00 "
34238,LEVEL 3 1ST HOUR,"$5,238.00 "
20734,LEVEL 3 AP GROSS AND MICRO EXAM,$271.00 
20812,LEVEL 3 AP GROSS&MICRO EXAM PBE,$271.00 
34240,LEVEL 3 EACH ADD HOUR,"$2,620.00 "
34378,LEVEL 3-1ST HOUR,"$5,238.00 "
34380,LEVEL 3-EACH ADD HOUR,"$2,620.00 "
34242,LEVEL 4 1ST HOUR,"$6,539.00 "
20736,LEVEL 4 AP GROSS AND MICRO EXAM,$303.00 
20814,LEVEL 4 AP GROSS&MICRO EXAM PBE,$303.00 
34244,LEVEL 4 EACH ADD HOUR,"$3,270.00 "
34246,LEVEL 5 1ST HOUR,"$7,850.00 "
20738,LEVEL 5 AP GROSS AND MICRO EXAM,$547.00 
20816,LEVEL 5 AP GROSS&MICRO EXAM PBE,$547.00 
34248,LEVEL 5 EACH ADD HOUR,"$3,926.00 "
20740,LEVEL 6 AP GROSS AND MICRO EXAM,$864.00 
20466,LEVEL I AP GROSS ONLY,$136.00 
13870,LEVEL II ESTABLISHED PT VISIT,$181.00 
14662,LEVEL II NEW,$152.00 
13868,LEVEL II NEW PT VISIT,$181.00 
28708,LEVETIRACETAM (KEPPRA),$67.00 
4867,levETIRAcetam 100 mg/mL IV Soln 5 mL,$38.20 
4760,levETIRAcetam 100 mg/mL Oral Soln 473 mL,$4.25 
6134,levETIRAcetam 1000 mg/100 mL-NaCl 0.75% Sol,$157.90 
6136,levETIRAcetam 1500 mg/100 mL-NaCl 0.54% Sol,$205.85 
5980,levETIRAcetam 250 mg Tab,$2.65 
4144,levETIRAcetam 500 mg Tab,$2.65 
6132,levETIRAcetam 500 mg/100 mL-NaCl 0.82% Sol,$96.85 
5787,levETIRAcetam 750 mg Tab,$4.25 
1933,levobunolol 0.25% Ophth Soln 5 mL,$27.05 
1934,levobunolol 0.5% Ophth Soln 5 mL,$10.80 
1925,levOCARNitine 100 mg/mL Oral Soln 118 mL,$6.55 
1924,levOCARNitine 200 mg/mL Inj Soln 5 mL,$191.15 
842,levOCARNitine 330 mg Tab,$2.65 
5412,levoFLOXacin 25 mg/mL IV Soln 20 mL,$38.20 
4791,levoFLOXacin 250 mg Tab,$2.65 
3170,levoFLOXacin 250 mg/50 mL IV Soln 50 mL,$38.20 
854,levoFLOXacin 500 mg Tab,$2.65 
2134,levoFLOXacin 500 mg/100 mL IV Soln 100 mL,$38.20 
4790,levoFLOXacin 750 mg Tab,$2.65 
4789,levoFLOXacin 750 mg/150 mL IV Soln 150 mL,$38.20 
5780,LEVOleucovorin 50 mg IV Inj,$998.55 
5296,levonorgestrel 0.75 mg Tab,$27.60 
5639,levonorgestrel 1.5 mg Tab,$184.35 
5782,levothyroxine 100 mcg (0.1 mg) IV Inj,$473.70 
860,levothyroxine 100 mcg (0.1 mg) Tab,$2.65 
865,levothyroxine 112 mcg (0.112 mg) Tab,$2.65 
864,levothyroxine 125 mcg (0.125 mg) Tab,$3.10 
4182,levothyroxine 137 mcg (0.137 mg) Tab,$2.65 
861,levothyroxine 150 mcg (0.15 mg) Tab,$2.65 
1505,levothyroxine 200 mcg (0.2 mg) Inj,$282.85 
858,levothyroxine 25 mcg (0.025 mg) Tab,$2.65 
859,levothyroxine 50 mcg (0.05 mg) Tab,$2.65 
857,levothyroxine 75 mcg (0.075 mg) Tab,$2.65 
867,levothyroxine 88 mcg (0.088 mg) Tab,$2.65 
25340,LH (LUTEINIZING HORMONE) - PPL,$392.00 
60276,LHC W/WO VENTRC/SVG W/CORINJ/IMA,"$18,856.00 "
60262,LHC W/WO VENTRIC NO COR INJ,"$7,516.00 "
60274,LHC W/WO VENTRIC W/COR INJ,"$16,987.00 "
21172,LIDOCAINE (XYLOCAINE),$394.00 
2135,lidocaine 0.4%-D5W Inj Soln 500 mL,$39.15 
2484,lidocaine 0.5% PF Inj Soln 50 mL,$38.20 
3218,lidocaine 1% Inj Soln 10 mL,$56.55 
2486,lidocaine 1% Inj Soln 20 mL,$38.20 
2493,lidocaine 1% Inj Soln 50 mL,$38.20 
2496,lidocaine 1% PF Inj Soln 10 mL,$38.20 
4557,lidocaine 1% PF Inj Soln 2 mL,$38.20 
4557,lidocaine 1% PF Inj Soln 2 mL,$38.20 
5790,lidocaine 1% PF Inj Soln 30 mL,$38.20 
2485,lidocaine 1% PF Inj Soln 5 mL,$38.20 
2497,lidocaine 1.5% PF Inj Soln 10 mL,$38.20 
2483,lidocaine 1.5% PF Inj Soln 20 mL,$38.40 
2135,lidocaine 2 g/500 mL D5W (ANES),$39.15 
5902,lidocaine 2% Inj Soln 10 mL,$38.20 
2488,lidocaine 2% Inj Soln 20 mL,$38.20 
2489,lidocaine 2% Inj Soln 50 mL,$38.20 
1418,lidocaine 2% Mucous Membrane Soln 15 mL,$4.90 
3219,lidocaine 2% PF Inj Soln 10 mL,$38.20 
1936,lidocaine 2% PF Inj Soln 100mg/5 mL syringe,$38.20 
4440,lidocaine 2% PF Inj Soln 5 ml,$38.20 
3022,lidocaine 2% Topical Gel with applicator 10 mL,$30.15 
2477,lidocaine 2% Topical Gel with applicator 30 mL,$103.20 
1453,lidocaine 2% Topical Gel with applicator 5 mL,$11.00 
2135,lidocaine 200 mg/50 mL D5W (ANES),$38.20 
5887,lidocaine 4% Mucous Membrane Soln 4 mL,$88.60 
3899,lidocaine 4% PF Inj Soln 5 mL,$38.20 
2479,lidocaine 4% Topical Soln 15mL,$7.10 
4347,lidocaine 5% Topical Film,$25.15 
4766,lidocaine 5% Topical Oint 35.44 gm,$701.50 
1296,lidocaine 5%-D7.5W Inj Soln 2 mL,$38.20 
