Charge Description,Charge Amount
IMPLANT PENILE 90-9818ICOTR,"$29,190.00 "
IMPLANT PENILE 90-9920SCOTR,"$29,190.00 "
IMPLANT PENILE LGX 72404251,"$35,325.50 "
IMPLANT PENILE W\PUMP,"$24,024.00 "
IMPLANT PENIS 18X12 72404257,"$35,325.50 "
IMPLANT PERICARDIUM 93-8247,"$5,173.00 "
IMPLANT PIP SIZE 20 PIP-20,"$5,260.50 "
IMPLANT PIP SIZE 30 PIP-30,"$4,872.00 "
IMPLANT PIP SIZE 40 PIP-40,"$5,523.00 "
IMPLANT PIP SZ 10 PIP-10,"$4,872.00 "
IMPLANT PISTON .6MM 70140733,$799.62 
IMPLANT PISTON .6MM 70140734,$799.62 
IMPLANT PISTON 70140735,$799.62 
IMPLANT PROLARYN PLUS 8044M0,"$3,750.00 "
IMPLANT PROX INTERPHAL SZ 2,"$11,781.00 "
IMPLANT PROX INTERPHAL SZ 3,"$11,781.00 "
IMPLANT PROXIMAL TENODESIS SYSTEM    AR-2290,"$4,050.00 "
IMPLANT S4 FJ W/GROMMETS G4700004,"$4,347.00 "
IMPLANT S6 FJ W/GROMMETS G4700005,"$4,347.00 "
IMPLANT S6 FJ W/GROMMETS G4700006,"$4,347.00 "
IMPLANT SALINE TEXTURE 168-750,"$3,900.00 "
IMPLANT SEQUENT MENISCAL REPAIR 3 MR003C,"$3,217.38 "
IMPLANT SEQUENT MENISCAL REPAIR 4 MR004C,"$5,069.04 "
IMPLANT SEQUENT MENISCAL REPAIR 7 MR007C,"$3,767.09 "
IMPLANT SILICONE 800CC,"$4,500.00 "
IMPLANT SINUE TARSI SZ 5,"$5,530.00 "
IMPLANT SINUS TARSI HYP-06,"$6,965.00 "
IMPLANT SIZER 350CC RSZ-3504S,"$1,350.00 "
IMPLANT SIZER 500CC MSZ20500,"$1,500.00 "
IMPLANT SIZER 650CC RSZ-1505,"$2,010.00 "
IMPLANT SIZER 800CC RSZ-5800S,"$1,350.00 "
IMPLANT SIZER RND HIGH PROFILE 225CC,"$1,500.00 "
IMPLANT SIZER RSZ-1452,"$2,460.00 "
IMPLANT SMART TOE 19MM STO-19,"$3,000.00 "
IMPLANT STAP .6X4.25 L 1128125,$689.70 
IMPLANT STAP .6X4.5 L 1128130,$792.30 
IMPLANT STAP .6X4.75 L 1128135,$689.70 
IMPLANT STAP .6X4MM L 1128120,$689.70 
IMPLANT STAP .8X4 L 1128145,$689.70 
IMPLANT STAP .8X4.25 L 1128150,$689.70 
IMPLANT STAP .8X4.5 L 1128155,$689.70 
IMPLANT STAP .8X4.75 L 1128160,$689.70 
IMPLANT STAP. .6X3.5L 1128110,$689.70 
IMPLANT STAPLE 15X12X12 CONTCOMP,"$3,780.00 "
IMPLANT SYS CMC MINI T-ROPE 1.1MM,"$4,476.50 "
IMPLANT SYSTEM MINI TIGHTROPE 1.1MM,"$3,150.00 "
IMPLANT TAVR  VALVE 23MM,"$65,000.00 "
IMPLANT TAVR VALVE 26MM,"$65,000.00 "
IMPLANT TAVR VALVE 29MM,"$65,000.00 "
IMPLANT TENDON HUNTER 3MM PT3,"$5,490.00 "
IMPLANT TENDON HUNTER 4MM PT4,"$7,248.50 "
IMPLANT TENDON HUNTER 5MM PT5,"$7,248.50 "
IMPLANT TENDON HUNTER 6MM PT6,"$4,333.00 "
IMPLANT TESTICLE SM 450-1325,"$6,685.00 "
IMPLANT TESTICULAR 96-450-1327,"$5,775.00 "
IMPLANT TESTICULAR PROS 450-1329,"$6,163.50 "
IMPLANT TISSUE CONTOUR XLG CXL1097P,"$26,687.50 "
IMPLANT TISSUE MATRIX 16X20 16201097P,"$44,012.50 "
IMPLANT TM OSTEONE 1197-75-10,"$17,185.00 "
IMPLANT TM OSTEONE 1197-80-10,"$11,558.40 "
IMPLANT TM OSTEONE 1197-85-10,"$11,558.40 "
IMPLANT TM OSTEONECROSIS 00-1197-100-10,"$11,558.40 "
IMPLANT TOTAL KNEE CUSTOM,"$20,475.00 "
IMPLANT UNI KNEE,"$20,475.00 "
IMPLANT UNI TOTAL KNEE,"$16,975.00 "
IMPLANT X-STOP BULLET 1-2212,"$10,716.13 "
IMPLANT X-STOP BULLET 1-2214,"$10,716.13 "
IMPLANT ZERO-P PEEK 04.647.116S,"$9,484.13 "
IMPLANT ZERO-P PEEK 04.647.117S,"$9,484.13 "
IMPLANT ZERO-P PEEK 04.647.220S,"$9,484.13 "
IMPLANTABLE LOOP RECORDER,"$14,350.00 "
IMPLANTS BREAST 370CC,"$5,400.00 "
IMPLANTS SYNEX 20MMX25MM,"$18,650.63 "
IN LINE FILTER 1.2 MICRON ,$21.06 
IN-111 OXYQUINOLINE ,"$4,025.88 "
IN111 PROSTASCINT ,"$9,377.26 "
INCEPTA CRT D N160,"$54,000.00 "
INCEPTA CRT D N161,"$53,000.00 "
INCEPTA ICD E161,"$32,300.00 "
INCEPTA VR SINGLE CHAMBER E160,"$33,150.00 "
INCISOR  4.5 CURVED  72200494,$629.40 
INCISOR PLUS ELITE 4.5 72200414,$573.30 
INCISOR PLUS ELITE 7210976,$422.70 
INDAPAMIDE 2.5 MG PO TABS ,$12.25 
INDIGO SEPARATOR 3,"$4,290.00 "
INDIGO SEPARATOR 6,"$4,042.50 "
INDIGO SEPARATOR 8,"$6,842.50 "
INDIGOTINDISULFONATE SODIUM 8 MG/ML IJ SOLN ,$44.73 
INDINAVIR SULFATE 400 MG PO CAPS ,$12.25 
INDIUM DTPA ,"$5,812.36 "
INDIUM IN-111 PENTETREOTIDE IV KIT ,"$10,268.49 "
INDIUM WBC STUDY ,"$6,335.46 "
INDOCYANINE GREEN 25 MG IV SOLR ,$431.50 
INDOMETHACIN 25 MG PO CAPS ,$12.25 
INDOMETHACIN 50 MG RE SUPP ,$515.15 
INDOMETHACIN ER 75 MG PO CPCR ,$12.25 
INDOMETHACIN SODIUM 1 MG IV SOLR ,"$2,167.74 "
INFLATION UNIT PCIU-4,"$5,700.00 "
INFLATOR KIT F/BALLOON SEEKER,"$1,166.40 "
INFLUENZA VAC SPLIT QUAD 0.5 ML IM SUSY ,$132.79 
INFUSION SET 1  POWER LOC,$43.98 
INFUSION SET 1.5  POWER LOC,$42.00 
INFUVITE IV INJ ,$47.62 
INQUIRY LUMA,"$5,700.00 "
INSERT ,"$7,327.78 "
INSERT  1236-2-852,"$4,417.88 "
INSERT  71420540,"$11,011.00 "
INSERT  TIBIAL SZ3 02-012-35-3011,"$6,000.00 "
INSERT 36MM 623-10-36F,"$4,550.70 "
INSERT 38D 1236-2-244,"$4,417.88 "
INSERT 6X32MM HUMERAL 5571-S-3206,"$3,850.00 "
INSERT ACET TRIDENT 690-10-22E,"$10,983.00 "
INSERT ACETAB 690-00-22E,"$10,983.00 "
INSERT ACETABULAR   690-00-22D,"$10,983.00 "
INSERT ART SZ 1-2 71453272,"$5,040.00 "
INSERT ART.  71420962,"$11,011.00 "
INSERT ARTICULAR   71420542,"$11,011.00 "
INSERT ARTICULAR  71420544,"$11,011.00 "
INSERT ARTICULAR 11MM 71453112,"$5,400.00 "
INSERT ARTICULAR 71420554,"$11,011.00 "
INSERT ARTICULAR 9MM   71420523,"$11,011.00 "
INSERT ARTICULAR SZ 3-4 13MM 71453113,"$4,840.92 "
INSERT ARTICULAR SZ 5-6 11MM 71420538,"$11,011.00 "
INSERT ARTICULAR SZ 7-8  71420552,"$11,011.00 "
INSERT ARTICULAR SZ 7-8 71420551,"$11,011.00 "
INSERT ARTICULAR W\SCREW SZ4-5 71423357,"$9,520.14 "
INSERT BEARING TIBIAL SZ 4 5531-G-416,"$6,133.05 "
INSERT FOGARTY LARGE SZ5 A0C04,$102.00 
INSERT FOR ADM/MDM  1236-2-858,"$4,417.88 "
INSERT HEX 2.5 2312-11-001,$864.96 
INSERT HUMERAL   5571-S-3204,"$3,850.00 "
INSERT HUMERAL  5571-C-3204,"$3,850.00 "
INSERT HUMERAL 32X8 5571-S-3208,"$3,850.00 "
INSERT HUMERAL 36 X 4 MM 5571-C-3604,"$3,850.00 "
INSERT HUMERAL 36X42 DWD988,"$5,962.50 "
INSERT HUMERAL 36X4MM 5571-S-3604,"$3,850.00 "
INSERT HUMERAL 42MM LATERAL DWB997,"$4,788.00 "
INSERT HUMERAL 508-01-032,"$3,628.56 "
INSERT HUMERAL 508-01-436,"$4,386.90 "
INSERT HUMERAL 5571-S-3606,"$3,850.00 "
INSERT HUMERAL DWD860,"$5,319.00 "
INSERT HUMERAL DWD861,"$4,878.00 "
INSERT HUMERAL SOCKET 509-00-032,"$4,828.56 "
INSERT HUMERAL SZ 32 508-01-432,"$3,628.56 "
INSERT ITOTAL PS,"$1,950.00 "
INSERT LATERAL 36X12 DWB995,"$4,788.00 "
INSERT LATERAL 36X12 DWD984,"$5,962.50 "
INSERT LATERAL 36X9 DWB994,"$4,788.00 "
INSERT LATERALIZED 9MM DWD982,"$5,962.50 "
INSERT LOCKING 141495,"$1,080.00 "
INSERT MICRO KNIFE POINTED 28164MC/3,$961.62 
INSERT MICRO KNIFE SICKLE 28164MS/3,$961.62 
INSERT MRH KNEE BUMPER,"$3,663.00 "
INSERT MRH KNEE TIBIAL,"$4,008.38 "
INSERT MULTI DIRECT 2.0,$307.20 
INSERT POLY 10DEG 623-10-32D,"$4,165.70 "
INSERT POLY 36MM D 623-00-36D,"$4,550.70 "
INSERT POLY 36MM E 623-00-36E,"$4,550.70 "
INSERT POLY 36MM G 623-00-36G,"$4,550.70 "
INSERT POLY32MM 623-00-32C,"$4,165.70 "
INSERT POLYETHEL 623-00-36F,"$4,550.70 "
INSERT POLYETHLENE 623-10-36G,"$4,550.70 "
INSERT POLYETHY 623-00-32E,"$4,165.70 "
INSERT POLYETHYL 623-00-32F,"$4,165.70 "
INSERT POLYETHYLENE 623-00-32D,"$4,165.70 "
INSERT POLYETHYLENE 623-00-32G,"$4,165.70 "
INSERT REVERSED DWF361B,"$4,751.25 "
INSERT RIM 36MM 643-00-36E,"$4,785.55 "
INSERT RIM 36MM 643-00-36F,"$4,785.55 "
INSERT SOCKET 32MM 509-02-032,"$4,828.56 "
INSERT STAB 4 SZ 1581-24-010,"$4,968.42 "
INSERT SZ 1-2    71420960,"$11,011.00 "
INSERT TIBAIL SZ 4 11MM 02-012-51-4011,"$6,000.00 "
INSERT TIBIAL ,"$7,327.78 "
INSERT TIBIAL ,"$7,327.78 "
INSERT TIBIAL  02-012-35-3013,"$6,000.00 "
INSERT TIBIAL  5537-G-609,"$8,820.00 "
INSERT TIBIAL  SZ4 02-012-35-4013,"$6,000.00 "
INSERT TIBIAL 3. 17.5MM 1581-13-117,"$3,586.84 "
INSERT TIBIAL BEARING     5532-G-616,"$5,813.50 "
INSERT TIBIAL BEARING   5530-G-609,"$5,813.50 "
INSERT TIBIAL BEARING  5530-G-311,"$5,813.50 "
INSERT TIBIAL BEARING  5532-G-416,"$5,813.50 "
INSERT TIBIAL BEARING  CR    5530-G-509,"$5,813.50 "
INSERT TIBIAL BEARING 4X9MM 5530-G-409,"$5,813.50 "
INSERT TIBIAL BEARING 5532-G-516,"$5,813.50 "
INSERT TIBIAL BEARING 5532-G-613,"$5,813.50 "
INSERT TIBIAL BEARING SZ 1 5531-G-109,"$6,133.05 "
INSERT TIBIAL BEARING SZ 3 5530-G-309,"$5,813.50 "
INSERT TIBIAL BEARING SZ4 5531-G-409,"$6,133.05 "
INSERT TIBIAL BEARING SZ6 5531-G-609,"$6,133.05 "
INSERT TIBIAL POST STAB 02-012-35-3515,"$6,000.00 "
INSERT TIBIAL POST STAB 96-2164,"$5,853.72 "
INSERT TIBIAL POST STAB SZ 8 1516-50-805,"$4,025.00 "
INSERT TIBIAL POST STAB SZ 9 1516-50-907,"$4,025.00 "
INSERT TIBIAL S4 15MM 02-012-51-4015,"$6,000.00 "
INSERT TIBIAL SMALL 1987-27-216,"$8,790.60 "
INSERT TIBIAL SZ 1 9MM 02-012-51-1009,"$6,000.00 "
INSERT TIBIAL SZ 2 02-012-35-2011,"$6,000.00 "
INSERT TIBIAL SZ 2 15MM 02-012-35-2015,"$6,000.00 "
INSERT TIBIAL SZ 2 17MM 02-012-51-2017,"$6,000.00 "
INSERT TIBIAL SZ 2.5 13MM 02-012-51-2513,"$6,000.00 "
INSERT TIBIAL SZ 2X10MM 96-2321,"$8,334.52 "
INSERT TIBIAL SZ 3 02-012-3015,"$6,000.00 "
INSERT TIBIAL SZ 3.5 13MM 02-012-51-3513,"$6,000.00 "
INSERT TIBIAL SZ 3.5 15MM 02-012-51-3515,"$6,000.00 "
INSERT TIBIAL SZ 4 1581-24-008,"$4,968.42 "
INSERT TIBIAL SZ 4 22.5MM 96-2356,"$8,334.52 "
INSERT TIBIAL SZ 4 96-2141,"$5,853.72 "
INSERT TIBIAL SZ 5    KIMP-514R,"$8,550.50 "
INSERT TIBIAL SZ 5 11MM 02-012-51-5011,"$6,000.00 "
INSERT TIBIAL SZ 5 20MM 96-2365,"$8,334.52 "
INSERT TIBIAL SZ 5 22.5MM 96-2366,"$8,334.52 "
INSERT TIBIAL SZ 61516-50-507,"$4,025.00 "
INSERT TIBIAL SZ 7 1516-50-707,"$4,025.00 "
INSERT TIBIAL SZ 7 POST STAB 1516-50-705,"$4,025.00 "
INSERT TIBIAL SZ 9 POST STAB 1516-50-905,"$4,025.00 "
INSERT TIBIAL SZ3 96-2342,"$8,334.52 "
INSERT TIBIAL SZ3/4/5 9MM LT 6276-02-609,"$5,886.00 "
INSERT TIBIAL SZ4  02-012-35-4011,"$6,000.00 "
INSERT TIBIAL SZ4 20MM 96-2355,"$8,334.52 "
INSERT TIBIAL SZ5 13MM 02-012-51-5013,"$6,000.00 "
INSERT TIBIAL SZ5 15MM 02-012-51-5015,"$6,000.00 "
INSERT TIBIAL SZ6 5MM 1516-50-605,"$4,025.00 "
INSERT TIBIAL XS 18MM 1987-27-118,"$8,790.60 "
INSERT X3 SZ 36C 1236-2-242,"$4,417.88 "
INSERT X3 SZ 42E 1236-2-848,"$4,417.88 "
INSERT X3 SZ 48G 1236-2-854,"$4,417.88 "
INST DISP OCD LESION AR-4009S,"$1,758.00 "
INSTRUMENT MONOPTY 18GAX20CM,$264.00 
INSTRUMENT TRACKER ENT 9733533XOM,$996.00 
INSULATED SLEEVE 8675424,"$1,084.38 "
INSULIN ASPART 100 UNIT/ML SC SOLN ,$287.92 
INSULIN ASPART 100 UNIT/ML SC SOPN ,$119.90 
INSULIN ASPART PROT & ASPART (70-30) 100 UNIT/ML SC SUPN ,$119.90 
INSULIN DEGLUDEC 100 UNIT/ML SC SOPN ,$242.10 
INSULIN DETEMIR 100 UNIT/ML SC SOPN ,$196.71 
INSULIN GLARGINE 100 UNIT/ML SC SOPN ,$474.25 
INSULIN GLARGINE 300 UNIT/ML SC SOPN ,$551.55 
INSULIN GLULISINE 100 UNIT/ML IJ SOLN ,$679.30 
INSULIN LISPRO 100 UNIT/ML SC SOLN ,$366.22 
INSULIN LISPRO PROT & LISPRO (50-50) 100 UNIT/ML SC SUSP ,$366.22 
INSULIN LISPRO PROT & LISPRO (75-25) 100 UNIT/ML SC SUSP ,$366.22 
INSULIN NPH (HUMAN) (ISOPHANE) 100 UNIT/ML SC SUSP ,$17.22 
INSULIN NPH ISOPHANE & REGULAR (70-30) 100 UNIT/ML SC SUSP ,$17.22 
INSULIN REGULAR HUMAN (CONC) 500 UNIT/ML SC SOPN ,"$3,041.05 "
INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN ,$3.00 
INTERCHANGABL HUMERAL ASSEMBLY,"$17,554.53 "
INTERCHANGEABLE HUMERAL,"$22,949.50 "
INTERCHANGEABLE ULNAR,"$16,166.50 "
INTERCHANGEABLE ULNAR ASSEMBLY,"$16,166.50 "
INTERFERON ALFA-2B 50000000 UNITS IJ SOLR ,"$3,654.60 "
INTERFERON BETA-1A 30 MCG/0.5ML IM PSKT ,"$5,605.72 "
INTERLOCK 3MM X 12CM,"$2,851.80 "
INTERLOCK 4MM X 8CM,"$2,851.80 "
INTRASITE GEL ,$19.52 
INTRAUTERINE PRESSURE SYSTEM,$135.84 
INTRODUCER 12FR G07369,$304.98 
INTRODUCER 14FR G08957,$434.16 
INTRODUCER 7F,$360.00 
INTRODUCER 8F,$360.00 
INTRODUCER 9.0 HLS-1009,$450.00 
INTRODUCER ACCUSTICK II SYSTEM,$345.96 
INTRODUCER CHECK FLO 12F 13CM,$269.52 
INTRODUCER CHECK FLO 16FRX30,$727.38 
INTRODUCER CHECK FLOW 18FX30,$727.38 
INTRODUCER CHECK-FLO 20F X 40CM,"$2,034.00 "
INTRODUCER COOK 14F,$309.00 
INTRODUCER COOK 16F,$420.00 
INTRODUCER COOK 7F,$360.00 
INTRODUCER DRYSEAL 20FR DLS2028,"$1,980.00 "
INTRODUCER ENDOTRAC TUBE,$42.12 
INTRODUCER FAST CATH SL1 8.5F,"$1,434.00 "
INTRODUCER FAST CATH SL2 8.5F,"$1,212.00 "
INTRODUCER FAST CATH SRO 8.5F,"$1,272.00 "
INTRODUCER FOR PACER,$780.00 
INTRODUCER FOR PACER HLS-1007,$450.00 
INTRODUCER GUIDING HC 8.5FX60CM SAFL FAST CATH,"$1,230.00 "
INTRODUCER KIT SMALL CURL AGILIS NXT 8.5F,"$4,336.50 "
INTRODUCER PACEMAKER 10.5F,$450.00 
INTRODUCER PEEL AWAY 18FR G06444,$295.02 
INTRODUCER SAFE SHEATH 9.5F,$450.00 
INTRODUCER SAFESHEATH 9F,$351.00 
INTRODUCER SAFESHEATH LONG 9F,$870.00 
INTRODUCER SC-4365,$360.00 
INTRODUCER SET CHECK FLO 14F,$304.98 
INTRODUCER SET MIC G 16F,"$1,180.50 "
INTRODUCER SET MIC J/TJ 16F,"$1,120.50 "
INTRODUCER SET PEEL AWAY 9F,$333.00 
INTRODUCER SET PEEL AWAY 9F,$360.00 
INTRODUCER SHEATH BCL2645,"$4,068.00 "
INTRODUCER SHEATH CHECK FLO PERFORMER 18F 40CM,$727.38 
INTRODUCER SHEATH PERCUTANEOUS 8.5F,$64.68 
INTRODUCER SMALL CURL AGILIS NXT 8.5 STEERABLE,"$4,336.50 "
INTRODUCER TRANSSEPTAL GUIDING BRK-1 89CM,"$1,404.00 "
INTRODUCER TRANSSEPTAL GUIDING SL2 85CM,"$1,590.00 "
INTRODUCTER 8.5F 71CM SM CURL AGILIS,"$3,619.00 "
IOBENGUANE SULFATE I 123 10 MCI/5ML IV SOLN ,"$21,361.46 "
IODINE 123 ,$333.46 
IODINE 131 ,$531.40 
IODINE STRONG 5 % PO SOLN ,$149.86 
IODIXANOL 320 MG/ML IV SOLN ,$223.60 
IOHEXOL 180 MG/ML IJ SOLN ,$269.98 
IOHEXOL 240 MG/ML IJ SOLN ,$230.20 
IOHEXOL 300 MG/ML IJ SOLN ,$267.70 
IOHEXOL 350 MG/ML IV SOLN ,$190.15 
IOPAMIDOL 61 % IJ SOLN ,$177.28 
IOPAMIDOL 61 % IV SOLN ,$62.62 
IOPAMIDOL 76 % IV SOLN ,$63.40 
IOTHALAMATE MEGLUMINE 17.2 % UR SOLN ,$111.00 
IOTHALAMATE MEGLUMINE 30 % IV SOLN ,$116.80 
IOTHALAMATE MEGLUMINE 43 % IV SOLN ,$80.35 
IOTHALAMATE MEGLUMINE 60 % IJ SOLN ,$61.52 
IOVERSOL 68 % IJ SOLN ,$55.96 
IOVERSOL 74 % IJ SOLN ,$124.38 
IOXAGLATE MEGLUMINE & SODIUM 39.3-19.6 % IJ SOLN ,$225.76 
I-PAS W/BEVELLED TIP 2010026,"$1,648.80 "
I-PAS W\BEVELLE TIP 2010024,"$1,648.80 "
I-PAS WITH DIAMOND TIP,"$1,648.80 "
IPRATROPIUM BROMIDE 0.02 % IN SOLN ,$12.25 
IPRATROPIUM BROMIDE 0.03 % NA SOLN ,$178.92 
IPRATROPIUM BROMIDE HFA 17 MCG/ACT IN AERS ,"$2,177.89 "
IPRATROPIUM-ALBUTEROL 20-100 MCG/ACT IN AERS ,"$1,918.95 "
IRBESARTAN 150 MG PO TABS ,$12.25 
IRON DEXTRAN 50 MG/ML IJ SOLN ,$43.11 
IRON SUCROSE 20 MG/ML IV SOLN ,$218.95 
IRRIGATOR FLOW SUCTION 250070520,$313.38 
ISOMETHEPTENE-DICHLORAL-APAP 65-100-325 MG PO CAPS ,$19.70 
ISONIAZID 100 MG PO TABS ,$12.25 
ISOPROPYL ALCOHOL 70 % SOLN ,$3.00 
ISOPROTERENOL HCL 0.2 MG/ML IJ SOLN ,$42.00 
ISOSORBIDE DINITRATE 10 MG PO TABS ,$12.25 
ISOSORBIDE DINITRATE 20 MG PO TABS ,$12.25 
ISOSORBIDE DINITRATE ER 40 MG PO TBCR ,$12.25 
ISOSORBIDE MONONITRATE 20 MG PO TABS ,$12.25 
ISOSORBIDE MONONITRATE ER 30 MG PO TB24 ,$12.25 
ISOSORBIDE MONONITRATE ER 60 MG PO TB24 ,$12.25 
ISOSULFAN BLUE 1 % SC SOLN ,"$2,183.86 "
ISRADIPINE 2.5 MG PO CAPS ,$12.25 
ITRACONAZOLE 10 MG/ML PO SOLN ,"$2,021.40 "
ITRACONAZOLE 100 MG PO CAPS ,$12.25 
IUD KYLEENA 19.5MCG/24,"$5,453.82 "
IUD MIRENA,"$5,149.98 "
IUD PARAGARD T 380A,"$4,851.00 "
IUD SKYLA,"$4,541.22 "
IVABRADINE HCL 5 MG PO TABS ,$21.57 
IVERMECTIN 3 MG PO TABS ,$44.19 
IXABEPILONE 45 MG IV SOLR ,$42.00 
JAGWIRE 5656,$656.16 
JAW BRA GENIOPLASTY  95,$127.50 
JET WIRE  PV014300,"$4,375.00 "
JETCO CANNULA 4 IN 10 ,$20.19 
JETSTREAM CATH L PV41340,"$11,550.00 "
JETSTREAM CATH SF 1.85  PV3118F,"$11,550.00 "
JETSTREAM G3 SF 1.85,"$11,550.00 "
JETSTREAM NAVITUS 2.1/3.0,"$11,550.00 "
K WIRE  210-40-005,$84.00 
K WIRE 1.1 X 150MM SS NONSTERILE45750001,$108.00 
K WIRE 1.1MM X 150MM OS292110,$90.00 
K WIRE 100X1.1 22.27.611,$180.00 
K WIRE 2.0 14179-6,$162.84 
K WIRE 2.5 292.76 SYNTHES,$167.64 
K WIRE 292.13,"$1,008.00 "
K WIRE OSTEOMED 316-0004,$162.00 
K WIRE WIRE 1.1 TRIMED,$90.00 
KCL IN DEXTROSE-NACL 20-5-0.2 MEQ/L-%-% IV SOLN ,$65.00 
KCL IN DEXTROSE-NACL 20-5-0.45 MEQ/L-%-% IV SOLN ,$138.00 
KCL IN DEXTROSE-NACL 20-5-0.9 MEQ/L-%-% IV SOLN ,$65.00 
KCL IN DEXTROSE-NACL 30-5-0.45 MEQ/L-%-% IV SOLN ,$65.00 
KCL IN DEXTROSE-NACL 40-5-0.45 MEQ/L-%-% IV SOLN ,$65.00 
KCL IN DEXTROSE-NACL 40-5-0.9 MEQ/L-%-% IV SOLN ,$65.00 
KELLER FUNNEL 2,$873.60 
KERR INSTA-CHAR IN SORBITOL 25 GM/120ML PO LIQD ,$17.76 
KETAMINE HCL 50 MG/ML IJ SOLN ,$42.00 
KETOCONAZOLE 2 % EX CREA ,$67.68 
KETOCONAZOLE 2 % EX SHAM ,$33.84 
KETOROLAC TROMETHAMINE 0.5 % OP SOLN ,$26.19 
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN ,$42.00 
KETOROLAC TROMETHAMINE 60 MG/2ML IM SOLN ,$42.00 
KIRSCHNER WIRE 3.2 1210-6450S,"$1,371.60 "
KIT 10G OSTEOCOOL OCN002,"$3,000.00 "
KIT 20/3 FIRST FX KIT KPX203PB,"$12,435.50 "
KIT ACCESS VAD,$67.50 
KIT ACCESSERY 800 720066-01,"$4,266.50 "
KIT ACCESSORY,$86.52 
KIT ACCESSORY 1701,"$1,950.00 "
KIT ACCESSORY 3550-38,$540.00 
KIT ACCESSORY 591-001,"$1,590.00 "
KIT ACCESSORY 72401850,"$4,914.00 "
KIT ACESS LP 9.75/10.0 B-2105,"$3,870.00 "
KIT ACU-SINCH   46-0001-S,"$5,478.00 "
KIT AIR\WATER  SUCTION 100305,$40.80 
KIT ANGIOGET ULTRA POWER PULSE,$204.00 
KIT ASSEMBLY 519170,"$3,282.00 "
KIT ASSEMBLY TITAN 91-9480SC,"$3,024.00 "
KIT BIOPSY PUNCH 4MM SKIN,$71.10 
KIT BIOSUTURE TAK AR-1320DS,"$1,500.00 "
KIT BIOTENDODESIS AR-1675DS,$990.00 
KIT BLOOD SAMPLING QA 007-016-000,$64.92 
KIT BOLT AND SLEEVE 15MM 71421387,"$4,169.97 "
KIT CANNULAE ARTERIAL 17FR,"$1,452.18 "
KIT CANNULAE ARTERIAL 19FR,"$1,452.18 "
KIT CATHETER PLEURX 50-7000B,"$3,300.00 "
KIT CEMENT DED011,$787.20 
KIT CEMENT REVOLUTION  0606-563-000,$645.96 
KIT CHARGER CHGR1000,"$6,300.00 "
KIT CRANIOTOMY 26-1230,"$2,423.28 "
KIT CUSTOM VAVD 627-271-101,$340.86 
KIT CVC DRESSING CHANGE,$60.66 
KIT CVC DRESSING CHANGE DIALYSIS,$61.92 
KIT DIALYSIS DURA 24 10302803,"$1,860.00 "
KIT DIALYSIS DURA 28 10302804,"$1,650.00 "
KIT DIGNISHIELD FMS COLLECTION,"$1,101.60 "
KIT DISPOSABLE   25-2810,"$1,308.00 "
KIT ELECTRODE 90DEC ANG,$690.00 
KIT ENDOMET AB NOVASURE NS2000,"$4,036.66 "
KIT ESOPHYX R2007,"$13,212.50 "
KIT EXTENSION INTERST 3095-10,"$2,970.00 "
KIT FALOPE BAND AND TROCAR,"$1,680.00 "
KIT FEMORAL INSERTION BIOMEDICUS,$285.00 
KIT FIX 2.9 PERC INSERT PUSHLOC,"$1,320.00 "
KIT FIX 3.0 PERC INSERT SURETRAK,"$1,170.00 "
KIT FOR 18F LOW PROFILE G FEEDING TUBE MIC-KEY,"$1,335.00 "
KIT FOR 20FR LOW PROFILE G FEEDING TUBE MIC-KEY G-20,"$1,335.00 "
KIT G TUBE 18FR  2.0 MIC-KEY,$541.50 
KIT G TUBE 18FR DIA 12INL 2.5CLM MIC-KEY,$541.50 
KIT G TUBE 18FR DIA 12INL 3.0CLM MIC-KEY,$541.50 
KIT G TUBE 18FR DIA 12INL 3.5CLM MIC-KEY,$541.50 
KIT GASTROSTOMY 20FR PUSH ENFIT,$528.66 
KIT GASTROSTOMY PULL PEG ENFIT,$555.06 
KIT GENERATOR SM W\LEAD 102,"$38,108.00 "
KIT GRAVITY CUSTOM MX4457,$41.70 
KIT GUIDE SHEATH K-201,$744.06 
KIT HAKIM BACTISEAL 82-3072,"$5,352.00 "
KIT HAND ASSISTED C8XX2,"$3,450.00 "
KIT HARVEST BMAC 51422,"$7,700.00 "
KIT HIP DISP 1.8MM Q-FIX 25-1811,"$1,308.00 "
KIT ICP SYSTEM DISP,"$2,244.00 "
KIT IMPLANTATION PD CATH VP-211,"$1,164.00 "
KIT INFAST ULTRA 72403885,"$6,394.50 "
KIT INFLATION DEVICE 0452601,$144.00 
KIT INFUSE LARGE 2 7510800,"$20,072.50 "
KIT INFUSE MEDIUM 7510400,"$18,007.50 "
KIT INFUSE SMALL 7510200,"$13,317.50 "
KIT INFUSE X-SM 7510100,"$6,667.50 "
KIT INFUSE XX-SMALL 7510050,"$5,730.00 "
KIT INTERNAL BRACE REPAIR   AR-8978-CP,"$7,476.00 "
KIT INTERNAL TRAJECTORY BIOPSY 9733066,"$4,788.00 "
KIT INTERSPACE SHOULDER SPS0121K,"$17,937.50 "
KIT JACKSON SPINAL TABLE 5808,$182.16 
KIT JEJUNOSTOMY VIVONEX 14G 5F,"$3,609.30 "
