HOSPITAL,DESCRIPTION, STD CHARGE 
UPMC PINNACLE MEMORIAL,MYCOPHENOLATE MOFETIL 500 MG TABLET,$1.80 
UPMC PINNACLE MEMORIAL,TEMAZEPAM 15 MG CAPSULE,$0.55 
UPMC PINNACLE MEMORIAL,GLIMEPIRIDE 2 MG TABLET,$1.18 
UPMC PINNACLE MEMORIAL,GLIMEPIRIDE 4 MG TABLET,$2.21 
UPMC PINNACLE MEMORIAL,MEGESTROL 20 MG TABLET,$1.80 
UPMC PINNACLE MEMORIAL,DOXEPIN 10 MG CAPSULE,$2.60 
UPMC PINNACLE MEMORIAL,DOXEPIN 25 MG CAPSULE,$3.45 
UPMC PINNACLE MEMORIAL,DOXEPIN 50 MG CAPSULE,$4.68 
UPMC PINNACLE MEMORIAL,LEVOTHYROXINE 50 MCG TABLET,$2.15 
UPMC PINNACLE MEMORIAL,LEVOTHYROXINE 75 MCG TABLET,$2.40 
UPMC PINNACLE MEMORIAL,LEVOTHYROXINE 100 MCG TABLET,$2.44 
UPMC PINNACLE MEMORIAL,LEVOTHYROXINE 125 MCG TABLET,$2.80 
UPMC PINNACLE MEMORIAL,LEVOTHYROXINE 150 MCG TABLET,$2.96 
UPMC PINNACLE MEMORIAL,SIMVASTATIN 10 MG TABLET,$0.70 
UPMC PINNACLE MEMORIAL,FLUPHENAZINE 5 MG TABLET,$3.03 
UPMC PINNACLE MEMORIAL,LAMOTRIGINE 25 MG TABLET,$0.55 
UPMC PINNACLE MEMORIAL,PIOGLITAZONE 30 MG TABLET,$14.66 
UPMC PINNACLE MEMORIAL,CHLORPROMAZINE 100 MG TABLET,$3.22 
UPMC PINNACLE MEMORIAL,CHLORPROMAZINE 25 MG TABLET,$5.55 
UPMC PINNACLE MEMORIAL,FUROSEMIDE 80 MG TABLET,$0.50 
UPMC PINNACLE MEMORIAL,REPAGLINIDE 1 MG TABLET,$15.19 
UPMC PINNACLE MEMORIAL,PROCHLORPERAZINE MALEATE 5 MG TABLET,$1.84 
UPMC PINNACLE MEMORIAL,PROCHLORPERAZINE MALEATE 10 MG TABLET,$1.83 
UPMC PINNACLE MEMORIAL,THIORIDAZINE 50 MG TABLET,$3.10 
UPMC PINNACLE MEMORIAL,PRAZOSIN 1 MG CAPSULE,$7.36 
UPMC PINNACLE MEMORIAL,CYCLOBENZAPRINE 10 MG TABLET,$0.30 
UPMC PINNACLE MEMORIAL,ATENOLOL 50 MG TABLET,$0.29 
UPMC PINNACLE MEMORIAL,LOPERAMIDE 2 MG CAPSULE,$3.15 
UPMC PINNACLE MEMORIAL,HALOPERIDOL 0.5 MG TABLET,$1.45 
UPMC PINNACLE MEMORIAL,HALOPERIDOL 1 MG TABLET,$2.00 
UPMC PINNACLE MEMORIAL,HALOPERIDOL 2 MG TABLET,$2.75 
UPMC PINNACLE MEMORIAL,HALOPERIDOL 5 MG TABLET,$2.63 
UPMC PINNACLE MEMORIAL,DILTIAZEM 30 MG TABLET,$0.45 
UPMC PINNACLE MEMORIAL,ATENOLOL 25 MG TABLET,$0.78 
UPMC PINNACLE MEMORIAL,ZONISAMIDE 100 MG CAPSULE,$2.35 
UPMC PINNACLE MEMORIAL,HYDROCHLOROTHIAZIDE 12.5 MG CAPSULE,$0.55 
UPMC PINNACLE MEMORIAL,PRAVASTATIN 40 MG TABLET,$3.30 
UPMC PINNACLE MEMORIAL,ALPRAZOLAM 1 MG TABLET,$0.35 
UPMC PINNACLE MEMORIAL,HYDROXYZINE HCL 10 MG TABLET,$0.85 
UPMC PINNACLE MEMORIAL,HYDROXYZINE HCL 25 MG TABLET,$0.91 
UPMC PINNACLE MEMORIAL,GLIPIZIDE 5 MG TABLET,$1.39 
UPMC PINNACLE MEMORIAL,VERAPAMIL ER (SR) 240 MG TABLETEXTENDED RELEASE,$10.20 
UPMC PINNACLE MEMORIAL,CARBAMAZEPINE 100 MG CHEWABLE TABLET,$1.95 
UPMC PINNACLE MEMORIAL,CLONAZEPAM 1 MG TABLET,$0.52 
UPMC PINNACLE MEMORIAL,PENTOXIFYLLINE ER 400 MG TABLETEXTENDED RELEASE,$0.88 
UPMC PINNACLE MEMORIAL,VERAPAMIL ER (SR) 120 MG TABLETEXTENDED RELEASE,$9.30 
UPMC PINNACLE MEMORIAL,VERAPAMIL ER (SR) 180 MG TABLETEXTENDED RELEASE,$11.45 
UPMC PINNACLE MEMORIAL,BUPROPION HCL 75 MG TABLET,$4.85 
UPMC PINNACLE MEMORIAL,BUPROPION HCL 100 MG TABLET,$6.55 
UPMC PINNACLE MEMORIAL,ENALAPRIL MALEATE 2.5 MG TABLET,$1.79 
UPMC PINNACLE MEMORIAL,ENALAPRIL MALEATE 5 MG TABLET,$2.40 
UPMC PINNACLE MEMORIAL,DOXAZOSIN 4 MG TABLET,$3.71 
UPMC PINNACLE MEMORIAL,FAMOTIDINE 20 MG TABLET,$0.45 
UPMC PINNACLE MEMORIAL,LISINOPRIL 5 MG TABLET,$0.70 
UPMC PINNACLE MEMORIAL,LISINOPRIL 20 MG TABLET,$0.42 
UPMC PINNACLE MEMORIAL,BUSPIRONE 5 MG TABLET,$0.36 
UPMC PINNACLE MEMORIAL,BUSPIRONE 10 MG TABLET,$0.40 
UPMC PINNACLE MEMORIAL,TRAMADOL 50 MG TABLET,$0.40 
UPMC PINNACLE MEMORIAL,ASTRINGENT 952 MG-1347 MG TOPICAL POWDER IN PACKET,$3.25 
UPMC PINNACLE MEMORIAL,ASTRINGENT 952 MG-1347 MG TOPICAL POWDER IN PACKET,$3.25 
UPMC PINNACLE MEMORIAL,ACETIC ACID (BULK) 5 % LIQUID,$5.15 
UPMC PINNACLE MEMORIAL,LETS KIT 4 %-1:1000-0.5 % TOPICAL SOLUTION,$12.57 
UPMC PINNACLE MEMORIAL,CLOBETASOL 0.05 % TOPICAL CREAM,$115.90 
UPMC PINNACLE MEMORIAL,DESONIDE 0.05 % TOPICAL CREAM,$161.90 
UPMC PINNACLE MEMORIAL,NORTRIPTYLINE 25 MG CAPSULE,$1.97 
UPMC PINNACLE MEMORIAL,PROMETHAZINE 12.5 MG RECTAL SUPPOSITORY,$32.95 
UPMC PINNACLE MEMORIAL,PROMETHAZINE 25 MG RECTAL SUPPOSITORY,$31.50 
UPMC PINNACLE MEMORIAL,EFFER-K 25 MEQ EFFERVESCENT TABLET,$0.95 
UPMC PINNACLE MEMORIAL,ESTRADIOL 0.5 MG TABLET,$0.55 
UPMC PINNACLE MEMORIAL,ESTRADIOL 1 MG TABLET,$0.73 
UPMC PINNACLE MEMORIAL,CLONIDINE 0.1 MG-24 HR WEEKLY TRANSDERMAL PATCH,$73.25 
UPMC PINNACLE MEMORIAL,CLONIDINE 0.1 MG-24 HR WEEKLY TRANSDERMAL PATCH,$73.25 
UPMC PINNACLE MEMORIAL,CLONIDINE 0.3 MG-24 HR WEEKLY TRANSDERMAL PATCH,$130.65 
UPMC PINNACLE MEMORIAL,BUDESONIDE DR - ER 3 MG CAPSULEDELAYEDEXTENDED RELEASE,$26.68 
UPMC PINNACLE MEMORIAL,PROPRANOLOL ER 120 MG CAPSULE24 HREXTENDED RELEASE,$3.30 
UPMC PINNACLE MEMORIAL,NULYTELY WITH FLAVOR PACKS 420 GRAM ORAL SOLUTION,$67.33 
UPMC PINNACLE MEMORIAL,LIDOCAINE 4 % (40 MG-ML) MUCOSAL SOLUTION,$36.95 
UPMC PINNACLE MEMORIAL,TRIAMCINOLONE ACETONIDE 0.1 % TOPICAL OINTMENT,$14.60 
UPMC PINNACLE MEMORIAL,AVITENE FLOUR TOPICAL POWDER,$770.55 
UPMC PINNACLE MEMORIAL,PENTASA 250 MG CAPSULECONTROLLED RELEASE,$16.73 
UPMC PINNACLE MEMORIAL,ANALGESIC GRX BALM TOPICAL OINTMENT,$6.00 
UPMC PINNACLE MEMORIAL,HYDROCERIN (WITH PETROLATUM) TOPICAL CREAM,$20.70 
UPMC PINNACLE MEMORIAL,EPINEPHRINE HCL (PF) 1 MG-ML (1 ML) INTRAVENOUS SOLUTION,$4.82 
UPMC PINNACLE MEMORIAL,EPINEPHRINE HCL (PF) 1 MG-ML (1 ML) INTRAVENOUS SOLUTION,$4.81 
UPMC PINNACLE MEMORIAL,INFUVITE ADULT 3300 UNIT-150 MCG-10 ML INTRAVENOUS SOLUTION,$45.45 
UPMC PINNACLE MEMORIAL,TETRAVISC 0.5 % VISCOUS EYE DROPS,$138.30 
UPMC PINNACLE MEMORIAL,LAMIVUDINE 10 MG-ML ORAL SOLUTION,$14.15 
UPMC PINNACLE MEMORIAL,FONDAPARINUX 2.5 MG-0.5 ML SUBCUTANEOUS SOLUTION SYRINGE,$11.61 
UPMC PINNACLE MEMORIAL,FONDAPARINUX 2.5 MG-0.5 ML SUBCUTANEOUS SOLUTION SYRINGE,$11.61 
UPMC PINNACLE MEMORIAL,AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,$22.95 
UPMC PINNACLE MEMORIAL,OXACILLIN 1 GRAM SOLUTION FOR INJECTION,$7.84 
UPMC PINNACLE MEMORIAL,ACYCLOVIR SODIUM 50 MG-ML INTRAVENOUS SOLUTION,$0.30 
UPMC PINNACLE MEMORIAL,ACYCLOVIR SODIUM 50 MG-ML INTRAVENOUS SOLUTION,$1.02 
UPMC PINNACLE MEMORIAL,BUPIVACAINE (PF) 0.25 % (2.5 MG-ML) INJECTION SOLUTION,$5.90 
UPMC PINNACLE MEMORIAL,BUPIVACAINE (PF) 0.5 % (5 MG-ML) INJECTION SOLUTION,$7.15 
UPMC PINNACLE MEMORIAL,SUMATRIPTAN 6 MG-0.5 ML SUBCUTANEOUS SOLUTION,$40.70 
UPMC PINNACLE MEMORIAL,ESMOLOL 100 MG-10 ML (10 MG-ML) INTRAVENOUS SOLUTION,$1.55 
UPMC PINNACLE MEMORIAL,LIDOCAINE 10 MG-ML (1 %) INJECTION SOLUTION,$0.63 
UPMC PINNACLE MEMORIAL,SENSIPAR 30 MG TABLET,$147.90 
UPMC PINNACLE MEMORIAL,EPOGEN 2000 UNIT-ML INJECTION SOLUTION,$91.20 
UPMC PINNACLE MEMORIAL,EPOGEN 2000 UNIT-ML INJECTION SOLUTION,$91.20 
UPMC PINNACLE MEMORIAL,EPOGEN 3000 UNIT-ML INJECTION SOLUTION,$90.49 
UPMC PINNACLE MEMORIAL,EPOGEN 3000 UNIT-ML INJECTION SOLUTION,$90.40 
UPMC PINNACLE MEMORIAL,CERVIDIL 10 MG VAGINAL INSERTCONTROLLED RELEASE,"$2,062.35 "
UPMC PINNACLE MEMORIAL,CERVIDIL 10 MG VAGINAL INSERTCONTROLLED RELEASE,"$2,062.35 "
UPMC PINNACLE MEMORIAL,PENICILLIN V POTASSIUM 250 MG TABLET,$0.34 
UPMC PINNACLE MEMORIAL,ONDANSETRON 4 MG DISINTEGRATING TABLET,$0.39 
UPMC PINNACLE MEMORIAL,ROSUVASTATIN 20 MG TABLET,$5.45 
UPMC PINNACLE MEMORIAL,METOPROLOL TARTRATE 25 MG TABLET,$0.30 
UPMC PINNACLE MEMORIAL,REMICADE 100 MG INTRAVENOUS SOLUTION,$642.29 
UPMC PINNACLE MEMORIAL,THYROGEN 1.1 MG INTRAMUSCULAR SOLUTION,"$9,115.90 "
UPMC PINNACLE MEMORIAL,NEPHROCAPS 1 MG CAPSULE,$4.60 
UPMC PINNACLE MEMORIAL,BENTYL 10 MG-ML INTRAMUSCULAR SOLUTION,$266.65 
UPMC PINNACLE MEMORIAL,OXYCONTIN 15 MG TABLETCRUSH RESISTANTEXTENDED RELEASE,$25.05 
UPMC PINNACLE MEMORIAL,OXYCONTIN 20 MG TABLETEXTENDED RELEASE,$31.60 
UPMC PINNACLE MEMORIAL,OXYCONTIN 80 MG TABLETCRUSH RESISTANTEXTENDED RELEASE,$94.78 
UPMC PINNACLE MEMORIAL,MAGTAB 84 MG TABLETEXTENDED RELEASE,$1.55 
UPMC PINNACLE MEMORIAL,LUGOLS 5 %-10 % TOPICAL SOLUTION,$35.90 
UPMC PINNACLE MEMORIAL,PROCRIT 10000 UNIT-ML INJECTION SOLUTION,$76.40 
UPMC PINNACLE MEMORIAL,PROCRIT 20000 UNIT-ML INJECTION SOLUTION,$76.39 
UPMC PINNACLE MEMORIAL,PREZISTA 600 MG TABLET,$144.90 
UPMC PINNACLE MEMORIAL,PREZISTA 800 MG TABLET,$289.80 
UPMC PINNACLE MEMORIAL,PROCHLORPERAZINE MALEATE 5 MG TABLET,$1.85 
UPMC PINNACLE MEMORIAL,OLANZAPINE 5 MG DISINTEGRATING TABLET,$4.37 
UPMC PINNACLE MEMORIAL,DOFETILIDE 250 MCG CAPSULE,$22.95 
UPMC PINNACLE MEMORIAL,DOFETILIDE 500 MCG CAPSULE,$19.80 
UPMC PINNACLE MEMORIAL,TOLTERODINE 1 MG TABLET,$4.42 
UPMC PINNACLE MEMORIAL,SUCRALFATE 1 GRAM TABLET,$1.35 
UPMC PINNACLE MEMORIAL,TOLTERODINE 2 MG TABLET,$4.83 
UPMC PINNACLE MEMORIAL,EXEMESTANE 25 MG TABLET,$18.05 
UPMC PINNACLE MEMORIAL,NITROSTAT 0.4 MG SUBLINGUAL TABLET,$75.65 
UPMC PINNACLE MEMORIAL,MEDROXYPROGESTERONE 150 MG-ML INTRAMUSCULAR SYRINGE,$155.42 
UPMC PINNACLE MEMORIAL,GABAPENTIN 250 MG-5 ML ORAL SOLUTION,$22.00 
UPMC PINNACLE MEMORIAL,PHOS-NAK 280 MG-160 MG-250 MG ORAL POWDER PACKET,$2.40 
UPMC PINNACLE MEMORIAL,LACTULOSE 10 GRAM-15 ML ORAL SOLUTION,$13.18 
UPMC PINNACLE MEMORIAL,MOXIFLOXACIN 0.5 % EYE DROPS,$102.90 
UPMC PINNACLE MEMORIAL,CALCITONIN (SALMON) 200 UNIT-ACTUATION NASAL SPRAY,$82.45 
UPMC PINNACLE MEMORIAL,FLUTICASONE 50 MCG-ACTUATION NASAL SPRAYSUSPENSION,$20.75 
UPMC PINNACLE MEMORIAL,CEFEPIME 1 GRAM SOLUTION FOR INJECTION,$6.95 
UPMC PINNACLE MEMORIAL,KETOROLAC 0.5 % EYE DROPS,$21.75 
UPMC PINNACLE MEMORIAL,SELEGILINE 5 MG TABLET,$4.77 
UPMC PINNACLE MEMORIAL,CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,$15.25 
UPMC PINNACLE MEMORIAL,CEFEPIME 1 GRAM SOLUTION FOR INJECTION,$6.95 
UPMC PINNACLE MEMORIAL,CEFEPIME 1 GRAM SOLUTION FOR INJECTION,$11.35 
UPMC PINNACLE MEMORIAL,FENTANYL 25 MCG-HR TRANSDERMAL PATCH,$12.90 
UPMC PINNACLE MEMORIAL,FENTANYL 50 MCG-HR TRANSDERMAL PATCH,$20.75 
UPMC PINNACLE MEMORIAL,FENTANYL 75 MCG-HR TRANSDERMAL PATCH,$28.29 
UPMC PINNACLE MEMORIAL,FENTANYL 100 MCG-HR TRANSDERMAL PATCH,$44.75 
UPMC PINNACLE MEMORIAL,FENTANYL 12 MCG-HR TRANSDERMAL PATCH,$73.85 
UPMC PINNACLE MEMORIAL,URSODIOL 300 MG CAPSULE,$15.90 
UPMC PINNACLE MEMORIAL,MEDROXYPROGESTERONE 10 MG TABLET,$6.55 
UPMC PINNACLE MEMORIAL,ANASTROZOLE 1 MG TABLET,$3.36 
UPMC PINNACLE MEMORIAL,LABETALOL 100 MG TABLET,$1.45 
UPMC PINNACLE MEMORIAL,DOXYCYCLINE HYCLATE 100 MG CAPSULE,$9.70 
UPMC PINNACLE MEMORIAL,LABETALOL 200 MG TABLET,$2.15 
UPMC PINNACLE MEMORIAL,DOCUSATE SODIUM 100 MG CAPSULE,$0.15 
UPMC PINNACLE MEMORIAL,VALSARTAN 160 MG TABLET,$2.39 
UPMC PINNACLE MEMORIAL,METFORMIN 850 MG TABLET,$1.04 
UPMC PINNACLE MEMORIAL,PREDNISONE 20 MG TABLET,$0.04 
UPMC PINNACLE MEMORIAL,CEPHALEXIN 250 MG CAPSULE,$1.50 
UPMC PINNACLE MEMORIAL,METFORMIN 500 MG TABLET,$0.43 
UPMC PINNACLE MEMORIAL,HALOPERIDOL 5 MG TABLET,$2.89 
UPMC PINNACLE MEMORIAL,CEPHALEXIN 500 MG CAPSULE,$1.30 
UPMC PINNACLE MEMORIAL,CEPHALEXIN 500 MG CAPSULE,$1.40 
UPMC PINNACLE MEMORIAL,CETIRIZINE 10 MG TABLET,$0.61 
UPMC PINNACLE MEMORIAL,MEMANTINE 5 MG TABLET,$1.80 
UPMC PINNACLE MEMORIAL,PRAVASTATIN 20 MG TABLET,$2.43 
UPMC PINNACLE MEMORIAL,MEMANTINE 10 MG TABLET,$1.78 
UPMC PINNACLE MEMORIAL,ENTACAPONE 200 MG TABLET,$20.35 
UPMC PINNACLE MEMORIAL,DILTIAZEM CD 120 MG CAPSULEEXTENDED RELEASE 24 HR,$1.64 
UPMC PINNACLE MEMORIAL,DILTIAZEM CD 180 MG CAPSULEEXTENDED RELEASE 24 HR,$1.39 
UPMC PINNACLE MEMORIAL,SIMVASTATIN 40 MG TABLET,$0.64 
UPMC PINNACLE MEMORIAL,DIVALPROEX 125 MG TABLETDELAYED RELEASE,$3.50 
UPMC PINNACLE MEMORIAL,METHADONE 5 MG TABLET,$1.05 
UPMC PINNACLE MEMORIAL,PROPRANOLOL ER 60 MG CAPSULE24 HREXTENDED RELEASE,$9.90 
UPMC PINNACLE MEMORIAL,DILTIAZEM CD 240 MG CAPSULEEXTENDED RELEASE 24 HR,$1.90 
UPMC PINNACLE MEMORIAL,GEMFIBROZIL 600 MG TABLET,$0.69 
UPMC PINNACLE MEMORIAL,PROPRANOLOL ER 80 MG CAPSULE24 HREXTENDED RELEASE,$10.75 
UPMC PINNACLE MEMORIAL,LOPERAMIDE 2 MG CAPSULE,$3.15 
UPMC PINNACLE MEMORIAL,SERTRALINE 25 MG TABLET,$0.90 
UPMC PINNACLE MEMORIAL,ROSUVASTATIN 5 MG TABLET,$4.50 
UPMC PINNACLE MEMORIAL,SERTRALINE 50 MG TABLET,$0.87 
UPMC PINNACLE MEMORIAL,ESOMEPRAZOLE MAGNESIUM 40 MG CAPSULEDELAYED RELEASE,$6.90 
UPMC PINNACLE MEMORIAL,SERTRALINE 100 MG TABLET,$1.01 
UPMC PINNACLE MEMORIAL,CEFUROXIME AXETIL 250 MG TABLET,$15.15 
UPMC PINNACLE MEMORIAL,NORTRIPTYLINE 10 MG CAPSULE,$0.75 
UPMC PINNACLE MEMORIAL,AZITHROMYCIN 250 MG TABLET,$6.40 
UPMC PINNACLE MEMORIAL,EZETIMIBE 10 MG TABLET,$37.46 
UPMC PINNACLE MEMORIAL,AMLODIPINE 2.5 MG TABLET,$0.55 
UPMC PINNACLE MEMORIAL,DONEPEZIL 5 MG TABLET,$0.50 
UPMC PINNACLE MEMORIAL,NORTRIPTYLINE 25 MG CAPSULE,$1.94 
UPMC PINNACLE MEMORIAL,PROPRANOLOL 40 MG TABLET,$4.32 
UPMC PINNACLE MEMORIAL,NADOLOL 20 MG TABLET,$12.72 
UPMC PINNACLE MEMORIAL,DONEPEZIL 10 MG TABLET,$0.61 
UPMC PINNACLE MEMORIAL,ASPIRIN 25 MG-DIPYRIDAMOLE 200 MG CAPSULEEXT.RELEASE 12 HR MULTIPHASE,$46.20 
UPMC PINNACLE MEMORIAL,PROPRANOLOL 20 MG TABLET,$4.25 
UPMC PINNACLE MEMORIAL,BUPROPION HCL XL 150 MG 24 HR TABLET EXTENDED RELEASE,$5.65 
UPMC PINNACLE MEMORIAL,NADOLOL 40 MG TABLET,$15.40 
UPMC PINNACLE MEMORIAL,CHLORTHALIDONE 25 MG TABLET,$8.03 
UPMC PINNACLE MEMORIAL,QUETIAPINE 25 MG TABLET,$0.71 
UPMC PINNACLE MEMORIAL,SEVELAMER CARBONATE 800 MG TABLET,$36.39 
UPMC PINNACLE MEMORIAL,LISINOPRIL 20 MG TABLET,$0.55 
UPMC PINNACLE MEMORIAL,BUPROPION HCL 75 MG TABLET,$4.85 
UPMC PINNACLE MEMORIAL,BENZONATATE 100 MG CAPSULE,$2.00 
UPMC PINNACLE MEMORIAL,BENZONATATE 100 MG CAPSULE,$2.00 
UPMC PINNACLE MEMORIAL,QUETIAPINE 100 MG TABLET,$1.00 
UPMC PINNACLE MEMORIAL,BUPROPION HCL 100 MG TABLET,$6.55 
UPMC PINNACLE MEMORIAL,QUETIAPINE 200 MG TABLET,$1.85 
UPMC PINNACLE MEMORIAL,BENZTROPINE 1 MG TABLET,$2.15 
UPMC PINNACLE MEMORIAL,PHYTONADIONE (VITAMIN K1) 5 MG TABLET,$185.30 
UPMC PINNACLE MEMORIAL,QUETIAPINE 300 MG TABLET,$1.93 
UPMC PINNACLE MEMORIAL,PREDNISOLONE ACETATE 1 % EYE DROPSSUSPENSION,$167.00 
UPMC PINNACLE MEMORIAL,GENTAMICIN 0.3 % EYE DROPS,$22.75 
UPMC PINNACLE MEMORIAL,FLUOROMETHOLONE 0.1 % EYE DROPSSUSPENSION,$390.80 
UPMC PINNACLE MEMORIAL,BICILLIN L-A 600000 UNIT-ML INTRAMUSCULAR SYRINGE,$83.28 
UPMC PINNACLE MEMORIAL,BICILLIN L-A 600000 UNIT-ML INTRAMUSCULAR SYRINGE,$83.28 
UPMC PINNACLE MEMORIAL,BICILLIN L-A 1200000 UNIT-2 ML INTRAMUSCULAR SYRINGE,$72.12 
UPMC PINNACLE MEMORIAL,BICILLIN L-A 1200000 UNIT-2 ML INTRAMUSCULAR SYRINGE,$72.12 
UPMC PINNACLE MEMORIAL,BICILLIN L-A 2400000 UNIT-4 ML INTRAMUSCULAR SYRINGE,$73.89 
UPMC PINNACLE MEMORIAL,BICILLIN L-A 2400000 UNIT-4 ML INTRAMUSCULAR SYRINGE,$73.89 
UPMC PINNACLE MEMORIAL,DORZOLAMIDE 2 % EYE DROPS,$69.60 
UPMC PINNACLE MEMORIAL,KETOROLAC 0.5 % EYE DROPS,$21.75 
UPMC PINNACLE MEMORIAL,BRIMONIDINE 0.2 % EYE DROPS,$13.65 
UPMC PINNACLE MEMORIAL,BRIMONIDINE 0.15 % EYE DROPS,$658.85 
UPMC PINNACLE MEMORIAL,TIMOLOL MALEATE 0.5 % EYE DROPS,$18.25 
UPMC PINNACLE MEMORIAL,CYCLOPENTOLATE 1 % EYE DROPS,$22.10 
UPMC PINNACLE MEMORIAL,LATANOPROST 0.005 % EYE DROPS,$28.33 
UPMC PINNACLE MEMORIAL,POLYMYXIN B SULFATE 10000 UNIT-TRIMETHOPRIM 1 MG-ML EYE DROPS,$21.30 
UPMC PINNACLE MEMORIAL,NEOMYCIN-POLYMYXIN-HYDROCORT 3.5 MG-10000 UNIT-ML-1 % EAR DROPSSUSP,$314.90 
UPMC PINNACLE MEMORIAL,FAMOTIDINE 20 MG TABLET,$0.45 
UPMC PINNACLE MEMORIAL,FENTANYL (PF) 2 MCG-ML-BUPIVACAINE 0.125 %-NACL INJECTION SOLUTION,$136.94 
UPMC PINNACLE MEMORIAL,HYDROMORPHONE 6 MG-30 ML (0.2 MG-ML) IN 0.9 % NACL IV PCA SYRINGE,$36.20 
UPMC PINNACLE MEMORIAL,MORPHINE 30 MG-30 ML (1 MG-ML) IN 0.9 % SODIUM CHLORIDE IV PCA SYRINGE,$26.22 
UPMC PINNACLE MEMORIAL,FENTANYL (PF) 300 MCG-30 ML (10 MCG-ML) IN 0.9 % NACL IV PCA SYRINGE,$35.35 
UPMC PINNACLE MEMORIAL,PAMIDRONATE 90 MG-10 ML (9 MG-ML) INTRAVENOUS SOLUTION,$40.12 
UPMC PINNACLE MEMORIAL,TRUVADA 200 MG-300 MG TABLET,$307.25 
UPMC PINNACLE MEMORIAL,RANEXA 500 MG TABLETEXTENDED RELEASE,$32.74 
UPMC PINNACLE MEMORIAL,COMPLERA 200 MG-25 MG-300 MG TABLET,$491.50 
UPMC PINNACLE MEMORIAL,STRIBILD 150 MG-150 MG-200 MG-300 MG TABLET,$566.50 
UPMC PINNACLE MEMORIAL,GENVOYA 150 MG-150 MG-200 MG-10 MG TABLET,$540.05 
UPMC PINNACLE MEMORIAL,DESCOVY 200 MG-25 MG TABLET,$307.25 
UPMC PINNACLE MEMORIAL,POLYETHYLENE GLYCOL 3350 17 GRAM-DOSE ORAL POWDER,$28.20 
UPMC PINNACLE MEMORIAL,ROPINIROLE 0.25 MG TABLET,$0.40 
UPMC PINNACLE MEMORIAL,ROPINIROLE 1 MG TABLET,$0.35 
UPMC PINNACLE MEMORIAL,ROPINIROLE 2 MG TABLET,$0.40 
UPMC PINNACLE MEMORIAL,LEFLUNOMIDE 10 MG TABLET,$11.18 
UPMC PINNACLE MEMORIAL,ARIPIPRAZOLE 2 MG TABLET,$2.90 
UPMC PINNACLE MEMORIAL,ARIPIPRAZOLE 5 MG TABLET,$1.74 
UPMC PINNACLE MEMORIAL,ARIPIPRAZOLE 10 MG TABLET,$3.05 
UPMC PINNACLE MEMORIAL,ARIPIPRAZOLE 15 MG TABLET,$1.45 
UPMC PINNACLE MEMORIAL,ARIPIPRAZOLE 20 MG TABLET,$2.65 
UPMC PINNACLE MEMORIAL,ARIPIPRAZOLE 30 MG TABLET,$5.95 
UPMC PINNACLE MEMORIAL,DIPHENOXYLATE-ATROPINE 2.5 MG-0.025 MG TABLET,$1.83 
UPMC PINNACLE MEMORIAL,METFORMIN 500 MG TABLET,$0.25 
UPMC PINNACLE MEMORIAL,METOPROLOL TARTRATE 25 MG TABLET,$0.40 
UPMC PINNACLE MEMORIAL,METOPROLOL TARTRATE 25 MG TABLET,$0.36 
UPMC PINNACLE MEMORIAL,ATENOLOL 50 MG TABLET,$0.29 
UPMC PINNACLE MEMORIAL,CLONIDINE HCL 0.1 MG TABLET,$0.20 
UPMC PINNACLE MEMORIAL,ALLOPURINOL 300 MG TABLET,$2.15 
UPMC PINNACLE MEMORIAL,FOLIC ACID 1 MG TABLET,$0.40 
UPMC PINNACLE MEMORIAL,ALLOPURINOL 100 MG TABLET,$1.10 
UPMC PINNACLE MEMORIAL,OCTREOTIDE ACETATE 50 MCG-ML INJECTION SOLUTION,$5.57 
UPMC PINNACLE MEMORIAL,OCTREOTIDE ACETATE 100 MCG-ML INJECTION SOLUTION,$3.46 
UPMC PINNACLE MEMORIAL,DESMOPRESSIN 4 MCG-ML INJECTION SOLUTION,$55.09 
UPMC PINNACLE MEMORIAL,OXYTOCIN 10 UNIT-ML INJECTION SOLUTION,$3.65 
UPMC PINNACLE MEMORIAL,THIAMINE HCL (VITAMIN B1) 100 MG-ML INJECTION SOLUTION,$19.36 
UPMC PINNACLE MEMORIAL,CYANOCOBALAMIN (VIT B-12) 1000 MCG-ML INJECTION SOLUTION,$17.55 
UPMC PINNACLE MEMORIAL,MAGNESIUM SULFATE 4 MEQ-ML (50 %) INJECTION SOLUTION,$15.25 
UPMC PINNACLE MEMORIAL,SODIUM BICARBONATE 4.2 % INTRAVENOUS SOLUTION,$36.68 
UPMC PINNACLE MEMORIAL,MAGNESIUM SULFATE 2 GRAM-50 ML (4 %) IN WATER INTRAVENOUS PIGGYBACK,$19.07 
UPMC PINNACLE MEMORIAL,DOXY-100 100 MG INTRAVENOUS SOLUTION,$116.58 
UPMC PINNACLE MEMORIAL,KETOROLAC 30 MG-ML (1 ML) INJECTION SOLUTION,$2.28 
UPMC PINNACLE MEMORIAL,KETOROLAC 60 MG-2 ML INTRAMUSCULAR SOLUTION,$1.35 
UPMC PINNACLE MEMORIAL,KETOROLAC 30 MG-ML (1 ML) INJECTION SOLUTION,$2.29 
UPMC PINNACLE MEMORIAL,KETOROLAC 60 MG-2 ML INTRAMUSCULAR SOLUTION,$1.35 
