"Category","Department","Charge","Cost"
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT GORE EXCL LIMB PXC141400",$17600.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT HYDRO+ COATED",$648.98
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT INTEGRITY INT25022UX",$2400.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT INTEGRITY INT27512UX",$1800.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT INTEGRITY INT27514UX",$2400.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT INTEGRITY INT27518UX",$1800.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT INTEGRITY INT27526UX",$2400.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT ION 39024-3827",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT ION 39024-3830",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT ION 39024-3835",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT ION 39024-3840",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT LONG 175-261",$400.98
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT LONG 175-263",$400.98
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MINIVISION",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MINIVISION 1007823-12",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MINIVISION 1007823-15",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MINIVISION 1007823-18",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MLTILNK VISION 100784-12",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MULTILINK 1003382-13",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MULTI-LINK 1007849-08",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MULTI-LINK VI 1007849-12",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT MULTILINK VIS 1007848-15",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT NEPHROURESTOMY",$374.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT OLARIS 19014104",$620.27
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT PALMAZ 12MM",$4643.13
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT PALMAZ PG1540BSS",$4025.58
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 19014204",$620.27
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 19014304",$620.27
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 19-133",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 192-130",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 192-131",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 192-132",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 192-135",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 192-141",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 192-142",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 192-143",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT POLARIS 192-144",$556.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT PRB35-07-040-120",$3220.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT PRECISE 5x20 #N520SB",$4200.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT PROTEGE SERB65106080",$3220.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SELF EXPAN PRB3506150120",$4600.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SHORT GEN PB2460BSS",$3000.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SHORT GEN PB2470BSS",$3000.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SHORT GEN PG2480BSS",$3020.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SLALOM PB1270BSS",$5380.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SLALOM PB1570BSS",$3000.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SLALOM PB1840BSS",$3000.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART 120",$8776.40
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART 120 SFA C08120ML",$3520.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART 150 SFA C06150ML",$3520.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART 7F 12X30 #C12030SB",$3260.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C06030SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C06040ML",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C06060ML",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C06080ML",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C06080SL",$3792.06
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C07030SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C07040SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C07060ML",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C07060SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C07080SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C07100SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C08030SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C08040ML",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C08040SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C08060ML",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C08080SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C08100SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C090100SL",$4565.87
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C09030SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C09060ML",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C09060SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C10020SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C10030SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART C14060SB",$3260.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMART CO6040SL",$3341.81
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMARTFLEX SF06060MB",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT SMARTFLEX SF07060MB",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893612250",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893612270",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893612300",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893612350",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893612400",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893616250",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893616270",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893616300",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893616350",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893616400",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893620250",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893620270",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893620300",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893620350",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893620400",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893624250",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893624270",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893624300",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893624350",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893624400",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893628250",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893628270",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893628300",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893628350",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893628400",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893632250",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893632270",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893632300",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 3893632400",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 389368250",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 389368270",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBERTE 389368350",$8218.67
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT TAXUS LIBETTE 3893632350",$9953.70
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT ULT10.2-22-NUCL-B-RH",$526.44
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VARIFLEX 38934-2850",$5174.63
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAH 8X10X12 VBJ081002",$13980.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAH 8X5X120 VBJ090502",$13748.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBH060202",$13748.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBH060502",$13100.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBH06102",$14320.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBH061502",$16760.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBH081001",$13580.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBH091002",$11150.57
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBJ051006",$15040.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBJ051502",$10639.68
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT VIABAHN VBJ081502",$16760.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT WALL 10FR UNI+ 0033284",$5301.12
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT WALL 40411",$5301.12
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT WALL UNI PLUS 40411",$5081.96
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT WALLFLEX 1690",$8477.24
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125350-08",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125350-12",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125350-15",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125350-18",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125350-23",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125350-28",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125400-08",$4400.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125400-12",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125400-15",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125400-18",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125400-23",$3300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125400-33",$5608.83
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ALPINE 1125400-38",$5608.83
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ELUTING 101173133",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ELUTING 101173138",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ELUTING 101173233",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ELUTING 101173333",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ELUTING 101173338",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ELUTING 101173433",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ELUTING 101173438",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE ELUTING 101173533",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE EXP 1074325-12",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE EXP 1074325-15",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE EXP 1074325-23",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE VS SIZES",$4900.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE XPED 1074325-08",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT XIENCE XPED 1074325-18",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, BILIARY(IMPLANT)",$9215.88
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, GENESIS AVIATOR 6.0X",$7466.52
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, PALMAZ COR 5X18MM",$4565.87
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, PALMAZ COR BILIARY",$4565.87
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, VIABAHN 8X5X75",$11040.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, VIAHAHN 10x10x120",$13580.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, VISION 3.0X18MM",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, VISION 3.0X8",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, VISION 3.5X15MM",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","Stent, Vision 4.0x15mm",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, VISION 4.0X28",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, VISION 4.5X38MM",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT, XIENCE ALPINE 2.25x18",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT,CORONARY XIENCE NANO",$1732.50
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENT,VISION 4.0X23 1007850-23",$2300.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STENY VIABAHN VBH090502",$13348.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STNT BLRY EVRFLX PRB3507030120",$3220.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STNT BLRY EVRFLX PRB3507100120",$4600.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STNT BLRY EVRFLX PRB3508040120",$3220.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STNT BLRY VISIPRO PXB350837080",$3260.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STNT BLRY VISIPRO PXB350937080",$3260.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STNT CORONARY XIENCE 100954423",$1968.75
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STNT G48183ULT8.5-8.528NUCLBRH",$374.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","STNT NEPH ULT8.5-8.5-28NUCLBRH",$526.44
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUC1 UPCHRG AUGMENTED BASE PLT",$2000.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUPPORT VAG SLING 831-708",$9228.68
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE ETHIBOND MX69G",$51.63
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE MAXBRAID 900284",$170.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE MAXBRAID 900312",$170.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE MAXBRAID 900336",$170.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE, CHROMIC 744G",$23.28
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE, ETHILON",$14.48
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE, PROLENE",$10.76
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE, SILK A304H",$9.93
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SUTURE, VICRYL II",$37.76
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SYENT SMART C10040SL",$2560.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","SYRINGE RADIESSE LARYNGEAL IMP",$2500.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TCL-230 BREAST IMPLANT",$4380.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TCL-320  BREAST IMPLANT",$4380.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TCX-495   BREAST IMPLANT",$4380.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TCX-800 BREAST IMPLANT",$4380.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","THERASKIN 1x2 101TSS HUMAN ALL",$3588.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TIBIAL ARTICULAR SURFACE",$4600.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TIBIAL BEARING 11-146130",$3900.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TIBIAL BEARING 11-146170",$2748.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TIBIAL INSERT 146150",$2328.72
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TISSUE EXPANDER 133MX-14-T",$6057.53
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TISSUE SEALANT PROGEL PGPS002",$3700.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TP22000 PARTIAL THREAD PEG",$357.99
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TP22000 PARTIAL THREADED PEG",$324.80
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TR400000  HUNTER TENDON ROD",$6704.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TRICUSPID ANNULOPLASTY 4900T28",$9200.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TRX-800  BREAST IMPLANT",$3320.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TUBE 14FR 0200-14LV",$519.60
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TUBE GASTRO ENTERIC 16FR",$655.60
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","TUBE JEJUNAL #16 0200-16",$519.60
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UFPRG00-K  FEMORAL COMPONENT",$5600.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UFPSLE00-K  FEMORAL COMPONENT",$5600.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UFPSLG00-K FEMORAL COMPONENT",$5600.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UFPSRFOO-K FEMORAL COMPONENT",$5600.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UHEAD SIZE 2 #JHA-H2",$8093.15
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UNIFUSE CATHETER 5-45-5",$1116.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UPS 30MM DARCO PLATE DC2801030",$5348.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UPUUX831-K POLY PATELLA",$1200.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UPUUX834-K  ALL POLY PATELLA",$1200.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UPUUX840-K  ALL POLY PATELLA",$1200.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UQI00008 DEVICE,COFLEX NON-FSN",$19500.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UQI00012 DEVICE,COFLEX NON-FSN",$22000.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","UQI00014 DEVICE,COFLEX NON-FSN",$19500.00
"MED SURG SUPPLY-IMPLANT","STORES PROCESSING DISTRIBUTION","VALVE AORTIC THERMAFIX 3000TFX",$24400.00
