CDM Description,CDM Price,,,The information contained in this file is being provided in compliance with the Centers for Medicare and Medicaid Services (CMS) requirement [FY 2019 IPPS/LTCH PPS Final Rule; CMS-1694-F] ,
DOXYCYCLINE SUSP 5MG/ML 1ML,$15.00 ,,,,
DOXYCYCLINE VL 100MG,$102.00 ,,,,
DOXYLAMINE TAB 25MG,$1.10 ,,,,
DPT VAC 0.5ML <7YRS (INFANRIX),$94.00 ,,,,
DRONABINOL CAP 2.5MG (CH),$6.95 ,,,,
DRONABINOL CAP 2.5MG NON-CH,$6.70 ,,,,
DRONEDARONE TAB 400MG,$4.40 ,,,,
DRUG NOS DEFINITIVE ASSAY 1-3,$198.00 ,,,,
DRUG SCR ANY CLS INST MS P/DAY,$273.00 ,,,,
DSW 1000ML,$94.00 ,,,,
DULOXETINE CAP 20MG,$3.80 ,,,,
DULOXETINE CAP 30MG,$1.60 ,,,,
DUPLX ABD/PELVIS/RETROPER LTD,$718.00 ,,,,
DUPLX EXT VENOUS COMP BIL,"$1,135.00 ",,,,
DUPLX EXTRACRAN ART COMP BIL,$835.00 ,,,,
DUPLX EXTREMITY VENOUS LTD LT,$806.00 ,,,,
DUPLX EXTREMITY VENOUS LTD RT,$806.00 ,,,,
DUPLX EXTREMITY VENOUS UNI/LTD,$806.00 ,,,,
DUPLX LWR EXT ART COMP BIL,$657.00 ,,,,
DUPLX LWR EXTREMITY ART LTD,$358.00 ,,,,
DUPLX UPR EXTREM ART COMP BIL,$739.00 ,,,,
DUPLX UPR EXTREMITY ART LTD,$457.00 ,,,,
DUPLX UPR EXTREMITY ART LTD RT,$457.00 ,,,,
DUTASTERIDE CAP 0.5MG,$3.20 ,,,,
ECONAZOLE NIT CRM 1% 15GM,$85.65 ,,,,
EDARAVONE BAG 30 MG/100ML,$635.00 ,,,,
EDETATE CA DISOD VL 200MG/ML 5ML,$181.00 ,,,,
EDROPHONIUM VL 10MG/ML 15ML,$86.00 ,,,,
EHRLICHIA CANIS AB,$223.00 ,,,,
EKG <=30DAY RECORDING,$267.00 ,,,,
EKG <=30DAY TRANSM & ANALYSIS,$642.00 ,,,,
EKG 12 LEAD TRACING ONLY,$226.00 ,,,,
EKG 1-3 LEAD TRACING ONLY,$138.00 ,,,,
EKG STRESS TEST W EXER/PHARM,$954.00 ,,,,
ELECTROLYTE PANEL,$93.00 ,,,,
ELECTRON MICROSCOPY DIAG,$923.00 ,,,,
ELETRIPTAN TAB 40MG,$14.30 ,,,,
ENALAPRIL TAB 10MG,$1.05 ,,,,
ENALAPRIL TAB 2.5MG,$1.05 ,,,,
ENALAPRIL TAB 20MG,$1.05 ,,,,
ENALAPRIL TAB 5MG,$1.05 ,,,,
ENALAPRIL VL 1.25MG/ML 1ML,$72.00 ,,,,
ENCEPHALITIS CALIFORNIA AB,$89.00 ,,,,
ENCEPHALITIS EAST EQUINE AB,$89.00 ,,,,
ENCEPHALITIS ST LOUIS AB,$89.00 ,,,,
ENCEPHALITIS WESTERN EQUINE AB,$140.00 ,,,,
ENDOMYSIAL AB TITER,$342.00 ,,,,
ENOXAPARIN INJ 100MG/1ML,$89.00 ,,,,
ENOXAPARIN INJ 120MG/0.8ML,$93.00 ,,,,
ENOXAPARIN INJ 150MG /1ML,$100.00 ,,,,
ENOXAPARIN INJ 30MG/0.3ML,$75.00 ,,,,
ENOXAPARIN INJ 40MG/0.4ML,$76.00 ,,,,
ENOXAPARIN INJ 60MG/0.6ML,$80.00 ,,,,
ENOXAPARIN INJ 80MG/0.8ML,$85.00 ,,,,
ENT MINOR 1ST 15 MIN,"$2,107.00 ",,,,
ENT MINOR ADDL 15 MIN,"$1,051.00 ",,,,
ENTACAPONE TAB 200MG,$2.65 ,,,,
ENTEROVIRUS NAP,$232.00 ,,,,
EOVIST SOL 181.43MG/ML 10ML,$0.00 ,,,,
EPHEDRINE AMP 50MG/ML 1ML,$254.00 ,,,,
EPHEDRINE SYRG 25MG/5ML,$129.00 ,,,,
EPIDURAL BAG,$93.00 ,,,,
EPINEPH INJ 0.025MG/ML 1 ML,$74.00 ,,,,
EPINEPH SULFITE FREE 1MG/1ML,$91.00 ,,,,
EPINEPHRINE INH SOL 2.25%0.5ML,$3.60 ,,,,
EPINEPHRINE INJ 0.3MG,$562.00 ,,,,
EPINEPHRINE INJ 1:1000 PF 1MG,$74.00 ,,,,
EPINEPHRINE INJ 1:10000 1MG,$78.00 ,,,,
EPINEPHRINE JR INJ 0.15MG,$562.00 ,,,,
EPINEPHRINE TOP SOL 0.1% 30ML,$94.95 ,,,,
EPINEPHRINE VL 1:1000 30MG,$80.00 ,,,,
EPO ALFA 100UN/0.005ML ESRD,$71.00 ,,,,
EPOETIN VL 1000UN/0.05ML,$541.00 ,,,,
EPOETIN VL 20000U FOR ESRD,$519.00 ,,,,
EPOPROSTENOL 0.5MG INJ,$124.00 ,,,,
EPOPROSTENOL 1.5MG,$202.00 ,,,,
EPOPROSTENOL DILUENT,$109.00 ,,,,
EPSTEIN BARR EARLY AG AB,$114.00 ,,,,
EPTIFIBATIDE 0.75MG/ML 100ML,$534.00 ,,,,
EPTIFIBATIDE 2MG/ML 10ML,$421.00 ,,,,
ER TYPE A LEVEL 0,$0.00 ,,,,
ER TYPE A LEVEL 1,$109.00 ,,,,
ER TYPE A LEVEL 1,$94.00 ,,,,
ER TYPE A LEVEL 2,$253.00 ,,,,
ER TYPE A LEVEL 2,$126.00 ,,,,
ER TYPE A LEVEL 3,$578.00 ,,,,
ER TYPE A LEVEL 3,$200.00 ,,,,
ER TYPE A LEVEL 4,"$1,369.00 ",,,,
ER TYPE A LEVEL 4,$291.00 ,,,,
ER TYPE A LEVEL 5,"$1,911.00 ",,,,
ER TYPE A LEVEL 5,$415.00 ,,,,
ERLOTINIB TAB 150MG,$93.00 ,,,,
ERTAPENEM SODIUM 1GM IVPB,$92.00 ,,,,
ERTAPENEM SODIUM INJ 1 GM VL,$253.00 ,,,,
ERYTHRO BASE TAB EC 250MG,$1.05 ,,,,
ERYTHRO ETHYL SUSP 400/5 1ML,$20.00 ,,,,
ERYTHRO EYE OINT 1GM,$5.20 ,,,,
ERYTHRO LACTO VL 500MG,$78.00 ,,,,
ERYTHRO TOP SOL 2% 60ML,$4.95 ,,,,
ERYTHRO/SULFISOX SUSP 100ML,$12.70 ,,,,
ERYTHROPOIETIN,$195.00 ,,,,
ESCITALOPRAM LIQ 1MG/ML 10ML,$1.35 ,,,,
ESCITALOPRAM LIQ 1MG/ML 1ML,$15.00 ,,,,
ESCITALOPRAM TAB 10MG,$3.30 ,,,,
ESCITALOPRAM TAB 20MG,$3.40 ,,,,
ESCITALOPRAM TAB 5MG,$3.20 ,,,,
ESMOLOL IV 10MG/ML 250ML,$222.00 ,,,,
ESMOLOL VL 10MG/ML 10ML,$75.00 ,,,,
ESOMEPRAZOLE CAP 40MG,$4.45 ,,,,
ESTRADIOL,$338.00 ,,,,
ESTRADIOL PATCH 0.05MG 24H/7D,$16.60 ,,,,
ESTRADIOL PATCH 0.05MG 2XWK,$7.85 ,,,,
ESTRADIOL PATCH 0.1MG 24H/7D,$16.60 ,,,,
ESTRADIOL TAB 0.5MG,$1.05 ,,,,
ESTROGEN CONJ TAB 0.3MG,$3.70 ,,,,
ESTROGEN CONJ TAB 0.625MG,$3.70 ,,,,
ESTROGEN CONJ VAG CRM 30GM,$272.10 ,,,,
ESTROGEN CONJ VL 25MG,$201.00 ,,,,
ESZOPICLONE TAB 1MG,$6.15 ,,,,
ETANERCEPT VL 25MG,$710.00 ,,,,
ETHAMBUTOL TAB 400MG,$2.20 ,,,,
ETHOSUXIMIDE CAP 250MG,$1.60 ,,,,
ETIDRONATE DISOD TAB 200MG,$3.35 ,,,,
ETODOLAC CAP 300MG,$1.20 ,,,,
ETODOLAC TAB 400MG,$1.10 ,,,,
ETOMIDATE VL 2MG/ML 10ML,$80.00 ,,,,
ETOPOSIDE CAP 50MG,$48.00 ,,,,
ETOPOSIDE PHOS VL 100 MG,$93.00 ,,,,
ETOPOSIDE VL 20MG/ML 5ML,$79.00 ,,,,
EUCERIN CRM 120GM,$6.15 ,,,,
EXCEDRIN TAB/GEQ,$1.00 ,,,,
EXEMESTANE TAB 25MG,$22.00 ,,,,
EXERCISE TEST CARDIOPULMONARY,$521.00 ,,,,
EXTRACTAB NUCLEAR AG AB,$184.00 ,,,,
EXTRACTAB NUCLEAR AG AB JO1,$88.00 ,,,,
EXTRACTAB NUCLEAR AG AB RNP,$72.00 ,,,,
EXTRACTAB NUCLEAR AG AB SCL70,$88.00 ,,,,
EXTRACTAB NUCLEAR AG AB SM,$72.00 ,,,,
EXTRACTAB NUCLEAR AG AB SS-A,$72.00 ,,,,
EXTRACTAB NUCLEAR AG AB SS-B,$72.00 ,,,,
EYE MINOR 1ST 15 MIN,"$2,107.00 ",,,,
EYE MINOR ADDL 15 MIN,"$1,051.00 ",,,,
EZETIMIBE TAB 10MG,$3.30 ,,,,
EZETIMIBE TAB 5MG,$2.15 ,,,,
EZETIMIBE/SIMVASTATIN 10/20,$3.15 ,,,,
EZGAS II GRANULES PACKET,$1.00 ,,,,
F2 GENE 20210G>A VARIANT,$576.00 ,,,,
F5 GENE LEIDEN VARIANT,$476.00 ,,,,
FACTOR II,$243.00 ,,,,
FACTOR IX CHRISTMAS PTC,$439.00 ,,,,
FACTOR V,$243.00 ,,,,
FACTOR VII,$243.00 ,,,,
FACTOR VIII,$219.00 ,,,,
FACTOR VIII FACTOR VW AG,$103.00 ,,,,
FACTOR VIII VL UNIT(MONARC-M),$70.00 ,,,,
FACTOR VIII VW FACTOR MULTIMET,$353.00 ,,,,
FACTOR VIII VW RISTOCETIN CO-F,$309.00 ,,,,
FACTOR X STUART PROWER,$221.00 ,,,,
FACTOR XI,$273.00 ,,,,
FACTOR XII,$79.00 ,,,,
FAMCICLOVIR TAB 250MG,$1.80 ,,,,
FAMOTIDINE TAB 20MG,$1.05 ,,,,
FAMOTIDINE VL 10MG/ML 2ML,$69.00 ,,,,
FAT EMULSION 20% 250ML,$98.00 ,,,,
FAT QL FECES,$59.00 ,,,,
FAT QN FECES,$272.00 ,,,,
FDP/FSP AGGLUTINATION SEMIQN,$536.00 ,,,,
FDP/FSP PARACOAG PROTAMINE SUL,$455.00 ,,,,
FE SULF ELX 220MG/5ML 1ML,$15.00 ,,,,
FE SULF ELX 300MG/5ML 5ML,$1.45 ,,,,
FE SULF LIQ 15MG/ML 1ML,$15.00 ,,,,
FE SULF TAB 325MG,$1.00 ,,,,
FEBUXOSTAT TAB 40MG,$9.85 ,,,,
FELBAMATE SUSP 120MG/ML 1ML,$15.00 ,,,,
FELODIPINE TAB SR 2.5MG,$1.65 ,,,,
FENOFIBRATE TAB 145MG,$3.75 ,,,,
FENOFIBRATE TAB 48MG,$1.90 ,,,,
FENOFIBRATE TAB 54MG,$1.90 ,,,,
FENOLDOPAM INJ 10MG/ML 1ML,$244.00 ,,,,
FENTANYL .2MG/BUPIV 0.1% 100ML,$146.00 ,,,,
FENTANYL INH SOL 100MCG/2ML,$3.05 ,,,,
FENTANYL INJ 0.05MG/ML 1ML,$84.00 ,,,,
FENTANYL INJ 0.05MG/ML 2ML,$86.00 ,,,,
FENTANYL INJ 0.05MG/ML 5ML,$87.00 ,,,,
FENTANYL NS 500MCG/50ML RTU,$144.00 ,,,,
FENTANYL PATCH 100MCG/HR,$11.65 ,,,,
FENTANYL PATCH 12MCG/HR,$12.95 ,,,,
FENTANYL PATCH 25MCG/HR,$5.25 ,,,,
FENTANYL PATCH 50MCG/HR,$7.10 ,,,,
FENTANYL PATCH 75MCG/HR,$9.45 ,,,,
FENTANYL VL 0.05MG/ML 50ML,$100.00 ,,,,
FERRIC GLUC VL 12.5MG/ML 5ML,$142.00 ,,,,
FERRIC SUBSULF SOL 8ML,$14.90 ,,,,
FERRITIN,$95.00 ,,,,
FERUMOXYTOL VL 510MG,$892.00 ,,,,
FETAL HGB KLEIHAUER BETKE,$292.00 ,,,,
FETAL HGB ROSETTE,$83.00 ,,,,
FIBRIN DEGRAD D DIMER QN,$280.00 ,,,,
FIBRIN DEGRAD D DIMER ULTRASEN,$308.00 ,,,,
FIBRINOGEN ACTIVITY,$120.00 ,,,,
FIBRINOLYSINS / COAG SCREEN,$74.00 ,,,,
FIDAXOMICIN TAB 200MG,$116.60 ,,,,
FILGRASTIM VL 300MCG/ML 1.6ML,$625.00 ,,,,
FILGRASTIM VL 300MCG/ML 1ML,$411.00 ,,,,
FINASTERIDE TAB 5MG,$1.40 ,,,,
FIORICET TAB/GEQ,$1.10 ,,,,
FIORINAL CAP/GEQ,$3.20 ,,,,
FIORINAL/COD CAP/GEQ,$5.00 ,,,,
FISH OIL CAP 1GM,$1.05 ,,,,
FLECAINIDE TAB 100MG,$1.25 ,,,,
FLECAINIDE TAB 50MG,$1.15 ,,,,
FLOW CYTOMETRY FIRST MARKER,$267.00 ,,,,
FLU DNA AMP PROB 1ST TWO TYPES,$326.00 ,,,,
FLUCONAZOLE IV PREMIX 400MG,$97.00 ,,,,
FLUCONAZOLE SUSP 40MG/ML 1ML,$15.00 ,,,,
FLUCONAZOLE TAB 100MG,$1.15 ,,,,
FLUCONAZOLE TAB 50MG,$1.05 ,,,,
FLUCONAZOLE/NS IV PREMIX 200MG,$95.00 ,,,,
FLUDARABINE VL 50MG,$351.00 ,,,,
FLUDROCORTISONE TAB 0.05MG,$1.25 ,,,,
FLUDROCORTISONE TAB 0.1MG,$1.40 ,,,,
FLUMAZENIL VL 0.1MG/ML 5ML,$75.00 ,,,,
FLUNISOLIDE NAS SPRY 25ML,$25.80 ,,,,
FLUOCINONIDE CRM 0.05% 30GM,$6.15 ,,,,
FLUOCINONIDE OINT 0.05% 15GM,$15.85 ,,,,
FLUORESCEIN STRIP 1MG,$1.10 ,,,,
FLUORESCENT AB SCREEN,$138.00 ,,,,
FLUORESCENT AB TITER,$153.00 ,,,,
FLUOROMETH OP SUSP 0.1% 5ML,$77.15 ,,,,
FLUOROURACIL VL 50MG/ML 10ML,$72.00 ,,,,
FLUOXETINE CAP 10MG,$1.05 ,,,,
FLUOXETINE CAP 20MG,$1.00 ,,,,
FLUOXETINE LIQ 20MG/5ML 1ML,$15.00 ,,,,
FLUOXETINE LIQ 20MG/5ML 5ML,$5.75 ,,,,
FLUPHENAZINE DECA VL 25MG,$104.00 ,,,,
FLUPHENAZINE DECA VL 5ML,$41.00 ,,,,
FLUPHENAZINE TAB 2.5MG,$1.15 ,,,,
FLUPHENAZINE VL 2.5MG/ML 10ML,$42.00 ,,,,
FLURAZEPAM CAP 15MG,$3.05 ,,,,
FLURBIPROF EYE SOL 0.03% 2.5ML,$36.15 ,,,,
FLURBIPROFEN TAB 100MG,$1.20 ,,,,
FLUTICASONE HFA MDI 110 12GM,$233.00 ,,,,
FLUTICASONE HFA MDI 110 DOSE,$8.55 ,,,,
FLUTICASONE HFA MDI 220 12GM,$342.00 ,,,,
FLUTICASONE HFA MDI 220 DOSE,$11.35 ,,,,
FLUTICASONE HFA MDI 44 10.6GM,$113.00 ,,,,
FLUTICASONE HFA MDI 44 DOSE,$3.10 ,,,,
FLUTICASONE NAS SPRY 16GM,$17.50 ,,,,
FLUTICASONE/SAL 100/50 14 DOSE,$132.00 ,,,,
FLUTICASONE/SAL 250/50 14 DOSE,$147.00 ,,,,
FLUVOXAMINE TAB 50MG,$1.40 ,,,,
FMR1 GENE DETECT ABN ALLELES,$548.00 ,,,,
FNA ADEQUACY EVALUATION,$140.00 ,,,,
FNA INTERP AND REPORT,$244.00 ,,,,
FOBT IMMUNOASSAY DIAG 1-3,$65.00 ,,,,
FOLIC ACID,$60.00 ,,,,
FOLIC ACID RBC,$220.00 ,,,,
FOLIC ACID TAB 0.4MG,$1.00 ,,,,
FOLIC ACID TAB 1MG,$1.05 ,,,,
FOLIC ACID VL 5MG/ML 1ML,$70.00 ,,,,
FOMEPIZOLE VL 1GM/ML 1.5ML,"$2,692.00 ",,,,
FONDAPARINUX 2.5 MG SYRG,$99.00 ,,,,
FONDAPARINUX 7.5 MG SYRG,$123.00 ,,,,
FOSAPREPITANT VL 150MG,$616.00 ,,,,
FOSFOMYCIN GRAN PKT 3GM,$74.05 ,,,,
FOSINOPRIL TAB 10MG,$1.10 ,,,,
FOSINOPRIL TAB 5MG,$1.30 ,,,,
FOSPHENYTOIN VL 100MG,$72.00 ,,,,
FOSPHENYTOIN VL 500MG,$289.00 ,,,,
FRUCTOSE SEMEN,$487.00 ,,,,
FUROSEMIDE SOL 40MG/5ML 5ML,$2.30 ,,,,
FUROSEMIDE SOL 8MG/ML 1ML,$15.00 ,,,,
FUROSEMIDE TAB 10MG,$1.00 ,,,,
FUROSEMIDE TAB 20MG,$1.00 ,,,,
FUROSEMIDE TAB 40MG,$1.00 ,,,,
FUROSEMIDE TAB 80MG,$1.00 ,,,,
FUROSEMIDE VL 100MG 10ML,$71.00 ,,,,
FUROSEMIDE VL 20MG,$70.00 ,,,,
FUROSEMIDE VL 40MG 4ML,$69.00 ,,,,
GABAPENTIN CAP 100MG,$1.05 ,,,,
GABAPENTIN CAP 300MG,$1.10 ,,,,
GABAPENTIN CAP 400MG,$1.05 ,,,,
GABAPENTIN NON-BLD DEFIN ASSY,$198.00 ,,,,
GABAPENTIN SOL 50MG/ML 1ML,$15.00 ,,,,
GABAPENTIN SOL 50MG/ML 6ML,$2.10 ,,,,
GABAPENTIN SOL 50MG/ML 8ML,$2.45 ,,,,
GABAPENTIN TAB 600MG,$1.10 ,,,,
GADOBUTROL INJ 0.1 ML,$1.00 ,,,,
GADOBUTROL INJ 608MG/ML 10ML,$0.00 ,,,,
GADOBUTROL INJ 608MG/ML 7.5ML,$0.00 ,,,,
GADOPENTETATE VL 469MG/ML 5ML,$0.00 ,,,,
GALANTAMINE TAB 4MG,$2.45 ,,,,
GANCICLOVIR VL 500MG,$236.00 ,,,,
GASTRIN,$212.00 ,,,,
GAVISCON XS SUSP 360ML/GEQ,$8.90 ,,,,
GELATIN SPONGE DRSG 25-50MM SH,$146.25 ,,,,
GELFOAM POWDER 1GM GEQ,$62.50 ,,,,
GELFOAM SPONGE 100MM,$5.95 ,,,,
GELFOAM SPONGE 12-7MM,$4.70 ,,,,
GEMCITABINE HCL VL 200MG,$79.00 ,,,,
GEMFIBROZIL TAB 300MG,$1.10 ,,,,
GEMFIBROZIL TAB 600MG,$1.15 ,,,,
GENERAL MINOR 1ST 15 MIN,"$2,107.00 ",,,,
GENERAL MINOR ADDL 15 MIN,"$1,051.00 ",,,,
GENTAMICIN EYE OINT 0.3% 3.5GM,$14.75 ,,,,
GENTAMICIN EYE SOL 0.3% 5ML,$9.15 ,,,,
GENTAMICIN OINT 15GM,$4.05 ,,,,
GENTAMICIN PEAK TDA,$255.00 ,,,,
GENTAMICIN PED VL 10MG/ML 2ML,$72.00 ,,,,
GENTAMICIN TDA,$255.00 ,,,,
GENTAMICIN TROUGH TDA,$255.00 ,,,,
GENTAMICIN VL 40MG/ML 1ML,$69.00 ,,,,
GENTAMICIN VL 40MG/ML 2ML,$70.00 ,,,,
GGT (GAMMA GLUTAMYL TRANSPEP),$72.00 ,,,,
GIARDIA IMMUNOFLUORESCENT,$218.00 ,,,,
GLATIRAMER ACET SYRG 20MG/ML,$389.00 ,,,,
GLIADIN AB QL/SQ,$278.00 ,,,,
GLIDE/GUIDE WIRES LEVEL 1,$83.00 ,,,,
GLIMEPIRIDE TAB 0.5MG,$1.05 ,,,,
GLIMEPIRIDE TAB 1MG,$1.10 ,,,,
GLIMEPIRIDE TAB 4MG,$1.25 ,,,,
GLIPIZIDE SR TAB 2.5MG,$1.45 ,,,,
GLIPIZIDE SR TAB 5MG,$1.30 ,,,,
GLIPIZIDE TAB 10MG,$1.05 ,,,,
GLIPIZIDE TAB 2.5MG,$1.05 ,,,,
GLIPIZIDE TAB 5MG,$1.05 ,,,,
GLOMERULAR BASEMENT MEMB AB,$270.00 ,,,,
GLUC GEL 40% 800MG/2ML,$1.40 ,,,,
GLUCAGON VL 1MG(1U) 1ML,$315.00 ,,,,
GLUCOSAMIN/CHONDROITIN 500/400,$1.10 ,,,,
GLUCOSAMINE CAP 500MG,$1.05 ,,,,
GLUCOSE,$65.00 ,,,,
GLUCOSE 2 HR PP,$20.00 ,,,,
GLUCOSE BODY FLUID,$133.00 ,,,,
GLUCOSE CSF,$133.00 ,,,,
GLUCOSE GEL 15GM,$4.25 ,,,,
GLUCOSE TAB 5GM (10),$4.50 ,,,,
GLUCOSE TOLERANCE 1ST 3 SPEC,$52.00 ,,,,
GLUCOSE TOLERANCE EACH ADD,$23.00 ,,,,
GLYBURIDE MICRON TAB 1.5MG,$1.50 ,,,,
GLYBURIDE MICRON TAB 3MG,$1.00 ,,,,
GLYBURIDE TAB 0.625MG,$1.05 ,,,,
GLYBURIDE TAB 1.25MG,$1.05 ,,,,
GLYBURIDE TAB 2.5MG,$1.05 ,,,,
GLYBURIDE TAB 5MG,$1.05 ,,,,
GLYCERIN SUPP ADULT,$1.05 ,,,,
GLYCERIN SUPP PED,$1.05 ,,,,
GLYCOHEMOGLOBIN (HGB A1C),$100.00 ,,,,
GLYCOPYRROLATE SYR 06.MG/3ML,$137.00 ,,,,
GLYCOPYRROLATE VL 1ML,$89.00 ,,,,
GLYCOPYRROLATE VL 5ML,$141.00 ,,,,
GOLD BOND MAX CRM 30GM (GEQ),$5.65 ,,,,
GOLD BOND POWDER 113GM GEQ,$5.45 ,,,,
GRAM STAIN,$53.00 ,,,,
GRANISETRON TAB 1MG (CH),$2.65 ,,,,
GRANISETRON TAB 1MG NON-CH,$26.35 ,,,,
GRANISETRON VL 1MG/ML 1ML,$81.00 ,,,,
GUAIFEN SR TAB 600MG,$1.25 ,,,,
GUAIFEN SYRP SF 100MG/5ML 1ML,$15.00 ,,,,
GUAIFEN SYRP SF 100MG/5ML 5ML,$1.00 ,,,,
GUAIFEN TAB 200MG,$1.05 ,,,,
GUAIFEN/COD SYRP 1ML,$15.00 ,,,,
GUAIFEN/COD SYRP 5ML,$3.40 ,,,,
GUAIFEN/DM LIQ 10ML,$1.45 ,,,,
GUAIFEN/DM LIQ 1ML,$15.00 ,,,,
GUAIFEN/DM LIQ 5ML,$1.40 ,,,,
GUAIFEN/DM TAB 600/30MG,$1.35 ,,,,
GUAIFEN/PSEUD TAB 600/120MG,$2.15 ,,,,
GUANFACINE TAB 0.5MG,$1.05 ,,,,
GUANFACINE TAB 1MG,$1.10 ,,,,
GUANFACINE TAB ER 1MG,$1.35 ,,,,
H PYLORI AGN IA TECH STOOL,$463.00 ,,,,
HALOPERIDOL AMP 100MG/ML 1ML,$397.00 ,,,,
HALOPERIDOL CONC 2MG/ML 1ML,$15.00 ,,,,
HALOPERIDOL TAB 0.5MG,$1.05 ,,,,
HALOPERIDOL TAB 1MG,$1.10 ,,,,
HALOPERIDOL TAB 5MG,$1.10 ,,,,
HALOPERIDOL VL 5MG/ML 1ML,$70.00 ,,,,
HANTAVIRUS AB,$322.00 ,,,,
HAPTOGLOBIN,$175.00 ,,,,
HBA1&HBA2 GENE COMMON DELE/VAR,$699.00 ,,,,
HCG QL URINE,$87.00 ,,,,
HCG QN,$192.00 ,,,,
HELICOBACTER PYLORI AB,$326.00 ,,,,
HELICOBACTER PYLORI AB IGG,$326.00 ,,,,
HELIOX PER DAY,$329.00 ,,,,
HELMINTH AB,$324.00 ,,,,
HEMATOCRIT,$43.00 ,,,,
HEMOGLOBIN,$51.00 ,,,,
HEMOGLOBIN F (FETAL) QL - APT,$30.00 ,,,,
HEMOGLOBIN PLASMA,$135.00 ,,,,
HEMOSIDERIN QL,$128.00 ,,,,
HEP B SURFACE AGN IA TECH,$65.00 ,,,,
HEP B SURFACE AGN NEUT IA TECH,$207.00 ,,,,
HEPARIN INJ 5000U/0.5ML 0.5ML,$71.00 ,,,,
HEPARIN IV 2000U/1000ML,$96.00 ,,,,
HEPARIN IV 25000U/250ML,$98.00 ,,,,
HEPARIN IV25000U/250ML0.45NACL,$98.00 ,,,,
HEPARIN VL 1000U/ML 10ML,$151.00 ,,,,
HEPARIN VL 1000U/ML 30ML,$82.00 ,,,,
HEPARIN VL 100U/ML 5ML,$69.00 ,,,,
HEPARIN VL 10U/ML 5ML,$69.00 ,,,,
HEPARIN VL 5000U/ML 1ML,$69.00 ,,,,
HEPARIN VL PF 10U/ML 10ML,$69.00 ,,,,
HEPATIC FUNCTION PANEL,$124.00 ,,,,
HEPATITIS A (HAAB) AB IGM,$104.00 ,,,,
HEPATITIS ACUTE PANEL,$481.00 ,,,,
HEPATITIS B CORE AB IGM,$266.00 ,,,,
HEPATITIS B CORE AB TOTAL,$267.00 ,,,,
HEPATITIS B IMM GLOB INJ 0.5ML,$225.00 ,,,,
HEPATITIS B IMM GLOB VL 5ML,"$1,285.00 ",,,,
HEPATITIS B NAP AMPLIFIED,$361.00 ,,,,
HEPATITIS B SURFACE AB,$146.00 ,,,,
HEPATITIS BE AB,$52.00 ,,,,
HEPATITIS C AB,$168.00 ,,,,
HEPATITIS C AB CONFIRM (RIBA),$272.00 ,,,,
HEPATITIS C QN NAP,$341.00 ,,,,
HEROIN METABOLITE DEFIN ASSAY,$198.00 ,,,,
HERPES (HSV) NAP AMPLIFIED,$107.00 ,,,,
HERPES SIMPLEX NON SPEC AB IGG,$102.00 ,,,,
HERPES SIMPLEX TYPE 1 AB IGG,$79.00 ,,,,
HERPES SIMPLEX TYPE 2 AB IGG,$79.00 ,,,,
HETASTARCH 500ML,$102.00 ,,,,
HETEROPHILE AB SCR,$82.00 ,,,,
HEXACHLOROPHENE LIQ 3% 150ML,$18.25 ,,,,
HFE GENE COMMON VARIANTS,$518.00 ,,,,
HISTOPLASMA AB,$158.00 ,,,,
HISTOPLASMA AG IA TECH,$428.00 ,,,,
HIV 1 & HIV 2 AB SGL RESULT,$240.00 ,,,,
HIV-1 AG IA TECH,$72.00 ,,,,
HIV-1 AG W HIV-1&2 AB IA TECH,$189.00 ,,,,
HOLTER <=48 HR RECORDING,$288.00 ,,,,
HOLTER <=48 HR SCN ANLYS W RPT,$630.00 ,,,,
HOMOCYSTEINE,$245.00 ,,,,
HOSP DISCHARGE MGMT <=30 MINS,$145.00 ,,,,
HOSPITAL CARE INITIAL LVL 1,$196.00 ,,,,
HOSPITAL CARE INITIAL LVL 2,$265.00 ,,,,
HOSPITAL CARE SUBSEQUENT LVL 1,$77.00 ,,,,
HOSPITAL CARE SUBSEQUENT LVL 2,$140.00 ,,,,
HPV NAP DIRECT HIGH RISK TYPES,$180.00 ,,,,
HPV NAP DIRECT TYPES 16 & 18,$272.00 ,,,,
HTLV OR HIV AB CONFIRM (WB),$267.00 ,,,,
HYALURONIDASE HUMAN VL150U 1ML,$188.00 ,,,,
HYALURONIDASE VL 200U 1ML,$259.00 ,,,,
HYDRALAZINE AMP 20MG/ML 1ML,$75.00 ,,,,
HYDRALAZINE TAB 10MG,$1.15 ,,,,
HYDRALAZINE TAB 25MG,$1.00 ,,,,
HYDROCHLOROTHIAZIDE TAB 25MG,$1.00 ,,,,
HYDROCLOROTHIAZIDE CAP 12.5MG,$1.10 ,,,,
HYDROCLOROTHIAZIDE TAB 6.25MG,$1.00 ,,,,
HYDROCOD/ACET LIQ 0.5/21.7 1ML,$3.05 ,,,,
HYDROCOD/ACET LIQ 2.5/108 5ML,$3.15 ,,,,
HYDROCOD/ACET TAB 10/325MG,$3.20 ,,,,
HYDROCOD/ACET TAB 5/325MG,$3.30 ,,,,
HYDROCOD/ACET TAB 7.5/325MG,$3.25 ,,,,
HYDROCOD/CHLORPHEN SUSP 1ML,$3.35 ,,,,
HYDROCOD/CHLORPHEN SUSP 5ML,$4.70 ,,,,
