MNEMONIC,DESCRIPTION,CHRG AMT
4028402,"STREP PNEUMO TYPE 23, AB",47.39
4028403,"STREP PNEUMO TYPE 26, AB",47.39
4028404,"STREP PNEUMO TYPE 51, AB",47.39
4028405,"STREP PNEUMO TYPE 56, AB",47.39
4028406,"STREP PNEUMO TYPE 57, AB",47.39
4028407,"STREP PNEUMO TYPE 68, AB",47.39
4028412,"IA CPC IGG AB 164871,MULTISTEP",47.44
4028414,WEST NILE VIRUS IGM,103.19
4028415,"WEST NILE VIRUS, IGG",103.19
4028417,"PARVOVIRUS B19, IGG",87.81
4028418,"PARVOVIRUS B19, IGM",87.81
4028420,"BETA-2 GLYCOPROTEIN I AB, IGG",39.87
4028421,"BETA-2 GLYCOPROTEIN I AB, IGA",39.87
4028422,"BETA-2 GLYCOPROTEIN I AB, IGM",39.87
4028423,"IMMUNOASSAY, ANTIGLIADIN IGG",77.32
4028424,"IMMUNOASSAY, ANTIGLIADIN IGA",77.32
4028425,ANTITRIBOSOMAL P ANTIBODIES,36.73
4028426,"IMMUNOASSAY, RETICULIN IGA",77.37
4028427,"FLOURESCENT AB, RETICULIN IGG",77.37
4028428,"IMMUNOASSAY, T-TRANSGLUTAM IGA",77.37
4028430,CHLAMYDIA BY AMPLIF PROBE,156.59
4028431,GONOCOCCUS BY AMP PROBE,156.59
4028432,PROTEIN ELECTRO FRAC UR 261511,30.55
4028449,"PSA,TOTAL",45.1
4028450,"PSA,FREE",36.32
4028466,HEP C QUANTIFICATION 550027,411.56
4028467,HEP C VIRUS GENOTYPE ANALYSIS,566.57
4028468,ALLERGEN SPEC IGE QUANT/SEMI,23.18
4028469,"ALLERGEN QUAL,MULTI (FOOD)",34.65
4028470,"TOPIRAMATE, QUANTITATIVE",153.2
4028471,VITAMIN A,36.47
4028472,"STOOL, ADDTN PATHOGENS, EACH",16.58
4028473,"CULTURE,UR,QUANT COLONY COUNT",25.11
4028474,COMPATIBILITY TEST I.S./UNIT,123.98
4028475,CHROMOSONE ANALYSIS (GENPATH),350.27
4028476,BONE MARROW CULTURE (GENPATH),350.27
4028477,"INFECTIOUS AGENT,OTHER LA/EIA",38.81
4028478,"CRYPTOCOCCUS AG,SERUM 6551",37.48
4028482,CANCER ANTIGEN (CA) 15-3,36.17
4028483,"PPHR,LEUKODEPL HLA MATCHED",1636.26
4028484,ENTEROVIRUS-PCR,194.94
4028486,CMV PCR,201.84
4028487,QUANTIFERON TB INCUBATED,206
4028488,QUANTIFERON TB NONINCUBATED,206
4028489,CF PROFILE,574
4028490,IL28B,157.15
4028491,PLASMINOGEN INHIB 1,100.79
4028492,HLA-B27 DISEASE ASSOCIATION,105.31
4028493,FACTOR II DNA ANALYSIS,71.32
4028494,FACTOR V LEIDEN,88.57
4028495,MTHFR DNA ANALYSIS,73.21
4028798,EVEROLIMUS,231.76
4028799,Helicobactor pyl stool Antigen,40.04
4028800,TRICHOMONAS VAGINALIS NAA,97.68
4028801,CULTURE P PATHOG - SCREEN,38.7
4028802,HIV 1 ANTIBODY,22.49
4028803,HIV 2 ANTIBODY,34.79
4028805,"UREA NITROGEN, URINE",30.19
4028806,FLUOR AB (ACH) ADDITIONAL,141.98
4210001,"ABDOMEN,SINGLE VIEW",210.44
4210002,"ABD,INC DECUB AND/OR ERECT",216.33
4210003,"A/C JTS,BIL W OR W/O WTS",341.44
4210004,XRAY ABDOMEN PLUS OBLIQUE,204.31
4210008,"CHEST,PA AND LATERAL",203.35
4210009,"CHEST XRAY AP,LAT,OBLIQUE",135.77
4210010,"CHOLANGIOGRAM/ O R,INITIAL",555.07
4210011,CHOLANGIOGRAM O.R./SUBSEQUENT,482.66
4210012,CLAVICLE,355.44
4210013,"ACUTE ABDOMEN,INC CHEST",288.58
4210014,BARIUM ENEMA W/AIR CONTRAST,478.78
4210017,"ELBOW,MIN 3 VIEWS",355.44
4210018,ESOPHAGUS ONLY,593.75
4210020,"FACIAL BONES,MIN 3 VIEWS",391.63
4210022,SHUNTOGRAM/PREV PLACED SHUNT,201.51
4210023,"ANKLE,MIN 3 VIEWS",294.49
4210024,UPPER G I/W SMALL BOWEL,1365.9
4210025,UPPER G I W/BA SWALLOW,1337.01
4210028,UPPER GI SERIES ONLY,742.34
4210030,"HAND, TWO VIEWS",208.75
4210031,"INFANT(< 1YR),UP EXT, MIN 2 V",341.38
4210032,"INFANT(<1YR),LOWER EXT, MIN 2V",336.43
4210033,"PED TORSO FOR FB,ONE VIEW",236.41
4210037,XRAY BONE SURVEY INFANT,223.53
4210038,"BONE SURVEY,LIMITED",412.84
4210040,THER BE/AIR FOR OBSTRUCTION,364.82
4210041,"MASTOIDS,MIN 3 VIEWS/SIDE",407.82
4210042,"FEMUR,2 OR MORE VIEWS",171.19
4210043,NECK FOR SOFT TISSUE,294.49
4210044,"NASAL BONES,MIN 3 VIEWS",492.78
4210047,L/S SPINE BENDING FLEX/EXT,119.92
4210048,"PELVIS,1 OR 2 VIEWS",196.83
4210050,"FINGER(S),MIN 2 VIEWS",273.69
4210051,"PYELOGRAM,NO TOMO",724.3
4210054,"FOREARM,2 VIEWS",355.44
4210055,"RIBS,UNI,MIN 3V,W/PA CHEST",347.17
4210056,"RIBS,BIL,MIN 4V,W/PA CHEST",465.17
4210057,"CERV SPINE, 6 OR MORE VIEWS",644.24
4210058,"CERV SPINE,2 or 3 VIEWS",342.05
4210059,"CERV SPINE,4 OR 5 VIEWS",509.7
4210060,"DORSAL SPINE,3 VIEWS",449.71
4210061,L/S SPINE COMP/W BENDING VIEWS,380.56
4210062,"LUMBAR SPINE,2 OR 3 VIEWS",281.95
4210063,"S-I JTS,3 OR MORE VIEWS",407.21
4210064,"SACRUM-COCCYX,MIN 2 VIEWS",325.36
4210065,"SPINE,1 VIEW ANY LEVEL",312.43
4210067,BONE LENGTH,194.59
4210068,"RIBS,UNIL,2 VIEWS",154.45
4210069,"SHOULDER,MIN 2 VIEWS",288.7
4210070,"SINUSES,MIN 3 VIEWS",420.87
4210071,"RIBS,BILAT,3 VIEWS",172.88
4210072,"SKULL,LESS THAN 4 VIEWS",275.14
4210073,"SKULL,MIN 4 VIEWS",429.93
4210074,SMALL BOWEL SERIES ONLY,624.35
4210075,EXCHANGE NEPHRO TUBE,1166.49
4210076,"STERNUM,MIN 2 VIEWS",414.97
4210077,FLUORO GUIDED NEEDLE PLACEMENT,380.56
4210082,"TEMPORO-MANDIBULAR JT,BIL",413.01
4210083,"TIBIA & FIBULA,2 VIEWS",286.11
4210084,"TOE(S),MIN 2 VIEWS",301.57
4210087,"WRIST,MIN 3 VIEWS",304.04
4210089,"ORBITS,MIN 4 VIEWS",423.18
4210092,"SPECIAL CXR 2V (OBL,DECUB,A/L)",203.35
4210093,"CHEST,1 VIEW",149.37
4210094,ERCP BILIARY/PANCREAS,363.47
4210095,ERCP/BILIARY ONLY,330.81
4210096,ERCP/PANCREAS ONLY,330.81
4210099,"S-C JTS,MIN 3 VIEWS",309.84
4210100,"ELBOW, TWO VIEWS",210.95
4210101,COLONIC TRANS GI/W MUL IMAGES,503.41
4210102,HIP UNI 4 OR MORE VIEWS,224.33
4210103,"FEMUR, 1 VIEW",135.77
4210104,ENTIRE SPINE 1 VIEW,135.77
4210105,ENTIRE SPINE 2-3 VIEWS,224.33
4210106,ENTIRE SPINE 4-5 VIEWS,427.4
4210107,"L/S SPINE,MIN 4 VIEWS",404.07
4210108,"L/S SPINE W BEND,MIN 6 VW",450.39
4210112,"BONE SURVEY,COMP(AXIAL&APPEND)",724.3
4210115,SCAPULA,288.46
4210116,"KNEE,3 VIEWS",297.29
4210120,FLUOROSCOPY 1 HR OR LESS,218.48
4210121,FLUOR GUIDANCE FOR SPINE INJ,354.42
4210122,"BARIUM ENEMA,NO AIR CONT",258.06
4210123,CONTRST XRAY URINARY TRACT,781.6
4210124,NEPH TUBE CHANGE OUT,156.69
4210125,ACC AV DIALYSIS GRAFT FOR EVAL,1276.9
4210126,"CON INJ RAD EVAL CVD,INC FLURO",319.17
4210128,FLUOROSCOPY GREATER THAN 1 HR,215.61
4210130,"FOOT,MIN 3 VIEWS",355.44
4210131,"HAND,MIN 3 VIEWS",355.44
4210132,"HIP, UNI W/ PELVIS 2-3 VIEWS",171.19
4210133,HIP BILAT MIN 2 VIEWS W/PELVIS,253.56
4210134,HIP UNI 1 VIEW W/ PELVIS,135.77
4210135,"HUMERUS,MIN 2 VIEWS",269.75
4210136,"KNEE,1 OR 2 VIEWS",189.46
4210137,"KNEE,4 OR MORE VIEWS",352.79
4210138,"MANDIBLE,MIN 4 VIEWS",407.21
4210139,"CALCANEUS,MIN 2 VIEWS",355.44
4210144,"KNEES STANDING AP,BILATERAL",153.25
4210145,"OR DISCOGRAPHY,CERV OR THORACI",4952.72
4210146,"OR DISCOGRAPHY,LUMBAR",4952.72
4210151,LOCM 100-199 MG CONC PER ML,1.47
4210156,X-RAY STRESS VIEW,135.77
4210157,MYELO THORACII SPINE,1487.63
4210158,MYELO 2/>SPINE REGIONS,1487.63
4210159,XRAY UPPER GI DELAY W/KUB,224.33
4210160,XRAY THORAC SPINE 2 VIEWS,224.33
4210162,ORBITS FOR FOREIGN BODY,209.7
4210163,MANDIBLE LESS THAN 4 VIEWS,209.6
4210165,"CHEST,MIN 4 VIEWS",182.27
4210169,THORACOLUMBAR 2 VIEWS,182.27
4210170,SHOULDER ONE VIEW,173.22
4210171,WRIST 2 VIEWS,173.22
4210173,ANKLE 2 VIEWS,209.6
4210174,FOOT 2 VIEWS,173.22
4210175,SWALLOWING FUNCTION W/VIDEO,336.43
4210176,BONE AGE STUDY,209.6
4210177,"CHEST,2V W APICAL/LORDOTIC",182.27
4210203,LOCM (VISIPAQUE) 320 CONC/ML,4.33
4210204,RAD DR/MODSED INIT 15 MIN<5YRS,55.03
4210205,RAD DR 5YR&UP MODSED INI 15MIN,55.03
4210206,RAD DR MOD SED EA ADDL 15 MIN,25.13
4210207,RAD RN MODSED <5YRS INI 15MIN,55.03
4210208,RAD RN 5YR&UP MODSED INI 15MIN,55.03
4210209,RAD RN MOD SED EA ADDL 15 MIN,25.13
4210210,RAD RECOVERY PER MINUTE,5.45
4210211,RAD FOLEY INSERTION,157.7
4210212,RAD SUBQ/IM INJECTION,64.16
4210213,RAD IV THERAPY INIT HOUR,231.69
4210214,RAD IV THER EA ADD'L 1/4HR,10.12
4210215,RAD IV PUSH,108.62
4210216,RAD POST RECOV EACH 1/4HR,7.53
4210218,INSP/EXP CHEST,203.35
4210219,CHEST FLUORO SNIFF TEST W/OCXR,125.57
4210220,THORACIC SPINE MINIMUM 4 VIEWS,404.07
4210221,SPCL CXR 1 VW(OBL/DEC/AP/LOR),149.37
4218010,WAYNE CO CARE CTR EMP CHEST XR,123.97
4220003,"ULTRASOUND, INTRAOPERATIVE",584.09
4220004,KIDNEY AND BLADDER ULTRASOUND,438.75
4220005,LIVER ULTRASOUND,584.09
4220007,INITIAL OB 14WKS OR MORE/1 FET,478.12
4220008,OB REPEAT EACH FETUS,282
4220009,US DUPLEX ART FLOW LIMITED,489.36
4220010,SOFT TISSUE HEAD/NECK US,535.39
4220011,THYROID ULTRASOUND,689.96
4220012,PELVIC ULTRASOUND NON-PREG,641.99
4220013,AORTA ULTRASOUND,416.71
4220015,ABDOMEN COMPLETE US,751.34
4220016,ABDOMEN LIMITED US,584.09
4220017,PROSTATE ULTRASOUND,451.85
4220021,INIT OB 14 WKS OR MORE EA ADD,324.34
4220023,SOFT TISSUE OTHER BP US,220.33
4220024,POST VOID RESIDUAL URINE US,132.63
4220025,"EXTREMITY,NON-VASC,LIMITED",225.23
4220026,GALLBLADDER ULTRASOUND,584.09
4220028,"PELVIC US NON-PREG,LIMITED",243.16
4220029,U/S ECHOENCEPHALOPATHY,325.64
4220030,TRANSVAGINAL NON-PREG US,478.12
4220031,U/S SPINAL CANAL AND CONTENTS,217.14
4220032,OB US DETAILED/SINGLE FETUS,495.88
4220033,OB LIMITED ULTRASOUND,254.01
4220034,BREAST BILATERAL US,551.14
4220035,BREAST UNILATERAL US,183.17
4220036,VENOUS DUPLEX IMAG/LIMITED/UNI,503.35
4220037,VENOUS DUPLEX IMAG/BIL EXTREM,617.82
4220038,BREAST US LIMITED,161.19
4220041,US ABD AORTA SCREEN/AAA,236.47
4220042,CHEST ULTRASOUND,273.3
4220045,FETAL BIOPHYS PROFILE W/NONSTR,515.49
4220046,INIT OB <14 WKS US,249.51
4220047,INIT OB <14 WEEKS ADD GEST,204.92
4220048,SPLEEN ULTRASOUND,334.57
4220049,FETAL BIOPHYS PROF W/O NSTRESS,334.57
4220051,TRANSVAGINAL W/PREG US,204.92
4220052,U/S TRANSPLANTED KIDNEY,345.93
4220053,U/S LIMITED RETROPERITENEUM,345.93
4220054,"U/S UMBILICAL ARTERY,FETAL",332.04
4220055,U/S FOLLOWUP STUDY,217.24
4220056,3D REND W/INTRP POST PROCESS,403.28
4220057,"BREAST BIOPSY W UL, 1ST LESION",2741.14
4220058,"BREAST BIOP W US, EA ADD LES",255.42
4220059,US ELASTOGRAPHY,127.74
4220060,PARACENTESIS W US GUIDANCE,1149.23
4220061,THORACENTESIS W US GUIDANCE,1149.23
4220062,OB LIMITED W/BIOMETR ADD FETUS,252.26
4230001,WHOLE BODY SCAN,813.75
4230002,GALLIUM SCAB WB TUMOR/SINGLE D,989.16
4230003,GALLIUM SCAN WB INFLAMMATORY,1307.48
4230004,LIVER/SPLEEN SCAN W/ VASC FLOW,1100.14
4230005,PERFUSION LUNG SCAN,1100.14
4230006,RENAL SCAN W/ RX INTERVENTION,1101.61
4230007,HEPATOBILIARY IMAG W PHARM INT,1559.7
4230010,HEPATOBILIARY IMAG INC GB,1575.44
4230011,MECKEL'S SCAN,1086.25
4230012,VENTILATION/PERFUSION LUNG SCA,942.89
4230013,GI BLEED SCAN,1232.88
4230014,"MUGA, REST OR STRESS SINGLE",1823.6
4230015,"MUGA REST AND STRESS, MULTI",1590.4
4230016,PVP-MI SCAN,995.23
4230017,THREE PHASE BONE SCAN,1604.74
4230018,CARDIAC SHUNT DETECT,794.13
4230019,TESTICULAR SCAN W/ FLOW,1053.42
4230021,TUMOR IMAGING WB 2+ DAYS,1760.58
4230024,BONE SCAN SPECT,1447.08
4230025,BONE SCAN LIMITED AREA,478.61
4230026,BONE SCAN MULT AREAS,546.03
4230027,LIVER/SPLEEN SCAN STATIC,544.44
4230028,LIVER SPECT W/FLOW,1137.92
4230029,RENAL SCAN W/O RX INTERVENTION,740.32
4230030,GASTROESOPH REFLEX STUDY,832.41
4230031,GASTRIC EMPTYING STUDY,814.31
4230032,PARATHYROID SCAN,671.06
4230034,THERAPY I-131,931.41
4230035,QUANT LUNG PERF SCAN,567.27
4230036,QUANT LUNG VENT/PERF SCAN,935.86
4230039,MYOCAR PERF STRESS/REST SINGLE,2161.37
4230040,INJ FOR SENTINEL NODE IDENT,326.03
4230041,LYMPH NODE IMAGING,1019.41
4230044,BREAST TUMOR LOCALIZATION,910.73
4230045,TUMOR LOCALIZATION LIMITED,910.73
4230046,TUMOR LOCALIZATION MULT AREAS,1297.7
4230048,WHOLE BODY I-131 SCAN,984.72
4230050,"THYROID UPTAKE,SINGLE DET",566.15
4230052,IV RADIOPHARMACEUTICAL THERAPY,937.38
4230053,SAMARIUM PER 50 MCI,12994.86
4230054,I-131 THER ISOTOPE PER MCI,50.49
4230057,"THYROID UPTAKE,SINGLE OR MULT",284.99
4230058,THYROID IMAGING INC VASC FLOW,376.34
4230059,THYROID IMAGING QUANT MEASURE,583.3
4230060,PARATHYROID IMAGE W SPECT,890.88
4230061,TUMOR LOCALIZATION (ZEVALIN),3263.37
4230062,HEMATOPOETIC NUC THER(ZEVALIN),2761.43
4230063,INDIUM 111(ZEVALIN)/UP TO 5MCI,7108.42
4230064,YTTRIUM 90(ZEVALIN)UP TO 40MCI,59377.05
4230065,LIMITED INFLAMMATORY PROCESS,1234.35
4230066,WB INFLAMMATORY PROCESS,1307.48
4230067,SPECT INFLAMMATORY PROCESS,1096.71
4230068,TUMOR LOCALIZATION SPECT,1760.58
4230069,ESOPHAGEAL MOTILITY,652.34
4230100,SESTIMIBI PER DOSE,297.02
4230101,MEDRONATE(MDP) UP TO 30 MCI,36.65
4230102,THALLIUM-201 PER MCI,79.78
4230103,DISOFENIN PER DOSE,85.18
4230104,PERTECHNETATE PER MCI,1.18
4230105,MEBROFENIN/CHOLETECH PER DOSE,88.32
4230106,PENTETATE(DPTA)AEROSOL/DOSE,117.45
4230107,DX NACL (I-123)PER 100 UCI,74.1
4230108,TX INaCl (I-131) PER MCI,73.65
4230109,MACROAGGREGATED ALB PER DOSE,174.05
4230110,TECHNETIUM Tc99m SULF/DOSE,52.56
4230111,INDIUM IN-111 UP TO 6 MCI,4962.5
4230112,DX INaCl (I-131)PER MCI,36.65
4230113,GALLIUM (Ga-67)PER MCI,77.53
4230114,MAG-3 PER DOSE,355.71
4230115,LABELED RBC PER DOSE/ULTRATAG,296.96
4230116,SAMARIUM UP TO 150 mci,12994.86
4230117,TX BRACHY SEED (I-125)PER INJ,301.46
4230118,Tc WBC EXAMETIZINE RADIOPHARM,7346.4
4230119,RADIUM RA 223 DICHLORIDE,433.36
4230120,FILTERED SULFUR COLLOID/UD,177.27
4230121,I-123 MIGB (IOBENGUANE=<15MCI),7920.68
4240001,HEAD/BRAIN W CONTRAST,1094.47
4240002,HEAD/BRAIN WO CONTRAST,999.1
4240003,HEAD/BRAIN W/WO CONTRAST,2558.13
4240004,"ORB,SELLA,EAR,POST FOSSA W",1905.17
4240005,"ORB,SELLA,POST FOSSA,EAR W/O",1347.06
4240006,"ORB,SELLA,EAR,P FOSSA W,W/O",1934.92
4240007,MAXILLOFACIAL AREA W/O,1598.94
4240008,MAXILLOFACIAL AREA W/CONT,1748.61
4240009,"MAXILLOFACIAL AREA W,W/O CONT",2131.97
4240010,CT SCAN FOR THERAPY GUIDE,123.97
4240101,CHEST WITH CONTRAST,1324.91
4240102,CHEST W/O CONTRAST,992.08
4240103,CHEST W/WO CONTRAST,1540.69
4240104,ABDOMEN WITH IV CONTRAST,1602.99
4240105,ABDOMEN WITHOUT IV CONTRAST,1209.38
4240106,ABDOMEN W/WO IV CONTRAST,1641.83
4240107,ABD/PELVIS W/O IV CONTRAST,1238.67
4240108,ABD/PELVIS W/CONTRAST,1602.82
4240109,ABD/PELVIS W & W/O CONTRAST,1748.61
4240110,LOW DOSE LUNG SCREENING (PKG),250.52
4240116,SOFT TISSUE  NECK W/CONT,1702.89
4240117,SOFT TISSUE NECK W/O CONT,1231.87
4240118,"SOFT TISSUE NECK W,W/O CONT",1705.87
4240119,PELVIS WITH IV CONTRAST,1544.13
4240120,PELVIS WITHOUT IV CONTRAST,1140.01
4240121,PELVIS W/WO IV CONTRAST,1757.77
4240123,LOWER EXT W/O CONTRAST,1004.68
4240125,LUMBAR SPINE W CONTRAST,1596.69
4240126,LUMBAR SPINE W/O CONTRAST,1335.54
4240127,LUMBAR SPINE W/WO CONTRAST,1735.78
4240138,CERV SPINE W/O CONTRAST,1492.57
4240143,"CORONALS,SAG,MULTI,OBL,3-D REC",609.72
4240144,LIMITED OR LOCALIZED F/U CT,534.28
4240145,UPPER EXT W/O CONTRAST,1004.68
4240146,UPPER EXT W/CONTRAST,1078.55
4240147,UPPER EXT W/WO CONTRAST,1092.95
4240148,LOWER EXT W/CONTRAST,891
4240149,LOWER EXT W/WO CONTRAST,1014.9
4240151,THORACIC SPINE W/O CONT,890.49
4240152,THORACIC SPINE W/CONTRAST,1222.77
4240153,THORACIC SPINE W/WO CONT,1410.2
4240154,"THORAX (RIBS,STERNUM) W/O CONT",1004.12
4240155,"THORAX (RIBS,STERNUM) W/CONT",1152.03
4240156,"THORAX (RIBS,STERNUM) W/WO CON",1339.7
4240157,CERVICAL SPINE W/CONTRAST,1503.92
4240158,CERVICAL SPINE W/WO CONT,1944.99
4240160,CT GUIDANCE FISTULA/SINUS,562.49
4240161,CTA PELVIS W & W/O CONT,1089.29
4240162,CTA UPPER EXT W/WO CONTRAST,1129.15
4240163,CTA HEAD W/WO CONTRAST,1072.76
4240164,CTA CHEST W/WO CONTRAST,1298.31
4240165,CTA ABDOMEN W/WO CONTRAST,1072.76
4240166,CCTA STRUC&MORPH W/O CALC EVAL,1427.91
4240167,CCTA W/CONT CORONRAY ARTERIES,1427.91
4240168,CCTA W/CONT FOR CONG HEART DIS,1427.91
4240170,CTA ABD W/RUNOFF W/WO CONTRAST,1017.38
4240171,CTA NECK W/WO C0NTRAST,1017.38
4240172,CTA LOWR EXTR W/O&W DYE,527.76
4240175,CCTA CALCIUM SCORING,153.93
4240201,LOCM (ISOVUE) 300 CONC/ML,1.86
4240202,LOCM (ISOVUE) 370 CONC/ML,1.74
4240203,LOCM (VISIPAQUE) 320 CONC/ML,3.71
4240205,CT ANGIO ABD&PELV W/O&W/DYE,1507.35
4250029,"SCREENING MAMM, BIL DIGITAL",184.53
4250033,"MAMMOGRAM, DIGITIZED SCR CAD",30.93
4250034,"SCREEN MAMM, UNILAT SCRN W/CAD",185.56
4250036,DIAG DIG 3D TOMO UNILAT MAMM,53.03
4250037,DIAG DIG 3D TOMO BILAT MAMM,53.03
4250038,SCREEN DIG 3D TOMO BILAT MAMM,53.03
4250041,BIOPSY BREAST W STEREO 1ST LES,2590.86
4250042,BIOPSY BREAST W STEREO INC,1157.21
4250043,BREAST BIOP W STER EA ADD LES,241.42
4250046,"PLACEMENT LOC DEVICE, 1ST LES",224.57
4250047,"PLACE LOC DEVICE, EA ADD LES",60.41
4250050,"DIAG MAMM W/CAD, UNILAT",176.69
4250051,"DIAG MAMM W/CAD, BILAT",206.18
4250052,"SCREENING MAMM (CAD), BILAT",206.18
4260001,MRA HEAD W/O CONTRAST,1929.23
4260002,MRA HEAD W/ CONTRAST,2266.88
4260003,MRA HEAD W & W/O CONTRAST,3306.78
4260004,MRA NECK W/O CONTRAST,1929.18
4260005,MRA NECK W/ CONTRAST,2153.48
4260006,MRA NECK W & W/O CONTRAST,3306.78
4260007,MRA ABD W AND W/O CONTRAST,3112.02
4260008,MRA CHEST W AND W/O CONTRAST,2570.73
4260009,MRA CHEST W/CONTRAST,2517.28
4260010,"TMJ,BIL",2174.9
4260011,TMJ W AND W/O CONTRAST,3036.98
4260012,MRA CHEST W/O CONTRAST,2030.71
4260013,MRA ABD W/CONTRAST,2517.28
4260014,MRA ABD W/O CONTRAST,2266.88
4260016,MRA UPPER EXT W AND W/O CONT,1876.49
4260017,MRA LOWER EXT W AND W/O CONT,1876.49
4260018,ORBIT/FACE/NECK W/CONTRAST,2517.28
4260019,"CORONALS,SAG,OBLIQUE,3-D REC",565.04
4260020,ORBIT/ FACE AND NECK W/O,2606.76
4260021,ORBIT/FACE/NECK W AND W/O CONT,4224.62
4260023,MRA PELVIS W AND W/O CONT,2700.16
4260030,BRAIN W/O CONTRAST,2153.48
4260031,BRAIN W AND W/O CONTRAST,4224.62
4260032,BRAIN WITH CONTRAST,2895.13
4260040,CHEST W/O CONTRAST,2153.48
4260041,CHEST W AND W/O CONTRAST,2885.12
4260042,CHEST WITH CONTRAST,2639.67
4260043,CARDIAC FOR MORPH W/O CONT,1292.97
4260044,BREAST W AND W/O CONT UNIL,1795.68
4260045,BREAST W AND W/O CON BILAT,2271.56
4260046,BREAST W/O CONT UNIL,1032.39
4260047,BREAST W/O CONT BILAT,1164.8
4260048,BREAST W/CONT UNIL,1267.69
4260049,BREAST W/CONT BILAT,1454.11
4260050,CERVICAL SPINE W/O CONTRAST,3184.55
4260051,CERVICAL SPINE W AND W/O CONT,3457.56
4260052,CERVICAL SPINE WITH CONTRAST,2632.86
4260060,THORACIC SPINE W/O CONTRAST,3048.31
4260061,THORACIC SPINE W AND W/O CONT,4224.62
4260062,THORACIC SPINE WITH CONTRAST,2410.36
4260070,LUMBAR SPINE W/O CONTRAST,2895.18
4260071,LUMBAR SPINE W AND W/O CONT,3142.92
4260072,LUMBAR SPINE WITH CONTRAST,3020.37
4260080,PELVIS W/O CONTRAST,2606.92
4260081,PELVIS WITH AND W/O CONTRAST,3142.92
4260082,PELVIS W/CONTRAST,2517.28
4260090,UPPER EXT/NON JOINT W/O CONT,2769.14
4260091,UPPER EXT/NON JT W AND W/O CON,2885.12
4260092,UPPER EXT/NON JOINT WITH CONT,2517.28
4260099,"UNLISTED MRI PROC (DIAG,INTER)",1239.12
4260100,UPPER EXTREM JOINT W/O CONT,3184.55
4260101,UPPER EXTREM JT W AND W/O CONT,3492.38
4260102,UPPER EXTREM JOINT WITH CONT,2902.55
4260110,ABDOMEN W/O CONTRAST,3161.34
4260111,ABDOMEN WITH AND W/O CONTRAST,3156.82
4260112,ABDOMEN WITH CONTRAST,2872.9
4260140,LOWER EXTREM NON JOINT W/O CON,3184.55
4260141,LOWER EXTREM NON JT W AND W/O,3249.62
4260142,LOWER EXTREM NON JT WITH CONT,2766.1
4260150,LOWER EXTREM JOINT W/O CONT,3184.55
4260151,LOWER EXTREM JT W AND W/O CONT,3659.35
4260152,LOWER EXTREM JOINT WITH CONT,2911.71
4260900,MRI CONTRAST PER ML(MAGNEVIST),5.67
4260901,MRI CONTRAST PER ML (EOVIST),39.94
4260902,MRI CONTRAST PER ML (GADAVIST),11.82
4270045,FDG/IMAGING AGENT,979.1
4270046,SODIUM FLOURIDE PER STUDY DOSE,199.53
4270064,"PET/CT TUM BASE-THIGH,SUBS",8878.99
4270066,F18 FLUCICLOVINE PER mCI,433.58
4280001,PLACE NDL MUSC/TIS FOR RT,6446.36
4280002,HEAD FRAME REMOVAL,696.92
4280003,INSERT MRKR THORAX FOR RT PERQ,2818.87
4280004,PLACE NDL H & N FOR RT,10921.17
4280005,INS MRKR ABD/PEL FOR RT PERQ,2818.87
4280006,PLACE RT DEVICE/MRKR PROSTATE,2818.87
4280007,SPECIAL TX CALC,823.72
4280008,GAMMA KNIFE SRS,19711.78
4280009,LINEAR BASED SRS,19711.78
4280010,LINEAR BASED SBRT,4365.6
4280011,IMRT TRTMNT SIMPLE W/GUIDANCE,1307.66
4280012,IMRT TRTMNT COMPLEX W/GUIDANCE,1266.74
4280013,TX DELIVERY SIMPLE >1 MEV,302.32
4280014,TX DELIVERY INTERMED >1 MEV,302.32
4280015,TX DELIVERY COMPLEX >1 MEV,540.68
4280016,SPECIAL TREATMENT PROCEDURE,1013.39
4280017,SIMULATION SIMPLE,3087.64
4280018,SIMULATION INTERMEDIATE,823.72
4280019,SIMULATION COMPLEX,3087.64
4280020,STERIOTACTIC 3-D RECONSTRUCT,2818.87
4280021,STERIOTACTIC 3-D RECON REPLAN,2818.87
4280022,UNLISTED TX PLAN,310.65
4280023,ELECT. NEUTRON,823.72
4280024,TX DEL KILOVOLTS,302.3
4280025,PROTON TX SIMPLE W/O COMP,1307.68
4280026,PROTON TX SIMPLE W/ COMP,2628.2
4280027,"TX DEVICES, SIMPLE",310.88
4280028,"TX DEVICES, INTERMEDIATE",310.88
4280029,"TX DEVICES, COMPLEX",877.34
4280030,IMRT TX DEVICE (MLC),877.34
4280031,PROTON TX INTERMEDIATE,2628.2
4280032,PROTON TX COMPLEX,2628.2
4280033,CT SIM,1205.55
4280034,IMAGE GUIDANCE FOR LOCALIZATIO,621.28
4280035,PORT FILMS,195.64
4280036,BASIC DOSIMETRY CALC,3087.64
4280037,CONT MED PHYSICS,310.88
4280038,RESP MOTION MNGMNT SIMULATION,264.38
4280039,IMRT TREATMENT PLAN,3087.64
4280040,IMRT TREATMENT PLAN RE-PLAN,3087.64
4280041,ISODOSE SIMPLE W/ CALC,823.72
4280042,ISODOSE COMPLEX W/ CALC,823.72
4280043,SPECIAL DOSIMETERY,310.88
4280044,PHYSICS CONSULT,310.88
4281000,SIMULATION N/C,0
