SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Radiology and Other Imaging,MRA ABDOMEN W/O CONTRAST,"$2,970.00 "
Radiology and Other Imaging,MRA CHEST W/ CONTRAST,"$2,278.25 "
Radiology and Other Imaging,MRA CHEST W/O AND W/ CONTRAST,"$3,330.00 "
Radiology and Other Imaging,MRA CHEST W/O CONTRAST,"$1,179.00 "
Radiology and Other Imaging,MRA HEAD W/ CONTRAST,"$2,145.00 "
Radiology and Other Imaging,MRA HEAD W/O CONTRAST,"$2,048.75 "
Radiology and Other Imaging,MRA HEAD W/O&W/ CONTRAST,"$3,195.00 "
Radiology and Other Imaging,MRA LOWER EXTREMITY W/ CONTRAST,"$1,967.25 "
Radiology and Other Imaging,MRA NECK W/ CONTRAST,"$2,200.00 "
Radiology and Other Imaging,MRA NECK W/O CONTRAST,"$2,015.00 "
Radiology and Other Imaging,MRA NECK W/O&W/ CONTRAST,"$2,530.00 "
Radiology and Other Imaging,MRA PELVIS W/O & W/ CONTRAST,"$4,230.00 "
Radiology and Other Imaging,MRA SPINE CANAL&CONTENTS W/O & W/CONTR,"$2,657.75 "
Radiology and Other Imaging,MRA UPPER EXTREMITY W/CONTRAST,"$2,185.75 "
Radiology and Other Imaging,MRA UPPER EXTREMITY W/O & W/CONTRAST,"$2,657.75 "
Radiology and Other Imaging,MRA UPPER EXTREMITY W/O CONTRAST,"$1,593.00 "
Radiology and Other Imaging,MRI ABDOMEN W/ CONTRAST,"$3,258.00 "
Radiology and Other Imaging,MRI ABDOMEN W/O CONTRAST,"$3,095.00 "
Radiology and Other Imaging,MRI ABDOMEN W/O&W/ CONTRAST,"$4,700.00 "
Radiology and Other Imaging,MRI BRAIN/ BRAIN STEM W/CONTRAST,"$2,330.75 "
Radiology and Other Imaging,MRI BRAIN/ BRAIN STEM W/O CONTRAST,"$2,300.00 "
Radiology and Other Imaging,MRI BRAIN/ BRAIN STEM W/O&W/ CONTRAST,"$3,716.00 "
Radiology and Other Imaging,MRI BREAST BILATERAL W/O CONTRAST,"$2,854.00 "
Radiology and Other Imaging,MRI BREAST UNILATERAL W/O CONTRAST,"$2,393.00 "
Radiology and Other Imaging,MRI BREAST W CAD BILATERAL,"$2,854.00 "
Radiology and Other Imaging,MRI BREAST W CAD UNLIATERAL,"$2,393.00 "
Radiology and Other Imaging,MRI BREAST W CONTRST BILATERAL,"$2,854.00 "
Radiology and Other Imaging,MRI BREAST W CONTRST UNILATERAL,"$2,393.00 "
Radiology and Other Imaging,MRI C-SPINE CANAL&CONT W/O & W/CONTRAST,"$4,176.00 "
Radiology and Other Imaging,MRI C-SPINE CANAL&CONTENTS W/ CONTR,"$3,765.75 "
Radiology and Other Imaging,MRI C-SPINE CANAL&CONTENTS W/O CONT,"$2,964.00 "
Radiology and Other Imaging,MRI CHEST W/ CONTRAST,"$3,473.50 "
Radiology and Other Imaging,MRI CHEST W/O CONTRAST,"$3,147.75 "
Radiology and Other Imaging,MRI CHEST W/O&W/ CONTRAST,"$4,628.75 "
Radiology and Other Imaging,MRI FETAL EA ADDL GESTATION,$452.25 
Radiology and Other Imaging,MRI FETAL SINGLE/1ST GEST,$753.25 
Radiology and Other Imaging,MRI L-SPINE CANAL&CONT W/O & W/CONTRAST,"$4,680.00 "
Radiology and Other Imaging,MRI L-SPINE CANAL&CONTENTS W/ CONTR,"$3,420.00 "
Radiology and Other Imaging,MRI L-SPINE CANAL&CONTENTS W/O CONTR,"$3,296.70 "
Radiology and Other Imaging,MRI LOWER EXTREMITY ANY JOINT W/ CONT,"$2,739.00 "
Radiology and Other Imaging,MRI LOWER EXTREMITY ANY JOINT W/O CONT,"$2,359.50 "
Radiology and Other Imaging,MRI LOWER EXTREMITY NON-JOINT W/CONT,"$2,627.00 "
Radiology and Other Imaging,MRI LOWER EXTREMITY NON-JOINT W/O CONT,"$2,300.00 "
Radiology and Other Imaging,MRI LWR EXTREMITY ANY JOINT W/O&W/CONT,"$3,827.00 "
Radiology and Other Imaging,MRI LWR EXTREMITY NON-JOINT W/O&W/ CONT,"$4,008.00 "
Radiology and Other Imaging,MRI ORBIT FACE&NECK W/ CONTRAST,"$2,302.00 "
Radiology and Other Imaging,MRI ORBIT FACE&NECK W/O CONTRAST,"$1,886.00 "
Radiology and Other Imaging,MRI ORBIT FACE&NECK W/O&W/ CONTRAST,"$3,002.00 "
Radiology and Other Imaging,MRI PELVIS W/ CONTRAST,"$3,909.75 "
Radiology and Other Imaging,MRI PELVIS W/O CONTRAST,"$3,135.75 "
Radiology and Other Imaging,MRI PELVIS W/O&W/ CONTRAST,"$4,425.50 "
Radiology and Other Imaging,MRI T-SPINE CANAL&CONT W/O&W/CONTRAST,"$4,280.50 "
Radiology and Other Imaging,MRI T-SPINE CANAL&CONTENTS W/ CONTR,"$3,593.50 "
Radiology and Other Imaging,MRI T-SPINE CANAL&CONTENTS W/O CONTR,"$2,933.00 "
Radiology and Other Imaging,MRI TEMPOROMANDIBULAR JOINT,"$3,043.75 "
Radiology and Other Imaging,MRI UPPER EXTREMITY ANY JOINT W/ CONT,"$2,967.75 "
Radiology and Other Imaging,MRI UPPER EXTREMITY ANY JOINT W/O CONT,"$2,698.00 "
Radiology and Other Imaging,MRI UPPER EXTREMITY NON-JOINT W/CONT,"$3,421.00 "
Radiology and Other Imaging,MRI UPPER EXTREMITY NON-JOINT W/O CONT,"$1,272.00 "
Radiology and Other Imaging,MRI UPR EXTREMITY ANY JOINT W/O&W/CONT,"$3,161.75 "
Radiology and Other Imaging,MRI UPR EXTREMITY NON-JOINT W/O&W/ CONT,"$4,008.00 "
Radiology and Other Imaging,MST VENOGRAM SUPERIOR SAGIT SINUS S&I,"$1,186.00 "
Radiology and Other Imaging,MYELOGRAPHY CERVICAL S&I,"$1,630.00 "
Radiology and Other Imaging,MYELOGRAPHY LUMBOSACRAL S&I,"$1,640.00 "
Radiology and Other Imaging,MYELOGRAPHY THORACIC S&I,"$1,489.50 "
Radiology and Other Imaging,MYELOGRAPY 2+ REGIONS S&I,"$2,240.00 "
Radiology and Other Imaging,NASAL BONES COMPL 3+ VIEWS,$335.25 
Radiology and Other Imaging,NECK SOFT TISSUE,$282.25 
Radiology and Other Imaging,NOSE TO RECTUM FB 1 VIEW CHILD,$200.00 
Radiology and Other Imaging,OPEN MRI L-SPINE CANAL&CONTENTS W/O CON,"$1,548.75 "
Radiology and Other Imaging,ORBITS COMPLETE 4+ VIEWS,$420.00 
Radiology and Other Imaging,OSSEOUS SURVEY COMPLETE,$845.50 
Radiology and Other Imaging,OSSEOUS SURVEY INFANT,$337.00 
Radiology and Other Imaging,PELVIS 1/2 VIEWS,$282.00 
Radiology and Other Imaging,PELVIS COMPLETE 3+ VIEWS,$448.00 
Radiology and Other Imaging,PERINEOGRAM,$604.00 
Radiology and Other Imaging,RAD GUIDE PERCU DRAINAGE W/PLACE CATH,"$2,630.25 "
Radiology and Other Imaging,REMOVAL MECH INTRACATH OBSTRUCTION CVD,$721.75 
Radiology and Other Imaging,REMOVAL MECH PERICATH OBSTRUCTION CVD,$892.00 
Radiology and Other Imaging,REPAIR DESC THOR AORT W/LFT SUBCLV ART,"$2,779.00 "
Radiology and Other Imaging,RIBS BILATERAL 3 VIEWS,$482.00 
Radiology and Other Imaging,RIBS BILATERAL W/PA CHEST 4+ VIEWS,$549.75 
Radiology and Other Imaging,RIBS UNILATERAL 2 VIEWS,$386.75 
Radiology and Other Imaging,RIBS UNILATERAL W/PA CHEST 3+ VIEWS,$434.50 
Radiology and Other Imaging,SACROILIAC JOINTS <3 VIEWS,$239.00 
Radiology and Other Imaging,SACROILIAC JOINTS 3+ VIEWS,$245.00 
Radiology and Other Imaging,SACRUM & COCCYX 2+ VIEWS,$370.00 
Radiology and Other Imaging,SCAPULA COMPLETE,$278.25 
Radiology and Other Imaging,SCR MAMMO BI INCL CAD,$414.25 
Radiology and Other Imaging,SCRN DIGITAL BREAST TOMOSYNTHESIS BI,$118.00 
Radiology and Other Imaging,SELECT CATH PLCMNT RENAL ANGIO BILAT,"$5,668.25 "
Radiology and Other Imaging,SELECT CATH PLCMNT RENAL ANGIO UNI,"$5,251.50 "
Radiology and Other Imaging,SHOULDER 1 VIEW,$237.50 
Radiology and Other Imaging,SHOULDER ARTHROGRAM S&I,$804.25 
Radiology and Other Imaging,SHOULDER COMPLETE 2+ VIEWS,$412.25 
Radiology and Other Imaging,SINUSES PARANASAL <3 VIEWS,$229.50 
Radiology and Other Imaging,SINUSES PARANASAL COMPLETE 3+ VIEWS,$480.00 
Radiology and Other Imaging,SKULL <4 VIEWS,$354.00 
Radiology and Other Imaging,SKULL COMPLETE 4+ VIEWS,$486.00 
Radiology and Other Imaging,SMALL INTESTINES W/SERIES,$553.75 
Radiology and Other Imaging,SPINE 1 VIEW SPECIFIC LEVEL,$244.25 
Radiology and Other Imaging,SPLENOPORTOGRAPHY,"$3,728.00 "
Radiology and Other Imaging,STERNUM 2+ VIEWS,$317.75 
Radiology and Other Imaging,STRNOCLAV JOINT OR JOINTS 3+ VIEWS,$287.25 
Radiology and Other Imaging,SUPERSELECT CATH PCLMNT RENAL ANGIO BIL,"$5,622.50 "
Radiology and Other Imaging,SUPERSELECT CATH PCLMNT RENAL ANGIO UNI,"$5,206.75 "
Radiology and Other Imaging,SURGICAL SPECIMEN,$430.00 
Radiology and Other Imaging,SWALLOWING FUNCTION W/ CINE/VIDEO,$462.50 
Radiology and Other Imaging,T-L SPINE SCOLIOSIS 1 VIEW,$220.00 
Radiology and Other Imaging,T-L SPINE SCOLIOSIS 2-3 VIEWS,$382.25 
Radiology and Other Imaging,T-L SPINE SCOLIOSIS 4-5 VIEWS,$408.25 
Radiology and Other Imaging,T-L SPINE SCOLIOSIS MIN 6 VIEWS,$665.50 
Radiology and Other Imaging,T-SPINE 2 VIEWS,$336.50 
Radiology and Other Imaging,T-SPINE 3 VIEWS,$243.75 
Radiology and Other Imaging,T-SPINE THORACOLUMBAR MIN 2 VIEWS,$194.00 
Radiology and Other Imaging,TIBIA & FIBULA 2 VIEWS,$298.75 
Radiology and Other Imaging,TMJ OPEN & CLOSED MOUTH BILATERAL,$383.75 
Radiology and Other Imaging,TMJ OPEN & CLOSED MOUTH UNILATERAL,$268.25 
Radiology and Other Imaging,TOE 2+ VIEWS,$227.25 
Radiology and Other Imaging,TPA OPEN/PERCT BRACH TRNK/BRNCH EA VESS,"$15,375.00 "
Radiology and Other Imaging,TPA OPEN/PERCUT ABDOMINAL AORTA,"$15,375.00 "
Radiology and Other Imaging,TPA OPEN/PERCUT ILIAC ARTERY EA VESSEL,"$15,375.00 "
Radiology and Other Imaging,TPA OPEN/PERCUT RENAL ARTERY,"$15,375.00 "
Radiology and Other Imaging,TPA OPEN/PERCUT VISCERAL ARTERY EA VESS,"$15,375.00 "
Radiology and Other Imaging,TRANSCATH THERAPY EMBOLIZATION S&I,"$1,633.75 "
Radiology and Other Imaging,TRANSCATHETER BIOPSY S&I,"$2,449.75 "
Radiology and Other Imaging,TRANSCERV CATH FALLOPIAN TUBE S&I,$857.00 
Radiology and Other Imaging,TRANSHEPAT PORTO PERC W/HEMO EVAL S&I,"$3,987.00 "
Radiology and Other Imaging,TRANSHEPAT PORTO PERC W/O HEMO EVL S&I,"$3,585.00 "
Radiology and Other Imaging,UGI AIR/BARIUM SBFT,$833.50 
Radiology and Other Imaging,UGI AIR/BARIUM W/O KUB,$657.00 
Radiology and Other Imaging,ULTRASOUND ELASTOGRAPHY,$94.50 
Radiology and Other Imaging,UPPER EXTREMITY INFANT 2+ VIEWS,$205.00 
Radiology and Other Imaging,UPPER GI W/O KUB,$569.00 
Radiology and Other Imaging,URETHROCYSTOGRAPHY RETROGRADE S&I,$669.25 
Radiology and Other Imaging,URETHROCYSTOGRAPHY VOIDING S&I,$589.50 
Radiology and Other Imaging,UROGRAM ANTEGRADE S&I,$716.00 
Radiology and Other Imaging,UROGRAPHY INFUSION W/NEPHROTOMOGRAPHY,$966.75 
Radiology and Other Imaging,UROGRAPHY RETROGRADE W/W/O KUB,$870.00 
Radiology and Other Imaging,US ABDL AORTA SCREEN AAA,$504.00 
Radiology and Other Imaging,US ABDOMEN COMPLETE,$816.00 
Radiology and Other Imaging,US ABDOMEN LIMITED,$645.75 
Radiology and Other Imaging,US BREAST UNI RT INCLD AXILLA COMPLETE,$398.00 
Radiology and Other Imaging,US BREAST UNI RT INCLD AXILLA LIMITED,$358.25 
Radiology and Other Imaging,US CHEST B-SCAN &/R-T IMAGE,$525.25 
Radiology and Other Imaging,US COMPLETE JOINT/PERI-ARTICULAR SOFT TISSUE,$282.75 
Radiology and Other Imaging,US ECHOENCEPHALOGRAPY B-SCAN&/R-T IMAGE,$440.50 
Radiology and Other Imaging,US GUIDANCE INTRAOPERATIVE,$792.50 
Radiology and Other Imaging,US GUIDE AMNIOCENTESIS S&I,$622.25 
Radiology and Other Imaging,US GUIDE NEEDLE PLACEMENT S&I,$827.25 
Radiology and Other Imaging,US GUIDE NEEDLE PLACEMENT S&I,$827.25 
Radiology and Other Imaging,US GUIDE PERICARDIOCENTESIS S&I,$693.50 
Radiology and Other Imaging,US GUIDE VAD SITE PATENCY,$424.50 
Radiology and Other Imaging,US KIDNEY TRANSPLANTED W/ DOPPLER,$423.00 
Radiology and Other Imaging,US LIMITED JOINT/PERI-ARTICULAR SOFT TISSUE,$183.00 
Radiology and Other Imaging,US PELVIC NON-OB COMPLETE,$811.00 
Radiology and Other Imaging,US PELVIC NON-OB LIMITED/FOLLOW-UP,$564.50 
Radiology and Other Imaging,US RETROPERITONEAL COMPLETE,$738.75 
Radiology and Other Imaging,US RETROPERITONEAL LIMITED,$614.00 
Radiology and Other Imaging,US SCROTUM & CONTENTS,$703.25 
Radiology and Other Imaging,US SOFT TISSUE HEAD & NECK,$628.50 
Radiology and Other Imaging,US SOFT TISSUE HEAD & NECK,$628.50 
Radiology and Other Imaging,US SPINAL CANAL & CONTENTS,$393.00 
Radiology and Other Imaging,US TRANSRECTAL,"$1,030.50 "
Radiology and Other Imaging,US TRANSVAGINAL NON-OB,$587.50 
Radiology and Other Imaging,US UTERUS FOLLOW-UP PER FETUS,$486.00 
Radiology and Other Imaging,US UTERUS LIMITED 1 OR MORE FETUSES,$577.00 
Radiology and Other Imaging,US UTERUS PREGNANT <14 WKS 1 GEST,$671.25 
Radiology and Other Imaging,US UTERUS PREGNANT <14 WKS EA ADD GEST,$215.50 
Radiology and Other Imaging,US UTERUS PREGNANT >= 14WKS 1 GEST,$718.50 
Radiology and Other Imaging,US UTERUS PREGNANT >= 14WKS EA ADD GEST,$397.25 
Radiology and Other Imaging,US UTERUS PREGNANT TRANSVAGINAL,$407.00 
Radiology and Other Imaging,US UTERUS W/DETAIL FETAL EXAM 1 GEST,$387.00 
Radiology and Other Imaging,US UTERUS W/DETAIL FETAL EXAM EA AD GST,$408.00 
Radiology and Other Imaging,VENOGRAM CAVAL INFERIOR W/SERIAL S&I,"$3,447.25 "
Radiology and Other Imaging,VENOGRAM CAVAL SUPERIOR W/SERIAL S&I,"$2,032.50 "
Radiology and Other Imaging,VENOGRAM EXTREMITY BILATERAL S&I,"$2,172.25 "
Radiology and Other Imaging,VENOGRAM EXTREMITY UNILATERAL S&I,"$2,031.25 "
Radiology and Other Imaging,VENOGRAM LIVER WDG/FR W/O HEMODYN S&I,"$2,795.00 "
Radiology and Other Imaging,VENOGRAM LIVER WEDG/FREE W/HEMODYN S&I,"$3,787.75 "
Radiology and Other Imaging,VENOGRAM VENOUS SINUS/JUGULAR CATH S&I,"$2,795.00 "
Radiology and Other Imaging,VERTEBRAL FRACTURE ASSESS VIA DXA,$109.25 
Radiology and Other Imaging,WRIST 2 VIEWS,$238.25 
Radiology and Other Imaging,WRIST ARTHROGRAM S&I,$666.25 
Radiology and Other Imaging,WRIST COMPLETE 3+ VIEWS,$281.75 
Radiology and Other Imaging,X-RAY EXAM ABDOMEN 1 VIEW,$362.25 
Radiology and Other Imaging,X-RAY EXAM ABDOMEN 3+ VIEWS,$420.00 
Radiology and Other Imaging,X-RAY EXAM CHEST 1 VIEW,$428.00 
Radiology and Other Imaging,X-RAY EXAM CHEST 2 VIEWS,$518.00 
Radiology and Other Imaging,X-RAY EXAM CHEST 3 VIEWS,$553.25 
Radiology and Other Imaging,X-RAY EXAM CHEST 4+ VIEWS,$681.50 
Radiology and Other Imaging,X-RAY INTERNAL AUDITORY MEATI COMPLETE,$220.50 
Radiology and Other Imaging,X-RAY STELLA TURCICA,$145.00 
Radiology and Other Imaging,XRAY OF TEETH FULL MOUTH,$201.00 
Radiology and Other Imaging,XRAY OF TEETH PARTIAL MOUTH,$205.00 
Rehab Therapy Services,BEHAVRAL QUALIT ANALYS VOICE/RESONANCE,$454.75 
Rehab Therapy Services,EVAL MOTION FLUORO CINE/VIDEO,$718.75 
Rehab Therapy Services,EVAL ORAL/PHARYNGEAL SWALLOW  FUNCTION,$453.75 
Rehab Therapy Services,EVAL USE/FIT VOICE PROSTHETIC,$650.00 
Rehab Therapy Services,EVALUATE SPEECH SOUND PRODUCTION,$454.75 
Rehab Therapy Services,EVALUATION OF SPEECH FLUENCY,$323.25 
Rehab Therapy Services,OMT 1-2 BODY REGIONS INVOLVED,$79.00 
Rehab Therapy Services,OMT 3-4 BODY REGIONS INVOLVED,$78.66 
Rehab Therapy Services,OMT 5-6 BODY REGIONS INVOLVED,$78.66 
Rehab Therapy Services,OMT 7-8  BODY REGIONS INVOLVED,$78.66 
Rehab Therapy Services,OT COMMUNITY/WORK REINTEGRAT EA 15 MINS,$129.75 
Rehab Therapy Services,OT DEBRIDE OPEN WOUND <= 20 SQ CM,$235.00 
Rehab Therapy Services,OT DEBRIDE OPEN WOUND EA ADDL 20 SQ CM,$275.75 
Rehab Therapy Services,OT DEBRIDEMENT NON SELECTIVE EA SESSION,$151.75 
Rehab Therapy Services,OT ELECTRICAL STIMULATION MANUAL 15 MIN,$122.00 
Rehab Therapy Services,OT EVAL HIGH COMPLEX,$423.00 
Rehab Therapy Services,OT EVAL LOW COMPLEX,$349.25 
Rehab Therapy Services,OT EVAL MOD COMPLEX,$384.25 
Rehab Therapy Services,OT HOT/COLD PACK APPLICATION,$80.00 
Rehab Therapy Services,OT IONTOPHORESIS EA 15 MINS,$148.00 
Rehab Therapy Services,OT MANUAL THERAPY EA 15 MINS,$144.50 
Rehab Therapy Services,OT MASSAGE EA 15 MIN,$122.50 
Rehab Therapy Services,OT NEUROMUSCULAR RE EDUCATION EA 15 MIN,$139.00 
Rehab Therapy Services,OT ORTHC/PROSTC MGMT SBSQ ENC,$133.75 
Rehab Therapy Services,OT ORTHOTIC MANAGE/TRAIN EA 15 MINS,$137.50 
Rehab Therapy Services,OT PARAFFIN BATH,$90.00 
Rehab Therapy Services,OT PHYSICAL PERFORMANCE TEST EA 15 MINS,$102.50 
Rehab Therapy Services,OT RE-EVAL EST PLAN CARE,$214.25 
Rehab Therapy Services,OT SELF CARE/HOME MANAGEMENT EA 15 MINS,$124.25 
Rehab Therapy Services,OT THER IVNTJ W/FOCUS COG FUNCJ,$145.00 
Rehab Therapy Services,OT THERAPEUTIC ACTIVITIES EA 15 MINS,$135.00 
Rehab Therapy Services,OT THERAPEUTIC EXERCISE EA 15 MINS,$147.50 
Rehab Therapy Services,OT THERAPEUTIC PROCEDURE GROUP,$140.00 
Rehab Therapy Services,OT ULTRASOUND EA 15 MINS,$112.25 
Rehab Therapy Services,OT VASOPNEUMATIC DEVICES,$262.50 
Rehab Therapy Services,OT WHIRLPOOL,$78.75 
Rehab Therapy Services,OT WORK HARDENING/CONDITION EA ADL HR,$151.75 
Rehab Therapy Services,OT WORK HARDENING/CONDITION INIT 2 HRS,$392.75 
Rehab Therapy Services,PT DEBRIDE OPEN WOUND <= 20 SQ CM,$235.00 
Rehab Therapy Services,PT DEBRIDE OPEN WOUND EA ADDL 20 SQ CM,$275.75 
Rehab Therapy Services,PT DEBRIDEMENT NON SELECTIVE EA SESSION,$151.75 
Rehab Therapy Services,PT ELECTRICAL STIMULATION MANUAL 15 MIN,$122.00 
Rehab Therapy Services,PT EVAL HIGH COMPLEX 45 MIN,$376.25 
Rehab Therapy Services,PT EVAL LOW COMPLEX 20 MIN,$310.50 
Rehab Therapy Services,PT EVAL MOD COMPLEX 30 MIN,$342.00 
Rehab Therapy Services,PT GAIT TRAINING EA 15 MIN,$135.00 
Rehab Therapy Services,PT HOT/COLD PACK APPLICATION,$80.00 
Rehab Therapy Services,PT INFRARED,$29.75 
Rehab Therapy Services,PT IONTOPHORESIS EA 15 MINS,$148.00 
Rehab Therapy Services,PT MANUAL THERAPY EA 15 MINS,$144.50 
Rehab Therapy Services,PT MECHANICAL TRACTION,$104.00 
Rehab Therapy Services,PT MODALITY APPLICATION LASER EA 15 MIN,$150.75 
Rehab Therapy Services,PT NEUROMUSCULAR RE EDUCATION EA 15 MIN,$139.00 
Rehab Therapy Services,PT ORTHC/PROSTC MGMT SBSQ ENC,$133.75 
Rehab Therapy Services,PT ORTHOTIC MANAGE/TRAIN EA 15 MINS,$137.50 
Rehab Therapy Services,PT PARAFFIN BATH,$90.00 
Rehab Therapy Services,PT PROSTH/ORTHOTIC CLINIC,$134.75 
Rehab Therapy Services,PT PROSTHETIC TRAINING EA 15 MINS,$128.25 
Rehab Therapy Services,PT RE-EVAL EST PLAN CARE,$172.25 
Rehab Therapy Services,PT SELF CARE/HOME MANAGEMENT EA 15 MINS,$124.25 
Rehab Therapy Services,PT THERAPEUTIC ACTIVITIES EA 15 MINS,$135.00 
Rehab Therapy Services,PT THERAPEUTIC EXERCISE EA 15 MINS,$147.50 
Rehab Therapy Services,PT THERAPEUTIC PROCEDURE GROUP,$140.00 
Rehab Therapy Services,PT ULTRASOUND EA 15 MINS,$112.25 
Rehab Therapy Services,PT VASOPNEUMATIC DEVICES,$262.50 
Rehab Therapy Services,PT WHEELCHAIR MANAGEMENT EA 15 MINS,$76.25 
Rehab Therapy Services,PT WHIRLPOOL,$78.75 
Rehab Therapy Services,SCREENING TEST PURE TONE AIR ONLY,$112.75 
Rehab Therapy Services,SPEECH SOUND LANG COMPREHEN/EXPRESS,$454.75 
Rehab Therapy Services,TREAT SPEECH/LANG/VOICE/AUDITORY GROUP,$219.50 
Rehab Therapy Services,TREAT SPEECH/LANG/VOICE/AUDITORY IND,$296.00 
Rehab Therapy Services,TREAT SPH/LNG/VOICE/AUD IND EA 15 MCAID,$74.00 
Rehab Therapy Services,TREAT SWALLOWING/ORAL DYSFUNCTION,$323.25 
Respiratory and Pulmonary Services,ASSIST/MANAGE VENT FIRST DAY,"$1,067.50 "
Respiratory and Pulmonary Services,ASSIST/MANAGE VENT SUBSEQUENT DAYS,$642.25 
Respiratory and Pulmonary Services,BRONCHODILATION PRE/POST ADMINISTRATION,$453.00 
Respiratory and Pulmonary Services,BRONCHOSPASM PROVOCATION EVAL,$630.75 
Respiratory and Pulmonary Services,CATHETER ASPIRATION NASOTRACHEAL,$168.00 
Respiratory and Pulmonary Services,CO2 EXPIRED GAS DETERMINATION,$242.00 
Respiratory and Pulmonary Services,CONT TX INHALATION OBSTRUCT EA ADDL HR,$137.75 
Respiratory and Pulmonary Services,CONT TX INHALATION OBSTRUCTION 1ST HR,$177.00 
Respiratory and Pulmonary Services,DEMO/EVAL PT USE NEB/MDI/IPPB,$168.00 
Respiratory and Pulmonary Services,DIFFUSION CAPACITY,$300.00 
Respiratory and Pulmonary Services,EAR/PULSE OXIMETRY CONTINUOUS OVERNIGHT,$309.50 
Respiratory and Pulmonary Services,EAR/PULSE OXIMETRY MULT DETERMINATION,$187.25 
Respiratory and Pulmonary Services,EAR/PULSE OXIMETRY SINGLE DETERMINATION,$71.75 
Respiratory and Pulmonary Services,ED CONT TX INHALAT OBSTRUCT EA ADDL HR,$137.75 
Respiratory and Pulmonary Services,ED CONT TX INHALATION OBSTRUCT 1ST HR,$177.00 
Respiratory and Pulmonary Services,ED EAR/PULSE OXIMETRY SINGLE DETERMINAT,$71.75 
Respiratory and Pulmonary Services,ED SPIROMETRY W/ PEAK FLOW,$165.00 
Respiratory and Pulmonary Services,ED SUBSEQUENT TX INHALATION OBSTRUCT/DX,$168.00 
Respiratory and Pulmonary Services,ED TREATMENT INHALATION OBSTRUCTION/DX,$168.00 
Respiratory and Pulmonary Services,EXERCISE TST BRNCSPSM,$715.00 
Respiratory and Pulmonary Services,EXPIRED GAS COLLECTION QUANTITATIVE,$150.75 
Respiratory and Pulmonary Services,GAS DILUT/WASHOUT LUNG VOL/ VENT/CLOSE,$166.00 
Respiratory and Pulmonary Services,IMPULSE OSCILLOMETRY AIRWAY RESISTANCE,$227.00 
Respiratory and Pulmonary Services,INITIATION & MANAGEMENT CPAP,$448.50 
Respiratory and Pulmonary Services,MANIPULATE CHEST WALL INITIAL DEMO/EVAL,$168.00 
Respiratory and Pulmonary Services,MANIPULATE CHEST WALL INITIAL DEMO/EVAL,$168.00 
Respiratory and Pulmonary Services,MANIPULATE CHEST WALL SUBSEQUENT,$70.75 
Respiratory and Pulmonary Services,MANIPULATE CHEST WALL SUBSEQUENT,$70.75 
Respiratory and Pulmonary Services,MAXIMUM BREATHING CAPACTIY/VOLUNT VENT,$134.50 
Respiratory and Pulmonary Services,OXYGEN UPTAKE ANAL REST/EXER DIR SIMP,$381.50 
Respiratory and Pulmonary Services,OXYGEN UPTAKE ANALYSIS REST INDIRECT,$337.25 
Respiratory and Pulmonary Services,PLETHYSMOGRAPHY LUNG VOL/AIR RESISTANCE,$295.50 
Respiratory and Pulmonary Services,PULMONARY REHAB PER HR PER SESSION,$138.50 
Respiratory and Pulmonary Services,PULMONARY STRESS TESTING,$436.25 
Respiratory and Pulmonary Services,PUNCTURE ARTERIAL DIAGNOSIS OF BLOOD,$135.25 
Respiratory and Pulmonary Services,RESP MUSCLE STRENGTH,$245.00 
Respiratory and Pulmonary Services,RESPIRATORY FLOW VOLUME LOOP,$230.00 
Respiratory and Pulmonary Services,SPIROMETRY W/ PEAK FLOW,$165.00 
Respiratory and Pulmonary Services,SUBSEQUENT TX INHALATION OBSTRUCTION/DX,$168.00 
Respiratory and Pulmonary Services,THRPY PX IMPRV RESP FUNCT GRP,$149.00 
Respiratory and Pulmonary Services,THRPY PX IMPRV RESP FUNCT IND 15 MIN,$174.25 
Respiratory and Pulmonary Services,THRPY PX RESPIRATORY MUSCLES PER 15 MIN,$185.75 
Respiratory and Pulmonary Services,TREATMENT INHALATION OBSTRUCTION/DX,$168.00 
Respiratory and Pulmonary Services,TREATMENT INHALATION OBSTRUCTION/DX,$168.00 
Respiratory and Pulmonary Services,VITAL CAPACITY TOTAL,$165.00 
Room Charges,INTENSIVE MEDICAL ROOM,"$3,135.00 "
Room Charges,OBSERVATION DAY 1 HOURS,$36.00 
Room Charges,OBSERVATION EA ADD HOUR,$36.00 
Room Charges,PRIVATE HOSPICE ROOM,"$1,024.75 "
Room Charges,PRIVATE REHAB ROOM,"$1,492.00 "
Room Charges,PRIVATE ROOM,"$1,492.00 "
Room Charges,SEMI-PRIVATE REHAB 3-4 ROOM,"$1,492.00 "
Room Charges,SEMI-PRIVATE REHAB ROOM,"$1,492.00 "
Room Charges,SEMI-PRIVATE ROOM,"$1,492.00 "
Room Charges,SUBACUTE CARE ROOM,$777.50 
Supplies,ABBOTT OMNILINK STENT ALL SIZES,"$7,000.00 "
Supplies,ABBOTT SUPERA STENT 150MM,"$5,600.00 "
Supplies,ABBOTT SUPERA STENT 20MM-120MM,"$5,250.00 "
Supplies,ABDOMINAL BINDER,$62.00 
Supplies,ACCESS KIT JEFFREY WIRE SET,$357.25 
Supplies,ACCESS KIT NEFF PERC SET,$63.00 
