Medication,Charge
"DALTEPARIN (PORCINE) 15,000 UNIT/0.6 ML SUB-Q SYRINGE",$155.84
"DALTEPARIN (PORCINE) 18,000 UNIT/0.72 ML SUB-Q SYRINGE",$177.21
"DALTEPARIN (PORCINE) 5,000 ANTI-XA UNIT/0.2 ML SUB-Q SYRINGE",$93.22
"DALTEPARIN (PORCINE) 7,500 ANTI-XA UNIT/0.3 ML SUB-Q SYRINGE",$115.33
DANAZOL 100 MG CAP,$12.70
DANAZOL 200 MG CAP,$17.46
DANAZOL 50 MG CAP,$10.63
DANTROLENE 100 MG CAP,$12.91
DANTROLENE 20 MG IV SOLUTION,$227.75
DANTROLENE 20 MG IV SOLUTION,$218.59
DANTROLENE 25 MG CAP,$9.51
DANTROLENE 50 MG CAP,$11.65
DAPSONE 100 MG TAB,$7.10
DAPSONE 12.5 MG (HALF-TAB),$15.76
DAPSONE 25 MG TAB,$9.51
DAPTOMYCIN 500 MG IV SOLUTION,"$1,090.81"
DARUNAVIR 400 MG (HALF-TAB),$127.46
DARUNAVIR 600 MG TAB,$63.99
DARUNAVIR 800 MG TABLET,$120.96
DAUNORUBICIN 5 MG/ML IV INJ,$494.98
DEFEROXAMINE 500 MG SOLUTION FOR INJECTION,$62.98
DEMECLOCYCLINE 150 MG TAB,$19.77
DESIPRAMINE 10 MG TAB,$8.95
DESIPRAMINE 100 MG TAB,$18.23
DESIPRAMINE 12.5 MG (HALF-TAB),$15.69
DESIPRAMINE 25 MG TAB,$9.44
DESIPRAMINE 25 MG TAB,$9.51
DESIPRAMINE 5 MG (HALF-TAB),$15.20
DESIPRAMINE 50 MG TAB,$10.91
DESIPRAMINE 75 MG TAB,$15.43
DESMOPRESSIN 0.05 MG (HALF-TAB),$18.49
DESMOPRESSIN 0.1 MG TAB,$12.24
DESMOPRESSIN 0.2 MG TAB,$14.80
DESMOPRESSIN 10 MCG/SPRAY (0.1 ML) NASAL SPRAY (NON-REFRIGERATED),$190.53
DESMOPRESSIN 4 MCG/ML INJECTION,$54.99
DESMOPRESSIN 4 MCG/ML INJECTION,$593.54
DESMOPRESSIN 4 MCG/ML INJECTION (LOW DOSE),$54.99
DESOGESTREL-ETHINYL ESTRADIOL 0.15 MG-30 MCG TAB,$56.62
DESONIDE 0.05 % TOPICAL CREAM,$26.88
DESOXIMETASONE 0.25 % OINTMENT,$151.53
DESOXIMETASONE 0.25 % TOPICAL CREAM,$100.73
"DESVENLAFAXINE SUCCINATE ER 25 MG TABLET,EXTENDED RELEASE 24 HR",$45.62
"DEXAMETHASONE 0.1 % EYE DROPS, SUSP",$155.72
DEXAMETHASONE 0.25 MG (HALF-TAB),$12.93
DEXAMETHASONE 0.5 MG TAB,$6.71
DEXAMETHASONE 0.5 MG/5 ML ORAL SOLN,$65.25
DEXAMETHASONE 0.75 MG TAB,$6.82
DEXAMETHASONE 1.5 MG TAB,$6.92
DEXAMETHASONE 10 MG/ML INJECTION,$46.83
DEXAMETHASONE 10 MG/ML INJECTION,$46.83
DEXAMETHASONE 2 MG TAB,$8.15
DEXAMETHASONE 4 MG TAB,$6.89
DEXAMETHASONE 4 MG/ML INJECTION,$46.21
DEXAMETHASONE 4 MG/ML INJECTION,$45.95
DEXAMETHASONE 4 MG/ML INJECTION,$46.67
DEXAMETHASONE 4 MG/ML INJECTION (PEDS),$45.95
DEXAMETHASONE 4 MG/ML ORAL SOLUTION (PEDS),$45.95
DEXAMETHASONE 4 MG/ML ORAL SOLUTION (PEDS),$46.67
DEXAMETHASONE 4 MG/ML ORAL SOLUTION (PEDS),$46.21
DEXAMETHASONE 6 MG TAB,$8.15
DEXAMETHASONE 8 MG/2 ML TOPICAL SOLUTION,$45.95
DEXAMETHASONE SOD PHOSPHATE-PF 10 MG/ML INJECTION,$48.46
DEXMEDETOMIDINE 100 MCG/ML IV,$297.27
DEXTROAMPHETAMINE 5 MG TAB,$15.39
DEXTROAMPHETAMINE SR 15 MG CAP,$20.94
DEXTROMETHORPHAN-GUAIFENESIN SR 30 MG-600 MG 12 HR TAB,$8.25
DEXTROSE (DIABETIC USE) 40 % ORAL GEL,$20.33
DEXTROSE (DIABETIC USE) 40 % ORAL GEL - ROPH,$35.07
DEXTROSE (DIABETIC USE) 40 % ORAL GEL - ROPH,$37.69
DEXTROSE (DIABETIC USE) 40 % ORAL GEL - ROPH,$20.33
DEXTROSE 10% IN WATER (D10W) IV SOLN,$71.75
DEXTROSE 10% IN WATER (D10W) IV SOLN,$71.75
DEXTROSE 10% INFUSION (INSULIN PROTOCOL),$71.75
DEXTROSE 20% IN WATER (D20W) 20 % IV,$71.75
DEXTROSE 25% IN WATER (D25W) IV SYRINGE,$50.73
DEXTROSE 5% IN NORMAL SALINE IV,$71.75
DEXTROSE 5% IN WATER (D5W) (ADD-VANTAGE/MINIBAG +) IV PIGGY BACK,$128.13
DEXTROSE 5% IN WATER (D5W) IV,$128.13
DEXTROSE 5% IN WATER (D5W) IV,$71.75
DEXTROSE 5% IN WATER (D5W) IV,$71.75
DEXTROSE 5% IN WATER (D5W) IV,$100.00
DEXTROSE 5% IN WATER (D5W) IV,$71.75
DEXTROSE 5% IN WATER (D5W) IV,$71.75
DEXTROSE 5% IN WATER IVPB,$128.13
DEXTROSE 5% IN WATER IVPB,$71.75
DEXTROSE 5% IN WATER IVPB,$100.00
DEXTROSE 5% IN WATER IVPB,$71.75
DEXTROSE 5% IN WATER IVPB,$71.75
DEXTROSE 5% INFUSION (INSULIN PROTOCOL),$71.75
DEXTROSE 5% WATER/0.2% NACL IV INFUSION (NEO-PEDS),$71.75
DEXTROSE 5% WATER/0.2% NACL WITH 20 MEQ KCL IV INFUSION (NEO-PEDS),$71.75
DEXTROSE 5% WATER/0.45% NACL IV INFUSION (NEO-PEDS),$71.75
DEXTROSE 5% WATER/0.45% NACL WITH 20 MEQ KCL IV INFUSION (NEO-PEDS),$128.13
DEXTROSE 5% WATER/0.9% NACL IV INFUSION (NEO-PEDS),$71.75
DEXTROSE 5%-1/2 NORMAL SALINE IV,$71.75
DEXTROSE 5%-1/2 NORMAL SALINE IV,$71.75
DEXTROSE 5%-1/4 NORMAL SALINE IV,$71.75
DEXTROSE 5%-LACTATED RINGERS 5 % IV,$128.13
DEXTROSE 50% IN WATER (D50W) IV,$45.76
DEXTROSE 50% IN WATER (D50W) IV SYRINGE,$63.18
DEXTROSE 50% IN WATER (D50W) IV SYRINGE,$63.18
DEXTROSE 50% SYRINGE (HYPOGLYCEMIA PROTOCOL),$63.18
DEXTROSE 50% SYRINGE (HYPOGLYCEMIA PROTOCOL),$63.18
DEXTROSE 70% IN WATER (D70W) IV,$71.75
DIAZEPAM 10 MG TAB,$15.18
DIAZEPAM 2 MG TAB,$15.18
DIAZEPAM 2.5 MG RECTAL KIT,$669.28
DIAZEPAM 5 MG TAB,$15.15
DIAZEPAM 5 MG/ML SYRINGE,$90.82
DIAZEPAM 5 MG/ML SYRINGE,$90.82
DIBUCAINE 1 % OINTMENT,$26.99
DICLOFENAC 0.1 % EYE DROPS,$33.43
DICLOFENAC 1 % TOPICAL GEL,$117.76
"DICLOFENAC 25 MG TAB, DELAYED RELEASE",$9.27
"DICLOFENAC 25 MG TAB, DELAYED RELEASE",$11.47
"DICLOFENAC 50 MG TAB, DELAYED RELEASE",$7.55
"DICLOFENAC 75 MG TAB, DELAYED RELEASE",$7.17
DICLOXACILLIN 250 MG CAP,$7.34
DICLOXACILLIN 500 MG CAP,$7.73
DICYCLOMINE 10 MG CAP,$7.83
DICYCLOMINE 10 MG/5 ML ORAL SOLN,$295.84
DICYCLOMINE 10 MG/5 ML ORAL SOLN,$30.71
DICYCLOMINE 10 MG/ML IM,$217.68
DICYCLOMINE 20 MG TAB,$6.96
"DIDANOSINE 200 MG CAP, DELAYED RELEASE",$19.73
"DIDANOSINE 400 MG CAP, DELAYED RELEASE",$26.90
DIGOXIN 0.25 MG/5 ML (5 ML) ORAL SOLN,$19.98
DIGOXIN 125 MCG TAB,$7.13
DIGOXIN 250 MCG TAB,$10.88
DIGOXIN 250 MCG/ML INJECTION,$46.02
DIGOXIN 250 MCG/ML INJECTION,$226.88
DIGOXIN 50 MCG/ML ORAL SOLN,$71.60
DIGOXIN IMMUNE FAB 40 MG IV SOLUTION,"$1,479.20"
DIHYDROERGOTAMINE 1 MG/ML INJECTION,$247.77
DILTIAZEM 120 MG TAB,$6.78
DILTIAZEM 15 MG (HALF-TAB),$12.21
DILTIAZEM 30 MG TAB,$6.71
DILTIAZEM 5 MG/ML IV,$49.20
DILTIAZEM 5 MG/ML IV,$48.23
DILTIAZEM 60 MG TAB,$6.82
DILTIAZEM 90 MG TAB,$7.03
DILTIAZEM CD 120 MG 24 HR CAP (BUNDLED),$7.31
DILTIAZEM CD 120 MG 24 HR CAP (BUNDLED),$7.55
DILTIAZEM CD 180 MG 24 HR CAP (BUNDLED),$7.34
DILTIAZEM CD 240 MG 24 HR CAP (BUNDLED),$7.73
DILTIAZEM CD 240 MG 24 HR CAP (BUNDLED),$8.29
DILTIAZEM CD 300 MG 24 HR CAP (BUNDLED),$8.01
DILTIAZEM SR 120 MG 12 HR CAP,$9.30
DILTIAZEM SR 60 MG 12 HR CAP,$11.09
DILTIAZEM SR 90 MG 12 HR CAP,$8.39
DIMERCAPROL 100 MG/ML IM,$293.60
DIMERCAPROL 100 MG/ML IM,$308.06
DINOPROSTONE 20 MG VAGINAL SUPPOSITORY,"$3,711.05"
DIPHENHYDRAMINE 12.5 MG/5 ML ELIXIR,$13.68
DIPHENHYDRAMINE 25 MG CAP,$6.78
DIPHENHYDRAMINE 25 MG TAB,$6.64
DIPHENHYDRAMINE 50 MG CAP,$6.61
DIPHENHYDRAMINE 50 MG/ML INJECTION,$46.67
DIPHENHYDRAMINE 50 MG/ML INJECTION,$45.79
DIPHENHYDRAMINE-ZINC ACETATE 1 %-0.1 % TOPICAL CREAM,$33.11
DIPHENHYDRAMINE-ZINC ACETATE 2 %-0.1 % TOPICAL CREAM,$25.55
DIPHENOXYLATE-ATROPINE 2.5 MG-0.025 MG TAB,$15.63
DIPHENOXYLATE-ATROPINE 2.5 MG-0.025 MG/5 ML ORAL LIQUID,$33.00
DIPHENOXYLATE-ATROPINE 2.5 MG-0.025 MG/5 ML ORAL LIQUID,$14.50
"DIPHTH,PERTUS(ACEL),TETANUS VAC 2LF-(5-3-5MCG)-5LF/0.5ML IM SUSPENSION",$146.79
"DIPHTH,PERTUS(ACEL),TETANUS VAC 2LF-(5-3-5MCG)-5LF/0.5ML IM SUSPENSION",$147.07
"DIPHTH,PERTUS(ACEL),TETANUS VAC 2LF-(5-3-5MCG)-5LF/0.5ML IM SUSPENSION",$131.20
"DIPHTH,PERTUS(ACEL),TETANUS VAC-PF 2 LF-(5-3-5MCG)-5 LF/0.5 ML IM SUSP",$131.20
"DIPHTH,PERTUS(ACEL),TETANUS VAC-PF 2 LF-(5-3-5MCG)-5 LF/0.5 ML IM SUSP",$131.20
DIPYRIDAMOLE 12.5 MG (HALF-TAB),$13.42
DIPYRIDAMOLE 25 MG TAB,$7.17
DIPYRIDAMOLE 50 MG TAB,$7.48
DIPYRIDAMOLE 75 MG TAB,$7.80
DIPYRIDAMOLE-ASPIRIN SR 200 MG-25 MG 12 HR CAP,$16.09
DISOPYRAMIDE 100 MG CAP,$7.24
DISOPYRAMIDE 150 MG CAP,$8.57
DISOPYRAMIDE 150 MG CAP,$7.34
DISOPYRAMIDE CR 100 MG CAP,$11.19
DISOPYRAMIDE CR 100 MG CAP,$10.67
DISOPYRAMIDE CR 150 MG CAP,$11.54
DISOPYRAMIDE CR 150 MG CAP,$11.40
DISULFIRAM 125 MG (HALF-TAB),$24.55
DISULFIRAM 250 MG TAB,$19.14
DIVALPROEX 125 MG SPRINKLE CAP,$8.32
DIVALPROEX 125 MG SPRINKLE CAP,$10.21
"DIVALPROEX 125 MG TAB, DELAYED RELEASE",$6.93
"DIVALPROEX 250 MG TAB, DELAYED RELEASE",$7.06
"DIVALPROEX 500 MG TAB, DELAYED RELEASE",$8.57
DIVALPROEX ER 250 MG 24 HR TAB,$11.37
DIVALPROEX ER 500 MG 24 HR TAB,$15.04
DOBUTAMINE 250 MG/20 ML IV,$51.51
"DOBUTAMINE IN D5W 2,000 MCG/ML IV (ROPH)",$128.13
DOBUTAMINE IN D5W 250 MG/250 ML IV - ROPH,$128.13
DOCOSANOL 10 % TOPICAL CREAM,$99.43
DOCUSATE CALCIUM 240 MG CAP,$6.68
DOCUSATE SODIUM 100 MG CAP,$6.61
DOCUSATE SODIUM 100 MG CAP,$6.61
DOCUSATE SODIUM 250 MG CAP,$6.64
DOFETILIDE 125 MCG CAP,$17.42
DOFETILIDE 250 MCG CAP,$15.71
DOFETILIDE 500 MCG CAP,$15.71
DOLUTEGRAVIR 50 MG TABLET,$308.45
DONEPEZIL 2.5 MG (HALF-TAB),$36.82
DONEPEZIL 5 MG TAB,$18.72
DONEPEZIL 5 MG TAB,$30.32
DONEPEZIL 5 MG TAB,$6.96
DOPAMINE 400 MG/10 ML IV,$45.66
DOPAMINE 400 MG/5 ML IV,$46.70
DOPAMINE IN D5W 400 MG/250 ML IV,$128.13
DOPAMINE IN D5W 800 MG/250 ML IV,$128.13
DORIPENEM 250 MG IV SUSP,$84.11
DORIPENEM 500 MG IV SOLUTION,$116.90
DORNASE ALFA 1 MG/ML SOLN FOR INHALATION,$236.00
DORNASE ALFA 1 MG/ML SOLN FOR INHALATION,$236.00
DORZOLAMIDE 2 % EYE DROPS,$114.25
DORZOLAMIDE-TIMOLOL 2 %-0.5 % EYE DROPS,$84.22
DOXAPRAM 20 MG/ML IV,$170.62
DOXAZOSIN 1 MG (HALF TAB),$13.00
DOXAZOSIN 2 MG TAB,$6.75
DOXAZOSIN 4 MG TAB,$7.13
DOXEPIN 10 MG CAP,$6.78
DOXEPIN 10 MG/ML ORAL CONCENTRATE,$29.55
DOXEPIN 100 MG CAP,$7.03
DOXEPIN 100 MG CAP,$7.03
DOXEPIN 25 MG CAP,$6.78
DOXEPIN 50 MG CAP,$6.85
DOXERCALCIFEROL 0.5 MCG CAP,$26.77
DOXERCALCIFEROL 2.5 MCG CAP,$71.33
DOXORUBICIN 10 MG/5 ML IV,$83.33
DOXORUBICIN 10 MG/5 ML IV,$83.33
DOXORUBICIN 50 MG IV POWDER FOR SOLUTION,$222.78
DOXORUBICIN 50 MG/25 ML IV,$179.50
DOXYCYCLINE 100 MG CAP,$6.97
DOXYCYCLINE 25 MG/5 ML ORAL SUSP,$105.15
DOXYCYCLINE 50 MG CAP,$7.01
DOXYCYCLINE 50 MG/5 ML SYRUP,$802.35
DOXYCYCLINE HYCLATE 100 MG IV SOLUTION,$77.57
DRONABINOL 2.5 MG CAP,$36.94
DRONABINOL 5 MG CAP,$57.60
DRONEDARONE 400 MG TAB,$19.49
DROPERIDOL 2.5 MG/ML INJECTION,$46.54
"DULOXETINE 20 MG CAP, DELAYED RELEASE",$17.88
"DULOXETINE 30 MG CAP, DELAYED RELEASE",$22.11
"DULOXETINE 30 MG CAP, DELAYED RELEASE",$12.28
"DULOXETINE 60 MG CAP, DELAYED RELEASE",$12.51
DUTASTERIDE 0.5 MG CAP,$18.40
ECONAZOLE 1 % TOPICAL CREAM,$32.31
ECONAZOLE 1 % TOPICAL CREAM,$89.94
EDROPHONIUM CHLORIDE 10 MG/ML INJECTION,$111.76
EDROPHONIUM CL-ATROPINE 10 MG-0.14 MG/ML IV,$76.18
EDTA 18.5 MG/ML CORNEAL CHELATING SOLUTION,$254.48
EDTA 2 % (PF) OPHTHALMIC SOLUTION,$170.25
EFAVIRENZ 200 MG CAP,$24.43
EFAVIRENZ 50 MG CAP,$11.65
EFAVIRENZ 600 MG TAB,$58.33
ELETRIPTAN HBR 10 MG (HALF-TAB),$69.90
ELETRIPTAN HBR 20 MG TAB,$63.40
ELETRIPTAN HBR 40 MG TAB,$158.55
ELVITEG 150 MG-COBI 150 MG-EMTRICIT 200 MG-TENOFOV ALAFEN 10 MG TABLET,$228.53
ELVITEGRAV-COBICIST-EMTRICIT-TENOF 150 MG-150 MG-200 MG-300 MG TABLET,$200.35
EMOLLIENT COMBINATION NO.92 TOPICAL LOTION,$30.70
EMTRICITABINE 200 MG CAP,$43.77
EMTRICITABINE-RILPIVIRINE-TENOFOVIR 200 MG-25 MG-300 MG TAB,$178.61
EMTRICITABINE-TENOFOVIR 200 MG-300 MG TAB,$95.09
ENALAPRIL MALEATE 1.25 MG (HALF-TAB),$12.93
ENALAPRIL MALEATE 10 MG TAB,$6.68
ENALAPRIL MALEATE 10 MG TAB,$9.40
ENALAPRIL MALEATE 2.5 MG TAB,$6.68
ENALAPRIL MALEATE 20 MG TAB,$6.75
ENALAPRIL MALEATE 5 MG TAB,$6.68
ENALAPRIL MALEATE 5 MG TAB,$6.64
ENALAPRILAT 1.25 MG/ML IV,$48.84
ENALAPRILAT 1.25 MG/ML IV,$59.11
ENOXAPARIN 100 MG/ML SUB-Q SYRINGE,$90.24
ENOXAPARIN 100 MG/ML SUB-Q SYRINGE,$74.36
ENOXAPARIN 120 MG/0.8 ML SUB-Q SYRINGE,$99.46
ENOXAPARIN 120 MG/0.8 ML SUB-Q SYRINGE,$80.40
ENOXAPARIN 150 MG/ML SUB-Q SYRINGE,$113.52
ENOXAPARIN 150 MG/ML SUB-Q SYRINGE,$349.75
ENOXAPARIN 30 MG/0.3 ML SUB-Q SYRINGE,$57.89
ENOXAPARIN 30 MG/0.3 ML SUB-Q SYRINGE,$113.10
ENOXAPARIN 40 MG/0.4 ML SUB-Q SYRINGE,$62.48
ENOXAPARIN 40 MG/0.4 ML SUB-Q SYRINGE,$56.12
ENOXAPARIN 60 MG/0.6 ML SUB-Q SYRINGE,$71.77
ENOXAPARIN 60 MG/0.6 ML SUB-Q SYRINGE,$177.32
ENOXAPARIN 80 MG/0.8 ML SUB-Q SYRINGE,$80.95
ENOXAPARIN 80 MG/0.8 ML SUB-Q SYRINGE,$220.11
ENTACAPONE 200 MG TAB,$20.57
EPHEDRINE 50 MG/ML INJECTION (BUNDLED),$143.52
EPINEPHRINE 0.1 % NASAL SOLN,$75.42
EPINEPHRINE 0.1 MG/ML SYRINGE,$50.92
EPINEPHRINE 0.1 MG/ML SYRINGE,$50.21
EPINEPHRINE 0.1 MG/ML SYRINGE,$50.92
"EPINEPHRINE 0.3 MG/0.3 ML (1:1,000) IM PEN INJECTOR",$215.18
"EPINEPHRINE 1 MG/ML (1:1,000) (1 ML) INJECTION",$47.84
"EPINEPHRINE 1 MG/ML (1:1,000) (1 ML) INJECTION",$47.77
"EPINEPHRINE 1 MG/ML (1:1,000) (1 ML) INJECTION",$47.84
EPINEPHRINE 1 MG/ML INJECTION,$64.48
"EPINEPHRINE 1:20,000 TOPICAL SOLUTION",$47.84
"EPINEPHRINE 1:20,000 TOPICAL SOLUTION",$47.77
"EPINEPHRINE 1:20,000 TOPICAL SOLUTION",$47.84
EPINEPHRINE 1MG/ML INJECTION (PEDS),$47.84
EPINEPHRINE 1MG/ML INJECTION (PEDS),$47.77
EPINEPHRINE 1MG/ML INJECTION (PEDS),$47.84
"EPOETIN ALFA 10,000 UNIT/ML INJECTION",$366.33
"EPOETIN ALFA 10,000 UNIT/ML INJECTION (ESRD USE ONLY)","$1,249.21"
"EPOETIN ALFA 2,000 UNIT/ML INJECTION",$143.68
"EPOETIN ALFA 2,000 UNIT/ML INJECTION (ESRD USE ONLY)",$349.55
"EPOETIN ALFA 20,000 UNIT/ML INJECTION",$888.43
"EPOETIN ALFA 20,000 UNIT/ML INJECTION",$888.43
"EPOETIN ALFA 20,000 UNIT/ML INJECTION (ESRD USE ONLY)","$2,198.55"
"EPOETIN ALFA 3,000 UNIT/ML INJECTION",$193.50
"EPOETIN ALFA 3,000 UNIT/ML INJECTION",$193.50
"EPOETIN ALFA 3,000 UNIT/ML INJECTION (ESRD USE ONLY)",$424.35
"EPOETIN ALFA 4,000 UNIT/ML INJECTION",$318.08
"EPOETIN ALFA 4,000 UNIT/ML INJECTION",$318.08
"EPOETIN ALFA 4,000 UNIT/ML INJECTION (ESRD USE ONLY)",$635.22
EPTIFIBATIDE 2 MG/ML IV,$162.66
EPTIFIBATIDE 2 MG/ML IV,"$3,776.33"
EPTIFIBATIDE 2MG/ML IV - BOLUS,$162.66
"ERGOCALCIFEROL (VITAMIN D2) 50,000 UNIT CAP",$6.54
"ERGOCALCIFEROL (VITAMIN D2) 50,000 UNIT CAP",$10.28
"ERGOCALCIFEROL (VITAMIN D2) 50,000 UNIT CAP",$9.02
"ERGOCALCIFEROL (VITAMIN D2) 50,000 UNIT CAP",$14.11
"ERGOCALCIFEROL (VITAMIN D2) 50,000 UNIT CAP",$7.59
"ERGOCALCIFEROL (VITAMIN D2) 8,000 UNIT/ML ORAL DROPS",$169.10
"ERGOCALCIFEROL (VITAMIN D2) 8,000 UNIT/ML ORAL DROPS",$215.85
ERGOTAMINE-CAFFEINE 1 MG-100 MG TAB,$16.65
ERGOTAMINE-CAFFEINE 2 MG-100 MG RECTAL SUPPOSITORY,$32.36
ERTAPENEM 1 G SOLUTION FOR INJECTION,$214.88
"ERYTHROMYCIN 250 MG CAP, DELAYED RELEASE",$9.79
ERYTHROMYCIN 250 MG TAB,$31.84
ERYTHROMYCIN 5 MG/G EYE OINTMENT,$67.88
ERYTHROMYCIN 5 MG/G EYE OINTMENT,$40.85
ERYTHROMYCIN 500 MG TAB,$9.79
"ERYTHROMYCIN 500 MG TAB, DELAYED RELEASE",$9.79
"ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5 ML SUSP, RECON",$137.20
ERYTHROMYCIN ETHYLSUCCINATE 400 MG TAB,$9.34
"ERYTHROMYCIN LACTOBIONATE 1,000 MG IV SOLUTION",$69.51
ERYTHROMYCIN LACTOBIONATE 500 MG IV SOLUTION,$67.27
ERYTHROMYCIN STEARATE 250 MG TAB,$8.39
ERYTHROMYCIN WITH ETHANOL 2 % TOPICAL SOLN,$39.76
ESCITALOPRAM 10 MG TAB,$17.07
ESCITALOPRAM 10 MG TAB,$16.37
ESCITALOPRAM 20 MG TAB,$17.53
ESCITALOPRAM 20 MG TAB,$7.10
ESCITALOPRAM 5 MG TAB,$8.11
ESMOLOL 10 MG/ML IV,$66.75
ESMOLOL 10 MG/ML IV,$66.75
ESMOLOL IN SALINE (ISO-OSMOTIC) 10 MG/ML IV (ROPH),$660.44
ESTAZOLAM 0.5 MG (HALF-TAB),$13.42
ESTAZOLAM 1 MG TAB,$7.17
ESTERIFIED ESTROGENS 0.625 MG TAB,$9.30
ESTERIFIED ESTROGENS 2.5 MG TAB,$13.78
ESTRADIOL 0.05 MG/24 HR WEEKLY TRANSDERM PATCH,$33.40
ESTRADIOL 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,$33.40
ESTRADIOL 0.5 MG (HALF-TAB),$13.35
ESTRADIOL 0.5 MG TAB,$6.64
ESTRADIOL 1 MG TAB,$6.61
ESTRADIOL CYPIONATE 5 MG/ML IM OIL,$146.15
ESTRADIOL VALERATE 20 MG/ML IM OIL,$259.55
ESTROPIPATE 0.375 MG (HALF-TAB),$15.80
ESTROPIPATE 0.75 MG TAB,$9.55
ETHACRYNATE SODIUM 50 MG IV SOLUTION,"$1,306.80"
ETHACRYNIC ACID 12.5 MG (HALF-TAB),$20.84
ETHACRYNIC ACID 25 MG TAB,$16.44
ETHAMBUTOL 100 MG TAB,$7.34
ETHAMBUTOL 100 MG TAB,$8.11
ETHAMBUTOL 400 MG TAB,$9.51
ETHANOL (ETHYL ALCOHOL) 98 % IV,$135.72
ETHANOL (ETHYL ALCOHOL) 98 % IV,$241.83
ETHANOLAMINE OLEATE 5 % IV,$435.32
ETHYL CHLORIDE 100 % TOPICAL SPRAY,$118.19
ETIDRONATE DISODIUM 100 MG (HALF-TAB),$20.21
ETIDRONATE DISODIUM 200 MG TAB,$14.06
ETIDRONATE DISODIUM 400 MG TAB,$28.17
ETODOLAC 200 MG CAP,$7.41
ETODOLAC 300 MG CAP,$6.92
ETOMIDATE 2 MG/ML IV,$59.11
ETOMIDATE 2 MG/ML IV,$83.20
ETOMIDATE 2 MG/ML IV,$61.75
ETOPOSIDE 20 MG/ML IV,$118.90
ETOPOSIDE 50 MG CAP,"$208,060.00"
ETRAVIRINE 100 MG TAB,$33.71
EVEROLIMUS 10 MG TAB,$7.77
EZETIMIBE 10 MG TAB,$16.48
EZETIMIBE 10 MG TAB,$19.24
EZETIMIBE 5 MG (HALF-TAB),$22.73
FAMCICLOVIR 250 MG TAB,$9.23
FAMCICLOVIR 500 MG TAB,$36.62
FAMOTIDINE (PF) 20 MG/2 ML IV,$45.63
FAMOTIDINE (TPN) INJECTION,$45.63
FAMOTIDINE 10 MG (HALF-TAB),$12.96
FAMOTIDINE 20 MG TAB,$6.69
FAMOTIDINE 20 MG TAB,$6.68
FAMOTIDINE 20 MG TAB,$6.64
FAMOTIDINE 20MG/2ML INJECTION (PEDS),$45.63
FAMOTIDINE 40 MG TAB,$6.85
FAMOTIDINE 40 MG/5 ML ORAL SUSP,$451.25
FAMOTIDINE 8MG/ML SUSPENSION (PEDS),$451.25
FAT EMULSION 20 % IV,$128.13
FAT EMULSION 20 % IV,$128.13
FEBUXOSTAT 40 MG TAB,$36.00
FECAL MICROBIOTA PREPARATION (FMP) LOWER DELIVERY,"$2,281.50"
FELODIPINE SR 10 MG 24 HR TAB,$11.75
FELODIPINE SR 2.5 MG 24 HR TAB,$8.22
FELODIPINE SR 5 MG 24 HR TAB,$6.89
FENOFIBRATE NANOCRYSTALLIZED 145 MG TAB,$18.23
FENOFIBRATE NANOCRYSTALLIZED 48 MG TAB,$10.42
"FENOFIBRIC ACID 135 MG CAP, DELAYED RELEASE",$20.22
"FENOFIBRIC ACID 135 MG CAP, DELAYED RELEASE",$21.24
"FENOFIBRIC ACID 45 MG CAP, DELAYED RELEASE",$11.09
FENTANYL (PF) 0.05 MG/ML INJECTION,$44.13
FENTANYL (PF) 0.05 MG/ML INJECTION,$42.66
FENTANYL (PF) 0.05 MG/ML INJECTION,$46.86
FENTANYL (PF) 0.05 MG/ML INJECTION,$43.36
FENTANYL (PF) 0.05 MG/ML INJECTION,$46.82
FENTANYL (PF) 0.05 MG/ML INJECTION,$44.13
FENTANYL 100 MCG/2ML INJECTION (PEDS),$42.66
FENTANYL 100 MCG/2ML INJECTION (PEDS),$43.36
FENTANYL 100 MCG/2ML INJECTION (PEDS),$46.86
FENTANYL 100 MCG/2ML INJECTION (PEDS),$46.82
FENTANYL 100 MCG/HR 72 HR TRANSDERM PATCH,$49.23
FENTANYL 100 MCG/HR 72 HR TRANSDERM PATCH,$49.47
FENTANYL 100 MCG/HR 72 HR TRANSDERM PATCH,$57.99
FENTANYL 100 MCG/HR 72 HR TRANSDERM PATCH,$51.42
FENTANYL 12 MCG/HR 72 HR TRANSDERM PATCH,$42.06
FENTANYL 200 MCG LOLLIPOP,$47.37
FENTANYL 25 MCG/HR 72 HR TRANSDERM PATCH,$30.72
FENTANYL 400 MCG LOLLIPOP,$55.08
FENTANYL 50 MCG/HR 72 HR TRANSDERM PATCH,$34.77
FENTANYL 50 MCG/HR 72 HR TRANSDERM PATCH,$30.30
FENTANYL 600 MCG LOLLIPOP,$64.02
FENTANYL 600 MCG/30 ML IN NS IV INFUSION,$128.13
FENTANYL 75 MCG/HR 72 HR TRANSDERM PATCH,$77.94
FENTANYL 800 MCG LOLLIPOP,$73.38
FENTANYL IN NS (PF) 600 MCG/30 ML PCA INJ SOLN,$128.13
FENTANYL-ROPIVACAINE IN NS (PF) 3 MCG/ML-0.1 % INJECTION,$128.13
FENTANYL-ROPIVACAINE IN NS (PF) 6 MCG/ML-0.1 % INJECTION,$128.13
