,, We are provider based - so you may be charged column C or column D & E ,,
4285130,PM OFFICE OUTPATIENT VISIT LEV 4,$257.00 , $-   , $-   
4285130,PM OFFICE OUTPATIENT VISIT LEV 4,$257.00 , $-   , $-   
4285132,PM OFFICE OUTPATIENT VISIT LEV 5,$346.00 , $-   , $-   
4285132,PM OFFICE OUTPATIENT VISIT LEV 5,$346.00 , $-   , $-   
4285134,PM OFFICE OUTPATIENT CONSULT,$114.00 , $-   , $-   
4285134,PM OFFICE OUTPATIENT CONSULT,$114.00 , $-   , $-   
4285136,PM OFFICE OUTPATIENT CONSULT LEV 2,$214.00 , $-   , $-   
4285136,PM OFFICE OUTPATIENT CONSULT LEV 2,$214.00 , $-   , $-   
4285138,PM OFFICE OUTPATIENT CONSULT LEV 3,$293.00 , $-   , $-   
4285138,PM OFFICE OUTPATIENT CONSULT LEV 3,$293.00 , $-   , $-   
4285140,PM OFFICE OUTPATIENT CONSULT LEV 4,$439.00 , $-   , $-   
4285140,PM OFFICE OUTPATIENT CONSULT LEV 4,$439.00 , $-   , $-   
4285142,PM OFFICE OUTPATIENT CONSULT LEV 5,$535.00 , $-   , $-   
4285142,PM OFFICE OUTPATIENT CONSULT LEV 5,$535.00 , $-   , $-   
4285144,PM INPATIENT CONSULT INITIAL,$117.00 , $-   , $-   
4285144,PM INPATIENT CONSULT INITIAL,$117.00 , $-   , $-   
4285146,PM INPATIENT CONSULT INITIAL LEV 2,$179.00 , $-   , $-   
4285146,PM INPATIENT CONSULT INITIAL LEV 2,$179.00 , $-   , $-   
4285148,PM INPATIENT CONSULT INITIAL LEV 3,$275.00 , $-   , $-   
4285148,PM INPATIENT CONSULT INITIAL LEV 3,$275.00 , $-   , $-   
4285150,PM INPATIENT CONSULT INITIAL LEV 4,$391.00 , $-   , $-   
4285150,PM INPATIENT CONSULT INITIAL LEV 4,$391.00 , $-   , $-   
4285152,PM INPATIENT CONSULT INITIAL LEV 5,$471.00 , $-   , $-   
4285152,PM INPATIENT CONSULT INITIAL LEV 5,$471.00 , $-   , $-   
4285160,PM INJECTION SINGLE OR MULT TRIGG POINTS,$205.00 , $-   , $-   
4285160,PM INJECTION SINGLE OR MULT TRIGG POINTS 1 OR 2,$205.00 , $-   , $-   
4285161,PM RA LUMBAR SPINE EPIDURAL W/ FLUORO, $-   , $-   ,$751.00 
4285161,PM RA LUMBAR SPINE EPIDURAL W/ FLUORO, $-   , $-   ,$751.00 
4285162,PM RA LUMBAR SPINE EPIDURAL W/ FLUORO,$281.00 , $-   , $-   
4285162,PM RA LUMBAR SPINE EPIDURAL W/ FLUORO,$281.00 , $-   , $-   
4285170,PM RA INJ TENDON LIGAMENT,$173.00 , $-   , $-   
4285170,PM RA INJ TENDON LIGAMENT,$173.00 , $-   , $-   
4285206,PM RA INTRABURSAL INJ MINOR JOINT RT,$164.00 , $-   , $-   
4285206,PM RA INTRABURSAL INJ MINOR JOINT RT,$164.00 , $-   , $-   
4285208,PM RA INTRABURSAL INJ MAJOR JOINT RT,$143.00 , $-   , $-   
4285208,PM RA INTRABURSAL INJ MAJOR JOINT RT,$143.00 , $-   , $-   
4285220,PM RA PARAVERT FACET BLK LUM/SAC 3 > LEV,$290.00 , $-   , $-   
4285220,PM RA PARAVERT FACET BLK LUM/SAC 3 > LEV,$290.00 , $-   , $-   
4285222,PM RA FACET BLK LUM/SAC 3>LEV BILAT,$290.00 , $-   , $-   
4285222,PM RA FACET BLK LUM/SAC 3>LEV BILAT,$290.00 , $-   , $-   
4285224,PM RA DESTR PVRT FAC C/T 1 LVL,$421.00 , $-   , $-   
4285224,PM RA DESTR PVRT FAC C/T 1 LVL,$421.00 , $-   , $-   
4285225,PM RA DESTR PVRT FAC C/T BILAT,$631.00 , $-   , $-   
4285225,PM RA DESTR PVRT FAC C/T BILAT,$631.00 , $-   , $-   
4285226,PM RA DESTR PVRT FAC C/T ADD LVL,$145.00 , $-   , $-   
4285226,PM RA DESTR PVRT FAC C/T ADD LVL,$145.00 , $-   , $-   
4285227,PM RA DESTR PVRT FAC C/T ADD LVL BILAT,$217.00 , $-   , $-   
4285227,PM RA DESTR PVRT FAC C/T ADD LVL BILAT,$217.00 , $-   , $-   
4285228,PM RA DESTR PVRT FAC L/S 1 LVL,$414.00 , $-   , $-   
4285228,PM RA DESTR PVRT FAC L/S 1 LVL,$414.00 , $-   , $-   
4285229,PM RA DESTR PVRT FAC L/S BILAT,$621.00 , $-   , $-   
4285229,PM RA DESTR PVRT FAC L/S BILAT,$621.00 , $-   , $-   
4285230,PM RA DESTR PVRT FAC L/S ADD LVL,$127.00 , $-   , $-   
4285230,PM RA DESTR PVRT FAC L/S ADD LVL,$127.00 , $-   , $-   
4285231,PM RA DESTR PVRT FAC L/S ADD LVL BILAT,$191.00 , $-   , $-   
4285231,PM RA DESTR PVRT FAC L/S ADD LVL BILAT,$191.00 , $-   , $-   
4285232,PM RA LUMBAR NRV ROOT INJ BILAT,$680.00 , $-   , $-   
4285232,PM RA LUMBAR NRV ROOT INJ BILAT,$680.00 , $-   , $-   
4285233,PM RA LUMBAR NRV ROOT INJ-EA ADD BILAT,$363.00 , $-   , $-   
4285233,PM RA LUMBAR NRV ROOT INJ-EA ADD BILAT,$363.00 , $-   , $-   
4285234,PM RA OCCIPITAL NERVE BLK,$210.00 , $-   , $-   
4285234,PM RA OCCIPITAL NERVE BLK,$210.00 , $-   , $-   
4285235,PM RA OCCIPITAL NERVE BLK BILAT,$315.00 , $-   , $-   
4285235,PM RA OCCIPITAL NERVE BLK BILAT,$315.00 , $-   , $-   
4285996,PM INJ LUMBAR SPINE W/GUIDE - 62323 - PR,$281.00 , $-   , $-   
4285996,PM INJ LUMBAR SPINE W/GUIDE - 62323 - PROF,$281.00 , $-   , $-   
4287000,PM Methylpred Acetate 40mg, $-   ,,$6.32 
4287002,PM Methylpred Acetate 80mg, $-   ,,$6.85 
4287004,PM Depomedrol 40 mg, $-   ,,$22.13 
4287006,PM Bupivicane .5% 30 ml, $-   ,,$1.03 
4287008,PM Bupivicane .25% 30 ml, $-   ,,$1.84 
4287010,PM Lidocaine 1% 10 ml, $-   ,,$9.15 
4287012,PM Lidocaine 2% 10 ml, $-   ,,$27.40 
4287014,PM Clonidine 1mg, $-   ,,$112.73 
4287016,PM Dexamethasone, $-   ,,$12.53 
4287018,PM Kenalog 40 MG/ML 1 ML, $-   ,,$21.51 
4287050,PM Non-Ionic Locm 1ml, $-   ,,$1.00 
4287996,PM INJ LUMBAR SPINE W/GUIDE - 62323 - TE, $-   , $-   ,$751.00 
4287996,PM INJ LUMBAR SPINE W/GUIDE - 62323 - TECH, $-   , $-   ,$751.00 
4300100,ACETIC ACID OTIC SOL 2%, $-   , $-   ,$119.06 
4300101,ACETIC ACID 0.25% IRR SOL 1000 mL, $-   , $-   ,$31.94 
4300102,VITAMIN A & D OINT 60 GM, $-   , $-   ,$10.62 
4300114,ARIPiprazole TAB 5 MG, $-   , $-   ,$1.00 
4300140,ALTEPLASE 2 MG/2 mL SYRINGE, $-   , $-   ,$573.83 
4300141,PIOGLITAZONE TAB 15 MG, $-   , $-   ,$1.00 
4300144,ALTEPLASE 100MG IV, $-   , $-   ,"$16,395.08 "
4300146,URSODIOL CAP 300 MG, $-   , $-   ,$9.59 
4300149,PIOGLITAZONE TAB 45 MG, $-   , $-   ,$1.00 
4300150,KETOROLAC OP SOL 0.4% 5 mL, $-   , $-   ,$251.35 
4300164,IBUPROFEN TAB 200 MG, $-   , $-   ,$1.00 
4300165,OXYMETAZOLINE NASAL SPRAY 0.05% 15 mL, $-   , $-   ,$5.69 
4300177,ASPIRIN/DIPYRIDAMOLE ER CAP 25 MG-200 MG, $-   , $-   ,$11.31 
4300181,TIOTROPIUM INHAL CAP PKG/5, $-   , $-   ,$186.30 
4300191,ISOPROPYL RUBBING ALCOHOL 70%, $-   , $-   ,$12.12 
4300194,SPIRONOLACTONE/HCTZ TAB 25 MG/25 MG, $-   , $-   ,$2.16 
4300196,SPIRONOLACTONE TAB 25 MG, $-   , $-   ,$1.00 
4300198,METHYLDOPA TAB 250 MG, $-   , $-   ,$1.00 
4300233,ALPRAZolam TAB 0.25 MG, $-   , $-   ,$4.00 
4300235,RAMIPRIL CAP 5 MG, $-   , $-   ,$1.00 
4300263,ZOLPIDEM TAB 5 MG, $-   , $-   ,$4.00 
4300290,AMOXICILLIN CAP 250 MG, $-   , $-   ,$1.00 
4300294,AMOXICILLIN CAP 500 MG, $-   , $-   ,$1.00 
4300297,RX AMOXICILLIN SUSP 250 MG/5 mL 100 mL, $-   , $-   ,$6.42 
4300298,RX AMOXICILLIN SUSP 400 MG/5 mL 100 mL, $-   , $-   ,$10.74 
4300310,POLYCARBOPHIL TAB 625 MG, $-   , $-   ,$1.00 
4300353,CEFEPIME INJ 1 GM, $-   , $-   ,$88.38 
4300355,CEFEPIME INJ 2 GM, $-   , $-   ,$34.88 
4300362,SUCCINYLCHOLINE INJ 200 MG/10 mL, $-   , $-   ,$106.08 
4300368,DISULFIRAM TAB 250 MG, $-   , $-   ,$7.90 
4300385,MECLIZINE TAB 12.5 MG, $-   , $-   ,$1.00 
4300387,MECLIZINE TAB 25 MG, $-   , $-   ,$1.26 
4300399,HYDROCORTISONE SUPP 25 MG, $-   , $-   ,$71.87 
4300401,ACETAMINOPHEN SUPP 120 MG, $-   , $-   ,$2.00 
4300403,ACETAMINOPHEN SUPP 325 MG, $-   , $-   ,$3.05 
4300404,ACETAMINOPHEN/CODEINE TAB 300 MG/30 MG, $-   , $-   ,$4.00 
4300405,ACETAMINOPHEN SUPP 650 MG, $-   , $-   ,$2.00 
4300426,hydrALAZINE TAB 10 MG, $-   , $-   ,$1.00 
4300431,hydrALAZINE TAB 50 MG, $-   , $-   ,$1.00 
4300437,hydrALAZINE INJ 20 MG/mL 1 mL VIAL, $-   , $-   ,$24.00 
4300444,PHYTONADIONE (VITAMIN K1) AMP 10 MG/1 mL, $-   , $-   ,$213.97 
4300448,AQUAPHOR OINTMENT 396 GM, $-   , $-   ,$61.95 
4300507,ANASTROZOLE TAB 1 MG, $-   , $-   ,$2.03 
4300508,DONEPEZIL TAB 10 MG, $-   , $-   ,$1.00 
4300511,TRIHEXYPHENIDYL TAB 2 MG, $-   , $-   ,$1.00 
4300530,ASPIRIN SUPP 300 MG, $-   , $-   ,$6.77 
4300547,ASCORBIC ACID TAB 500 MG, $-   , $-   ,$1.00 
4300555,ASPIRIN EC TAB 81 MG, $-   , $-   ,$1.00 
4300562,ASPIRIN EC TAB 325 MG, $-   , $-   ,$1.00 
4300567,hydrOXYzine HCL TAB 10 MG, $-   , $-   ,$1.00 
4300569,hydrOXYzine HCL TAB 25 MG, $-   , $-   ,$1.00 
4300571,RX LORazepam ORAL CONCENTRATE 2 MG/mL BT, $-   , $-   ,$22.95 
4300575,LORazepam INJ 20 MG/10 mL MDV, $-   , $-   ,$27.00 
4300576,LORazepam TAB 0.5 MG, $-   , $-   ,$4.00 
4300577,LORazepam TAB 1 MG, $-   , $-   ,$4.00 
4300587,LORazepam INJ 2 MG/mL 1 mL VIAL, $-   , $-   ,$27.00 
4300589,ATROPINE SULF INJ 0.4 MG/1 mL, $-   , $-   ,$26.54 
4300595,ATROPINE SULF INJ 1 MG/10 mL SYRINGE, $-   , $-   ,$50.42 
4300599,ATROPINE SULF OP SOL 1% 5 mL, $-   , $-   ,$239.00 
4300614,IPRATROPIUM NEB 0.02% (0.5 MG/2.5 mL), $-   , $-   ,$3.00 
4300615,AMOXICILLIN/CLAVULANATE TAB 500 MG/125 M, $-   , $-   ,$1.13 
4300616,RX AMOXICILLIN/CLAVULANATE SUSP 400 MG-5, $-   , $-   ,$28.56 
4300638,NORTRIPTYLINE CAP 25 MG, $-   , $-   ,$1.00 
4300643,AVITENE HEMOSTAT 1 GM PKT, $-   , $-   ,$629.29 
4300644,DUTASTERIDE CAP 0.5 MG, $-   , $-   ,$1.86 
4300661,sulfaSALAzine TAB 500 MG, $-   , $-   ,$1.43 
4300771,LISINOPRIL/HCTZ TAB 20 MG/12.5 MG, $-   , $-   ,$1.00 
4300772,LISINOPRIL/HCTZ TAB 20 MG/25 MG, $-   , $-   ,$1.00 
4300831,METOPROLOL SUCCINATE ER TAB 25 MG, $-   , $-   ,$2.28 
4300833,METOPROLOL SUCCINATE ER TAB 50 MG, $-   , $-   ,$2.62 
4300836,METOPROLOL SUCCINATE ER TAB 100 MG, $-   , $-   ,$4.36 
4300913,BACITRACIN OINT 30 GM, $-   , $-   ,$10.31 
4300914,BACITRACIN TOPICAL 1/32 OZ, $-   , $-   ,$2.00 
4300916,"BACITRACIN INJ 50,000 units VIAL", $-   , $-   ,$28.24 
4300923,RX SULFAMETH/TRIMETH ORAL SUSP 200 MG-40, $-   , $-   ,$25.36 
4300924,SULFAMETH/TRIMETH INJ 80 MG-16 MG/mL, $-   , $-   ,$130.44 
4300928,SULFAMETH/TRIMETH SS TAB 400 MG/80 MG, $-   , $-   ,$1.68 
4300932,MUPIROCIN OINT 2% 22 GM, $-   , $-   ,$33.00 
4300946,ALBUTEROL 90 MCG/INH HFA 8 GM, $-   , $-   ,$118.50 
4300969,diphenhydrAMINE CAP 25 MG, $-   , $-   ,$1.00 
4300971,diphenhydrAMINE CAP 50 MG, $-   , $-   ,$1.00 
4300979,diphenhydrAMINE INJ 50 MG/mL 1 mL VIAL, $-   , $-   ,$24.00 
4300988,MIDODRINE TAB 5 MG, $-   , $-   ,$2.91 
4301020,BENZOIN COMPOUND TINC, $-   , $-   ,$25.74 
4301033,POVIDONE-IODINE OINT 10%, $-   , $-   ,$7.88 
4301084,PENICILLIN G BENZATHINE 1.2 MU/2 mL, $-   , $-   ,$512.97 
4301086,SODIUM CITRATE/CITRIC ACID 3 GM-2GM/30 m, $-   , $-   ,$5.55 
4301124,ESMOLOL INJ 100 MG/10 mL, $-   , $-   ,$24.00 
4301125,TERBUTALINE INJ 1 MG/mL 1 mL VIAL, $-   , $-   ,$24.00 
4301138,BALANCED SALT SOLN 15 mL BOTTLE, $-   , $-   ,$18.57 
4301142,BUMETANIDE INJ 2.5 MG/10 mL, $-   , $-   ,$24.00 
4301148,BUMETANIDE INJ 1 MG/4 mL, $-   , $-   ,$24.00 
4301152,busPIRone TAB 5 MG, $-   , $-   ,$1.00 
4301158,busPIRone TAB 15 MG, $-   , $-   ,$1.51 
4301212,CAFFEINE TAB 200 MG, $-   , $-   ,$1.00 
4301223,CALAMINE LOTION 8-8% 180 mL, $-   , $-   ,$8.78 
4301228,VERAPAMIL ER TAB 180 MG, $-   , $-   ,$1.00 
4301230,VERAPAMIL TAB 80 MG, $-   , $-   ,$1.00 
4301236,CALCITONIN-SALMON INJ 400 units/2 mL, $-   , $-   ,"$5,132.64 "
4301238,CALCIUM CHLORIDE INJ 1 GM 10 mL SYRINGE, $-   , $-   ,$49.78 
4301239,CALCIUM CHLORIDE INJ 10% 10 mL VIAL, $-   , $-   ,$46.62 
4301240,VERAPAMIL ER TAB 120 MG, $-   , $-   ,$1.00 
4301254,CASPOFUNGIN INJ 50 MG, $-   , $-   ,$288.05 
4301257,CANDIDA ALBICANS SKIN TEST, $-   , $-   ,$493.50 
4301262,dilTIAZem INJ 25 MG/5 mL, $-   , $-   ,$24.00 
4301263,dilTIAZem INJ 50 MG/10 mL, $-   , $-   ,$118.06 
4301273,CAPTOPRIL TAB 12.5 MG, $-   , $-   ,$3.16 
4301275,RX SUCRALFATE SUSP 1 GM/10 mL, $-   , $-   ,$526.20 
4301279,SUCRALFATE TAB 1 GM, $-   , $-   ,$1.00 
4301280,MEPIVACAINE MPF INJ 1% 30 mL SDV, $-   , $-   ,$35.63 
4301281,dilTIAZem ER CAP 120 MG, $-   , $-   ,$1.00 
4301282,dilTIAZem ER CAP 180 MG, $-   , $-   ,$1.00 
4301290,dilTIAZem ER CAP 300 MG, $-   , $-   ,$1.00 
4301291,dilTIAZem TAB 30 MG, $-   , $-   ,$1.00 
4301294,DOXAZOSIN TAB 2 MG, $-   , $-   ,$1.46 
4301300,DOXAZOSIN TAB 4 MG, $-   , $-   ,$1.44 
4301307,cloNIDine TAB 0.2 MG, $-   , $-   ,$1.00 
4301310,cloNIDine TAB 0.1 MG, $-   , $-   ,$1.00 
4301319,dilTIAZem ER CAP 240 MG, $-   , $-   ,$1.84 
4301322,BETAMETHASONE INJ 6 MG/mL 5 mL VIAL, $-   , $-   ,$163.00 
4301323,RX LACTULOSE SYRUP 10 GM/15 mL BTL, $-   , $-   ,$3.00 
4301326,BENZO/BUTAM/TETRACAINE SPRAY 20 GM, $-   , $-   ,$256.25 
4301327,dilTIAZem TAB 60 MG, $-   , $-   ,$1.00 
4301328,DINOPROSTONE VAG SUPP 10 MG, $-   , $-   ,"$1,191.96 "
4301329,cloNIDine PATCH 0.1 MG/24 HR WEEKLY, $-   , $-   ,$111.50 
4301330,cloNIDine PATCH 0.2 MG/24 HR WEEKLY, $-   , $-   ,$126.06 
4301331,cloNIDine PATCH 0.3 MG/24 HR WEEKLY, $-   , $-   ,$185.40 
4301332,CITALOPRAM TAB 20 MG, $-   , $-   ,$1.00 
4301343,FOSPHENYTOIN INJ 500 MG/10 mL, $-   , $-   ,$221.23 
4301346,CELECOXIB CAP 100 MG, $-   , $-   ,$4.74 
4301351,MYCOPHENOLATE TAB 500 MG, $-   , $-   ,$1.00 
4301355,CHLORASEPTIC SPRAY CHERRY 177 mL, $-   , $-   ,$11.18 
4301387,CHLOROPROCAINE INJ 3% 20 mL, $-   , $-   ,$77.98 
4301428,CIPROFLOXACIN TAB 500 MG, $-   , $-   ,$1.00 
4301443,CLINDAMYCIN CAP 150 MG, $-   , $-   ,$1.00 
4301450,CLINDAMYCIN TOP GEL 1%, $-   , $-   ,$284.60 
4301454,cloZAPine TAB 25 MG, $-   , $-   ,$1.00 
4301455,SULINDAC TAB 150 MG, $-   , $-   ,$1.00 
4301458,cloZAPine TAB 100 MG, $-   , $-   ,$2.10 
4301461,clonazePAM TAB 0.5 MG, $-   , $-   ,$4.00 
4301464,clonazePAM TAB 1 MG, $-   , $-   ,$4.00 
4301475,ORA-SWEET SYRUP, $-   , $-   ,$3.00 
4301501,BENZTROPINE TAB 1 MG, $-   , $-   ,$1.00 
4301506,BENZTROPINE INJ 2 MG/2 mL, $-   , $-   ,$131.76 
4301512,DOCUSATE SOD CAP 100 MG, $-   , $-   ,$1.00 
4301525,COLCHICINE TAB 0.6 MG, $-   , $-   ,$20.76 
4301558,PROCHLORPERAZINE TAB 10 MG, $-   , $-   ,$1.00 
4301568,PROCHLORPERAZINE INJ 10 MG/2 mL, $-   , $-   ,$56.47 
4301580,PROCHLORPERAZINE SUPP 25 MG, $-   , $-   ,$54.23 
4301595,AMIODARONE INJ 150 MG/3 mL, $-   , $-   ,$24.00 
4301597,AMIODARONE TAB 200 MG, $-   , $-   ,$1.00 
4301600,CARVEDILOL TAB 12.5 MG, $-   , $-   ,$1.00 
4301603,CARVEDILOL TAB 25 MG, $-   , $-   ,$1.00 
4301682,NEO/POLY/HC OTIC SUSP, $-   , $-   ,$353.90 
4301693,COSYNTROPIN INJ 0.25 MG, $-   , $-   ,$104.79 
4301707,WARFARIN TAB 3 MG, $-   , $-   ,$1.00 
4301708,WARFARIN TAB 4 MG, $-   , $-   ,$1.00 
4301710,WARFARIN TAB 1 MG, $-   , $-   ,$1.00 
4301713,WARFARIN TAB 2 MG, $-   , $-   ,$1.00 
4301714,LOSARTAN TAB 50 MG, $-   , $-   ,$1.00 
4301716,WARFARIN TAB 2.5 MG, $-   , $-   ,$1.00 
4301719,WARFARIN TAB 5 MG, $-   , $-   ,$1.00 
4301722,WARFARIN TAB 7.5 MG, $-   , $-   ,$1.00 
4301770,CYANOCOBALAMIN INJ 1000 MCG, $-   , $-   ,$24.00 
4301771,medroxyPROGESTERone ACETATE 2.5 MG, $-   , $-   ,$1.00 
4301772,medroxyPROGESTERone ACETATE TAB 5 MG, $-   , $-   ,$1.00 
4301774,CYCLOPENTOLATE OP SOL 1%, $-   , $-   ,$23.56 
4301778,DULoxetine CAP 20 MG, $-   , $-   ,$5.30 
4301779,LEVOTHYROXINE TAB 112 MCG, $-   , $-   ,$1.00 
4301795,LIOTHYRONINE TAB 25 MCG, $-   , $-   ,$2.46 
4301804,miSOPROStol TAB 200 MCG, $-   , $-   ,$2.29 
4301808,miSOPROStol TAB 100 MCG, $-   , $-   ,$1.42 
4301906,OPHTHALMIC IRRIGATION SOL 30 mL, $-   , $-   , $-   
4301916,DANTROLENE CAP 25 MG, $-   , $-   ,$2.54 
4301920,DANTROLENE INJ 20MG, $-   , $-   ,$325.00 
4301981,DESMOPRESSIN NASAL SPRAY 0.01%, $-   , $-   ,$409.00 
4301986,DEXAMETHASONE TAB 1 MG, $-   , $-   ,$1.00 
4301989,DEXAMETHASONE TAB 4 MG, $-   , $-   ,$2.69 
4301991,DEXAMETHASONE INJ 4 MG/mL 1 mL, $-   , $-   ,$24.00 
4301995,DEXAMETHASONE INJ/ORAL 10 MG/mL 1 mL PF, $-   , $-   ,$24.00 
4302087,MEPERIDINE INJ 50 MG/mL VIAL, $-   , $-   ,$27.00 
4302092,VALPROATE SODIUM INJ 500 MG/5 mL, $-   , $-   ,$24.00 
4302094,methylPREDNISolone ACETATE INJ 400 MG/10, $-   , $-   ,$343.20 
4302095,DIVALPROEX DR TAB 500 MG, $-   , $-   ,$1.00 
4302095,DIVALPROEX DR TAB 500 MG, $-   , $-   ,$1.00 
4302096,DIVALPROEX DR TAB 250 MG, $-   , $-   ,$1.00 
4302097,methylPREDNISolone ACETATE INJ 40 MG/mL, $-   , $-   ,$40.70 
4302099,methylPREDNISolone ACETATE INJ 80 MG/mL, $-   , $-   ,$83.31 
4302104,medroxyPROGESTERone INJ 150 MG/mL 1 mL V, $-   , $-   ,$180.25 
4302186,traZODone TAB 50 MG, $-   , $-   ,$1.00 
4302199,DEXTROSE INJ 50% 25 GM/50 mL SYRINGE, $-   , $-   ,$44.42 
4302205,glyBURIDE TAB 2.5 MG, $-   , $-   ,$1.00 
4302207,DIHYDROERGOTAMINE INJ 1 MG/1 mL, $-   , $-   ,$404.68 
4302236,RAMIPRIL CAP 2.5 MG, $-   , $-   ,$1.00 
4302285,FLUCONAZOLE TAB 100 MG, $-   , $-   ,$2.90 
4302286,FLUCONAZOLE TAB 150 MG, $-   , $-   ,$8.40 
4302287,FLUCONAZOLE 200 MG/100 mL PREMIX, $-   , $-   ,$56.25 
4302288,FLUCONAZOLE SUSP 10 MG/ML SYRINGE, $-   , $-   ,$11.76 
4302297,DIGOXIN INJ 500 MCG/2 mL, $-   , $-   ,$24.00 
4302304,PHENYTOIN ER CAP 100 MG, $-   , $-   ,$1.34 
4302306,levETIRAcetam TAB 500 MG, $-   , $-   ,$1.00 
4302311,RX PHENYTOIN SUSP 125 MG/5 mL BTL, $-   , $-   ,$76.23 
4302316,HYDROmorphone TAB 2 MG, $-   , $-   ,$4.00 
4302342,PROPOFOL INJ 500 MG/50 mL, $-   , $-   ,$33.48 
4302357,OXYBUTYNIN TAB 5 MG, $-   , $-   ,$1.12 
4302359,OXYBUTYNIN XL TAB 5 MG, $-   , $-   ,$2.41 
4302367,DOBUTamine INJ 250 MG/20 mL, $-   , $-   ,$28.57 
4302368,DOBUTamine 500 MG/D5W 250 mL, $-   , $-   ,$69.45 
4302436,dimenhyDRINATE TAB 50 MG, $-   , $-   ,$1.00 
4302458,BISACODYL EC TAB 5 MG, $-   , $-   ,$1.00 
4302460,BISACODYL SUPP 10 MG, $-   , $-   ,$3.00 
4302466,ALBUTEROL/IPRATROPIUM NEB 3 MG/0.5 MG/3, $-   , $-   ,$3.00 
4302473,fentaNYL PATCH 75 MCG/HR, $-   , $-   ,$136.88 
4302474,MORPHINE INJ 10 MG/10 mL PF, $-   , $-   ,$100.84 
4302475,fentaNYL PATCH 100 MCG/HR, $-   , $-   ,$150.94 
4302476,fentaNYL PATCH 50 MCG/HR, $-   , $-   ,$88.94 
4302477,fentaNYL PATCH 25 MCG/HR, $-   , $-   ,$48.50 
4302479,cloNIDine INJ 100 MCG/1 mL, $-   , $-   ,$53.81 
4302484,CEFADROXIL CAP 500 MG, $-   , $-   ,$1.00 
4302493,DICLOXACILLIN CAP 250 MG, $-   , $-   ,$1.43 
4302610,CARBAMIDE PEROXIDE OTIC  6.5%, $-   , $-   ,$5.75 
4302618,VENLAFAXINE ER CAP 75 MG, $-   , $-   ,$1.07 
4302619,VENLAFAXINE ER CAP 150 MG, $-   , $-   ,$1.18 
4302622,VENLAFAXINE TAB 75 MG, $-   , $-   ,$2.21 
4302629,ENALAPRILAT INJ 2.5 MG/2 mL VIAL, $-   , $-   ,$24.00 
4302630,SELEGILINE TAB 5 MG, $-   , $-   ,$3.41 
4302631,PERMETHRIN CREAM 5%, $-   , $-   ,$297.70 
4302633,AMITRIPTYLINE TAB 25 MG, $-   , $-   ,$1.00 
4302634,AMITRIPTYLINE TAB 10 MG, $-   , $-   ,$1.00 
4302638,AMITRIPTYLINE TAB 50 MG, $-   , $-   ,$1.27 
4302660,ERTAPENEM INJ 1 GM, $-   , $-   ,$372.60 
4302691,LITHIUM CARBONATE ER TAB 450 MG, $-   , $-   ,$1.00 
4302692,ESTRADIOL TAB 1 MG, $-   , $-   ,$1.00 
4302756,EPINEPHrine INJ 1 MG/mL  1 mL VIAL, $-   , $-   ,$87.09 
4302757,EPINEPHrine INJ 0.1 MG/mL 10 mL SYRINGE, $-   , $-   ,$25.21 
4302827,CLARITHROMYCIN TAB 500 MG, $-   , $-   ,$1.33 
4302863,RALOXIFENE TAB 60 MG, $-   , $-   ,$14.39 
4302869,RIVASTIGMINE CAP 1.5 MG, $-   , $-   ,$1.00 
4302875,ACET/ASPIRIN/CAFF TAB 250 MG/250 MG/65 M, $-   , $-   ,$1.00 
4302972,RX FERROUS SULFATE ELIXIR 220 MG/5 mL, $-   , $-   ,$8.91 
4303006,FERROUS SULFATE EC TAB 325 MG, $-   , $-   , $-   
4303037,TAMSULOSIN CAP 0.4 MG, $-   , $-   ,$1.00 
4303040,FLUTICASONE 50 MCG/INH NASAL SPRAY 16 GM, $-   , $-   ,$57.56 
4303042,FLUTICASONE HFA 44 MCG INH, $-   , $-   ,$471.13 
4303043,CYCLOBENZAPRINE TAB 10 MG, $-   , $-   ,$1.00 
4303047,FLUDROCORTISONE TAB 0.1 MG, $-   , $-   ,$1.00 
4303056,FLUORESCEIN OPH STRIPS 1 MG, $-   , $-   ,$3.00 
4303083,FOLIC ACID TAB 1 MG, $-   , $-   ,$1.00 
4303085,FOLIC ACID INJ 5 MG/mL MDV 10 mL, $-   , $-   ,$24.00 
4303088,ISOFLURANE INH, $-   , $-   ,$3.00 
4303093,ALENDRONATE TAB 70 MG, $-   , $-   ,$1.01 
4303294,GEMFIBROZIL TAB 600 MG, $-   , $-   ,$1.00 
4303295,GENTAMICIN OINT 0.1%, $-   , $-   ,$150.00 
4303298,GENTAMICIN OP SOL 0.3%, $-   , $-   ,$96.88 
4303343,ZIPRASIDONE INJ 20 MG, $-   , $-   ,$183.53 
4303381,GLYCERIN LIQUID USP, $-   , $-   ,$6.05 
4303382,GLUCAGON BOX 1 MG, $-   , $-   ,$397.80 
4303385,glipiZIDE TAB 5 MG, $-   , $-   ,$1.00 
4303399,GLYCERIN SUPP ADULT, $-   , $-   ,$3.00 
4303400,GLYCERIN SUPP PED, $-   , $-   ,$3.00 
4303403,metFORMIN TAB 500 MG, $-   , $-   ,$1.00 
4303405,metFORMIN TAB 850 MG, $-   , $-   ,$1.00 
4303407,GLUCOSAMINE SULFATE CAP 500 MG, $-   , $-   ,$1.00 
4303410,PEG-3350 & ELECTROLYTES SOL, $-   , $-   ,$34.80 
