Charge description, Average charge/unit , Average self-pay charge/unit (30% discount) 
XRAY OF HAND MIN 3 VIEWS, $184.00 , $128.80 
XRAY OF HEEL MIN 2 VIEWS, $184.00 , $128.80 
XRAY OF HIP 1 VIEW, $189.00 , $132.30 
XRAY OF HIP 2-3 VIEWS, $189.00 , $132.30 
XRAY OF HIP MIN 4 VIEWS, $626.00 , $438.20 
XRAY OF HIPS BIL MIN 5 VIEWS, $596.00 , $417.20 
XRAY OF HIPS BILATERAL 2 VIEWS, $313.00 , $219.10 
XRAY OF HIPS BILATERAL 3-4 VIEWS, $313.00 , $219.10 
XRAY OF HUMERUS MIN 2 VIEWS, $184.00 , $128.80 
XRAY OF JAW <4 VIEWS, $184.00 , $128.80 
XRAY OF JAW >4 VIEWS, $295.00 , $206.50 
XRAY OF JOINT SURVEY BILATERAL, $590.00 , $413.00 
XRAY OF KNEE >4 VIEWS, $295.00 , $206.50 
XRAY OF KNEE 1 OR 2 VIEWS, $184.00 , $128.80 
XRAY OF KNEE 3 VIEWS, $295.00 , $206.50 
XRAY OF LEG ON AN INFANT 2 VIEWS, $295.00 , $206.50 
XRAY OF LEG ON AN INFANT 2 VIEWS, $295.00 , $206.50 
XRAY OF LOWER LEG 2 VIEWS, $184.00 , $128.80 
XRAY OF LOWER LEG 2 VIEWS BIL, $369.00 , $258.30 
XRAY OF LOWER SPINE DISK," $5,009.00 "," $3,506.30 "
XRAY OF NASAL BONES MIN 3 VIEWS, $184.00 , $128.80 
XRAY OF RIBS 2 VIEWS, $184.00 , $128.80 
XRAY OF RIBS 3 VIEWS, $295.00 , $206.50 
XRAY OF RIBS/CHEST, $295.00 , $206.50 
XRAY OF RIBS/CHEST MIN 3 VIEWS, $295.00 , $206.50 
XRAY OF SCAPULA, $184.00 , $128.80 
XRAY OF SHOULDER 1 VIEW, $184.00 , $128.80 
XRAY OF SHOULDER 2 VIEWS, $295.00 , $206.50 
XRAY OF SHOULDER MIN 2 VIEWS BIL, $590.00 , $413.00 
XRAY OF SINUSES <3 VIEWS, $184.00 , $128.80 
XRAY OF SINUSES MIN 3 VIEWS, $295.00 , $206.50 
XRAY OF SKULL <4 VIEWS, $295.00 , $206.50 
XRAY OF SKULL >4 VIEWS, $295.00 , $206.50 
XRAY OF SMALL BOWEL SERIES, $316.00 , $221.20 
XRAY OF STERNUM MIN 2 VIEWS, $184.00 , $128.80 
XRAY OF TAILBONE MIN 2 VIEWS, $184.00 , $128.80 
XRAY OF THE UPPER GI, $469.00 , $328.30 
XRAY OF THE UPPER GI W/KUB, $469.00 , $328.30 
XRAY OF TOES MIN 2 VIEWS, $184.00 , $128.80 
XRAY OF TOES MIN 2 VIEWS, $200.82 , $140.57 
XRAY OF UPPER GI & SMALL INTEST, $469.00 , $328.30 
XRAY OF UPPER GI TRACT W/CONTRAST, $469.00 , $328.30 
XRAY OF UPPER GI TRACT W/KUB, $469.00 , $328.30 
XRAY OF WRIST 2 VIEWS, $195.38 , $136.77 
XRAY OF WRIST 2 VIEWS, $184.00 , $128.80 
XRAY OF WRIST 2 VIEWS BILATERAL, $369.00 , $258.30 
XRAY OF WRIST MIN 3 VIEWS, $184.00 , $128.80 
XRAY OF WRIST MIN 3 VIEWS, $189.44 , $132.61 
XRAY OF WRIST MIN 3 VIEWS BIL, $369.00 , $258.30 
XRAY PELVIS 1-2 VIEWS, $295.00 , $206.50 
XRAY PELVIS MIN 3 VIEWS, $413.00 , $289.10 
XRAY SACROILIAC JOINTS <3 VIEWS, $184.00 , $128.80 
XRAY SACROILIAC JOINTS >3 VIEWS, $295.00 , $206.50 
XRAY SPINE 1 VIEW, $184.00 , $128.80 
XRAY THORACIC SPINE 2 VIEWS, $295.00 , $206.50 
XRAY THORACIC SPINE 3 VIEWS, $295.00 , $206.50 
XRAY THORACIC SPINE MIN 4 VIEWS, $295.00 , $206.50 
XRAY THORACOLUMBAR MIN 2 VIEWS, $184.00 , $128.80 
XRAY TMJ JOINT BILATERAL, $184.00 , $128.80 
XRAY TMJ JOINT UNILATERAL, $184.00 , $128.80 
XRAY UPPER GI W/AIR & BARIUM, $469.00 , $328.30 
XRAY WRIST MIN 3 VIEWS, $184.00 , $128.80 
70215799 EXTREMITY ANGIO-UNILATERAL," $10,912.26 "," $7,638.58 "
70215800 BILATERAL EXTREMITIES ANGIOGRAM," $10,604.00 "," $7,422.80 "
ABDOMINAL AORTOGRAM," $9,278.50 "," $6,494.95 "
ANGIOGRAM ADDITIONAL VESSEL, $268.78 , $188.15 
BILATERAL EXTREMETIES ANGIOGRAM," $8,284.38 "," $5,799.06 "
PELVIC SELECTIVE ANGIOGRAM," $7,953.00 "," $5,567.10 "
PULMONARY ANGIOGRAM," $15,906.00 "," $11,134.20 "
PULMONARY ANGIOGRAM," $15,906.00 "," $11,134.20 "
TRANSCATHETER ANGIO FOLLOW UP," $2,570.00 "," $1,799.00 "
UNILATERAL EXTREMITY ANGIOGRAM," $10,225.29 "," $7,157.70 "
VISCERAL ANGIOGRAM," $20,674.00 "," $14,471.80 "
MRA CHEST W/WO CONTRAST, $969.00 , $678.30 
CHEMO INIT IV PUSH , $719.00 , $503.30 
CHEMO INJECTION IV PUSH EA ADDL, $222.00 , $155.40 
CHEMOTHERAPY SC/IM , $448.00 , $313.60 
LUMBAR PUNCTURE," $1,181.00 ", $826.70 
SQ/IM CHEMO/HORMONAL , $222.00 , $155.40 
CHEMO INFUSION > 8 HRS ," $1,181.00 ", $826.70 
CHEMO IV INFUSION 1 HOUR," $1,181.00 ", $826.70 
CHEMO IV INFUSION EA ADDL HOUR, $222.00 , $155.40 
IV INF DIFF CHEMO , $222.00 , $155.40 
NM GASTRIC EMPTYING W/BOWEL," $2,067.00 "," $1,446.90 "
NM 3 PHASE BONE SCAN," $1,616.00 "," $1,131.20 "
NM BONE/JOINT SCAN LMTD AREA," $1,125.82 ", $788.07 
NM BONE/JOINT WHOLE BODY SCAN," $1,098.28 ", $768.79 
NM CARDIAC MUGA SCAN," $1,160.00 ", $812.00 
NM GASTRIC EMPTYING STUDY," $1,105.04 ", $773.52 
NM GI BLEED STUDY," $1,835.81 "," $1,285.07 "
NM GI HIDA SCN BILE LEAK ," $1,947.12 "," $1,362.98 "
NM GI HIDA W/CCK ," $1,506.01 "," $1,054.20 "
NM GI MECKELS DIVERT EXAM," $2,031.00 "," $1,421.70 "
NM HEART STUDY," $7,086.00 "," $4,960.20 "
NM KIDNEY FUNC IMG W/DRUG," $1,353.64 ", $947.55 
NM LIVER & SPLEEN SCAN," $1,159.00 ", $811.30 
NM LIVER IMAGING," $1,159.00 ", $811.30 
NM LOC OF ABSCESS WHOLE BODY," $4,391.00 "," $3,073.70 "
NM LUNG PERFUSION IMAGING," $1,471.50 "," $1,030.05 "
NM LUNG QUATITAIVE STUDY," $1,368.00 ", $957.60 
NM LYMPH & LYMPH GLANDS," $1,148.00 ", $803.60 
NM PARATHYROID, $894.25 , $625.98 
NM RADIOGRAPH TUMOR LOC 3D," $2,195.00 "," $1,536.50 "
NM THYROID IMAGING, $876.00 , $613.20 
NM THYROID METS WHOLE BODY," $1,172.00 ", $820.40 
NM TUMOR IMG WHOLE BODY 2 DAY," $3,692.00 "," $2,584.40 "
NM VENTILATION/PERFUSION IMG," $1,910.48 "," $1,337.34 "
NM ORAL RADIOPHARMACEUTICAL, $860.00 , $602.00 
AEROSOL INJECTION, $375.00 , $262.50 
PHARMACY NUCLEAR MEDICINE, $905.50 , $633.85 
PHARMACY NUCLEAR MEDICINE," $1,000.00 ", $700.00 
PHARMACY NUCLEAR MEDICINE, $89.00 , $62.30 
PHARMACY NUCLEAR MEDICINE, $149.00 , $104.30 
PHARMACY NUCLEAR MEDICINE, $6.23 , $4.36 
PHARMACY NUCLEAR MEDICINE, $177.00 , $123.90 
PHARMACY NUCLEAR MEDICINE, $77.80 , $54.46 
PHARMACY NUCLEAR MEDICINE, $70.00 , $49.00 
PHARMACY NUCLEAR MEDICINE, $76.00 , $53.20 
PHARMACY NUCLEAR MEDICINE, $164.00 , $114.80 
PHARMACY NUCLEAR MEDICINE, $191.00 , $133.70 
PHARMACY NUCLEAR MEDICINE, $318.00 , $222.60 
PHARMACY NUCLEAR MEDICINE, $438.00 , $306.60 
PHARMACY NUCLEAR MEDICINE, $379.00 , $265.30 
CT ABDOMINAL ARTERIES ANGIOGRAM, $876.00 , $613.20 
CT ANGIOGRAM ABDOMEN W/WO CONTRAS, $876.00 , $613.20 
CT ANGIOGRAPH LOWER EXT W/WO CONT, $876.00 , $613.20 
CT ANGIOGRAPHY OF HEAD W/WO CON, $876.00 , $613.20 
CT ANGIOGRAPHY OF NECK W/WO CON, $876.00 , $613.20 
CT CHEST W/CONTRAST, $748.00 , $523.60 
CT CHEST WO/CONTRAST, $373.00 , $261.10 
CT CORONARY CALCIUM SCORING, $106.00 , $74.20 
CT GUIDE FOR TISSUE ABLATION, $711.00 , $497.70 
CT LIMITED STUDY, $184.00 , $128.80 
CT NEEDLE BIOPSY, $211.00 , $147.70 
DIAGNOSTIC COLONOSCOPY, $373.00 , $261.10 
IMAGE RECONSTRUCTION, $77.00 , $53.90 
IMAGE RECONSTRUCTON, $41.00 , $28.70 
CT HEAD W/CONTRAST, $748.00 , $523.60 
CT HEAD W/WO CONTRAST, $838.00 , $586.60 
CT HEAD WO/CONTRAST, $373.00 , $261.10 
CT ORBITS & INNER EAR W/CONTRAST, $748.00 , $523.60 
CT ORBITS & INNER EAR W/WO CON, $838.00 , $586.60 
CT ORBITS & INNER EAR WO/CONTRAST, $373.00 , $261.10 
CT SINSUES WO/CONTRAST, $373.00 , $261.10 
CT SINUSES W/CONTRAST, $748.00 , $523.60 
CT SINUSES W/WO CONTRAST, $838.00 , $586.60 
CT SOFT TISSUE NECK W/CONTRAST, $748.00 , $523.60 
CT SOFT TISSUE NECK W/WO CONTRAST, $838.00 , $586.60 
CT SOFT TISSUE NECK WO/CONTRAST, $373.00 , $261.10 
CT ABDOMEN & PELVIS W/CONTRAST," $1,167.00 ", $816.90 
CT ABDOMEN & PELVIS W/WO CONTRAST," $1,167.00 ", $816.90 
CT ABDOMEN & PELVIS WO/CONTRAST, $736.00 , $515.20 
CT ABDOMEN W/CONTRAST, $748.00 , $523.60 
CT ABDOMEN W/WO CONTRAST, $838.00 , $586.60 
CT ABDOMEN WO/CONTRAST, $373.00 , $261.10 
CT ANGIO OF UPPER EXTREMITY, $876.00 , $613.20 
CT ANGIOGRAM ABD/PEL W/WO CONTRAS," $1,167.00 ", $816.90 
CT ANGIOGRAPH OF PELVIS W/WO CONT, $876.00 , $613.20 
CT ANGIOGRAPHY OF CHEST W/WO CON, $876.00 , $613.20 
CT CERVICAL SPINE W/CONTRAST, $748.00 , $523.60 
CT CERVICAL SPINE W/WO CONTRAST, $838.00 , $586.60 
CT CERVICAL SPINE WO/ CONTRAST, $373.00 , $261.10 
CT CHEST W/WO CONTRAST, $838.00 , $586.60 
CT LOWER EXTERMITY W/CONTRAST, $748.00 , $523.60 
CT LOWER EXTREMITY W/CONTRAST," $1,106.22 ", $774.35 
CT LOWER EXTREMITY W/WO CONTRAST," $1,676.00 "," $1,173.20 "
CT LOWER EXTREMITY W/WO CONTRAST, $838.00 , $586.60 
CT LOWER EXTREMITY WO/CONTRAST, $425.22 , $297.65 
CT LOWER EXTREMITY WO/CONTRAST, $373.00 , $261.10 
CT LUMBAR SPINE W/CONTRAST, $748.00 , $523.60 
CT LUMBAR SPINE W/WO CONTRAST, $838.00 , $586.60 
CT LUMBAR SPINE WO/CONTRAST, $373.00 , $261.10 
CT PELVIS W/CONTRAST, $748.00 , $523.60 
CT PELVIS W/WO CONTRAST, $838.00 , $586.60 
CT PELVIS WO/CONTRAST, $373.00 , $261.10 
CT THORACIC SPINE W/CONTRAST, $748.00 , $523.60 
CT THORACIC SPINE W/WO CONTRAST, $838.00 , $586.60 
CT THORACIC SPINE WO/CONTRAST, $373.00 , $261.10 
CT UPPER EXTREMITY W/CONTRAST, $914.44 , $640.11 
CT UPPER EXTREMITY W/CONTRAST, $748.00 , $523.60 
CT UPPER EXTREMITY WO/CONTRAST, $373.00 , $261.10 
702120001 OR LEVEL 1-1ST 30 MIN," $3,870.00 "," $2,709.00 "
702120002 OR LEVEL 1-ADDL MIN, $38.70 , $27.09 
702120003 OR LEVEL 2-1ST 30 MIN," $4,644.00 "," $3,250.80 "
702120004 OR LEVEL 2-ADDL MIN, $46.44 , $32.51 
702120005 OR LEVEL 3-1ST 30 MIN," $5,573.00 "," $3,901.10 "
702120006 OR LEVEL 3-ADDL MIN, $55.73 , $39.01 
702120007 OR LEVEL 4-1ST 30 MIN," $6,688.00 "," $4,681.60 "
702120008 OR LEVEL 4-ADDL MIN, $66.88 , $46.82 
702120009 OR LEVEL 5-1ST 30 MIN," $8,026.00 "," $5,618.20 "
702120010 OR LEVEL 5-ADDL MIN, $80.26 , $56.18 
702120011 OR LEVEL 6-1ST 30 MIN," $9,634.35 "," $6,744.04 "
702120012 OR LEVEL 6-ADDL MIN, $96.31 , $67.42 
70214486 OR CONTACT 1ST 30 MINUTES, $34.09 , $23.86 
752124002 OR LEVEL 1-1ST 30 MIN," $3,870.00 "," $2,709.00 "
752124003 OR LEVEL 1-ADDL MIN, $38.70 , $27.09 
752124004 OR LEVEL 2-1ST 30 MIN," $4,644.00 "," $3,250.80 "
752124005 OR LEVEL 2-ADDL MIN, $46.44 , $32.51 
752124006 OR LEVEL 3-1ST 30 MIN," $5,573.00 "," $3,901.10 "
752124007 OR LEVEL 3-ADDL MIN, $55.73 , $39.01 
752124008 OR LEVEL 4-1ST 30 MIN," $6,688.00 "," $4,681.60 "
752124009 OR LEVEL 4-ADDL MIN, $66.88 , $46.82 
752124010 OR LEVEL 5-1ST 30 MIN," $8,026.00 "," $5,618.20 "
752124011 OR LEEVL 5- ADDL MIN, $80.26 , $56.18 
752124012 OR LEVEL 6-1ST 30 MIN," $9,631.00 "," $6,741.70 "
752124013 OR LEVEL 6-ADDL MIN, $96.31 , $67.42 
CESAREAN SECTION," $15,738.00 "," $11,016.60 "
OR LEVEL 1-1ST 30 MIN," $3,870.00 "," $2,709.00 "
OR LEVEL 1-ADDL MIN, $38.70 , $27.09 
OR LEVEL 2-1ST 30 MIN," $4,644.00 "," $3,250.80 "
OR LEVEL 2-ADDL MIN, $46.44 , $32.51 
OR LEVEL 3-1ST 30 MIN," $5,573.00 "," $3,901.10 "
OR LEVEL 3-ADDL MIN, $55.73 , $39.01 
OR LEVEL 4-1ST 30 MIN," $6,688.00 "," $4,681.60 "
OR LEVEL 4-ADDL MIN, $66.88 , $46.82 
OR LEVEL 5-1ST 30 MIN," $8,026.00 "," $5,618.20 "
OR LEVEL 5-ADDL MIN, $80.26 , $56.18 
OR LEVEL 6-1ST 30 MIN," $9,631.00 "," $6,741.70 "
OR LEVEL 6-ADDL MIN, $96.31 , $67.42 
POST PARTUM TUBAL LIGATION," $2,032.00 "," $1,422.40 "
70415495 BLOCK SCIATIC NERVE SINGLE," $2,783.00 "," $1,948.10 "
70418400 BLOCK EPI LUMBAR SINGLE," $2,783.00 "," $1,948.10 "
70418402 BLOCK BRACHIO PLEXUS CONTINUOUS," $2,783.00 "," $1,948.10 "
70418403 BLOCK FEMORAL/FASCIAL CONTINUOUS," $6,088.00 "," $4,261.60 "
ABDOMINAL PARACENTESIS W/IMAGE," $2,027.00 "," $1,418.90 "
ABDOMINAL/RETROPERITONEAL BIOPSY," $4,360.00 "," $3,052.00 "
ADDL CYST ASPIRATION OF BREAST, $91.00 , $63.70 
ANGIOPLASSTY ADDITIONAL VEIN," $19,738.00 "," $13,816.60 "
ANGIOPLASTY," $26,569.00 "," $18,598.30 "
ANGIOPLASTY ARTERY UNILATERAL," $19,738.00 "," $13,816.60 "
ANGIOPLASTY VEIN INITIAL," $8,582.00 "," $6,007.40 "
ASPIRATE/INJ KIDNEY CYST/PELVIS," $4,360.00 "," $3,052.00 "
ASPIRATION OF ABSCESS, $671.00 , $469.70 
BILATERAL KIDNEY ANGIOGRAM," $10,604.00 "," $7,422.80 "
BLADDER DRAIN W/CATHETER INSERT," $5,698.00 "," $3,988.60 "
BLOCK AXILLARY SINGLE," $1,544.00 "," $1,080.80 "
BLOCK BRACHIO PLEXUS SINGLE," $1,544.00 "," $1,080.80 "
BLOCK LUMBAR PLEXUS/TAP SINGLE, $263.00 , $184.10 
BLOCK TRIGEMINAL NERVE SINGLE, $875.00 , $612.50 
BONE MARROW BIOPSY," $3,423.00 "," $2,396.10 "
BONE MARROW BIOPSY," $3,423.00 "," $2,396.10 "
BREAST BIOPSY 1ST LESION," $4,360.00 "," $3,052.00 "
BREAST BIOPSY ADDITIONAL LESION, $351.00 , $245.70 
BREAST WIRE PLACEMENT, $546.00 , $382.20 
BREAST WIRE PLCMNT ADDL LESION, $216.00 , $151.20 
BRONCH REMOVAL FOREIGN BODY ," $4,370.00 "," $3,059.00 "
BRONCHIAL ALVEOLAR LAVAGE," $4,370.00 "," $3,059.00 "
BRONCHOSCOPY BRUSHING/PROTECT," $4,370.00 "," $3,059.00 "
BRONCHOSCOPY DIAGNOSTIC ," $4,370.00 "," $3,059.00 "
CARDIAC LEAD REMOVAL," $9,721.00 "," $6,804.70 "
CARDIAC LEAD REPOSITION," $6,527.00 "," $4,568.90 "
CATH PLACEMENT PULMONARY ARTERY, $639.00 , $447.30 
CATHETER FLUID DRAIN," $3,586.00 "," $2,510.20 "
CATHETER PLACEMENT 1ST ORDER, $667.00 , $466.90 
CATHETER PLACEMENT 2ND ORDER, $737.00 , $515.90 
CATHETER PLACEMENT ARTERY, $491.00 , $343.70 
CATHETER PLACEMENT ARTERY," $1,069.00 ", $748.30 
CATHETER PLACEMENT ARTERY," $1,140.00 ", $798.00 
CATHETER PLACEMENT ARTERY," $1,348.00 ", $943.60 
CATHETER PLACEMENT ARTERY, $209.00 , $146.30 
CATHETER PLACEMENT CAROTID," $10,604.00 "," $7,422.80 "
CATHETER PLACEMENT THORACIC, $998.00 , $698.60 
CATHETER REMOVAL W/PORT," $3,493.00 "," $2,445.10 "
CATHETER REMOVAL WO/PORT," $2,021.00 "," $1,414.70 "
CERVICAL MYELOGRAM," $2,544.00 "," $1,780.80 "
CHEST TUBE INSERT W/IMAGE," $2,027.00 "," $1,418.90 "
CHEST TUBE INSERTION," $9,477.00 "," $6,633.90 "
CHEST TUBE REMOVAL," $2,027.00 "," $1,418.90 "
CLOT REMOVAL," $13,340.00 "," $9,338.00 "
CLOT REMOVAL," $13,340.00 "," $9,338.00 "
CLOT REMOVAL," $9,262.00 "," $6,483.40 "
CLOT REMOVAL," $18,800.00 "," $13,160.00 "
CLOT REMOVAL W/STENT," $39,875.00 "," $27,912.50 "
CLOT REMOVAL W/STENT, $914.00 , $639.80 
CONTRAST INJECTION W/FLUORO, $808.00 , $565.60 
CT SACROPLASTY," $10,777.00 "," $7,543.90 "
CT SACROPLASTY," $10,777.00 "," $7,543.90 "
CYST ABSCESS CONTRAST INJECTION, $161.00 , $112.70 
CYST ASPIRATION OF BREAST," $2,018.00 "," $1,412.60 "
CYSTO W/DIL OF URETHRAL STRICT," $5,082.00 "," $3,557.40 "
DECLOT VASCULAR DEVICE, $808.00 , $565.60 
DEEP BONE BIOPSY," $5,556.00 "," $3,889.20 "
DESTRUCTION NEURO PUDENAL NERVE," $4,181.00 "," $2,926.70 "
DIAGNOSTIC BONE MARROW BIOPSY," $5,590.00 "," $3,913.00 "
DIAGNOSTIC SINUS TRACT INJECTION, $160.00 , $112.00 
DILATION OF GALLBLADDER DUCTS," $1,200.00 ", $840.00 
DRAIN BLADDER BY TOCAR/CATH, $469.00 , $328.30 
DRAIN/INJECTION OF JOINT/BURSA, $875.00 , $612.50 
DRAIN/INJECTION OF JOINT/BURSA, $875.00 , $612.50 
DRAIN/INJECTION OF JOINT/BURSA, $875.00 , $612.50 
DUODENOSTOMY/JEJUNOSTOMY TUBE," $3,380.00 "," $2,366.00 "
ENDOBRONCHIAL BIOPSY ," $4,370.00 "," $3,059.00 "
ENDOLUMINAL BIOPSY BILIARY TREE," $12,792.00 "," $8,954.40 "
ENDOVENOUS RADIO FREQ 1ST VEIN," $8,994.00 "," $6,295.80 "
ENDOVENOUS RADIO FREQ ADD ON, $572.00 , $400.40 
EXCHANGE GALLBLADDER DRAIN," $6,763.00 "," $4,734.10 "
FEMORAL NERVE BLOCK," $1,544.00 "," $1,080.80 "
FEMORAL NERVE BLOCK," $1,544.00 "," $1,080.80 "
FISTULOGRAM," $5,597.00 "," $3,917.90 "
FISTULOGRAM W/ANGIO & THROMB," $19,738.00 "," $13,816.60 "
FISTULOGRAM W/ANGIOPLASTY," $19,738.00 "," $13,816.60 "
FISTULOGRAM W/STENT PLACEMENT," $39,894.00 "," $27,925.80 "
FISTULOGRAM W/THROMBECTOMY," $19,738.00 "," $13,816.60 "
FLUID COLLECT BY CATH IMAGE," $4,360.00 "," $3,052.00 "
FLUORO EXAM OF G/COLON TUBE, $625.00 , $437.50 
GALLBLADDER DRAIN PLACEMENT," $6,763.00 "," $4,734.10 "
GALLBLADDER DRAIN REMOVAL," $1,500.00 "," $1,050.00 "
GALLBLADDER STONE REMOVAL," $3,000.00 "," $2,100.00 "
GASTROSTOMY TUBE PLCMNT W/FLUORO," $4,410.00 "," $3,087.00 "
HIP ARTHROGRAM W/OUT ANESTHESIA, $295.00 , $206.50 
HIP ARTHROGRAM W/OUT ANESTHESIA, $295.00 , $206.50 
IMAGING OF LIVER/GALLBLADDER," $6,763.00 "," $4,734.10 "
INCISION & DRAINAGE OF THIGH/KNEE," $6,775.00 "," $4,742.50 "
INCISION & DRAINAGE OF WOUND," $8,794.00 "," $6,155.80 "
INCISION OF LINGUAL FRENUM," $4,250.00 "," $2,975.00 "
INJ FOR LUMBAR DISCOGRAPHY, $724.00 , $506.80 
INJ FORAMEN EPI LUMBAR/SACRAL," $2,783.00 "," $1,948.10 "
INJ FORAMEN EPIDURAL ADD ON, $217.00 , $151.90 
INJ PARAVRTBL CERV/THORACIC LV2, $253.00 , $177.10 
INJ PARAVRTBL CERV/THORACIC LV3, $256.00 , $179.20 
INJ PARAVRTBL CERVICAL/THORACIC," $2,783.00 "," $1,948.10 "
INJ PARAVRTBL LUMBAR/SACRAL LV1," $2,783.00 "," $1,948.10 "
INJ PARAVRTBL LUMBAR/SACRAL LV1," $5,566.00 "," $3,896.20 "
INJ PARAVRTBL LUMBAR/SACRAL LV1," $2,783.00 "," $1,948.10 "
INJ PARAVRTBL LUMBAR/SACRAL LV2, $218.00 , $152.60 
INJ PARAVRTBL LUMBAR/SACRAL LV2, $218.00 , $152.60 
INJ PARAVRTBL LUMBAR/SACRAL LV3, $221.00 , $154.70 
INJ PERIPHERAL NERVE/BRANCH," $1,544.00 "," $1,080.80 "
INJ TO EVALUATE PERITONEAL SHUNT, $190.00 , $133.00 
INJECTION ANESTHESIA VAGUS NRV," $1,015.00 ", $710.50 
INJECTION CELIAC PLEXUS," $2,783.00 "," $1,948.10 "
INJECTION FOR CHOLANGIOGRAM," $11,446.00 "," $8,012.20 "
INJECTION FOR CYSTOGRAM, $187.00 , $130.90 
INJECTION FOR MYELOGRAM, $364.00 , $254.80 
INJECTION ILEAL CONDUIT, $298.00 , $208.60 
INJECTION IMAGING OVARIES, $243.00 , $170.10 
INJECTION IVC FILTER," $9,262.00 "," $6,483.40 "
INJECTION OF SCLEROSANT," $1,289.00 ", $902.30 
INJECTION SPIDER VEINS, $605.00 , $423.50 
INJECTION SPINE," $2,783.00 "," $1,948.10 "
INJECTION SPINE," $2,783.00 "," $1,948.10 "
INJECTION SUPRASCAPULAR NERVE," $2,253.00 "," $1,577.10 "
INSERT ATRIAL/VENTRICULAR LEAD," $39,318.00 "," $27,522.60 "
INSERT ELECTRODE," $27,108.00 "," $18,975.60 "
INSERT PACEMAKER," $1,965.00 "," $1,375.50 "
INSERT VENTRICULAR LEAD," $39,318.00 "," $27,522.60 "
INSERT/REPLACE DEFIB W/LEADS," $99,000.00 "," $69,300.00 "
INSERTION OF INTRAPERITONEAL CATH," $9,477.00 "," $6,633.90 "
INSERTION OF TEMPORARY PACEMAKER," $27,108.00 "," $18,975.60 "
INTERDISCAL ASPIRATION," $2,018.00 "," $1,412.60 "
INTRAVASCULAR ULTRASOUND, $305.00 , $213.50 
INTRAVASCULAR ULTRASOUND, $228.00 , $159.60 
INTRO LIVER STENT," $6,763.00 "," $4,734.10 "
INTRO LIVER STENT," $6,763.00 "," $4,734.10 "
INTRODUCTION OF AORTA CATHETER, $650.00 , $455.00 
INTRODUCTION OF CATHETER, $518.00 , $362.60 
KIDNEY ANGIOGRAM 2ND ORDER," $10,604.00 "," $7,422.80 "
KIDNEY BIOPSY," $4,360.00 "," $3,052.00 "
KIDNEY CATHETER PLACEMENT," $4,679.00 "," $3,275.30 "
KIDNEY CATHETER PLACEMENT," $4,679.00 "," $3,275.30 "
KIDNEY CATHETER PLACEMENT," $1,629.00 "," $1,140.30 "
KIDNEY IMAGING," $1,629.00 "," $1,140.30 "
KIDNEY TUBE CHANGE," $1,629.00 "," $1,140.30 "
KIDNEY TUBE CHANGE," $1,629.00 "," $1,140.30 "
KYPHOPLASTY LUMBAR," $26,186.00 "," $18,330.20 "
KYPHOPLASTY THORACIC," $26,186.00 "," $18,330.20 "
LIVER PERCUTANEUS BIOPSY," $4,360.00 "," $3,052.00 "
LIVER RADIOFREQUENCY ABLATION," $16,964.00 "," $11,874.80 "
LUMBAR EPIDURAL," $2,075.00 "," $1,452.50 "
LUMBAR MYELOGRAM," $2,544.00 "," $1,780.80 "
LUMBAR/SACRAL FACET ADDL INJ, $252.00 , $176.40 
LUMBAR/SACRAL FACET INJECTION," $6,088.00 "," $4,261.60 "
LUMBAR/SACRAL INJ W/CATHETER," $2,614.00 "," $1,829.80 "
LUNG RADIO FREQ ABLATION," $16,964.00 "," $11,874.80 "
LUNG/MEDIASTINUM BIOPSY," $4,360.00 "," $3,052.00 "
LYMPH NODE BIOPSY," $4,360.00 "," $3,052.00 "
LYMPH NODE BIOPSY," $4,360.00 "," $3,052.00 "
MECHANICAL REMVL OF INTRALUMINAL," $3,493.00 "," $2,445.10 "
MECHANICAL REMVL OF OBST MATERIAL," $9,262.00 "," $6,483.40 "
MRI BREAST BIOPSY 1ST LESION," $4,360.00 "," $3,052.00 "
MRI BREAST BIOPSY ADDL LESION, $396.00 , $277.20 
MUSCLE BIOPSY," $4,360.00 "," $3,052.00 "
NERVE ABLATION," $2,783.00 "," $1,948.10 "
NERVE BLOCK ILIOING," $1,544.00 "," $1,080.80 "
NON TUNNEL CATH >5 YEARS," $3,493.00 "," $2,445.10 "
NONSELECTIVE CATH PLACEMENT, $60.00 , $42.00 
OCCIPITAL NERVE BLOCK," $1,544.00 "," $1,080.80 "
OCCIPITAL NERVE BLOCK," $1,544.00 "," $1,080.80 "
PACEMAKER REMOVAL," $27,108.00 "," $18,975.60 "
PANCREAS BIOPSY," $4,360.00 "," $3,052.00 "
PERCUTANEOUS CHOLECYSTOSTOMY," $7,594.00 "," $5,315.80 "
PERICARDIOCENTESIS W/TUBE PLCMNT," $5,960.00 "," $4,172.00 "
PERIOCARDIOCENTESIS," $2,027.00 "," $1,418.90 "
PERQ VERTEBRAL AUGMENTATION, $959.00 , $671.30 
PI JNT/BURSA INTERMED UN/BIL20605, $875.00 , $612.50 
PI JNT/BURSA MAJOR UNI/BIL 20610, $875.00 , $612.50 
PI JNT/BURSA SML UNI/BIL 20600, $875.00 , $612.50 
PI TRIGGER PNT INJ 3> MUSC 20553, $875.00 , $612.50 
PI US DRAIN/INJ OF JOINT/BURSA, $875.00 , $612.50 
PI US DRAIN/INJ OF SM JNT BURSA, $875.00 , $612.50 
