Prisma Health - Upstate CDM,Valid Date: 4/3/2019,,,
SX,SX00435560017713,LEAD ICD REL 4-FRT 59,"$7,750.00 ",
SX,SX00435560017714,LEAD ICD REL 4-FRT 65,"$7,750.00 ",
SX,SX00435560017715,LEAD ICD REL DF4 SA 59C,"$7,750.00 ",
SX,SX00435560017716,LEAD ICD REL G DF4 DA 59,"$7,750.00 ",
SX,SX00435560017717,LEAD ICD REL G DF4 DA 64,"$7,750.00 ",
SX,SX00435560017718,LEAD ICD REL G DF4 SA 64,"$7,750.00 ",
SX,SX00435560017719,LEAD ICD SPRINT QUAT DF4,"$7,750.00 ",
SX,SX00435560017720,LEAD INTERSTIM 28,"$8,887.50 ",
SX,SX00435560017721,LEAD INTERSTIM 33CM,"$8,887.50 ",
SX,SX00435560017722,LEAD KIT 50CM,"$4,000.00 ",
SX,SX00435560017723,LEAD KIT 60CM,"$7,500.00 ",
SX,SX00435560017724,LEAD KIT COMPACT 1X8 MRI 60CM,"$6,135.00 ",
SX,SX00435560017725,LEAD LAMITODE S4 60CM,"$10,000.00 ",
SX,SX00435560017726,LEAD LAMITROD TRIPOLE 16C,"$10,000.00 ",
SX,SX00435560017727,LEAD LV ACUITY X 4 4671,"$5,250.00 ",
SX,SX00435560017728,LEAD LV ACUITY X 4 4672,"$5,250.00 ",
SX,SX00435560017729,LEAD LV ACUITY X 4 4674,"$5,250.00 ",
SX,SX00435560017730,LEAD LV ACUITY X 4 4675,"$5,250.00 ",
SX,SX00435560017731,LEAD LV ACUITY X 4 4677,"$5,250.00 ",
SX,SX00435560017732,LEAD LV ACUITY X 4 4678,"$5,250.00 ",
SX,SX00435560017733,LEAD LV ATTAIN ABILITY PL,"$4,725.00 ",
SX,SX00435560017734,LEAD LV ATTAIN PERFORMA 429878,"$6,000.00 ",
SX,SX00435560017735,LEAD LV ATTAIN PERFORMA 439878,"$6,000.00 ",
SX,SX00435560017736,LEAD LV ATTAIN PERFORMA 439888,"$6,000.00 ",
SX,SX00435560017737,LEAD LV ATTAIN PERFORMA 459878,"$6,000.00 ",
SX,SX00435560017738,LEAD LV ATTAIN PERFORMA 459888,"$6,000.00 ",
SX,SX00435560017739,LEAD LV ATTAIN PERFORMA CANTED,"$6,000.00 ",
SX,SX00435560017740,LEAD LV QUARTET,"$6,000.00 ",
SX,SX00435560017741,LEAD NEUROSTIM 33MM,"$8,537.50 ",
SX,SX00435560017742,LEAD NEUROSTIM EXT 60CM,"$3,021.00 ",
SX,SX00435560017743,LEAD PACE BIPLR,$385.00 ,
SX,SX00435560017744,LEAD PACE CAPSR FX NOVUS,"$1,800.00 ",
SX,SX00435560017745,LEAD PACE CAPSR SENSE,"$1,800.00 ",
SX,SX00435560017746,LEAD PACEMAKER,"$1,800.00 ",
SX,SX00435560017747,LEAD PERC TRIAL 8EL60CM,"$4,000.00 ",
SX,SX00435560017748,LEAD PERCUT TRIAL 4EL 60,"$2,800.00 ",
SX,SX00435560017749,LEAD PLEXA DF 1SDX 65/15,"$7,750.00 ",
SX,SX00435560017750,LEAD PPM BI SIL SCR-IN,"$1,800.00 ",
SX,SX00435560017751,LEAD PPM CAPSURE FIX NOVU,"$1,800.00 ",
SX,SX00435560017752,LEAD PPM ISOFLEX PASS J,"$1,800.00 ",
SX,SX00435560017753,LEAD PPM ISOFLEX PASS ST,"$1,800.00 ",
SX,SX00435560017754,LEAD PPM TENDRIL SDX,"$1,800.00 ",
SX,SX00435560017755,LEAD PPM TENDRIL ST OPTIM,"$1,800.00 ",
SX,SX00435560017756,LEAD PPM TENDRIL STS,"$1,800.00 ",
SX,SX00435560017757,LEAD PPM UNI SILICNON,"$1,800.00 ",
SX,SX00435560017758,LEAD QUARTET 1457Q/75 LV,"$2,100.00 ",
SX,SX00435560017759,LEAD QUARTET 1457Q/86 LV,"$6,000.00 ",
SX,SX00435560017760,LEAD SELECT SECURE,"$1,800.00 ",
SX,SX00435560017761,LEAD SELECT SECURE PACING,"$1,800.00 ",
SX,SX00435560017762,LEAD SPINAL,"$12,500.00 ",
SX,SX00435560017763,LEAD STIM SURGICAL 70,"$5,700.00 ",
SX,SX00435560017764,LEAD STIMLTR SPIN 20CM,"$6,300.00 ",
SX,SX00435560017765,LEAD SURESCAN MRI 2X8 65CM,"$13,275.00 ",
SX,SX00435560017766,LEAD SURESCAN MRI 2X8 90CM,"$13,275.00 ",
SX,SX00435560017767,LEAD SURESCAN MRI 5-6-5 65CM,"$13,275.00 ",
SX,SX00435560017768,LEAD SURESCAN MRI 5-6-5 90CM,"$13,275.00 ",
SX,SX00435560017769,LEAD SVC SHOCKING COIL,"$4,200.00 ",
SX,SX00435560017770,LEAD TRIPOLE 8,"$10,000.00 ",
SX,SX00435560017771,LEAD TRNSVNS MLTPRGRMBL 2PLR V,"$3,000.00 ",
SX,SX00435560017772,LEAD VNS 2MM,"$16,535.00 ",
SX,SX00435560017773,LEAD WIRE DBS 40CM,"$7,695.00 ",
SX,SX00435560017774,LEGION CON INS 9MM SZ7-8,"$4,856.88 ",
SX,SX00435560017775,LEGION PS OXIN FEM SZ3 LT,"$7,500.00 ",
SX,SX00435560017776,LEGION PS OXIN FEM SZ5 RT,"$7,500.00 ",
SX,SX00435560017777,LEGION PS OXIN FEM SZ6 LT,"$7,500.00 ",
SX,SX00435560017778,LENS ALCON ACRYSOF IQ,$564.00 ,
SX,SX00435560017779,LENS BIOM OPTIC HD FLEX,$379.50 ,
SX,SX00435560017780,LG.  MEDIUM BLADE,$201.19 ,
SX,SX00435560017781,LG. NARROW,$204.88 ,
SX,SX00435560017782,LGASURE BLUNT,"$1,475.15 ",
SX,SX00435560017783,LGN CR HI FLXL SZ1-2 11MM,"$2,600.00 ",
SX,SX00435560017784,LGN CR HI FLXL SZ1-2 13MM,"$2,600.00 ",
SX,SX00435560017785,LGN CR HI FLXL SZ1-2 15MM,"$2,600.00 ",
SX,SX00435560017786,LGN CR HI FLXL SZ1-2 18MM,"$2,600.00 ",
SX,SX00435560017787,LGN CR HI FLXL SZ1-2 9MM,"$2,600.00 ",
SX,SX00435560017788,LGN CR HI FLXL SZ3-4 13MM,"$2,600.00 ",
SX,SX00435560017789,LGN CR HI FLXL SZ3-4 18MM,"$2,600.00 ",
SX,SX00435560017790,LGN CR HI FLXL SZ5-6 13MM,"$2,600.00 ",
SX,SX00435560017791,LGN CR HI FLXL SZ5-6 18MM,"$2,600.00 ",
SX,SX00435560017792,LGN CR HI FLXL SZ7-8 11MM,"$2,600.00 ",
SX,SX00435560017793,LGN CR HI FLXL SZ7-8 13MM,"$2,600.00 ",
SX,SX00435560017794,LGN CR HI FLXL SZ7-8 15MM,"$2,600.00 ",
SX,SX00435560017795,LGN CR HI FLXL SZ7-8 18MM,"$2,600.00 ",
SX,SX00435560017796,LGN CR HI FLXL SZ7-8 9MM,"$2,600.00 ",
SX,SX00435560017797,LGN FEM COMP SZ3 RT,"$10,902.50 ",
SX,SX00435560017798,LGN OX CONST FEM 8 LT,"$10,902.50 ",
SX,SX00435560017799,LGN OX CONSTR FEM 2 LT,"$10,902.50 ",
SX,SX00435560017800,LGN OX CONSTR FEM 2 RT,"$10,902.50 ",
SX,SX00435560017801,LGN OX CONSTR FEM 6 LT,"$10,902.50 ",
SX,SX00435560017802,LGN OX CONSTR FEM 8 RT,"$10,902.50 ",
SX,SX00435560017803,LGN PS HI FLXL SZ1-2 11MM,"$2,600.00 ",
SX,SX00435560017804,LGN PS HI FLXL SZ1-2 13MM,"$2,600.00 ",
SX,SX00435560017805,LGN PS HI FLXL SZ1-2 15MM,"$2,600.00 ",
SX,SX00435560017806,LGN PS HI FLXL SZ1-2 18MM,"$2,600.00 ",
SX,SX00435560017807,LGN PS HI FLXL SZ1-2 21MM,"$2,600.00 ",
SX,SX00435560017808,LGN PS HI FLXL SZ1-2 25MM,"$2,600.00 ",
SX,SX00435560017809,LGN PS HI FLXL SZ1-2 9MM,"$2,600.00 ",
SX,SX00435560017810,LGN PS HI FLXL SZ3-4 18MM,"$2,600.00 ",
SX,SX00435560017811,LGN PS HI FLXL SZ3-4 21MM,"$2,600.00 ",
SX,SX00435560017812,LGN PS HI FLXL SZ3-4 25MM,"$2,600.00 ",
SX,SX00435560017813,LGN PS HI FLXL SZ3-4 9MM,"$2,600.00 ",
SX,SX00435560017814,LGN PS HI FLXL SZ5-6 13MM,"$2,600.00 ",
SX,SX00435560017815,LGN PS HI FLXL SZ5-6 15MM,"$2,600.00 ",
SX,SX00435560017816,LGN PS HI FLXL SZ5-6 18MM,"$2,600.00 ",
SX,SX00435560017817,LGN PS HI FLXL SZ5-6 21MM,"$2,600.00 ",
SX,SX00435560017818,LGN PS HI FLXL SZ5-6 25MM,"$2,600.00 ",
SX,SX00435560017819,LGN PS HI FLXL SZ7-8 13MM,"$2,600.00 ",
SX,SX00435560017820,LGN PS HI FLXL SZ7-8 15MM,"$2,600.00 ",
SX,SX00435560017821,LGN PS HI FLXL SZ7-8 18MM,"$2,600.00 ",
SX,SX00435560017822,LGN PS HI FLXL SZ7-8 21MM,"$2,600.00 ",
SX,SX00435560017823,LGN PS HI FLXL SZ7-8 25MM,"$2,600.00 ",
SX,SX00435560017824,LGN SCR DIS FEM WDG SZ8 5,"$3,277.12 ",
SX,SX00435560017825,LIGACLIP MCA MED APPLIER,$296.67 ,
SX,SX00435560017826,LIGACLIP MCA SM APPLIER,$875.00 ,
SX,SX00435560017827,LIGACLIP MED LNG APPLIER,$934.25 ,
SX,SX00435560017828,LIGASURE 5MM ADVANCE GRIP,"$2,546.00 ",
SX,SX00435560017829,LIGASURE 5MM BLNT 20CM,"$2,030.63 ",
SX,SX00435560017830,LIGASURE ATLAS 10MM,"$1,678.82 ",
SX,SX00435560017831,LIGASURE ATLAS 20CM,"$1,613.39 ",
SX,SX00435560017832,LIGASURE DISSEC DEVICE,"$2,250.00 ",
SX,SX00435560017833,LIGASURE IMPACT 36MM,"$2,468.00 ",
SX,SX00435560017834,LIGASURE LF 4318,"$2,470.00 ",
SX,SX00435560017835,LIGASURE MARYLAND DEV,"$2,233.71 ",
SX,SX00435560017836,LIGASURE MARYLAND JAW 44CM,"$2,250.00 ",
SX,SX00435560017837,LIGASURE RETRAC 37CM,"$2,546.00 ",
SX,SX00435560017838,LIGASURE RETRAC 44CM,"$2,546.00 ",
SX,SX00435560017839,LIGASURE V 5MM,"$1,794.38 ",
SX,SX00435560017840,LIGATOR  BANDITO HEMORRHOID EN,$259.88 ,
SX,SX00435560017841,LIGATOR 6 SHOOTER,"$1,845.00 ",
SX,SX00435560017842,LIGATOR SUPER 7 BAND,"$1,044.32 ",
SX,SX00435560017843,LIN 66-70/36MM 0DEG +4,"$4,000.00 ",
SX,SX00435560017844,LIN 66-70/36MM 20DEG +4,"$2,250.00 ",
SX,SX00435560017845,LIN 66-70/36MM XLPE 0DEG,"$2,250.00 ",
SX,SX00435560017846,LIN 66-70/36MM XLPE 20DEG,"$2,250.00 ",
SX,SX00435560017847,LIN ACETABULAR DURALOC,"$5,545.75 ",
SX,SX00435560017848,LIN CONST H,"$7,411.50 ",
SX,SX00435560017849,LINER,"$2,250.00 ",
SX,SX00435560017850,LINER +4 10 DEG 40MM ID 60MM,"$4,000.00 ",
SX,SX00435560017851,LINER 10 DEG +4,"$4,000.00 ",
SX,SX00435560017852,LINER 10D 36MM 3.5 OFST,"$2,640.00 ",
SX,SX00435560017853,LINER 10DEG LINEAR 70X36,"$2,640.00 ",
SX,SX00435560017854,LINER 32X48,"$2,640.00 ",
SX,SX00435560017855,LINER 32X64,"$3,200.00 ",
SX,SX00435560017856,LINER 36 X 66 +4 10 DEG,"$4,000.00 ",
SX,SX00435560017857,LINER 36MM 20 DEGREE XLPE,"$3,600.00 ",
SX,SX00435560017858,LINER 36MM DYNASTY GROUP F 0DG,"$4,242.00 ",
SX,SX00435560017859,LINER 40X60MM,"$2,640.00 ",
SX,SX00435560017860,LINER 54X36 +4 10DEG,"$4,000.00 ",
SX,SX00435560017861,LINER 62X32,"$2,640.00 ",
SX,SX00435560017862,LINER ACE CEM 0 DEG 32MM,"$5,203.28 ",
SX,SX00435560017863,LINER ACE G7 36MM,"$2,250.00 ",
SX,SX00435560017864,LINER ACET +4 0DEG 32MM,"$4,000.00 ",
SX,SX00435560017865,LINER ACET +4 10DEG 32MM 48X32,"$4,000.00 ",
SX,SX00435560017866,LINER ACET 0DG 32X50,"$2,640.00 ",
SX,SX00435560017867,LINER ACET 36MM +4,"$5,545.75 ",
SX,SX00435560017868,LINER ACET 36MM +5,"$2,250.00 ",
SX,SX00435560017869,LINER ACET 36MM SZ 23,"$6,379.80 ",
SX,SX00435560017870,LINER ACET 36MM SZ25,"$6,379.80 ",
SX,SX00435560017871,LINER ACET 36MM SZ25 +5,"$2,250.00 ",
SX,SX00435560017872,LINER ACET 40MM SZ26,"$6,379.80 ",
SX,SX00435560017873,LINER ACET 52X32,"$4,378.50 ",
SX,SX00435560017874,LINER ACET NEUT 40X58MM,"$4,000.00 ",
SX,SX00435560017875,LINER ACET RLC 36MM 10DEG SZ25,"$2,250.00 ",
SX,SX00435560017876,LINER ACET SZ 26 +5,"$2,250.00 ",
SX,SX00435560017877,LINER ACET SZ8 28MM/10 DEG,"$4,000.00 ",
SX,SX00435560017878,LINER ACETA 40MM +4 122140456,"$4,000.00 ",
SX,SX00435560017879,LINER ACETA 40MM +4 122140460,"$4,000.00 ",
SX,SX00435560017880,LINER ACETA 50MM 122132050,"$4,000.00 ",
SX,SX00435560017881,LINER ACETA 52 MM +4 122136452,"$4,000.00 ",
SX,SX00435560017882,LINER ACETA 54 MM 122136054,"$4,000.00 ",
SX,SX00435560017883,LINER ACETA 56 MM 122136056,"$4,000.00 ",
SX,SX00435560017884,LINER ACETA 56MM +4 122140156,"$4,000.00 ",
SX,SX00435560017885,LINER ACETA 58MM,"$4,000.00 ",
SX,SX00435560017886,LINER ACETA 60MM 122136060,"$4,000.00 ",
SX,SX00435560017887,LINER ACETAB POLY 36X52,"$4,000.00 ",
SX,SX00435560017888,LINER ACR DURALOC 50MM,"$4,333.00 ",
SX,SX00435560017889,LINER ALTRX NEUT 28IDX44OD,"$4,000.00 ",
SX,SX00435560017890,LINER ARCOMXL 36MM SZ E,"$2,250.00 ",
SX,SX00435560017891,LINER ATRX PINN LIPPED,"$8,265.00 ",
SX,SX00435560017892,LINER B 32MM,"$2,250.00 ",
SX,SX00435560017893,LINER BIP OD39 X ID22,$900.00 ,
SX,SX00435560017894,LINER BIP OD40 X ID26,$900.00 ,
SX,SX00435560017895,LINER BIP OD42 X ID26,$900.00 ,
SX,SX00435560017896,LINER BIP OD44 X ID22,$900.00 ,
SX,SX00435560017897,LINER BIP OD44 X ID26,$900.00 ,
SX,SX00435560017898,LINER BIP OD47 X ID22,$900.00 ,
SX,SX00435560017899,LINER BIP OD47 X ID26,$900.00 ,
SX,SX00435560017900,LINER BIP OD47 X ID32,$900.00 ,
SX,SX00435560017901,LINER BIP OD50 X ID22,$900.00 ,
SX,SX00435560017902,LINER BIP OD50 X ID26,$900.00 ,
SX,SX00435560017903,LINER BIP OD50 X ID32,$900.00 ,
SX,SX00435560017904,LINER BIP OD53 X ID22,$900.00 ,
SX,SX00435560017905,LINER BIP OD53 X ID26,$900.00 ,
SX,SX00435560017906,LINER BIP OD53 X ID32,$900.00 ,
SX,SX00435560017907,LINER BIP OD57 X ID22,$900.00 ,
SX,SX00435560017908,LINER BIP OD57 X ID26,$900.00 ,
SX,SX00435560017909,LINER BIPOLAR 28MM ID 50-52 OD,$900.00 ,
SX,SX00435560017910,LINER C 32MM,"$2,250.00 ",
SX,SX00435560017911,LINER COMP 28 46MMOD 20DE,"$3,600.00 ",
SX,SX00435560017912,LINER CON 60,"$5,844.72 ",
SX,SX00435560017913,LINER CON HIP R3,"$5,844.72 ",
SX,SX00435560017914,LINER CON HIP REV 13MM,"$5,844.72 ",
SX,SX00435560017915,LINER CONST LNG KK 32X56,"$7,658.75 ",
SX,SX00435560017916,LINER CONST LNG NN 36X62,"$7,658.75 ",
SX,SX00435560017917,LINER CONST LNG SZHH 28MM,"$7,658.75 ",
SX,SX00435560017918,LINER CONST LNG SZII 28MM,"$7,658.75 ",
SX,SX00435560017919,LINER CONSTR PINN +4 36X58MM,"$7,891.25 ",
SX,SX00435560017920,LINER CONSTRAINED REF 22ID 54O,"$5,844.72 ",
SX,SX00435560017921,LINER CONT 54X28,"$7,658.75 ",
SX,SX00435560017922,LINER CONT SZ11 36MM,"$2,640.00 ",
SX,SX00435560017923,LINER DUR BANTAM 10DG 44MM,"$2,760.00 ",
SX,SX00435560017924,LINER DURABLE 3610 10DEG,"$5,545.75 ",
SX,SX00435560017925,LINER DYN 15DG B 28MM,"$4,242.00 ",
SX,SX00435560017926,LINER DYN 36 GP,"$4,242.00 ",
SX,SX00435560017927,LINER ELEV 36MM,"$2,640.00 ",
SX,SX00435560017928,LINER FREEDOM +5 36MM,"$9,222.50 ",
SX,SX00435560017929,LINER GLV SURG ANSELL LG,$148.83 ,
SX,SX00435560017930,LINER GLV SURG ANSELL XLG,$148.83 ,
SX,SX00435560017931,LINER HI WALL ARCOMXL 36MM,"$2,250.00 ",
SX,SX00435560017932,LINER HI-CROSSLINK 36X58,"$8,023.13 ",
SX,SX00435560017933,LINER HIP 10DEG REV 48X28,"$5,203.28 ",
SX,SX00435560017934,LINER HIP 10DEG REV 50X28,"$5,203.28 ",
SX,SX00435560017935,LINER HIP 10DEG REV 54X32,"$5,203.28 ",
SX,SX00435560017936,LINER HIP 10DEG REV 58X36,"$6,086.85 ",
SX,SX00435560017937,LINER HIP 10DEG REV 60X36,"$6,086.85 ",
SX,SX00435560017938,LINER HIP CONSTRN 58MM LL,"$7,658.75 ",
SX,SX00435560017939,LINER HIP MDM 42E,"$5,769.00 ",
SX,SX00435560017940,LINER HIP MDM 48MM,"$5,769.00 ",
SX,SX00435560017941,LINER HIP MDM 52H,"$5,769.00 ",
SX,SX00435560017942,LINER HIP SZ EE 28MM,"$2,640.00 ",
SX,SX00435560017943,LINER HUM DELTA 36MM+3,"$5,327.70 ",
SX,SX00435560017944,LINER HUM DELTA 36MM+9,"$5,327.70 ",
SX,SX00435560017945,LINER HXPE ELEV EE 28MM,"$2,640.00 ",
SX,SX00435560017946,LINER HXPE ELEV FF 28MM,"$2,640.00 ",
SX,SX00435560017947,LINER HXPE ELEV GG 32MM,"$2,640.00 ",
SX,SX00435560017948,LINER HXPE ELEV HH 32MM,"$2,640.00 ",
SX,SX00435560017949,LINER HXPE ELEV II 32MM,"$2,640.00 ",
SX,SX00435560017950,LINER HXPE ELEV JJ 32MM,"$2,640.00 ",
SX,SX00435560017951,LINER HXPE ELEV KK 32MM,"$2,640.00 ",
SX,SX00435560017952,LINER HXPE ELEV KK 36MM,"$2,640.00 ",
SX,SX00435560017953,LINER HXPE ELEV LL 32MM,"$2,640.00 ",
SX,SX00435560017954,LINER HXPE ELEV LL 36MM,"$2,640.00 ",
SX,SX00435560017955,LINER HXPE ELEV MM 32MM,"$2,640.00 ",
SX,SX00435560017956,LINER HXPE ELEV MM 36MM,"$2,640.00 ",
SX,SX00435560017957,LINER HXPE ELEV NN 32MM,"$2,640.00 ",
SX,SX00435560017958,LINER HXPE ELEV NN 36MM,"$2,640.00 ",
SX,SX00435560017959,LINER HXPE ELEV OO 32MM,"$2,640.00 ",
SX,SX00435560017960,LINER HXPE ELEV PP 32MM,"$2,640.00 ",
SX,SX00435560017961,LINER HXPE ELEV QU 32MM,"$2,640.00 ",
SX,SX00435560017962,LINER LNG OBLIQ 48GGX32,"$2,640.00 ",
SX,SX00435560017963,LINER LNG OBLIQ 50HHX32,"$2,640.00 ",
SX,SX00435560017964,LINER LNG OBLIQ 52IIX36,"$2,640.00 ",
SX,SX00435560017965,LINER LNG OBLIQ 54JJX36,"$2,640.00 ",
SX,SX00435560017966,LINER LNG OBLIQ 56KKX36,"$2,640.00 ",
SX,SX00435560017967,LINER LNG OBLIQ 58LLX36,"$2,640.00 ",
SX,SX00435560017968,LINER LNG OBLIQ 60MMX36,"$2,640.00 ",
SX,SX00435560017969,LINER LNG OBLIQ 64OOX36,"$2,640.00 ",
SX,SX00435560017970,LINER LNG OBLIQ 68QUX36,"$2,640.00 ",
SX,SX00435560017971,LINER LNG OBLIQ 70RRX36,"$2,640.00 ",
SX,SX00435560017972,LINER LNG OBLIQ 72SSX36,"$2,640.00 ",
SX,SX00435560017973,LINER LONGVTY 7MM 54JJX36,"$2,640.00 ",
SX,SX00435560017974,LINER LONGVTY 7MM 56KKX36,"$2,640.00 ",
SX,SX00435560017975,LINER LONGVTY 7MM 58LLX36,"$2,640.00 ",
SX,SX00435560017976,LINER LONGVTY 7MM 60MMX36,"$2,640.00 ",
SX,SX00435560017977,LINER LONGVTY 7MM 62NNX36,"$2,640.00 ",
SX,SX00435560017978,LINER MDM 36C,"$5,769.00 ",
SX,SX00435560017979,LINER MDM 38MM,"$5,769.00 ",
SX,SX00435560017980,LINER MDM 46F,"$5,769.00 ",
SX,SX00435560017981,LINER NEUTRAL 40MM,"$2,640.00 ",
SX,SX00435560017982,LINER NEUTRAL GG 32,"$2,640.00 ",
SX,SX00435560017983,LINER NEUTRAL HH 32,"$2,640.00 ",
SX,SX00435560017984,LINER NEUTRAL II 32,"$2,640.00 ",
SX,SX00435560017985,LINER NEUTRAL II 36,"$2,640.00 ",
SX,SX00435560017986,LINER NEUTRAL JJ 32,"$2,640.00 ",
SX,SX00435560017987,LINER NEUTRAL JJ 36,"$2,640.00 ",
SX,SX00435560017988,LINER NEUTRAL KK 32,"$2,640.00 ",
SX,SX00435560017989,LINER NEUTRAL KK 36,"$2,640.00 ",
SX,SX00435560017990,LINER NEUTRAL KK 40,"$2,640.00 ",
SX,SX00435560017991,LINER NEUTRAL LL 32,"$2,640.00 ",
SX,SX00435560017992,LINER NEUTRAL LL 36,"$2,640.00 ",
SX,SX00435560017993,LINER NEUTRAL LL 40,"$2,640.00 ",
SX,SX00435560017994,LINER NEUTRAL MM 32,"$2,640.00 ",
SX,SX00435560017995,LINER NEUTRAL MM 36,"$2,640.00 ",
SX,SX00435560017996,LINER NEUTRAL NN 32,"$2,640.00 ",
SX,SX00435560017997,LINER NEUTRAL NN 36,"$2,640.00 ",
SX,SX00435560017998,LINER NEUTRAL NN 40,"$2,640.00 ",
SX,SX00435560017999,LINER NEUTRAL OO 32,"$2,640.00 ",
SX,SX00435560018000,LINER NEUTRAL OO 36,"$2,640.00 ",
SX,SX00435560018001,LINER NEUTRAL OO 40,"$2,640.00 ",
SX,SX00435560018002,LINER NEUTRAL PP 32,"$2,640.00 ",
SX,SX00435560018003,LINER NEUTRAL PP 36,"$2,640.00 ",
SX,SX00435560018004,LINER NEUTRAL PP 40,"$2,640.00 ",
SX,SX00435560018005,LINER NEUTRAL QU 32,"$2,640.00 ",
SX,SX00435560018006,LINER NEUTRAL QU 40,"$2,640.00 ",
SX,SX00435560018007,LINER POLY 0MM OFFSET 36MM DIA,"$5,670.00 ",
SX,SX00435560018008,LINER POLY DYN 36MM,"$4,242.00 ",
SX,SX00435560018009,LINER R3 XLPE 0 DEG ACETABULAR,"$2,250.00 ",
SX,SX00435560018010,LINER R3 XLPE 0+4 36MM,"$2,250.00 ",
SX,SX00435560018011,LINER REV 40MM +3 RET,"$4,000.00 ",
SX,SX00435560018012,LINER REV 40MM+3 1365.50.815,"$4,000.00 ",
SX,SX00435560018013,LINER REV 60MMX28,"$5,203.28 ",
SX,SX00435560018014,LINER RIMLOC SZ 3,"$4,000.00 ",
SX,SX00435560018015,LINER S/N HIP REV,"$2,250.00 ",
SX,SX00435560018016,LINER STD 1361.50.810,"$3,000.00 ",
SX,SX00435560018017,LINER STD EZ FRAME,$540.00 ,
SX,SX00435560018018,LINER STD REV 40MM 1365.50.810,"$4,000.00 ",
SX,SX00435560018019,LINER STD REVERSE 1360.50.810,"$2,788.00 ",
SX,SX00435560018020,LINER TM REV 62/64X40,"$6,086.85 ",
SX,SX00435560018021,LINER TM REV CEM 54X32,"$8,023.13 ",
SX,SX00435560018022,LINER XE IPOLY GRP B 28MM +0 F,"$2,860.00 ",
SX,SX00435560018023,LINER XE IPOLY GRP B 28MM +0 L,"$2,860.00 ",
SX,SX00435560018024,LINER XE IPOLY GRP B 28MM +0 S,"$2,860.00 ",
SX,SX00435560018025,LINER XE IPOLY GRP B 32MM +2 F,"$2,860.00 ",
SX,SX00435560018026,LINER XE IPOLY GRP B 32MM +2 L,"$2,860.00 ",
SX,SX00435560018027,LINER XE IPOLY GRP B 32MM +2 S,"$2,860.00 ",
SX,SX00435560018028,LINER XE IPOLY GRP B 32MM +4 S,"$2,860.00 ",
SX,SX00435560018029,LINER XE IPOLY GRP C 32MM +0 F,"$2,860.00 ",
SX,SX00435560018030,LINER XE IPOLY GRP C 32MM +0 L,"$2,860.00 ",
SX,SX00435560018031,LINER XE IPOLY GRP C 32MM +0 S,"$2,860.00 ",
SX,SX00435560018032,LINER XE IPOLY GRP C 36MM +2 F,"$2,860.00 ",
SX,SX00435560018033,LINER XE IPOLY GRP C 36MM +2 L,"$2,860.00 ",
SX,SX00435560018034,LINER XE IPOLY GRP C 36MM +2 S,"$2,860.00 ",
SX,SX00435560018035,LINER XE IPOLY GRP C 36MM +4 S,"$2,860.00 ",
SX,SX00435560018036,LINER XE IPOLY GRP D 36MM +0 F,"$2,860.00 ",
SX,SX00435560018037,LINER XE IPOLY GRP D 36MM +0 L,"$2,860.00 ",
SX,SX00435560018038,LINER XE IPOLY GRP D 36MM +0 S,"$2,860.00 ",
SX,SX00435560018039,LINER XE IPOLY GRP D 36MM +2 F,"$2,860.00 ",
SX,SX00435560018040,LINER XE IPOLY GRP D 36MM +2 L,"$2,860.00 ",
SX,SX00435560018041,LINER XE IPOLY GRP D 36MM +2 S,"$2,860.00 ",
SX,SX00435560018042,LINER XE IPOLY GRP D 36MM +4 S,"$2,860.00 ",
SX,SX00435560018043,LINER XE IPOLY GRP D 40MM +2 F,"$2,860.00 ",
SX,SX00435560018044,LINER XE IPOLY GRP D 40MM +2 L,"$2,860.00 ",
SX,SX00435560018045,LINER XE IPOLY GRP D 40MM +2 S,"$2,860.00 ",
SX,SX00435560018046,LINER XE IPOLY GRP D 40MM +4 S,"$2,860.00 ",
SX,SX00435560018047,LINER XE IPOLY GRP E 36MM +0 F,"$2,860.00 ",
SX,SX00435560018048,LINER XE IPOLY GRP E 36MM +0 L,"$2,860.00 ",
SX,SX00435560018049,LINER XE IPOLY GRP E 36MM +0 S,"$2,860.00 ",
SX,SX00435560018050,LINER XE IPOLY GRP E 36MM +2 F,"$2,860.00 ",
SX,SX00435560018051,LINER XE IPOLY GRP E 36MM +2 L,"$2,860.00 ",
SX,SX00435560018052,LINER XE IPOLY GRP E 36MM +2 S,"$2,860.00 ",
SX,SX00435560018053,LINER XE IPOLY GRP E 36MM +4 S,"$2,860.00 ",
SX,SX00435560018054,LINER XE IPOLY GRP E 40MM +0 F,"$2,860.00 ",
SX,SX00435560018055,LINER XE IPOLY GRP E 40MM +0 L,"$2,860.00 ",
SX,SX00435560018056,LINER XE IPOLY GRP E 40MM +0 S,"$2,860.00 ",
SX,SX00435560018057,LINER XE IPOLY GRP E 40MM +2 L,"$2,860.00 ",
SX,SX00435560018058,LINER XE IPOLY GRP E 40MM +2 S,"$2,860.00 ",
SX,SX00435560018059,LINER XE IPOLY GRP E 40MM +4 S,"$2,860.00 ",
SX,SX00435560018060,LINER XE IPOLY GRP F 36MM +0 F,"$2,860.00 ",
SX,SX00435560018061,LINER XE IPOLY GRP F 36MM +0 L,"$2,860.00 ",
SX,SX00435560018062,LINER XE IPOLY GRP F 36MM +0 S,"$2,860.00 ",
